var,lang,n,mean,sd,se,median,min,max
firstFixationDuration,du,45,220.33,34.24,5.1,216.46,162.08,328.17
firstFixationDuration,ee,52,225.16,32.39,4.49,226.08,172.25,304.42
firstFixationDuration,en,46,214.67,20.37,3,213.25,167.72,248.01
firstFixationDuration,fi,49,217.75,20.68,2.95,214.81,178.36,266.03
firstFixationDuration,ge,45,208.89,20.27,3.02,207.83,167.18,257.99
firstFixationDuration,gr,45,221.22,22.1,3.29,222.31,178.8,269.87
firstFixationDuration,he,47,212.92,24.95,3.64,211.2,171.65,276.37
firstFixationDuration,it,54,216.78,25.4,3.46,215.67,151.74,280.95
firstFixationDuration,ko,32,201.51,17.17,3.03,204.47,156.66,222.97
firstFixationDuration,no,42,229.1,25.92,4,226.37,177.01,293.43
firstFixationDuration,ru,46,217.03,23.96,3.53,213.88,170.45,275.62
firstFixationDuration,sp,48,212.28,27.37,3.95,207.11,149.54,292.56
firstFixationDuration,tr,29,210.09,17.94,3.33,207.41,177.15,254.03
gazeDuration,du,45,262.31,46.99,7.01,250.91,182.54,428.12
gazeDuration,ee,52,301.79,57.78,8.01,299.88,208.99,462.41
gazeDuration,en,46,251.62,27.91,4.12,251.27,197.78,307.07
gazeDuration,fi,49,284.78,38.47,5.5,282.31,198.39,369.15
gazeDuration,ge,45,261.37,28.03,4.18,261.53,203.74,346.3
gazeDuration,gr,45,285.13,37.39,5.57,279.5,216.67,370.3
gazeDuration,he,47,253.11,37.32,5.44,249.05,191.15,348.82
gazeDuration,it,54,261.83,36.77,5,257.09,187.8,372.21
gazeDuration,ko,32,237.72,27.38,4.84,239.89,177.32,300.23
gazeDuration,no,42,303.04,50.75,7.83,295.45,239.39,477.68
gazeDuration,ru,46,260.46,36.1,5.32,257.97,206.98,347.09
gazeDuration,sp,48,260.55,39.66,5.72,254.79,177.32,381.44
gazeDuration,tr,29,278.11,43.46,8.07,265.69,204.81,355.7
nFixationsFirstRun,du,45,1.2,0.09,0.01,1.19,1.04,1.44
nFixationsFirstRun,ee,52,1.36,0.13,0.02,1.33,1.11,1.71
nFixationsFirstRun,en,46,1.19,0.07,0.01,1.18,1.06,1.44
nFixationsFirstRun,fi,49,1.33,0.13,0.02,1.33,1.12,1.79
nFixationsFirstRun,ge,45,1.27,0.08,0.01,1.27,1.12,1.43
nFixationsFirstRun,gr,45,1.32,0.1,0.02,1.33,1.12,1.59
nFixationsFirstRun,he,47,1.21,0.1,0.01,1.19,1.04,1.49
nFixationsFirstRun,it,54,1.23,0.09,0.01,1.23,1.07,1.44
nFixationsFirstRun,ko,32,1.2,0.07,0.01,1.17,1.08,1.39
nFixationsFirstRun,no,42,1.35,0.13,0.02,1.34,1.13,1.68
nFixationsFirstRun,ru,46,1.23,0.09,0.01,1.23,1.08,1.52
nFixationsFirstRun,sp,48,1.26,0.1,0.01,1.24,1.1,1.47
nFixationsFirstRun,tr,29,1.34,0.15,0.03,1.31,1.11,1.66
nFixationsTotal,du,45,1.72,0.24,0.04,1.71,1.26,2.43
nFixationsTotal,ee,52,1.99,0.32,0.04,2.01,1.49,3.44
nFixationsTotal,en,46,1.58,0.22,0.03,1.54,1.22,2.27
nFixationsTotal,fi,49,1.82,0.32,0.05,1.77,1.28,2.72
nFixationsTotal,ge,45,1.76,0.23,0.03,1.74,1.34,2.44
nFixationsTotal,gr,45,1.69,0.23,0.03,1.68,1.24,2.44
nFixationsTotal,he,47,1.73,0.36,0.05,1.7,1.22,2.88
nFixationsTotal,it,54,1.8,0.29,0.04,1.7,1.3,2.51
nFixationsTotal,ko,32,1.71,0.21,0.04,1.72,1.26,2.05
nFixationsTotal,no,42,1.71,0.21,0.03,1.71,1.32,2.21
nFixationsTotal,ru,46,1.6,0.18,0.03,1.59,1.16,1.97
nFixationsTotal,sp,48,1.85,0.28,0.04,1.81,1.29,2.7
nFixationsTotal,tr,29,2.03,0.3,0.05,2,1.54,2.59
readingRate,du,45,238.42,73.42,10.94,221,97.33,416.8
readingRate,ee,52,164.06,46.72,6.48,156.24,58.14,326.33
readingRate,en,46,266,57.49,8.48,255.1,170.17,411.91
readingRate,fi,49,193.15,54.24,7.75,188.92,91.75,375.6
readingRate,ge,45,206.04,38.02,5.67,207.27,128,301.17
readingRate,gr,45,232.49,57.52,8.57,230,120.11,359.83
readingRate,he,47,225.76,68.1,9.93,212.67,93.14,372.56
readingRate,it,54,218.74,51.25,6.97,218.86,117.33,364.57
readingRate,ko,32,272.46,65.88,11.65,258.17,164.29,404.9
readingRate,no,42,215.25,48.69,7.51,208.94,96.82,297.88
readingRate,ru,46,252.15,56.54,8.34,248.5,164.12,411
readingRate,sp,48,239.77,63.67,9.19,233.38,125,426.5
readingRate,tr,29,172.18,48.36,8.98,162.33,107.33,257.44
regressionIn,du,45,0.3,0.09,0.01,0.28,0.12,0.45
regressionIn,ee,52,0.25,0.07,0.01,0.25,0.14,0.41
regressionIn,en,46,0.23,0.07,0.01,0.23,0.09,0.4
regressionIn,fi,49,0.22,0.09,0.01,0.19,0.08,0.43
regressionIn,ge,45,0.25,0.09,0.01,0.23,0.06,0.47
regressionIn,gr,45,0.21,0.07,0.01,0.22,0.06,0.33
regressionIn,he,47,0.23,0.08,0.01,0.24,0.07,0.42
regressionIn,it,54,0.24,0.07,0.01,0.24,0.13,0.48
regressionIn,ko,32,0.26,0.07,0.01,0.26,0.12,0.41
regressionIn,no,42,0.2,0.06,0.01,0.21,0.08,0.3
regressionIn,ru,46,0.17,0.06,0.01,0.17,0.04,0.32
regressionIn,sp,48,0.27,0.08,0.01,0.29,0.1,0.41
regressionIn,tr,29,0.25,0.08,0.01,0.24,0.13,0.4
rereading,du,45,0.32,0.11,0.02,0.31,0.1,0.61
