var,lang,trialid,n,mean,sd,se,median,min,max,q1,q3
readingRate,du,1,28,219,71,13,204,106,352,165,280.5
readingRate,du,2,34,256,75,13,246,136,450,213.5,285
readingRate,du,3,30,244,77,14,240,112,417,193.75,302.75
readingRate,du,4,28,266,86,16,260,151,492,203,333.5
readingRate,du,5,27,209,60,12,201,87,336,167.5,254.5
readingRate,du,6,28,301,91,17,298,144,518,246.75,337
readingRate,du,7,34,270,97,17,264,96,655,201.5,312.25
readingRate,du,8,33,247,74,13,239,105,417,196,308
readingRate,du,9,28,204,62,12,188,119,360,157.5,246.75
readingRate,du,10,34,229,62,11,224,133,403,175.5,260
readingRate,du,11,30,193,82,15,188,75,523,147,229.25
readingRate,du,12,29,227,62,12,223,128,349,192,255
readingRate,ee,1,42,153,42,6,146,61,262,125,176.5
readingRate,ee,2,41,158,48,7,152,63,273,131,196
readingRate,ee,3,44,155,52,8,145,64,353,127,163.5
readingRate,ee,4,42,157,55,8,155,51,332,117,182.75
readingRate,ee,5,39,151,47,7,145,60,290,122.5,172.5
readingRate,ee,6,37,171,46,8,167,100,328,137,197
readingRate,ee,7,42,183,53,8,178,104,317,137.75,218
readingRate,ee,8,33,194,54,9,195,104,364,153,218
readingRate,ee,9,38,171,47,8,153,98,293,143.5,205.25
readingRate,ee,10,35,159,43,7,151,85,259,132,189.5
readingRate,ee,11,35,154,51,9,148,52,266,106,199
readingRate,ee,12,34,153,56,10,144,39,297,123.75,187
readingRate,en,1,38,240,55,9,238,128,391,201,272
readingRate,en,2,39,270,60,10,273,144,406,233,300
readingRate,en,3,41,260,61,10,251,174,405,208,297
readingRate,en,4,43,229,62,9,229,104,407,187.5,265
readingRate,en,5,43,259,56,9,252,137,402,223,303
readingRate,en,6,44,295,79,12,275,160,500,235.25,356.5
readingRate,en,7,40,280,66,10,273,170,438,233.25,315
readingRate,en,8,40,284,78,12,262,158,539,228.25,340
readingRate,en,9,42,268,73,11,258,140,465,222,317.75
readingRate,en,10,36,284,61,10,284,189,423,239.25,316.75
readingRate,en,11,41,246,60,9,231,116,364,198,285
readingRate,en,12,35,303,76,13,305,199,507,228.5,361.5
readingRate,fi,1,47,193,65,9,183,83,459,148,222
readingRate,fi,2,47,192,56,8,182,109,356,149.5,225.5
readingRate,fi,3,46,180,57,8,182,53,343,143.25,205.75
readingRate,fi,4,46,190,50,7,186,102,316,155,219.5
readingRate,fi,5,42,198,60,9,198,55,373,154.25,228.25
readingRate,fi,6,43,210,68,10,209,99,424,170.5,242
readingRate,fi,7,43,203,59,9,204,83,351,154.5,231
readingRate,fi,8,41,195,68,11,186,79,388,147,224
readingRate,fi,9,44,170,47,7,166,95,313,140,198
readingRate,fi,10,45,210,66,10,199,99,442,163,252
readingRate,fi,11,44,177,54,8,174,77,319,134.75,213.75
readingRate,fi,12,46,199,61,9,199,86,341,158.25,232.75
readingRate,ge,1,35,200,44,7,196,115,351,171.5,222.5
readingRate,ge,2,37,202,38,6,204,123,290,175,224
readingRate,ge,3,43,224,44,7,226,129,311,197,257
readingRate,ge,4,39,209,43,7,212,111,326,193.5,226.5
readingRate,ge,5,40,181,37,6,176,113,272,162.5,203.25
readingRate,ge,6,32,199,36,6,196,116,283,178,210.5
readingRate,ge,7,38,242,47,8,236,152,351,209.5,263.75
readingRate,ge,8,36,199,49,8,200,98,348,169.75,221.5
readingRate,ge,9,35,208,42,7,215,102,294,183.5,242
readingRate,ge,10,35,222,56,10,221,114,377,197,250
readingRate,ge,11,38,202,43,7,206,105,311,176.5,222.75
readingRate,ge,12,39,211,44,7,220,108,282,199,239
readingRate,gr,1,36,240,56,9,243,164,395,190.75,259.25
readingRate,gr,2,28,222,62,12,209,149,377,179.75,251.5
readingRate,gr,3,33,245,58,10,236,111,370,203,283
readingRate,gr,4,27,194,51,10,195,102,311,155.5,213.5
readingRate,gr,5,35,235,62,10,239,134,373,193,269
readingRate,gr,6,31,235,74,13,215,111,390,180.5,278
readingRate,gr,7,29,243,69,13,245,115,393,194,277
readingRate,gr,8,32,227,64,11,228,115,386,188,259.5
readingRate,gr,9,30,209,59,11,214,95,340,160.75,248.25
readingRate,gr,10,26,234,52,10,231,138,356,206,264
readingRate,gr,11,25,213,51,10,214,99,314,184,240
readingRate,gr,12,23,251,83,17,245,91,407,203.5,282
readingRate,he,1,38,197,66,11,188,83,360,149.75,224.25
readingRate,he,2,41,221,59,9,215,109,349,176,257
readingRate,he,3,37,206,67,11,204,67,425,172,247
readingRate,he,4,37,209,71,12,206,67,372,155,250
readingRate,he,5,36,244,90,15,226,70,475,181.75,295.25
readingRate,he,6,34,237,82,14,237,84,449,177,273.75
readingRate,he,7,34,231,68,12,236,114,361,170,285.75
readingRate,he,8,32,233,67,12,222,121,375,185,282.75
readingRate,he,9,34,225,80,14,211,124,482,164.25,261.75
readingRate,he,10,29,239,68,13,228,162,366,178,289
readingRate,he,11,30,210,72,13,199,81,418,162.25,253.25
readingRate,he,12,24,226,77,16,216,103,415,180.75,258.75
readingRate,it,1,43,214,64,10,213,104,385,169.5,246
readingRate,it,2,45,201,58,9,197,90,336,165,236
readingRate,it,3,40,213,50,8,207,132,370,175.5,245.75
readingRate,it,4,39,238,61,10,233,133,400,209,269.5
readingRate,it,5,33,187,50,9,195,75,273,155,214
readingRate,it,6,40,214,75,12,208,101,471,165.25,266
readingRate,it,7,45,241,58,9,231,147,366,205,273
readingRate,it,8,36,255,67,11,253,120,421,214.75,286.75
readingRate,it,9,45,232,61,9,232,123,410,194,259
readingRate,it,10,39,194,53,8,190,93,315,160.5,228
readingRate,it,11,44,223,62,9,228,97,360,183,256.25
readingRate,it,12,41,197,57,9,195,61,326,165,231
readingRate,ko,1,21,213,50,11,204,138,313,174,256
readingRate,ko,2,17,283,90,22,272,163,479,207,332
readingRate,ko,3,21,305,113,25,288,165,626,218,373
readingRate,ko,4,22,241,67,14,233,135,370,189,290.25
readingRate,ko,5,20,244,77,17,216,147,409,188.25,311
readingRate,ko,6,19,325,88,20,301,205,544,267.5,372.5
readingRate,ko,7,18,357,89,21,334,214,555,297.25,393.75
readingRate,ko,8,20,304,90,20,296,154,457,257.25,340.5
readingRate,ko,9,20,235,58,13,234,140,349,202.5,247
readingRate,ko,10,21,295,79,17,308,193,445,222,345
readingRate,ko,11,19,231,72,16,205,120,386,177.5,255.5
readingRate,ko,12,20,294,78,17,275,153,444,249.25,348.75
readingRate,no,1,32,226,53,9,224,117,308,188.75,264
readingRate,no,2,35,178,36,6,182,93,259,156,193
readingRate,no,3,31,207,53,10,202,78,363,183.5,222
readingRate,no,4,29,186,44,8,191,88,257,159,209
readingRate,no,5,30,221,48,9,217,100,315,199.25,257.5
readingRate,no,6,32,255,66,12,251,114,394,217.25,294.5
readingRate,no,7,31,239,66,12,244,86,346,199.5,289.5
readingRate,no,8,34,203,51,9,203,94,339,182,221
readingRate,no,9,26,219,56,11,220,93,322,185.25,244.75
readingRate,no,10,26,207,57,11,198,86,362,180.25,238.75
readingRate,no,11,28,210,50,9,202,78,297,186.75,257.25
readingRate,no,12,25,221,54,11,216,91,333,188,242
readingRate,ru,1,34,251,72,12,238,129,415,198.75,288.75
readingRate,ru,2,35,213,56,9,210,113,322,176,240
readingRate,ru,3,36,251,64,11,250,151,426,211.75,284
readingRate,ru,4,38,252,70,11,244,161,512,200.75,294.75
readingRate,ru,5,38,246,69,11,226,146,475,209,267.5
readingRate,ru,6,33,251,60,10,242,121,423,221,277
readingRate,ru,7,39,267,71,11,251,158,488,226,302
readingRate,ru,8,39,284,75,12,278,121,506,243,318
readingRate,ru,9,38,244,55,9,239,139,362,215.5,271.75
readingRate,ru,10,40,258,66,10,246,178,480,210.25,283.75
readingRate,ru,11,41,254,76,12,231,132,580,215,280
readingRate,ru,12,36,275,78,13,262,139,495,220.5,313.5
readingRate,sp,1,38,219,71,12,225,107,404,160.25,256.25
readingRate,sp,2,34,255,82,14,244,105,449,212.25,278
readingRate,sp,3,40,234,74,12,230,100,458,186,274.5
readingRate,sp,4,39,191,64,10,190,81,412,140.5,225
readingRate,sp,5,36,216,64,11,209,99,390,179.75,245.75
readingRate,sp,6,38,262,81,13,267,115,533,206,301
readingRate,sp,7,35,258,78,13,259,133,459,198.5,298
