$paragraph	number	$q1	a1	$q2	a2	$q3	a3	$q4	a4	$parallel
string	number	string	number	string	number	string	number	string	number	number
"Antik Roma inanışlarında ve mitlerinde, Janus başlangıçların ve kapıların tanrısıdır. Onun çift taraflı bir doğası vardır ve genellikle iki yüzü var olarak resmedilir, çünkü o geçmişe ve geleceğe bakar. Janus, anlaşmazlıkların başlamasını ve bitmesini kontrol ederdi ve dolayısıyla savaş ve barışı. Onun tapınağının kapıları savaş zamanında açık ve barış sırasında kapalıydı. Kapıların tanrısı olarak, o aynı zamanda evlerin kapılarının giriş ve çıkışlarıyla da ilişkilendirildi. Janus, sıklıkla değişimi ve dönüşümü sembolize etti, örneğin bir durumdan diğerine, bir bakıştan diğerine, genç insanların yetişkinliğe büyümesi gibi. Bu yüzden, Janus’a hasat ve ekin zamanlarında ve buna ilaveten düğünlerde, ölümlerde ve diğer başlangıçlarda ibadet edildi. Janus’a tahsis edilmiş özel bir keşiş yoktu, fakat en üst düzey keşiş olarak seremonilerini kendisi gerçekleştirdi. Janus barbarlık ve medeniyet, kırsal ve kentsel alan, gençlik ve yetişkinlik arasındaki orta yeri temsil etti. Antik Yunanlıların Janus’a, ki Romalılar belirgin olarak kendilerine ait olduğunu iddia etmişlerdir, eşdeğeri yoktu. "	1	"Janus kapıların ve yolların tanrısı mıdır?"	1	"Janus gece vaktini temsil eder mi?"	0	"Janus un tapınağının kapıları barış zamanında açık mıdır?"	0	"Janus Yunan tanrısı mıdır?"	0	0
"Shaka işareti, daha çok Hawaii ve sörf kültürüyle ilişkilendirilen bir el hareketidir. Bu hareket, baş parmak ve serçe parmak açık; diğer üç parmağın kapalı ve kıvrılmış durumda bulunması ve elin kendi ekseninde ileri geri oynatılmasıyla oluşur. Shaka işareti, altmışlarda Hawaii’yi ziyaret eden sörfçülerin benimseyip kendi kültürlerinin bir parçası haline getirmesiyle dünyaya yayılmıştır. Çoğunlukla selamlamak, teşekkür etmek, onaylamak ve hatta övgü ifade etmek için kullanılır. Hawaii sakinleri bu el hareketini komşu ülkeler ve sınırdaki çeşitli etnik kültürlerle iletişimlerinde dostluk, anlayış ve merhamet kavramı olan “Aloha Ruhu”nu yaymak için kullanır. Aynı zamanda birbirlerinin dillerini tercüme etmek yerine ortak bir yerde buluşmak için bu işareti seçtiler. İşaretin tam kökeni bilinmese de bazıları kökeninin İspanyol göçmenlerin Hawaii’de tanıştıkları yerlilere bu işareti arkadaşça içki içmeyi teklif etmek için, baş parmağı ağıza doğru götürerek, kullanmasından yayıldığını düşünmektedir."	2	"İspanyol göçmenler shaka işaretini Hawaiili yerlilerden mi edindiler?"	0	"“Aloha Ruhu” iletişimde olumlu bir etki sağlıyor mu?"	0	"Shaka işareti alay için kullanılıyor mu? "	1	"Shaka işareti 20. yüzyılda dünyaya yayıldı mı? "	1	0
"Rekabete dayalı sporlarda, doping sportif performansı artırmak amacıyla yasaklanmış maddenin atletik yarışmacılar tarafından kullanılmasıdır. Doping terimi sportif yarışmaları düzenleyen organizasyonlar tarafından yaygın olarak kullanılır. Performansı arttırmak amacıyla madde kullanımı çoğunlukla etik dışı olarak değerlendirilir, ve bu sebeple Uluslararası Olimpik Komitenin de içinde olduğu bir çok uluslararası spor organizasyonu tarafından yasaklanmıştır. Buna ek olarak, tespitten kaçınmak için açıkça önlemler alan sporcular, dolandırıcılık ve hilekarlıkla etiği açıkça ihlal etmekle durumu kötüleştirirler. Son zamanlarda manşetlerde yaygın olmasına rağmen, doping yeni bir olay değil- aslında, sporun kendisi kadar eski. Antik iki tekerlekli at arabası yarışlarında madde kullanımından, beyzbol ve bisikletçilikteki daha yakın anlaşmazlıklara, atletler arasındaki popular görüş yıllar içerisinde çeşitlilik gösterdi. Yakın on yıllarda, otoriteler ve spor organizasyonları sporda madde kullanımını sıkıca kontrol etmeyi deniyorlar. Bu yasaklamanın öncelikli nedenleri performans arttırıcı ilaçların sağlık riskleri, atletler için fırsat eşitliği ve ilaçsız sporların kamuya olumlu örnek oluşturmasıdır. Doping karşıtı otoriteler tekrar tekrar performans arttırıcı ilaçların kullanımının "sporun ruhuna" aykırı olduğunun altını çiziyorlar."	3	"Dopingin sağlık üzerinde olumsuz etkileri olabilir mi?"	1	"Sporcular yarışmalarından önce sakinleşmek için doping kullanıyor mu?"	0	"Doping sadece belirli spor alanları için mi bir problem?"	0	"İlk doping kullanımı ilk kez eski güreş müsabakalarında mi gözlendi?"	0	1
"El lobo marsupial o tilacino, también conocido como lobo de Tasmania, tigre de Tasmania o tilacín, fue un marsupial carnívoro originado en el Holoceno. Era nativo de Australia, Tasmania y Nueva Guinea y se cree que se extinguió en el siglo XX. Se trataba del último miembro viviente de su género, cuyos otros miembros vivieron en tiempos prehistóricos a partir de principios del Mioceno. El lobo marsupial se extinguió en la Australia continental miles de años antes de la llegada de los colonos europeos, pero sobrevivió en la isla de Tasmania junto con otras especies endémicas, como el diablo de Tasmania. Generalmente suele culparse de su extinción a la caza intensiva incentivada por recompensas, pero podrían haber contribuido otros factores, como por ejemplo las enfermedades, la introducción de los perros, o la ocupación de su hábitat por los humanos. A pesar de su clasificación oficial como extinto todavía se informan avistamientos, aunque ninguno ha sido probado de manera concluyente. Su pariente vivo más próximo es el diablo de Tasmania."	4	"¿El lobo marsupial es conocido con varios nombres distintos?"	1	"¿Se encuentran ejemplares vivos del lobo marsupial en la Australia continental?"	0	"¿El diablo de Tasmania es pariente del tilacín?"	1	"¿Se relaciona la desaparición del tilacín en Tasmania con la llegada de los europeos?"	1	0
"El Día Mundial del Medio Ambiente fue establecido por la Organización de las Naciones Unidas en diciembre de 1972. Se celebra desde 1974 el 5 de junio de cada año, fecha con la que se dio inicio a la Conferencia de Estocolmo en 1972, cuyo tema central fue el ambiente. La proclamación de este día es un vínculo por medio del cual la Organización de Naciones Unidas sensibiliza a la población mundial en relación a temas ambientales, intensificando la atención y la acción política. Los objetivos principales son: brindar un contexto humano, motivar a las personas para que se conviertan en agentes activos del desarrollo sustentable y equitativo; promover el papel fundamental de las comunidades en el cambio de actitud hacia temas ambientales, y fomentar la cooperación para que el medio ambiente sea sostenible, ya que ésta garantizará que todas las naciones y personas disfruten de un futuro más próspero y seguro. En muchos países esta celebración es una oportunidad de firmar o ratificar convenios internacionales y, algunas veces, establece estructuras gubernamentales permanentes relacionadas con el manejo ambiental y la planificación económica."	5	"¿El Día Mundial del Medioambiente se celebra desde 1972?"	0	"¿Se usa este día para sensibilizar a la población respecto de problemas ambientales?"	1	"¿Se utiliza este día para establecer y ratificar pactos entre los países?"	1	"¿En este día se busca recolectar dinero a favor del cuidado del medioambiente?"	0	0
"El monóculo es un tipo de lente correctiva usada para ajustar la visión en un solo ojo, que consiste en una luneta circular con aumento. En muchos casos está enmarcada en un anillo de alambre que posee una cadenilla o cordón que se sujeta a la ropa para evitar su pérdida. Si bien se conocen usuarios de monóculos desde el siglo dieciocho, este elemento no se convirtió en un artículo incorporado al vestuario masculino hasta entrado el siglo diecinueve. El monóculo estuvo generalmente asociado a hombres ricos pertenecientes a la clase alta. Combinado con un frac y un sombrero de copa, completaba el traje del estereotipo del capitalista de fines de ese siglo. Los monóculos estuvieron también asociados a los militares alemanes de ese periodo hasta la Primera Guerra mundial. Los monóculos no eran incómodos como a veces se cree. Adaptados en forma conveniente, se usaban sin esfuerzo. Por ello, las clases adineradas usaban monóculos hechos a medida y que necesitaban de ajustes a lo largo de su vida útil. La opinión popular era que un monóculo podía caerse fácilmente con una expresión facial inesperada. Ello fue sumamente explotado en las comedias: el elegante caballero que se asusta o asombra y su monóculo que cae al suelo o dentro de su copa."	6	"¿El monóculo comenzó a usarse como parte de la vestimenta en el siglo veinte?"	0	"¿El monóculo estaba asociado a la clase adinerada?"	1	"¿El monóculo tenía un cordón para evitar que se pediera?"	1	"¿El monóculo era incómodo?"	0	0
"Şarap tadımı, şarabın duyumsal olarak incelenmesi ve değerlendirilmesidir. Şarap tadım pratiği şarap üretimi kadar antikken, daha biçimsel bir metodoloji orta çağların sonlarından günümüze yavaşça oluşmaktadır. Modern, profesyonel şarap tadımcıları şarabın algılanan lezzet çeşitlerini, aromasını ve genel karakteristiğini tarif etmek için kullanılan sürekli olarak gelişen özelleşmiş terminolojiyi kullanırlar. Son yıllarda hem uzmanlarda hem de tüketicilerde şarap tadımı güvenilirliğini zorlayan sonuçlar ortaya çıktı. Örneğin, araştırmalar insanların daha pahalı şarabın daha ucuz şaraba göre daha fazla arzulanan karakteristiğe sahip olmasını beklediklerini göstermiştir: Tadımcılar verilen şarabın gerçek olmayan bir şekilde pahalı olduğu söylendiğinde, neredeyse her zaman aynı şarap onlara ucuz olduğu söylendiğinden daha lezzetli olduğunu belirttiler. Başka çalışmalar gösteriyor ki tadımcıların kararları coğrafi köken, itibar veya diğer etkenlerin bilinmesiyle etki altında kalabiliyor. Objektif şarap tadımı bu yüzen şarabın kör tadımını gerektirir- bu tadımcının şarabın etiketini veya şişenin şeklini görmemesidir. Kör tadım ayrıca şarabın siyah şarap bardağında şarabın rengini maskeleyecek şekilde servis edilmesini de içerir."	7	"Şarap tadımcıları, şarap kalitesi kararlarında güvenilir midir?"	0	"Tecrübeli şarap tadımcıları meslekten olmayan kişilerden daha az önyargılı mı?"	0	"Kör şarap tadımı, şarap tadımının daha az öznel olmasını sağlıyor mu?"	1	"Şarap, rengini maskelemek için siyah bir bardakta mı servis edilir?"	1	1
"El jugo de naranja es un jugo de frutas en forma de líquido obtenido de exprimir el interior de las naranjas, generalmente con un exprimidor. Sus usos culinarios son diversos, aunque principalmente se consume como refresco. Hoy en día puede adquirirse exprimido en casi cualquier supermercado, en sus versiones con y sin pulpa. Si bien ya contiene gran cantidad de vitamina C en su versión natural, algunas fábricas añaden ácido cítrico o vitamina C a sus productos, además de otros nutrientes como el calcio y la vitamina D. El jugo de naranja se utiliza en muchos desayunos del mundo; también se emplea en la elaboración de algunos tragos como el destornillador o la sangría. Por su carácter ácido, se emplea en la elaboración de salsas agridulces o en preparaciones como el cebiche o algunas vinagretas para ensaladas. A veces se utiliza en la preparación de alimentos como un ingrediente más, por ejemplo, en la preparación de tortas y postres."	8	"¿El jugo de naranja natural contiene gran cantidad de vitamina D?"	0	"¿El juego de naranja se utiliza mayormente en la preparación de postres?"	0	"¿La acidez del jugo de naranja hace que se utilice en la preparación de salsas?"	1	"¿El jugo de naranja puede conseguirse en casi todos los supermercados?"	1	0
"La apicultura es la actividad dedicada a la crianza de las abejas y a prestarles los cuidados necesarios con el objetivo de obtener y consumir los productos que son capaces de elaborar y recolectar. El principal producto que se obtiene de esta actividad es la miel. La obtención de la miel es doblemente beneficiosa para los seres humanos. Por un lado, este producto se consume de manera directa, y por otro lado, su producción facilita la polinización de plantas y flores. Durante muchos siglos, los apicultores gozaron de gran prestigio. Las diferentes culturas desde el Antiguo Egipto valoraban esta ocupación, ya que proveía el único edulcorante conocido hasta la Edad Media. Las actividades que desarrolla el apicultor son diversas. Durante la primavera y el verano normalmente trabaja con las abejas realizando trabajos de control de población y extracción de la miel. Durante el invierno o estación de receso, el trabajo consiste en la preparación del material de madera para la temporada que viene, en donde alojará a las nuevas familias. También debe advertir posibles enfermedades o plagas de las poblaciones de abejas para poder tratarlas a tiempo."	9	"¿La apicultura era valorada en las culturas antiguas?"	1	"¿El apicultor sólo desarrolla actividades durante los meses de calor?"	0	"¿El apicultor debe prevenir la aparición de enfermedades en las abejas?"	1	"¿La miel fue el único edulcorante hasta la Edad Media?"	1	0
