PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA,include?,Language1,Language2,Language3,Language4,within/between,materials,comments
J,"Pelli, DG; Tillman, KA",,,,"Pelli, Denis G.; Tillman, Katharine A.",,,The uncrowded window of object recognition,NATURE NEUROSCIENCE,,,,,,,,,,,,"It is now emerging that vision is usually limited by object spacing rather than size. The visual system recognizes an object by detecting and then combining its features. 'Crowding' occurs when objects are too close together and features from several objects are combined into a jumbled percept. Here, we review the explosion of studies on crowding-in grating discrimination, letter and face recognition, visual search, selective attention, and reading-and find a universal principle, the Bouma law. The critical spacing required to prevent crowding is equal for all objects, although the effect is weaker between dissimilar objects. Furthermore, critical spacing at the cortex is independent of object position, and critical spacing at the visual field is proportional to object distance from fixation. The region where object spacing exceeds critical spacing is the 'uncrowded window'. Observers cannot recognize objects outside of this window and its size limits the speed of reading and search.",,,,,,,,,,,,,,,,,1097-6256,1546-1726,,,,OCT,2008,11,10,,,,,1129,1135,,10.1038/nn.2187,,,,,,,WOS:000259528500006,18828191,,,,,No,,,,,,,
J,"Kim, A; Osterhout, L",,,,"Kim, A; Osterhout, L",,,The independence of combinatory semantic processing: Evidence from event-related potentials,JOURNAL OF MEMORY AND LANGUAGE,,,,,,,,,,,,"We recorded event-related brain potentials (ERPs) while participants read sentences, some of which contained an anomalous word. In the critical sentences (e.g., The meal was devouring...), the syntactic cues unambiguously signaled an Agent interpretation of the subject noun, whereas the semantic cues supported a Theme interpretation. An Agent interpretation would render the main verb semantically anomalous (as meals do not devour things). Conversely, the Theme interpretation would render the main verb syntactically anomalous (as the -ED form, not the -ING form, is syntactically appropriate for this interpretation). We report that the main verbs in such sentences elicit the P600 effect associated with syntactic anomalies, rather than the N400 effect associated with semantic anomalies. We conclude that, at least under certain conditions, semantic information is ""in control"" of how words are combined during sentence processing. (C) 2004 Elsevier Inc. All rights reserved.",,,,,,,,,,,,,,,,,0749-596X,,,,,FEB,2005,52,2,,,,,205,225,,10.1016/j.jml.2004.10.002,,,,,,,WOS:000227044100003,,,,,,Yes,English,,,,,sentence,EEG
J,"Kliegl, R; Nuthmann, A; Engbert, R",,,,"Kliegl, R; Nuthmann, A; Engbert, R",,,"Tracking the mind during reading: The influence of past, present, and future words on fixation durations",JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,,,,,12th European Conference on Eye Movements,"AUG 20-24, 2003","Dundee, SCOTLAND",,,,,"Reading requires the orchestration of visual, attentional, language-related, and oculomotor processing constraints. This study replicates previous effects of frequency, predictability, and length of fixated words on fixation durations in natural reading and demonstrates new effects of these variables related to previous and next words. Results are based on fixation durations recorded from 222 persons, each reading 144 sentences. Such evidence for distributed processing of words across fixation durations challenges psycholinguistic immediacy-of-processing and eye-mind assumptions. Most of the time the mind processes several words in parallel at different perceptual and cognitive levels. Eye movements can help to unravel these processes.",,,,"Kliegl, Reinhold/A-1276-2009; Kliegl, Reinhold/AAD-3463-2019","Kliegl, Reinhold/0000-0002-0180-8488; Kliegl, Reinhold/0000-0002-0180-8488; Nuthmann, Antje/0000-0003-3338-3434",,,,,,,,,,,,0096-3445,,,,,FEB,2006,135,1,,,,,12,35,,10.1037/0096-3445.135.1.12,,,,,,,WOS:000235388100002,16478314,,,,,Yes,German,,,,,sentence,potsdam corpus
J,"Aviezer, H; Hassin, RR; Ryan, J; Grady, C; Susskind, J; Anderson, A; Moscovitch, M; Bentin, S",,,,"Aviezer, Hillel; Hassin, Ran R.; Ryan, Jennifer; Grady, Cheryl; Susskind, Josh; Anderson, Adam; Moscovitch, Morris; Bentin, Shlomo",,,"Angry, disgusted, or afraid? Studies on the malleability of emotion perception",PSYCHOLOGICAL SCIENCE,,,,,,,,,,,,"Current theories of emotion perception posit that basic facial expressions signal categorically discrete emotions or affective dimensions of valence and arousal. In both cases, the information is thought to be directly ""read out"" from the face in a way that is largely immune to context. In contrast, the three studies reported here demonstrated that identical facial configurations convey strikingly different emotions and dimensional values depending on the affective context in which they are embedded. This effect is modulated by the similarity between the target facial expression and the facial expression typically associated with the context. Moreover, by monitoring eye movements, we demonstrated that characteristic fixation patterns previously thought to be determined solely by the facial expression are systematically modulated by emotional context already at very early stages of visual processing, even by the first time the face is fixated. Our results indicate that the perception of basic facial expressions is not context invariant and can be categorically altered by context at early perceptual levels.",,,,"Ryan, Jennifer/E-5367-2011","Aviezer, Hillel/0000-0001-5581-208X",,,,,,,,,,,,0956-7976,,,,,JUL,2008,19,7,,,,,724,732,,10.1111/j.1467-9280.2008.02148.x,,,,,,,WOS:000257785000017,18727789,,,,,No,,,,,,,
J,"Davis, CJ",,,,"Davis, Cohn J.",,,The Spatial Coding Model of Visual Word Identification,PSYCHOLOGICAL REVIEW,,,,,,,,,,,,"Visual word identification requires readers to code the identity and order of the letters in a word and match this code against previously learned codes. Current models of this lexical matching process posit context-specific letter codes in which letter representations are tied to either specific serial positions or specific local contexts (e.g., letter clusters). The spatial coding model described here adopts a different approach to letter position coding and lexical matching based on context-independent letter representations. In this model, letter position is coded dynamically, with a scheme called spatial coding. Lexical matching is achieved via a method called superposition matching, in which input codes and learned codes are matched on the basis of the relative positions of their common letters. Simulations of the model illustrate its ability to explain a broad range of results from the masked form priming literature, as well as to capture benchmark findings from the unprimed lexical decision task.",,,,,"Davis, Colin/0000-0001-5814-5104",,,,,,,,,,,,0033-295X,,,,,JUL,2010,117,3,,,,,713,758,,10.1037/a0019738,,,,,,,WOS:000280450400001,20658851,,,,,No,,,,,,,
J,"Kliegl, R; Grabner, E; Rolfs, M; Engbert, R",,,,"Kliegl, R; Grabner, E; Rolfs, M; Engbert, R",,,"Length, frequency, and predictability effects of words on eye movements in reading",EUROPEAN JOURNAL OF COGNITIVE PSYCHOLOGY,,,,,12th Conference of the European-Society-for-Cognitive-Psychology,"SEP, 2001","EDINBURGH, SCOTLAND",European Soc Cognitive Psych,,,,"We tested the effects of word length, frequency, and predictability on inspection durations (first fixation, single fixation, gaze duration, and reading time) and inspection probabilities during first-pass reading (skipped, once, twice) for a corpus of 144 German sentences (1138 words) and a subset of 144 target words uncorrelated in length and frequency, read by 33 young and 32 older adults. For corpus words, length and frequency were reliably related to inspection durations and probabilities, predictability only to inspection probabilities. For first-pass reading of target words all three effects were reliable for inspection durations and probabilities. Low predictability was strongly related to second-pass reading. Older adults read slower than young adults and had a higher frequency of regressive movements. The data are to serve as a benchmark for computational models of eye movement control in reading.",,,,"Rolfs, Martin/A-7214-2008; Kliegl, Reinhold/A-1276-2009; Rolfs, Martin/P-5219-2019; Kliegl, Reinhold/AAD-3463-2019","Rolfs, Martin/0000-0002-8214-8556; Kliegl, Reinhold/0000-0002-0180-8488; Rolfs, Martin/0000-0002-8214-8556; Kliegl, Reinhold/0000-0002-0180-8488",,,,,,,,,,,,0954-1446,,,,,JAN-MAR,2004,16,01-פבר,,,,,262,284,,10.1080/09541440340000213,,,,,,,WOS:000188660300012,,,,,,Yes,German,,,,,sentence,potsdam corpus
J,"Kissler, J; Herbert, C; Winkler, I; Junghofer, M",,,,"Kissler, Johanna; Herbert, Cornelia; Winkler, Irene; Junghofer, Markus",,,Emotion and attention in visual word processing-An ERP study,BIOLOGICAL PSYCHOLOGY,,,,,,,,,,,,"Emotional words are preferentially processed during silent reading. Here, we investigate to what extent different components of the visual evoked potential, namely the P1, N1, the early posterior negativity (EPN, around 250 ms after word onset) as well as the late positive complex (LPC, around 500 ms) respond differentially to emotional words and whether this response depends on the availability of attentional resources. Subjects viewed random sequences of pleasant, neutral and unpleasant adjectives and nouns. They were first instructed to simply read the words and then to count either adjectives or nouns. No consistent effects emerged for the P1 and N1. However, during both reading and counting the EPN was enhanced for emotionally arousing words (pleasant and unpleasant), regardless of whether the word belonged to a target or a non-target category. A task effect on the EPN was restricted to adjectives, but the effect did not interact with emotional content. The later centro-parietal LPC (450-650 ms) showed a large enhancement for the attended word class. A small and topographically distinct emotion-LPC effect was found specifically in response to pleasant words, both during silent reading and the active task. Thus, emotional word content is processed effortlessly and automatically and is not subject to interference from a primary grammatical decision task. The results are in line with other reports of early automatic semantic processing as reflected by posterior negativities in the ERP around 250 ms after word onset. Implications for models of emotion-attention interactions in the brain are discussed. (c) 2008 Elsevier B.V. All rights reserved.",,,,"Kissler, Johanna/B-7361-2019","Kissler, Johanna/0000-0002-4567-1997",,,,,,,,,,,,0301-0511,,,,,JAN,2009,80,1,,,,,75,83,,10.1016/j.biopsycho.2008.03.004,,,,,,,WOS:000263018800009,18439739,,,,,No,,,,,,,
J,"Engbert, R; Longtin, A; Kliegl, R",,,,"Engbert, R; Longtin, A; Kliegl, R",,,A dynamical model of saccade generation in reading based on spatially distributed lexical processing,VISION RESEARCH,,,,,,,,,,,,"The understanding of the control of eye movements has greatly benefited from the analysis of mathematical models. Currently most comprehensive models include sequential shifts of visual attention. Here we propose an alternative model of eve movement control, which includes three new principles: spatially distributed lexical processing, a separation of saccade timing from saccade target selection. and autonomous (random) generation of saccades with foveal inhibition. These three features provide a common control mechanism for fixations, refixations, and regressions. Consequently, the model is called SWIFT (Saccade-generation with inhibition by foveal targets). Results from numerical Simulations are in good agreement with effects of word frequency on single-fixation. first-fixation. and gaze durations as well as fixation and word skipping probabilities in first-pass analysis. The model inherently produces complex eye movement patterns including refixations and regressions due to its underlying dynamical principles. (C) 2002 Elsevier Science Ltd. All rights reserved.",,,,"Longtin, Andre/D-2443-2009; Kliegl, Reinhold/A-1276-2009; Kliegl, Reinhold/AAD-3463-2019","Kliegl, Reinhold/0000-0002-0180-8488; Kliegl, Reinhold/0000-0002-0180-8488",,,,,,,,,,,,0042-6989,,,,,MAR,2002,42,5,,,,,621,636,PII S0042-6989(01)00301-7,10.1016/S0042-6989(01)00301-7,,,,,,,WOS:000174593600007,11853779,,,,,No,,,,,,,
J,"Schotter, ER; Angele, B; Rayner, K",,,,"Schotter, Elizabeth R.; Angele, Bernhard; Rayner, Keith",,,Parafoveal processing in reading,ATTENTION PERCEPTION & PSYCHOPHYSICS,,,,,,,,,,,,"The present review summarizes research investigating how words are identified parafoveally (and foveally) in reading. Parafoveal and foveal processing are compared when no other concurrent task is required (e.g., in single-word recognition tasks) and when both are required simultaneously (e.g., during reading). We first review methodologies used to study parafoveal processing (e.g., corpus analyses and experimental manipulations, including gaze-contingent display change experiments such as the boundary, moving window, moving mask, and fast priming paradigms). We then turn to a discussion of the levels of representation at which words are processed (e.g., orthographic, phonological, morphological, lexical, syntactic, and semantic). Next, we review relevant research regarding parafoveal processing, summarizing the extent to which words are processed at each of those levels of representation. We then review some of the most controversial aspects of parafoveal processing, as they relate to reading: (1) word skipping, (2) parafoveal-on-foveal effects, and (3) n + 1 and n + 2 preview benefit effects. Finally, we summarize two of the most advanced models of eye movements during reading and how they address foveal and parafoveal processing.",,,,"Schotter, Elizabeth/O-9950-2017","Angele, Bernhard/0000-0001-8989-8555",,,,,,,,,,,,1943-3921,1943-393X,,,,JAN,2012,74,1,,,,,5,35,,10.3758/s13414-011-0219-2,,,,,,,WOS:000299483900001,22042596,,,,,No,,,,,,,
J,"Nystrom, M; Holmqvist, K",,,,"Nystrom, Marcus; Holmqvist, Kenneth",,,"An adaptive algorithm for fixation, saccade, and glissade detection in eyetracking data",BEHAVIOR RESEARCH METHODS,,,,,,,,,,,,"Event detection is used to classify recorded gaze points into periods of fixation, saccade, smooth pursuit, blink, and noise. Although there is an overall consensus that current algorithms for event detection have serious flaws and that a de facto standard for event detection does not exist, surprisingly little work has been done to remedy this problem. We suggest a new velocity-based algorithm that takes several of the previously known limitations into account. Most important, the new algorithm identifies so-called glissades, a wobbling movement at the end of many saccades, as a separate class of eye movements. Part of the solution involves designing an adaptive velocity threshold that makes the event detection less sensitive to variations in noise level and the algorithm settings-free for the user. We demonstrate the performance of the new algorithm on eye movements recorded during reading and scene perception and compare it with two of the most commonly used algorithms today. Results show that, unlike the currently used algorithms, fixations, saccades, and glissades are robustly identified by the new algorithm. Using this algorithm, we found that glissades occur in about half of the saccades, during both reading and scene perception, and that they have an average duration close to 24 msec. Due to the high prevalence and long durations of glissades, we argue that researchers must actively choose whether to assign the glissades to saccades or fixations; the choice affects dependent variables such as fixation and saccade duration significantly. Current algorithms do not offer this choice, and their assignments of each glissade are largely arbitrary.",,,,,"Holmqvist, Kenneth/0000-0003-1738-3207",,,,,,,,,,,,1554-351X,,,,,FEB,2010,42,1,,,,,188,204,,10.3758/BRM.42.1.188,,,,,,,WOS:000285917600020,20160299,,,,,No,,,,,,,
