"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_os","subject_screen_width","subject_screen_height","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_name","webgazer_data","webgazer_targets","correct_answer","question_text"
"23984","
              <div class=""left-align"">
                <img src=""https://designguide.ku.dk/download/co-branding/ku_logo_uk_v.png"" alt=""KU Logo"" class=""ku-logo"">
                <h1>Welcome to <b>DE</b> Dev!</h1>
                <p>This mode is designed for the development of the experiment.</p>
                <p>When each experiment loads, an image is saved.</p>
                <p>The idea is then to save these images for the oficial experiment. At the final screen a file can be downloaded with the target locations.</p>
                <ul>Ribeiro, Tiago - Research Assistant - <a href = ""mailto: tiri@di.ku.dk"">tiri@di.ku.dk</a></ul>
                <p>Project Leaders:</p>
                <ul>Søgaard, Anders - Professor - <a href = ""mailto: soegaard@di.ku.dk"">soegaard@di.ku.dk</a></ul>
                <ul>Hollenstein, Nora - Assistant Professor - <a href = ""mailto: nora.hollenstein@hum.ku.dk"">nora.hollenstein@hum.ku.dk</a></ul>
              </div>
              ","0","html-button-response","0","23995","0.0-0.0","Win32","1280","720","","","","","","","","","","","","","","","",""
"","","","browser-check","1","26414","0.0-1.0","Win32","1280","720","1280","720","true","firefox","106.0.0","false","Windows 10","true","145.28","true","true","","","","",""
"1195","
<p class=""webgaze-experiment-compact"" id=""paragraph""><span id=""meco_para_1_qa_3"">In der alten römischen Religion und Mythologie</span> <span id=""meco_para_1_qa_0"">ist Janus der Gott des Anfangs und der Tore</span>. Er hat eine doppelte Natur und wird gewöhnlich mit zwei Gesichtern dargestellt, da er in die Zukunft und in die Vergangenheit blickt. Janus überwachte den Beginn und das Ende von Konflikten und damit auch Krieg und Frieden. <span id=""meco_para_1_qa_2"">Die Türen seines Tempels waren in Kriegszeiten geöffnet und geschlossen in Zeiten des Friedens</span>. Als Gott der Tore wurde er außerdem mit dem Betreten und Verlassen von Haustüren in Verbindung gebracht. <span id=""meco_para_1_qa_1"">Janus symbolisierte häufig Veränderungen und Übergänge</span>, wie den Wechsel von einer Bedingung zur anderen, von einer Perspektive zur anderen und das Heranwachsen junger Menschen zum Erwachsenenalter. Deswegen wurde Janus zu Beginn der Saat-und Erntezeit verehrt, genauso wie zu Hochzeiten, Todesfällen und anderen Übergänge. Für Janus war kein spezieller Priester zuständig, sondern der höchste Priester leitete die Zeremonien selbst. Janus stellte den Mittelweg zwischen Barbarei und Zivilisation, ländlichem und urbanem Leben, Jugend und Erwachsenenalter dar. Die alten Griechen hatten kein Äquivalent zu Janus, den die Römer ganz für sich beanspruchten.</p>"," ","html-keyboard-response","2","27609","0.0-2.0","Win32","1280","720","","","","","","","","","","","","meco_para_1","[]","{""#paragraph"":{""x"":50,""y"":38,""width"":1180,""height"":667,""top"":38,""right"":1230,""bottom"":705,""left"":50},""#meco_para_1_qa_0"":{""x"":70,""y"":63.899993896484375,""width"":1097.25,""height"":71.80000305175781,""top"":63.899993896484375,""right"":1167.25,""bottom"":135.6999969482422,""left"":70},""#meco_para_1_qa_1"":{""x"":70,""y"":314.70001220703125,""width"":1054.2833251953125,""height"":71.80000305175781,""top"":314.70001220703125,""right"":1124.2833251953125,""bottom"":386.50001525878906,""left"":70},""#meco_para_1_qa_2"":{""x"":70,""y"":231.10000610351562,""width"":1094.9833984375,""height"":71.79998779296875,""top"":231.10000610351562,""right"":1164.9833984375,""bottom"":302.8999938964844,""left"":70},""#meco_para_1_qa_3"":{""x"":70,""y"":63.899993896484375,""width"":634.4666748046875,""height"":30,""top"":63.899993896484375,""right"":704.4666748046875,""bottom"":93.89999389648438,""left"":70}}","",""
"1266","<p class=""webgaze-experiment"" id=""question"">War Janus ein Gott der Türen und Übergänge? ","1","html-button-response","3","28876","0.0-3.0","Win32","1280","720","","","","","","","","","","","","meco_para_1_qa_0","[]","{""#question"":{""x"":275.316650390625,""y"":285.29998779296875,""width"":729.3499755859375,""height"":112,""top"":285.29998779296875,""right"":1004.6666259765625,""bottom"":397.29998779296875,""left"":275.316650390625}}","True",""
"1230","
<p class=""webgaze-experiment"" id=""paragraph"">Die <span id=""a_Computationalcomplexitytheory_0_qa_0"">Komplexitätstheorie</span> ist ein Zweig der Berechnungstheorie in der theoretischen Informatik, der sich darauf konzentriert, <span id=""a_Computationalcomplexitytheory_0_qa_2"">Rechenprobleme</span> <span id=""a_Computationalcomplexitytheory_0_qa_1"">nach ihrer inhärenten Schwierigkeit</span> zu klassifizieren und diese Klassen miteinander in Beziehung zu setzen. Unter einem Rechenproblem versteht man eine Aufgabe, die grundsätzlich von einem Computer gelöst werden kann. Dies ist gleichbedeutend mit der Aussage, dass das Problem durch die mechanische Anwendung mathematischer Schritte, beispielsweise durch einen Algorithmus, gelöst werden kann.</p>"," ","html-keyboard-response","4","30106","0.0-4.0","Win32","1280","720","","","","","","","","","","","","a_Computationalcomplexitytheory_0","[]","{""#paragraph"":{""x"":50,""y"":64.5,""width"":1180,""height"":616,""top"":64.5,""right"":1230,""bottom"":680.5,""left"":50},""#a_Computationalcomplexitytheory_0_qa_0"":{""x"":138.1999969482422,""y"":104,""width"":226.63333129882812,""height"":33,""top"":104,""right"":364.8333282470703,""bottom"":137,""left"":138.1999969482422},""#a_Computationalcomplexitytheory_0_qa_1"":{""x"":70,""y"":176,""width"":1126.6666259765625,""height"":105,""top"":176,""right"":1196.6666259765625,""bottom"":281,""left"":70},""#a_Computationalcomplexitytheory_0_qa_2"":{""x"":834.4500122070312,""y"":176,""width"":191.58334350585938,""height"":33,""top"":176,""right"":1026.0333557128906,""bottom"":209,""left"":834.4500122070312}}","",""
"1399","","{""Q0"":""1""}","survey-text","5","31509","0.0-5.0","Win32","1280","720","","","","","","","","","","","","a_Computationalcomplexitytheory_0_qa_1","[]","{""#question"":{""x"":50,""y"":251.6999969482422,""width"":1180,""height"":184,""top"":251.6999969482422,""right"":1230,""bottom"":435.6999969482422,""left"":50}}","nach ihrer inhärenten Schwierigkeit","Nach welchem Hauptattribut werden Rechenprobleme unter Verwendung der Komplexitätstheorie klassifiziert? "
"4991","
<p class=""webgaze-experiment"" id=""paragraph""><span id=""a_Computationalcomplexitytheory_4_qa_0"">Von vielen bekannten Komplexitätsklassen wird vermutet, sie seien ungleich</span>. Dies ist jedoch nicht bewiesen. Zum Beispiel ist <span id=""a_Computationalcomplexitytheory_4_qa_1"">P ⊆ NP ⊆ PP ⊆ PSPACE</span>, aber es ist möglich, dass P = PSPACE ist. Wenn P nicht gleich NP ist, dann ist auch P nicht gleich PSPACE. Da es viele bekannte Komplexitätsklassen, wie z.B. RP, BPP, PP, BQP, MA, PH, etc. gibt, die <span id=""a_Computationalcomplexitytheory_4_qa_2"">zwischen P und PSPACE</span> liegen, ist es möglich, dass alle diese Komplexitätsklassen in eine Klasse zerfallen. <span id=""a_Computationalcomplexitytheory_4_qa_3"">Der Nachweis, dass eine dieser Klassen ungleich ist</span>, wäre ein großer Durchbruch in der Komplexitätstheorie.</p>"," ","html-keyboard-response","6","36502","0.0-6.0","Win32","1280","720","","","","","","","","","","","","a_Computationalcomplexitytheory_4","[]","{""#paragraph"":{""x"":50,""y"":64.5,""width"":1180,""height"":616,""top"":64.5,""right"":1230,""bottom"":680.5,""left"":50},""#a_Computationalcomplexitytheory_4_qa_0"":{""x"":70,""y"":104,""width"":1051.25,""height"":33,""top"":104,""right"":1121.25,""bottom"":137,""left"":70},""#a_Computationalcomplexitytheory_4_qa_1"":{""x"":720.86669921875,""y"":176,""width"":400.41668701171875,""height"":33,""top"":176,""right"":1121.2833862304688,""bottom"":209,""left"":720.86669921875},""#a_Computationalcomplexitytheory_4_qa_2"":{""x"":70,""y"":464,""width"":339.683349609375,""height"":33,""top"":464,""right"":409.683349609375,""bottom"":497,""left"":70},""#a_Computationalcomplexitytheory_4_qa_3"":{""x"":70,""y"":536,""width"":1073.566650390625,""height"":105,""top"":536,""right"":1143.566650390625,""bottom"":641,""left"":70}}","",""
"1528","","{""Q0"":""1""}","survey-text","7","38033","0.0-7.0","Win32","1280","720","","","","","","","","","","","","a_Computationalcomplexitytheory_4_qa_1","[]","{""#question"":{""x"":50,""y"":251.6999969482422,""width"":1180,""height"":184,""top"":251.6999969482422,""right"":1230,""bottom"":435.6999969482422,""left"":50}}","P ⊆ NP ⊆ PP ⊆ PSPACE","Was ist ein Ausdruck, der verwendet werden kann, um die vermutete Ungleichheit von Komplexitätsklassen zu veranschaulichen?"
"1384","
<p class=""webgaze-experiment"" id=""paragraph"">Die Harvard Business School und viele der Sportanlagen der Universität, inklusive dem Harvard Stadium, liegen auf einem 358 Acker (145 ha) großen Campus gegenüber vom Cambridge-Campus in <span id=""a_HarvardUniversity_1_qa_0"">Allston</span>. Die <span id=""a_HarvardUniversity_1_qa_1"">John W. Weeks Bridge</span> ist eine Fußgängerbrücke über den Charles River, welche die beiden Campus verbindet. Die Harvard Medical School, Harvard School of Dental Medicine und Harvard School of Public Health liegen auf einem 21 Acker (8,5 ha) großen Campus in der <span id=""a_HarvardUniversity_1_qa_2"">Longwood Medical and Academic Area</span>, ungefähr 3,3 Meilen (5,3 km) südwestlich der Innenstadt von Boston und 3,3 Meilen (5,3 km) südlich des Cambridge-Campus.</p>"," ","html-keyboard-response","8","39419","0.0-8.0","Win32","1280","720","","","","","","","","","","","","a_HarvardUniversity_1","[]","{""#paragraph"":{""x"":50,""y"":28.5,""width"":1180,""height"":688,""top"":28.5,""right"":1230,""bottom"":716.5,""left"":50},""#a_HarvardUniversity_1_qa_0"":{""x"":729.183349609375,""y"":212,""width"":76.44999694824219,""height"":33,""top"":212,""right"":805.6333465576172,""bottom"":245,""left"":729.183349609375},""#a_HarvardUniversity_1_qa_1"":{""x"":70,""y"":212,""width"":1055.800048828125,""height"":105,""top"":212,""right"":1125.800048828125,""bottom"":317,""left"":70},""#a_HarvardUniversity_1_qa_2"":{""x"":563.9500122070312,""y"":500,""width"":531.0333251953125,""height"":33,""top"":500,""right"":1094.9833374023438,""bottom"":533,""left"":563.9500122070312}}","",""
"1420","","{""Q0"":""1""}","survey-text","9","40842","0.0-9.0","Win32","1280","720","","","","","","","","","","","","a_HarvardUniversity_1_qa_0","[]","{""#question"":{""x"":208.8000030517578,""y"":287.70001220703125,""width"":862.4000244140625,""height"":112,""top"":287.70001220703125,""right"":1071.2000274658203,""bottom"":399.70001220703125,""left"":208.8000030517578}}","Allston","Wo liegt das Harvard Stadium?"
