,text,word,counter,x,y,width,height
0,a_Amazonrainforest_2_1280_720,Die,0,72,77,34,18
1,a_Amazonrainforest_2_1280_720,Bedurfnisse,0,140,77,130,18
2,a_Amazonrainforest_2_1280_720,der,0,304,77,36,18
3,a_Amazonrainforest_2_1280_720,Sojabauern,0,373,77,125,24
4,a_Amazonrainforest_2_1280_720,wurden,0,531,77,84,18
5,a_Amazonrainforest_2_1280_720,"genutzt,",0,649,79,88,22
6,a_Amazonrainforest_2_1280_720,um,0,772,82,33,13
7,a_Amazonrainforest_2_1280_720,viele,0,838,77,50,18
8,a_Amazonrainforest_2_1280_720,der,1,922,77,36,18
9,a_Amazonrainforest_2_1280_720,umstrittenen,0,992,77,142,18
10,a_Amazonrainforest_2_1280_720,Transportprojekte,0,70,149,202,24
11,a_Amazonrainforest_2_1280_720,zu,0,305,154,23,13
12,a_Amazonrainforest_2_1280_720,"rechtfertigen,",0,363,149,148,24
13,a_Amazonrainforest_2_1280_720,die,1,545,149,32,18
14,a_Amazonrainforest_2_1280_720,derzeit,0,611,149,76,18
15,a_Amazonrainforest_2_1280_720,im,0,720,149,25,18
16,a_Amazonrainforest_2_1280_720,Amazonasgebiet,0,778,149,185,24
17,a_Amazonrainforest_2_1280_720,entstehen.,0,995,149,117,18
18,a_Amazonrainforest_2_1280_720,Die,2,1147,149,34,18
19,a_Amazonrainforest_2_1280_720,ersten,0,71,223,69,16
20,a_Amazonrainforest_2_1280_720,beiden,0,175,221,73,18
21,a_Amazonrainforest_2_1280_720,Autobahnen,0,281,221,137,18
22,a_Amazonrainforest_2_1280_720,erschlossen,0,452,221,130,18
23,a_Amazonrainforest_2_1280_720,den,0,616,221,40,18
24,a_Amazonrainforest_2_1280_720,Regenwald_,0,691,221,118,24
25,a_Amazonrainforest_2_1280_720,erfolgreich,0,843,221,118,24
26,a_Amazonrainforest_2_1280_720,und,0,996,221,40,18
27,a_Amazonrainforest_2_1280_720,_,0,1043,217,6,32
28,a_Amazonrainforest_2_1280_720,fuhrten,0,1070,221,81,18
29,a_Amazonrainforest_2_1280_720,zu.,1,71,298,23,13
30,a_Amazonrainforest_2_1280_720,mehr,0,129,293,58,18
31,a_Amazonrainforest_2_1280_720,Siedlungen,0,220,293,121,24
32,a_Amazonrainforest_2_1280_720,und,1,376,293,40,18
33,a_Amazonrainforest_2_1280_720,mehr,1,451,293,58,18
34,a_Amazonrainforest_2_1280_720,Rodungen.,0,543,293,117,24
35,a_Amazonrainforest_2_1280_720,Die,3,695,293,34,18
36,a_Amazonrainforest_2_1280_720,durchschnittliche,0,762,293,191,18
37,a_Amazonrainforest_2_1280_720,jahrliche,0,984,293,96,24
38,a_Amazonrainforest_2_1280_720,Abholzungsrate,0,70,365,174,24
39,a_Amazonrainforest_2_1280_720,war,0,277,370,41,13
40,a_Amazonrainforest_2_1280_720,von,0,350,370,39,13
41,a_Amazonrainforest_2_1280_720,2000,0,423,366,53,17
42,a_Amazonrainforest_2_1280_720,bis,0,510,365,29,18
43,a_Amazonrainforest_2_1280_720,2005,0,573,366,52,17
44,a_Amazonrainforest_2_1280_720,(22.392,0,658,366,80,21
45,a_Amazonrainforest_2_1280_720,km2,0,773,365,45,18
46,a_Amazonrainforest_2_1280_720,oder,0,852,365,51,18
