,text,word,counter,x,y,width,height
0,a_Chloroplast_3_1280_720,Endosymbiotic,0,72,77,161,24
1,a_Chloroplast_3_1280_720,gene,0,266,82,53,19
2,a_Chloroplast_3_1280_720,transfer,0,352,77,88,18
3,a_Chloroplast_3_1280_720,is,0,474,77,14,18
4,a_Chloroplast_3_1280_720,how,0,522,77,46,18
5,a_Chloroplast_3_1280_720,we,0,600,82,30,13
6,a_Chloroplast_3_1280_720,know,0,665,77,58,18
7,a_Chloroplast_3_1280_720,about,0,756,77,64,18
8,a_Chloroplast_3_1280_720,the,0,852,77,35,18
9,a_Chloroplast_3_1280_720,lost,0,921,77,38,18
10,a_Chloroplast_3_1280_720,chloroplasts,0,992,77,134,24
11,a_Chloroplast_3_1280_720,in,0,1161,77,17,18
12,a_Chloroplast_3_1280_720,many,0,72,154,60,19
13,a_Chloroplast_3_1280_720,chromalveolate,0,165,149,171,18
14,a_Chloroplast_3_1280_720,lineages.,0,370,149,94,24
15,a_Chloroplast_3_1280_720,Even,0,499,150,50,17
16,a_Chloroplast_3_1280_720,if,0,584,149,13,18
17,a_Chloroplast_3_1280_720,a,0,629,154,10,13
18,a_Chloroplast_3_1280_720,chloroplast,0,673,149,124,24
19,a_Chloroplast_3_1280_720,is,1,830,149,15,18
20,a_Chloroplast_3_1280_720,eventually,0,878,149,113,24
21,a_Chloroplast_3_1280_720,"lost,",1,1025,149,43,21
22,a_Chloroplast_3_1280_720,the,1,1101,149,35,18
23,a_Chloroplast_3_1280_720,genes,0,70,226,65,19
24,a_Chloroplast_3_1280_720,it,0,169,221,13,18
25,a_Chloroplast_3_1280_720,donated,0,214,221,91,18
26,a_Chloroplast_3_1280_720,to,0,339,223,21,16
27,a_Chloroplast_3_1280_720,the,2,393,221,35,18
28,a_Chloroplast_3_1280_720,former,0,461,221,77,18
29,a_Chloroplast_3_1280_720,host's,0,571,221,63,18
30,a_Chloroplast_3_1280_720,nucleus,0,669,221,83,18
31,a_Chloroplast_3_1280_720,"persist,",0,786,222,78,23
32,a_Chloroplast_3_1280_720,providing,0,899,221,104,24
33,a_Chloroplast_3_1280_720,evidence,0,1035,221,97,18
34,a_Chloroplast_3_1280_720,for,0,1165,221,32,18
35,a_Chloroplast_3_1280_720,the,3,71,293,35,18
36,a_Chloroplast_3_1280_720,lost,2,140,293,38,18
37,a_Chloroplast_3_1280_720,chloroplast's,0,211,293,139,24
38,a_Chloroplast_3_1280_720,existence.,0,384,293,109,18
39,a_Chloroplast_3_1280_720,For,1,528,294,34,17
40,a_Chloroplast_3_1280_720,"example,",0,594,293,100,24
41,a_Chloroplast_3_1280_720,while,0,727,293,57,18
42,a_Chloroplast_3_1280_720,diatoms,0,818,293,88,18
43,a_Chloroplast_3_1280_720,(a,0,940,294,17,21
44,a_Chloroplast_3_1280_720,heterokontophyte),0,992,293,207,24
45,a_Chloroplast_3_1280_720,now,0,72,370,45,13
46,a_Chloroplast_3_1280_720,have,0,151,365,50,18
47,a_Chloroplast_3_1280_720,aé_,0,235,370,10,13
48,a_Chloroplast_3_1280_720,red,0,280,365,34,18
49,a_Chloroplast_3_1280_720,algal,0,349,365,48,24
50,a_Chloroplast_3_1280_720,derived,0,432,365,81,18
51,a_Chloroplast_3_1280_720,"chloroplast,",1,547,365,128,24
52,a_Chloroplast_3_1280_720,the,4,709,365,35,18
53,a_Chloroplast_3_1280_720,presence,0,778,370,100,19
54,a_Chloroplast_3_1280_720,of,0,911,365,23,18
55,a_Chloroplast_3_1280_720,many,1,966,370,60,19
56,a_Chloroplast_3_1280_720,green,0,1058,370,62,19
57,a_Chloroplast_3_1280_720,algal,1,1154,365,49,24
58,a_Chloroplast_3_1280_720,genes,1,70,442,65,19
59,a_Chloroplast_3_1280_720,in,1,169,437,17,18
60,a_Chloroplast_3_1280_720,the,5,220,437,35,18
61,a_Chloroplast_3_1280_720,diatom,0,289,437,76,18
62,a_Chloroplast_3_1280_720,nucleus,1,400,437,83,18
63,a_Chloroplast_3_1280_720,provide,0,518,437,82,24
64,a_Chloroplast_3_1280_720,evidence,1,633,437,97,18
65,a_Chloroplast_3_1280_720,that,0,763,437,45,18
66,a_Chloroplast_3_1280_720,the,6,840,437,35,18
67,a_Chloroplast_3_1280_720,diatom,1,908,437,77,18
68,a_Chloroplast_3_1280_720,ancestor,0,1019,439,95,16
69,a_Chloroplast_3_1280_720,(probably,0,71,509,106,24
70,a_Chloroplast_3_1280_720,the,7,209,509,35,18
71,a_Chloroplast_3_1280_720,ancestor,1,277,511,96,16
72,a_Chloroplast_3_1280_720,of,1,406,509,22,18
73,a_Chloroplast_3_1280_720,all,0,459,509,23,18
74,a_Chloroplast_3_1280_720,chromalveolates,0,516,509,183,18
75,a_Chloroplast_3_1280_720,too),0,732,510,43,21
76,a_Chloroplast_3_1280_720,had,0,809,509,39,18
77,a_Chloroplast_3_1280_720,a_,0,882,514,10,13
78,a_Chloroplast_3_1280_720,green,1,926,514,62,19
79,a_Chloroplast_3_1280_720,algal,2,1022,509,49,24
80,a_Chloroplast_3_1280_720,derived,1,1105,509,82,18
81,a_Chloroplast_3_1280_720,chloroplast,2,71,581,124,24
82,a_Chloroplast_3_1280_720,at,0,227,583,21,16
83,a_Chloroplast_3_1280_720,some,0,281,586,59,13
84,a_Chloroplast_3_1280_720,"point,",0,374,581,61,24
85,a_Chloroplast_3_1280_720,which,0,468,581,64,18
86,a_Chloroplast_3_1280_720,was,0,565,586,42,13
87,a_Chloroplast_3_1280_720,subsequently,0,641,581,148,24
88,a_Chloroplast_3_1280_720,replaced,0,823,581,93,24
89,a_Chloroplast_3_1280_720,by,0,951,581,25,24
90,a_Chloroplast_3_1280_720,the,8,1008,581,35,18
91,a_Chloroplast_3_1280_720,red,1,1077,581,34,18
92,a_Chloroplast_3_1280_720,chloroplast.,3,71,653,129,24
93,a_Computationalcomplexitytheory_0_1280_720,Computational,0,71,149,163,24
94,a_Computationalcomplexitytheory_0_1280_720,complexity,0,269,149,120,24
95,a_Computationalcomplexitytheory_0_1280_720,theory,0,421,149,72,24
96,a_Computationalcomplexitytheory_0_1280_720,is,0,526,149,15,18
97,a_Computationalcomplexitytheory_0_1280_720,a,0,574,154,11,13
98,a_Computationalcomplexitytheory_0_1280_720,branch,0,620,149,75,18
99,a_Computationalcomplexitytheory_0_1280_720,of,0,729,149,22,18
100,a_Computationalcomplexitytheory_0_1280_720,the,0,782,149,35,18
101,a_Computationalcomplexitytheory_0_1280_720,theory,1,850,149,72,24
102,a_Computationalcomplexitytheory_0_1280_720,of,1,955,149,22,18
103,a_Computationalcomplexitytheory_0_1280_720,computation,0,1009,149,140,24
104,a_Computationalcomplexitytheory_0_1280_720,in,0,1184,150,17,17
105,a_Computationalcomplexitytheory_0_1280_720,theoretical,0,71,221,117,18
106,a_Computationalcomplexitytheory_0_1280_720,computer,0,222,223,108,22
107,a_Computationalcomplexitytheory_0_1280_720,science,0,363,221,80,18
108,a_Computationalcomplexitytheory_0_1280_720,that,0,476,221,44,18
109,a_Computationalcomplexitytheory_0_1280_720,focuses,0,552,221,84,18
110,a_Computationalcomplexitytheory_0_1280_720,on,0,669,226,26,13
111,a_Computationalcomplexitytheory_0_1280_720,classifying,0,729,221,113,24
112,a_Computationalcomplexitytheory_0_1280_720,computational,1,874,221,160,24
113,a_Computationalcomplexitytheory_0_1280_720,problems,0,1069,221,104,24
114,a_Computationalcomplexitytheory_0_1280_720,according,0,71,293,108,24
115,a_Computationalcomplexitytheory_0_1280_720,to,0,211,295,21,16
116,a_Computationalcomplexitytheory_0_1280_720,their,0,265,293,52,18
117,a_Computationalcomplexitytheory_0_1280_720,inherent,0,350,293,94,18
118,a_Computationalcomplexitytheory_0_1280_720,"difficulty,",0,476,293,99,24
119,a_Computationalcomplexitytheory_0_1280_720,and,0,610,293,39,18
120,a_Computationalcomplexitytheory_0_1280_720,relating,0,684,293,83,24
121,a_Computationalcomplexitytheory_0_1280_720,those,0,799,293,61,18
122,a_Computationalcomplexitytheory_0_1280_720,classes,0,894,293,76,18
123,a_Computationalcomplexitytheory_0_1280_720,to,1,1003,295,21,16
124,a_Computationalcomplexitytheory_0_1280_720,each,0,1058,293,50,18
125,a_Computationalcomplexitytheory_0_1280_720,_,0,1115,289,6,32
126,a_Computationalcomplexitytheory_0_1280_720,other.,0,1142,293,65,18
127,a_Computationalcomplexitytheory_0_1280_720,A,1,70,366,15,17
128,a_Computationalcomplexitytheory_0_1280_720,computational,2,118,365,159,24
129,a_Computationalcomplexitytheory_0_1280_720,problem,0,312,365,92,24
130,a_Computationalcomplexitytheory_0_1280_720,is,1,439,365,14,18
131,a_Computationalcomplexitytheory_0_1280_720,understood,0,487,365,128,18
132,a_Computationalcomplexitytheory_0_1280_720,to,2,648,367,21,16
133,a_Computationalcomplexitytheory_0_1280_720,be,0,704,365,25,18
134,a_Computationalcomplexitytheory_0_1280_720,a,2,763,370,10,13
135,a_Computationalcomplexitytheory_0_1280_720,task,0,807,365,44,18
136,a_Computationalcomplexitytheory_0_1280_720,that,1,884,365,44,18
137,a_Computationalcomplexitytheory_0_1280_720,is,2,961,365,15,18
138,a_Computationalcomplexitytheory_0_1280_720,in_,0,1010,365,17,18
139,a_Computationalcomplexitytheory_0_1280_720,principle,0,1062,365,94,24
140,a_Computationalcomplexitytheory_0_1280_720,amenable,0,71,437,109,18
141,a_Computationalcomplexitytheory_0_1280_720,to,3,213,439,21,16
142,a_Computationalcomplexitytheory_0_1280_720,being,0,269,437,59,24
143,a_Computationalcomplexitytheory_0_1280_720,solved,0,361,437,69,18
144,a_Computationalcomplexitytheory_0_1280_720,by,0,465,437,25,24
145,a_Computationalcomplexitytheory_0_1280_720,a,3,522,442,11,13
146,a_Computationalcomplexitytheory_0_1280_720,"computer,",1,567,439,113,22
147,a_Computationalcomplexitytheory_0_1280_720,which,0,713,437,63,18
148,a_Computationalcomplexitytheory_0_1280_720,is,3,811,437,15,18
149,a_Computationalcomplexitytheory_0_1280_720,equivalent,0,859,437,116,24
150,a_Computationalcomplexitytheory_0_1280_720,to,4,1007,439,21,16
151,a_Computationalcomplexitytheory_0_1280_720,stating,0,1062,437,74,24
152,a_Computationalcomplexitytheory_0_1280_720,that,2,71,509,44,18
153,a_Computationalcomplexitytheory_0_1280_720,the,1,147,509,35,18
154,a_Computationalcomplexitytheory_0_1280_720,problem,1,216,509,92,24
155,a_Computationalcomplexitytheory_0_1280_720,may,0,343,514,45,19
