"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_os","subject_screen_width","subject_screen_height","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_name","webgazer_data","webgazer_targets","correct_answer","question_text"
"43787","
                  <div class=""left-align"">
                    <img src=""https://designguide.ku.dk/download/co-branding/ku_logo_uk_v.png"" alt=""KU Logo"" class=""ku-logo"">
                    <h1>Welcome <b>EN</b> Dev!</h1>
                    <p>This mode is designed for the development of the experiment.</p>
                    <p>When each experiment loads, an image is saved.</p>
                    <p>The idea is then to save these images for the oficial experiment. At the final screen a file can be downloaded with the target locations.</p>
                    <ul>Ribeiro, Tiago - Research Assistant - <a href = ""mailto: tiri@di.ku.dk"">tiri@di.ku.dk</a></ul>
                    <p>Project Leaders:</p>
                    <ul>Søgaard, Anders - Professor - <a href = ""mailto: soegaard@di.ku.dk"">soegaard@di.ku.dk</a></ul>
                    <ul>Hollenstein, Nora - Assistant Professor - <a href = ""mailto: nora.hollenstein@hum.ku.dk"">nora.hollenstein@hum.ku.dk</a></ul>
                  </div>
                  ","0","html-button-response","0","43790","0.0-0.0","Win32","1280","720","","","","","","","","","","","","","","","",""
"","","","browser-check","1","46781","0.0-1.0","Win32","1280","720","1280","720","true","firefox","106.0.0","false","Windows 10","true","60.85","true","true","","","","",""
"6188","
    <p class=""webgaze-experiment-compact"" id=""paragraph"">The International Union for Conservation of Nature is <span id=""meco_para_11_qa_0"">an international organization</span> working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy, and education. Its mission is to 'influence, encourage and assist societies throughout the <span id=""meco_para_11_qa_2"">world to conserve nature and to ensure that any use of natural resources is equitable and ecologically sustainable'</span>. Over the past decades, the organization has widened its focus beyond conservation ecology and now incorporates issues related to sustainable development in its projects. Unlike many other international environmental organizations, it does not aim to mobilize the public in support of nature conservation. Instead, the organization tries to influence the actions of governments, business and other stakeholders by providing information and advice, and through building partnerships. The organization is best known to the wider public for <span id=""meco_para_11_qa_3"">compiling and publishing the Red List of Threatened Species</span>, which assesses the conservation status of species worldwide. Today, <span id=""meco_para_11_qa_1"">the organization employs approximately one thousand full-time staff</span> in more than fifty countries.</p>"," ","html-keyboard-response","2","52970","0.0-2.0","Win32","1280","720","","","","","","","","","","","","meco_para_11","[]","{""#paragraph"":{""x"":50,""y"":38,""width"":1180,""height"":667,""top"":38,""right"":1230,""bottom"":705,""left"":50},""#meco_para_11_qa_0"":{""x"":821.4500122070312,""y"":63.899993896484375,""width"":347.1000061035156,""height"":30,""top"":63.899993896484375,""right"":1168.5500183105469,""bottom"":93.89999389648438,""left"":821.4500122070312},""#meco_para_11_qa_1"":{""x"":70,""y"":607.2999877929688,""width"":1123.0166015625,""height"":71.80000305175781,""top"":607.2999877929688,""right"":1193.0166015625,""bottom"":679.0999908447266,""left"":70},""#meco_para_11_qa_2"":{""x"":70,""y"":231.10000610351562,""width"":1130.6666259765625,""height"":71.79998779296875,""top"":231.10000610351562,""right"":1200.6666259765625,""bottom"":302.8999938964844,""left"":70},""#meco_para_11_qa_3"":{""x"":375.6499938964844,""y"":565.5,""width"":815.7166748046875,""height"":30,""top"":565.5,""right"":1191.3666687011719,""bottom"":595.5,""left"":375.6499938964844}}","",""
"1661","<p class=""webgaze-experiment"" id=""question"">This organization publishes the Red List of Threatened Species. ","1","html-button-response","3","54633","0.0-3.0","Win32","1280","720","","","","","","","","","","","","meco_para_11_qa_3","[]","{""#question"":{""x"":168.61666870117188,""y"":285.29998779296875,""width"":942.75,""height"":112,""top"":285.29998779296875,""right"":1111.3666687011719,""bottom"":397.29998779296875,""left"":168.61666870117188}}","True",""
"1156","
<p class=""webgaze-experiment"" id=""paragraph"">Renewed religious warfare in the 1620s caused the political and military privileges of the Huguenots to be abolished following their defeat. They retained the religious provisions of the Edict of Nantes until the rule of <span id=""a_Huguenot_0_qa_2"">Louis XIV</span>, who progressively increased persecution of them until he issued the <span id=""a_Huguenot_0_qa_0"">Edict of Fontainebleau</span> (<span id=""a_Huguenot_0_qa_1"">1685</span>), which abolished all legal recognition of Protestantism in France, and forced the Huguenots to convert. While nearly three-quarters eventually were killed  or submitted, roughly <span id=""a_Huguenot_0_qa_3"">500,000</span> Huguenots had fled France by the early 18th century[citation needed].</p>"," ","html-keyboard-response","4","55794","0.0-4.0","Win32","1280","720","","","","","","","","","","","","a_Huguenot_0","[]","{""#paragraph"":{""x"":50,""y"":64.5,""width"":1180,""height"":616,""top"":64.5,""right"":1230,""bottom"":680.5,""left"":50},""#a_Huguenot_0_qa_0"":{""x"":137.98333740234375,""y"":392,""width"":299.066650390625,""height"":33,""top"":392,""right"":437.04998779296875,""bottom"":425,""left"":137.98333740234375},""#a_Huguenot_0_qa_1"":{""x"":475.3666687011719,""y"":392,""width"":54.866668701171875,""height"":33,""top"":392,""right"":530.2333374023438,""bottom"":425,""left"":475.3666687011719},""#a_Huguenot_0_qa_2"":{""x"":70,""y"":320,""width"":125.30000305175781,""height"":33,""top"":320,""right"":195.3000030517578,""bottom"":353,""left"":70},""#a_Huguenot_0_qa_3"":{""x"":910.6666870117188,""y"":536,""width"":88.51666259765625,""height"":33,""top"":536,""right"":999.183349609375,""bottom"":569,""left"":910.6666870117188}}","",""
"1456","","{""Q0"":""1""}","survey-text","5","57255","0.0-5.0","Win32","1280","720","","","","","","","","","","","","a_Huguenot_0_qa_2","[]","{""#question"":{""x"":208.8000030517578,""y"":287.70001220703125,""width"":862.4000244140625,""height"":112,""top"":287.70001220703125,""right"":1071.2000274658203,""bottom"":399.70001220703125,""left"":208.8000030517578}}","Louis XIV","Which French kind issued this declaration?"
"821","
<p class=""webgaze-experiment"" id=""paragraph"">The <span id=""a_Rhine_1_qa_0"">Rhine-Meuse</span> Delta, the most important natural region of the Netherlands begins <span id=""a_Rhine_1_qa_1"">near Millingen aan de Rijn</span>, close to the Dutch-German border with the division of the Rhine into Waal and Nederrijn. Since the Rhine contributes most of the water, the shorter term <span id=""a_Rhine_1_qa_2"">Rhine Delta</span> is commonly used. However, this name is also used for the river delta where the Rhine flows into Lake Constance, so it is clearer to call the larger one Rhine-Meuse delta, or even Rhine–Meuse–Scheldt delta, as the Scheldt ends in the same delta.</p>"," ","html-keyboard-response","6","58078","0.0-6.0","Win32","1280","720","","","","","","","","","","","","a_Rhine_1","[]","{""#paragraph"":{""x"":50,""y"":64.5,""width"":1180,""height"":616,""top"":64.5,""right"":1230,""bottom"":680.5,""left"":50},""#a_Rhine_1_qa_0"":{""x"":142.64999389648438,""y"":104,""width"":146.2166748046875,""height"":33,""top"":104,""right"":288.8666687011719,""bottom"":137,""left"":142.64999389648438},""#a_Rhine_1_qa_1"":{""x"":174.64999389648438,""y"":176,""width"":389.29998779296875,""height"":33,""top"":176,""right"":563.9499816894531,""bottom"":209,""left"":174.64999389648438},""#a_Rhine_1_qa_2"":{""x"":806.7666625976562,""y"":320,""width"":153.88333129882812,""height"":33,""top"":320,""right"":960.6499938964844,""bottom"":353,""left"":806.7666625976562}}","",""
"1235","","{""Q0"":""1""}","survey-text","7","59317","0.0-7.0","Win32","1280","720","","","","","","","","","","","","a_Rhine_1_qa_1","[]","{""#question"":{""x"":208.8000030517578,""y"":287.70001220703125,""width"":862.4000244140625,""height"":112,""top"":287.70001220703125,""right"":1071.2000274658203,""bottom"":399.70001220703125,""left"":208.8000030517578}}","near Millingen aan de Rijn","Where does the Delta in the Netherlands begin?"
"894","
<p class=""webgaze-experiment"" id=""paragraph"">Even before Washington returned, Dinwiddie had sent a company of <span id=""a_FrenchandIndianWar_2_qa_0"">40</span> men under William Trent to that point, where in the early months of <span id=""a_FrenchandIndianWar_2_qa_1"">1754</span> they began construction of a small stockaded fort. Governor Duquesne sent additional French forces under Claude-Pierre Pecaudy de Contrecœur to relieve Saint-Pierre during the same period, and Contrecœur led 500 men south from Fort Venango on April 5, 1754. When these forces arrived at the fort on April 16, Contrecœur generously allowed Trent's small company to withdraw. He purchased their construction tools to continue building what became <span id=""a_FrenchandIndianWar_2_qa_2"">Fort Duquesne</span>.</p>"," ","html-keyboard-response","8","60214","0.0-8.0","Win32","1280","720","","","","","","","","","","","","a_FrenchandIndianWar_2","[]","{""#paragraph"":{""x"":50,""y"":28.5,""width"":1180,""height"":688,""top"":28.5,""right"":1230,""bottom"":716.5,""left"":50},""#a_FrenchandIndianWar_2_qa_0"":{""x"":1089.9000244140625,""y"":68,""width"":27.433334350585938,""height"":33,""top"":68,""right"":1117.3333587646484,""bottom"":101,""left"":1089.9000244140625},""#a_FrenchandIndianWar_2_qa_1"":{""x"":1077.699951171875,""y"":140,""width"":54.866668701171875,""height"":33,""top"":140,""right"":1132.5666198730469,""bottom"":173,""left"":1077.699951171875},""#a_FrenchandIndianWar_2_qa_2"":{""x"":189.93333435058594,""y"":644,""width"":191.06666564941406,""height"":33,""top"":644,""right"":381,""bottom"":677,""left"":189.93333435058594}}","",""
"1986","","{""Q0"":""1""}","survey-text","9","62203","0.0-9.0","Win32","1280","720","","","","","","","","","","","","a_FrenchandIndianWar_2_qa_2","[]","{""#question"":{""x"":203.68333435058594,""y"":287.70001220703125,""width"":872.61669921875,""height"":112,""top"":287.70001220703125,""right"":1076.300033569336,""bottom"":399.70001220703125,""left"":203.68333435058594}}","Fort Duquesne","What was the fort that was being built to be named?"
