"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_os","subject_screen_width","subject_screen_height","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_name","webgazer_data","webgazer_targets","correct_answer","question_text"
"1421","
              <div class=""left-align"">
                <img src=""https://designguide.ku.dk/download/co-branding/ku_logo_uk_v.png"" alt=""KU Logo"" class=""ku-logo"">
                <h1>Welcome to <b>ES</b> Dev!</h1>
                <p>This mode is designed for the development of the experiment.</p>
                <p>When each experiment loads, an image is saved.</p>
                <p>The idea is then to save these images for the oficial experiment. At the final screen a file can be downloaded with the target locations.</p>
                <ul>Ribeiro, Tiago - Research Assistant - <a href = ""mailto: tiri@di.ku.dk"">tiri@di.ku.dk</a></ul>
                <p>Project Leaders:</p>
                <ul>Søgaard, Anders - Professor - <a href = ""mailto: soegaard@di.ku.dk"">soegaard@di.ku.dk</a></ul>
                <ul>Hollenstein, Nora - Assistant Professor - <a href = ""mailto: nora.hollenstein@hum.ku.dk"">nora.hollenstein@hum.ku.dk</a></ul>
              </div>
              ","0","html-button-response","0","1423","0.0-0.0","Win32","1280","720","","","","","","","","","","","","","","","",""
"","","","browser-check","1","3844","0.0-1.0","Win32","1280","720","1280","720","true","firefox","106.0.0","false","Windows 10","true","144.23","true","true","","","","",""
"873","
<p class=""webgaze-experiment-compact"" id=""paragraph"">La patente de un vehículo es una placa de metal o plástico fijada al vehículo con el propósito de identificación oficial. Todos los países requieren patentes para vehículos como autos, camiones y motocicletas. Su requerimiento para otros vehículos como <span id=""meco_para_12_qa_2"">bicicletas, botes o tractores puede variar por jurisdicción</span>. El identificador de registro es <span id=""meco_para_12_qa_3"">una serie de letras o números</span> que identifican únicamente al dueño de un vehículo dentro de la región del registro del vehículo. En algunos países, el identificador es único en todo el país, mientras que, en otros, es único dentro de un estado o provincia. <span id=""meco_para_12_qa_0"">Francia fue el primer país en introducir la patente</span>, a fines del siglo diecinueve. Las patentes de principios de siglo veinte variaban en tamaño y forma de una jurisdicción a otra, de manera que, si una persona se mudaba, se necesitaba hacer nuevos agujeros en el auto para sostener la nueva patente. <span id=""meco_para_12_qa_1"">La estandarización de patentes llegó a fines de los años cincuenta</span>, cuando los fabricantes de automóviles llegaron a un acuerdo con los distintos gobiernos y organizaciones internacionales.</p>"," ","html-keyboard-response","2","4718","0.0-2.0","Win32","1280","720","","","","","","","","","","","","meco_para_12","[]","{""#paragraph"":{""x"":50,""y"":58.899993896484375,""width"":1180,""height"":625.2000122070312,""top"":58.899993896484375,""right"":1230,""bottom"":684.1000061035156,""left"":50},""#meco_para_12_qa_0"":{""x"":70,""y"":377.3999938964844,""width"":1085.8333740234375,""height"":71.80000305175781,""top"":377.3999938964844,""right"":1155.8333740234375,""bottom"":449.1999969482422,""left"":70},""#meco_para_12_qa_1"":{""x"":70,""y"":544.5999755859375,""width"":1090.2833251953125,""height"":71.79998779296875,""top"":544.5999755859375,""right"":1160.2833251953125,""bottom"":616.3999633789062,""left"":70},""#meco_para_12_qa_2"":{""x"":158.0833282470703,""y"":210.1999969482422,""width"":754.0833740234375,""height"":30,""top"":210.1999969482422,""right"":912.1667022705078,""bottom"":240.1999969482422,""left"":158.0833282470703},""#meco_para_12_qa_3"":{""x"":233.64999389648438,""y"":252,""width"":431.41668701171875,""height"":30,""top"":252,""right"":665.0666809082031,""bottom"":282,""left"":233.64999389648438}}","",""
"619","<p class=""webgaze-experiment"" id=""question"">La primera patente fue introducida en Francia. ","0","html-button-response","3","5338","0.0-3.0","Win32","1280","720","","","","","","","","","","","","meco_para_12_qa_0","[]","{""#question"":{""x"":285.01666259765625,""y"":285.29998779296875,""width"":709.9666748046875,""height"":112,""top"":285.29998779296875,""right"":994.9833374023438,""bottom"":397.29998779296875,""left"":285.01666259765625}}","True",""
"640","
<p class=""webgaze-experiment"" id=""paragraph"">En Europa, el escenario norteamericano de la Guerra de los Siete Años no suele recibir un nombre distinto. Todo el conflicto internacional se conoce como la Guerra de los Siete Años. ""Siete años"" se refiere a los acontecimientos en Europa, desde la declaración oficial de guerra en <span id=""a_FrenchandIndianWar_0_qa_0"">1756 hasta la firma del tratado de paz en 1763</span>. Estas fechas no se corresponden con las luchas en el continente norteamericano, donde la contienda entre las dos potencias coloniales concluyó en gran medida en <span id=""a_FrenchandIndianWar_0_qa_1"">seis años</span>, desde la <span id=""a_FrenchandIndianWar_0_qa_3"">Batalla de Jumonville Glen</span> en 1754 hasta la captura de Montreal en <span id=""a_FrenchandIndianWar_0_qa_2"">1760</span>.</p>"," ","html-keyboard-response","4","5981","0.0-4.0","Win32","1280","720","","","","","","","","","","","","a_FrenchandIndianWar_0","[]","{""#paragraph"":{""x"":50,""y"":28.5,""width"":1180,""height"":688,""top"":28.5,""right"":1230,""bottom"":716.5,""left"":50},""#a_FrenchandIndianWar_0_qa_0"":{""x"":70,""y"":284,""width"":1078.61669921875,""height"":105,""top"":284,""right"":1148.61669921875,""bottom"":389,""left"":70},""#a_FrenchandIndianWar_0_qa_1"":{""x"":70,""y"":500,""width"":1139.7833251953125,""height"":105,""top"":500,""right"":1209.7833251953125,""bottom"":605,""left"":70},""#a_FrenchandIndianWar_0_qa_2"":{""x"":262.6499938964844,""y"":644,""width"":54.866668701171875,""height"":33,""top"":644,""right"":317.51666259765625,""bottom"":677,""left"":262.6499938964844},""#a_FrenchandIndianWar_0_qa_3"":{""x"":311,""y"":572,""width"":365.9666748046875,""height"":33,""top"":572,""right"":676.9666748046875,""bottom"":605,""left"":311}}","",""
"1162","","{""Q0"":""1""}","survey-text","5","7144","0.0-5.0","Win32","1280","720","","","","","","","","","","","","a_FrenchandIndianWar_0_qa_3","[]","{""#question"":{""x"":208.8000030517578,""y"":287.70001220703125,""width"":862.4000244140625,""height"":112,""top"":287.70001220703125,""right"":1071.2000274658203,""bottom"":399.70001220703125,""left"":208.8000030517578}}","Batalla de Jumonville Glen","¿Cuál fue la primera batalla en 1754?"
"753","
<p class=""webgaze-experiment"" id=""paragraph""><span id=""a_Geology_4_qa_0"">James Hutton</span> a menudo se considera el primer geólogo moderno. En 1785 presentó un documento titulado <span id=""a_Geology_4_qa_1"">Teoría de la Tierra</span> a la Sociedad Real de Edimburgo. En su artículo, explicó su teoría de que la Tierra <span id=""a_Geology_4_qa_3"">debe ser mucho más antigua de lo que se suponía</span> para que hubiera tiempo suficiente para que las montañas se erosionaran y los sedimentos formaran nuevas rocas en el fondo del mar, que a su vez se elevaron para convertirse en tierra seca. Hutton publicó una versión en dos volúmenes de sus ideas en <span id=""a_Geology_4_qa_2"">1795</span> (Vol. 1, Vol. 2).</p>"," ","html-keyboard-response","6","7900","0.0-6.0","Win32","1280","720","","","","","","","","","","","","a_Geology_4","[]","{""#paragraph"":{""x"":50,""y"":64.5,""width"":1180,""height"":616,""top"":64.5,""right"":1230,""bottom"":680.5,""left"":50},""#a_Geology_4_qa_0"":{""x"":70,""y"":104,""width"":176.81666564941406,""height"":33,""top"":104,""right"":246.81666564941406,""bottom"":137,""left"":70},""#a_Geology_4_qa_1"":{""x"":540.0999755859375,""y"":176,""width"":277.3499755859375,""height"":33,""top"":176,""right"":817.449951171875,""bottom"":209,""left"":540.0999755859375},""#a_Geology_4_qa_2"":{""x"":288.48333740234375,""y"":608,""width"":54.866668701171875,""height"":33,""top"":608,""right"":343.3500061035156,""bottom"":641,""left"":288.48333740234375},""#a_Geology_4_qa_3"":{""x"":70,""y"":248,""width"":1066.86669921875,""height"":105,""top"":248,""right"":1136.86669921875,""bottom"":353,""left"":70}}","",""
"608","","{""Q0"":""1""}","survey-text","7","8510","0.0-7.0","Win32","1280","720","","","","","","","","","","","","a_Geology_4_qa_3","[]","{""#question"":{""x"":198.14999389648438,""y"":287.70001220703125,""width"":883.7000122070312,""height"":112,""top"":287.70001220703125,""right"":1081.8500061035156,""bottom"":399.70001220703125,""left"":198.14999389648438}}","debe ser mucho más antigua de lo que se suponía","¿Cuál fue la idea principal del artículo de James Hutton?"
"444","
<p class=""webgaze-experiment"" id=""paragraph"">Los ambientalistas están preocupados por la pérdida de <span id=""a_Amazonrainforest_3_qa_0"">biodiversidad</span> que se producirá como resultado de la <span id=""a_Amazonrainforest_3_qa_1"">destrucción del bosque</span>, y también por la liberación del <span id=""a_Amazonrainforest_3_qa_2"">carbono contenido en la vegetación</span>, que podría acelerar el calentamiento global. Los bosques perennes amazónicos representan alrededor del 10 % de la productividad primaria terrestre mundial y el <span id=""a_Amazonrainforest_3_qa_3"">10 %</span> de los depósitos de carbono en los ecosistemas, del orden de <span id=""a_Amazonrainforest_3_qa_4"">1,1 × 1011</span> toneladas métricas de carbono. Se estima que los bosques amazónicos han acumulado 0,62 ± 0,37 toneladas de carbono por hectárea y año entre 1975 y 1996.</p>"," ","html-keyboard-response","8","8955","0.0-8.0","Win32","1280","720","","","","","","","","","","","","a_Amazonrainforest_3","[]","{""#paragraph"":{""x"":50,""y"":28.5,""width"":1180,""height"":688,""top"":28.5,""right"":1230,""bottom"":716.5,""left"":50},""#a_Amazonrainforest_3_qa_0"":{""x"":903.5,""y"":68,""width"":151.4166717529297,""height"":33,""top"":68,""right"":1054.9166717529297,""bottom"":101,""left"":903.5},""#a_Amazonrainforest_3_qa_1"":{""x"":551.88330078125,""y"":140,""width"":311.0333251953125,""height"":33,""top"":140,""right"":862.9166259765625,""bottom"":173,""left"":551.88330078125},""#a_Amazonrainforest_3_qa_2"":{""x"":276.8666687011719,""y"":212,""width"":498.6166687011719,""height"":33,""top"":212,""right"":775.4833374023438,""bottom"":245,""left"":276.8666687011719},""#a_Amazonrainforest_3_qa_3"":{""x"":949.5,""y"":356,""width"":78.5,""height"":33,""top"":356,""right"":1028,""bottom"":389,""left"":949.5},""#a_Amazonrainforest_3_qa_4"":{""x"":914.63330078125,""y"":428,""width"":164.6999969482422,""height"":33,""top"":428,""right"":1079.3332977294922,""bottom"":461,""left"":914.63330078125}}","",""
"496","","{""Q0"":""1""}","survey-text","9","9453","0.0-9.0","Win32","1280","720","","","","","","","","","","","","a_Amazonrainforest_3_qa_1","[]","{""#question"":{""x"":92.16667175292969,""y"":287.70001220703125,""width"":1095.6666259765625,""height"":112,""top"":287.70001220703125,""right"":1187.8332977294922,""bottom"":399.70001220703125,""left"":92.16667175292969}}","destrucción del bosque","¿De qué se deriva la pérdida de biodiversidad, según los ambientalistas?"
