,text,word,counter,x,y,width,height
0,a_Amazonrainforest_2_1280_720,Las,0,72,78,34,17
1,a_Amazonrainforest_2_1280_720,necesidades,0,140,77,136,18
2,a_Amazonrainforest_2_1280_720,de,0,309,77,26,18
3,a_Amazonrainforest_2_1280_720,los,0,369,77,29,18
4,a_Amazonrainforest_2_1280_720,agricultores,0,432,77,130,24
5,a_Amazonrainforest_2_1280_720,de,1,595,77,26,18
6,a_Amazonrainforest_2_1280_720,soja,0,655,77,42,24
7,a_Amazonrainforest_2_1280_720,se,0,731,82,23,13
8,a_Amazonrainforest_2_1280_720,han,0,788,77,39,18
9,a_Amazonrainforest_2_1280_720,utilizado,0,862,77,92,18
10,a_Amazonrainforest_2_1280_720,para,0,988,82,48,19
11,a_Amazonrainforest_2_1280_720,_,0,1044,73,6,32
12,a_Amazonrainforest_2_1280_720,justificar,0,1068,77,96,24
13,a_Amazonrainforest_2_1280_720,muchos,0,72,149,86,18
14,a_Amazonrainforest_2_1280_720,de,2,191,149,26,18
15,a_Amazonrainforest_2_1280_720,los,1,252,149,29,18
16,a_Amazonrainforest_2_1280_720,controvertidos,0,314,149,162,18
17,a_Amazonrainforest_2_1280_720,proyectos,0,510,151,107,22
18,a_Amazonrainforest_2_1280_720,de,3,651,149,26,18
19,a_Amazonrainforest_2_1280_720,transporte,0,710,151,117,22
20,a_Amazonrainforest_2_1280_720,que,0,860,154,41,19
21,a_Amazonrainforest_2_1280_720,se_,0,934,154,23,13
22,a_Amazonrainforest_2_1280_720,estan,0,990,148,59,19
23,a_Amazonrainforest_2_1280_720,desarrollando,0,71,221,154,18
24,a_Amazonrainforest_2_1280_720,actualmente,0,259,221,137,18
25,a_Amazonrainforest_2_1280_720,en,0,430,226,25,13
26,a_Amazonrainforest_2_1280_720,la,0,490,221,16,18
27,a_Amazonrainforest_2_1280_720,Amazonia.,0,539,220,115,19
28,a_Amazonrainforest_2_1280_720,Las,1,689,222,34,17
29,a_Amazonrainforest_2_1280_720,primeras,0,757,222,98,23
30,a_Amazonrainforest_2_1280_720,dos,0,889,221,38,18
31,a_Amazonrainforest_2_1280_720,carreteras,0,960,223,113,16
32,a_Amazonrainforest_2_1280_720,abrieron,0,1106,221,94,18
33,a_Amazonrainforest_2_1280_720,con,0,71,298,38,13
34,a_Amazonrainforest_2_1280_720,éxito,0,143,292,53,19
35,a_Amazonrainforest_2_1280_720,la,1,230,293,16,18
36,a_Amazonrainforest_2_1280_720,selva,0,280,293,53,18
37,a_Amazonrainforest_2_1280_720,tropical,0,367,293,82,24
38,a_Amazonrainforest_2_1280_720,y,0,482,298,12,19
39,a_Amazonrainforest_2_1280_720,causaron,0,526,298,101,13
40,a_Amazonrainforest_2_1280_720,un,0,662,298,25,13
41,a_Amazonrainforest_2_1280_720,aumento,0,722,295,99,16
42,a_Amazonrainforest_2_1280_720,de,4,854,293,26,18
43,a_Amazonrainforest_2_1280_720,asentamientos,0,914,293,163,18
44,a_Amazonrainforest_2_1280_720,y,1,1110,298,11,19
45,a_Amazonrainforest_2_1280_720,de,5,1154,293,26,18
46,a_Amazonrainforest_2_1280_720,la,2,72,365,16,18
47,a_Amazonrainforest_2_1280_720,deforestacién.,0,122,364,157,19
48,a_Amazonrainforest_2_1280_720,La,3,314,366,22,17
49,a_Amazonrainforest_2_1280_720,tasa,0,370,367,44,16
50,a_Amazonrainforest_2_1280_720,media,0,449,365,66,18
51,a_Amazonrainforest_2_1280_720,anual,0,549,365,59,18
52,a_Amazonrainforest_2_1280_720,de,6,643,365,26,18
53,a_Amazonrainforest_2_1280_720,deforestacidn,0,702,364,151,19
54,a_Amazonrainforest_2_1280_720,de,7,887,365,26,18
55,a_Amazonrainforest_2_1280_720,2000,0,947,366,52,17
56,a_Amazonrainforest_2_1280_720,a,0,1033,370,10,13
57,a_Amazonrainforest_2_1280_720,2005,0,1077,366,53,17
58,a_Amazonrainforest_2_1280_720,(22,0,1163,366,33,21
59,a_Amazonrainforest_2_1280_720,392.,0,71,438,39,17
60,a_Amazonrainforest_2_1280_720,km2,0,144,437,46,18
61,a_Amazonrainforest_2_1280_720,o,0,223,442,12,13
62,a_Amazonrainforest_2_1280_720,8646,0,269,438,53,17
63,a_Amazonrainforest_2_1280_720,millas,0,356,437,62,18
64,a_Amazonrainforest_2_1280_720,cuadradas,0,451,437,115,18
65,a_Amazonrainforest_2_1280_720,al,0,600,437,16,18
66,a_Amazonrainforest_2_1280_720,afio),0,650,437,48,22
67,a_Amazonrainforest_2_1280_720,fue,0,730,437,35,18
68,a_Amazonrainforest_2_1280_720,un,1,799,442,26,13
69,a_Amazonrainforest_2_1280_720,18,0,860,438,24,17
70,a_Amazonrainforest_2_1280_720,%,0,918,438,18,17
71,a_Amazonrainforest_2_1280_720,mas,0,970,436,44,19
72,a_Amazonrainforest_2_1280_720,alta,0,1047,437,39,18
73,a_Amazonrainforest_2_1280_720,que,1,1120,442,40,19
74,a_Amazonrainforest_2_1280_720,en,1,71,514,25,13
75,a_Amazonrainforest_2_1280_720,los,2,131,509,29,18
76,a_Amazonrainforest_2_1280_720,cinco,0,194,510,56,17
77,a_Amazonrainforest_2_1280_720,afios,0,283,509,52,18
78,a_Amazonrainforest_2_1280_720,anteriores,0,368,510,113,17
79,a_Amazonrainforest_2_1280_720,(19,0,514,510,33,21
80,a_Amazonrainforest_2_1280_720,018,0,580,510,39,17
81,a_Amazonrainforest_2_1280_720,km2,1,654,509,45,18
82,a_Amazonrainforest_2_1280_720,o,1,733,514,12,13
83,a_Amazonrainforest_2_1280_720,7343,0,778,510,53,17
84,a_Amazonrainforest_2_1280_720,millas,1,865,509,62,18
85,a_Amazonrainforest_2_1280_720,cuadradas,1,961,509,114,18
86,a_Amazonrainforest_2_1280_720,por,0,1110,514,36,19
87,a_Amazonrainforest_2_1280_720,afio).,1,71,581,53,22
88,a_Amazonrainforest_2_1280_720,Aunque,0,157,582,86,23
89,a_Amazonrainforest_2_1280_720,la,4,278,581,16,18
90,a_Amazonrainforest_2_1280_720,deforestaci6n,0,328,580,151,19
91,a_Amazonrainforest_2_1280_720,ha,0,514,581,24,18
92,a_Amazonrainforest_2_1280_720,disminuido,0,572,581,123,18
93,a_Amazonrainforest_2_1280_720,—,0,705,576,6,33
94,a_Amazonrainforest_2_1280_720,significativamente,0,728,581,201,24
95,a_Amazonrainforest_2_1280_720,en,2,962,586,26,13
96,a_Amazonrainforest_2_1280_720,la,5,1023,581,15,18
97,a_Amazonrainforest_2_1280_720,Amazonia,1,1071,580,109,19
98,a_Amazonrainforest_2_1280_720,brasileha,0,72,653,99,18
99,a_Amazonrainforest_2_1280_720,entre,0,205,655,58,16
100,a_Amazonrainforest_2_1280_720,2004,0,297,654,53,17
101,a_Amazonrainforest_2_1280_720,y,2,382,658,11,19
102,a_Amazonrainforest_2_1280_720,"2014,",0,426,654,58,20
103,a_Amazonrainforest_2_1280_720,ha,1,519,653,24,18
104,a_Amazonrainforest_2_1280_720,habido,0,578,653,75,18
105,a_Amazonrainforest_2_1280_720,un,2,687,658,26,13
106,a_Amazonrainforest_2_1280_720,aumento,1,747,655,99,16
107,a_Amazonrainforest_2_1280_720,hasta,0,881,653,58,18
108,a_Amazonrainforest_2_1280_720,la,6,973,653,16,18
109,a_Amazonrainforest_2_1280_720,_,1,996,649,8,32
110,a_Amazonrainforest_2_1280_720,actualidad.,0,1023,653,120,18
111,a_Amazonrainforest_2_qa_1_1280_720,éA,0,21,49,24,22
112,a_Amazonrainforest_2_qa_1_1280_720,qué,0,78,47,41,25
113,a_Amazonrainforest_2_qa_1_1280_720,dio,0,152,48,33,18
114,a_Amazonrainforest_2_qa_1_1280_720,lugar,0,219,48,55,24
115,a_Amazonrainforest_2_qa_1_1280_720,la,0,308,48,15,18
116,a_Amazonrainforest_2_qa_1_1280_720,creacidn,0,357,47,92,19
117,a_Amazonrainforest_2_qa_1_1280_720,de,0,484,48,25,18
118,a_Amazonrainforest_2_qa_1_1280_720,carreteras,0,543,50,112,16
119,a_Amazonrainforest_2_qa_1_1280_720,en,0,689,53,25,13
120,a_Amazonrainforest_2_qa_1_1280_720,la_,0,749,48,16,18
121,a_Amazonrainforest_2_qa_1_1280_720,selva,0,799,48,53,18
122,a_Amazonrainforest_2_qa_1_1280_720,amazonica?,0,886,47,129,19
123,a_Computationalcomplexitytheory_0_1280_720,La,0,72,114,22,17
124,a_Computationalcomplexitytheory_0_1280_720,teoria,0,128,112,63,19
125,a_Computationalcomplexitytheory_0_1280_720,de,0,225,113,26,18
126,a_Computationalcomplexitytheory_0_1280_720,la,1,285,113,16,18
127,a_Computationalcomplexitytheory_0_1280_720,complejidad,0,335,113,134,24
128,a_Computationalcomplexitytheory_0_1280_720,computacional,0,504,113,162,24
129,a_Computationalcomplexitytheory_0_1280_720,es,0,700,118,23,13
130,a_Computationalcomplexitytheory_0_1280_720,una,0,757,118,39,13
131,a_Computationalcomplexitytheory_0_1280_720,rama,0,831,118,55,13
132,a_Computationalcomplexitytheory_0_1280_720,de,1,920,113,26,18
133,a_Computationalcomplexitytheory_0_1280_720,la,2,981,113,15,18
134,a_Computationalcomplexitytheory_0_1280_720,teoria,1,1030,112,63,19
135,a_Computationalcomplexitytheory_0_1280_720,de,2,1127,113,26,18
136,a_Computationalcomplexitytheory_0_1280_720,la,3,1188,113,15,18
137,a_Computationalcomplexitytheory_0_1280_720,computacién,0,71,184,143,25
138,a_Computationalcomplexitytheory_0_1280_720,dentro,0,249,185,73,18
139,a_Computationalcomplexitytheory_0_1280_720,de,3,355,185,26,18
140,a_Computationalcomplexitytheory_0_1280_720,la,4,416,185,15,18
141,a_Computationalcomplexitytheory_0_1280_720,_,0,441,180,3,33
142,a_Computationalcomplexitytheory_0_1280_720,ciencia,0,465,185,74,18
143,a_Computationalcomplexitytheory_0_1280_720,computacional,1,573,185,163,24
144,a_Computationalcomplexitytheory_0_1280_720,tedrica.,0,770,184,81,19
145,a_Computationalcomplexitytheory_0_1280_720,Esta,0,886,186,43,17
146,a_Computationalcomplexitytheory_0_1280_720,teoria,2,962,184,64,19
147,a_Computationalcomplexitytheory_0_1280_720,se,0,1060,190,22,13
