"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_os","subject_screen_width","subject_screen_height","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_name","webgazer_data","webgazer_targets","correct_answer","question_text"
"3700","
              <div class=""left-align"">
                <img src=""https://designguide.ku.dk/download/co-branding/ku_logo_uk_v.png"" alt=""KU Logo"" class=""ku-logo"">
                <h1>Welcome to <b>TR</b> Dev!</h1>
                <p>This mode is designed for the development of the experiment.</p>
                <p>When each experiment loads, an image is saved.</p>
                <p>The idea is then to save these images for the oficial experiment. At the final screen a file can be downloaded with the target locations.</p>
                <ul>Ribeiro, Tiago - Research Assistant - <a href = ""mailto: tiri@di.ku.dk"">tiri@di.ku.dk</a></ul>
                <p>Project Leaders:</p>
                <ul>Søgaard, Anders - Professor - <a href = ""mailto: soegaard@di.ku.dk"">soegaard@di.ku.dk</a></ul>
                <ul>Hollenstein, Nora - Assistant Professor - <a href = ""mailto: nora.hollenstein@hum.ku.dk"">nora.hollenstein@hum.ku.dk</a></ul>
              </div>
              ","0","html-button-response","0","3701","0.0-0.0","Win32","1280","720","","","","","","","","","","","","","","","",""
"","","","browser-check","1","6110","0.0-1.0","Win32","1280","720","1280","720","true","firefox","106.0.0","false","Windows 10","true","147.78","true","true","","","","",""
"2158","
<p class=""webgaze-experiment-compact"" id=""paragraph"">Dünya Doğa ve Doğal Kaynakları Koruma Birliği doğanın korunması ve doğal kaynakların sürdürülebilir kullanımı alanında çalışan <span id=""meco_para_11_qa_0"">uluslararası bir kuruluştur.</span> Veri toplama ve analiz, araştırma, saha projeleri, savunma ve eğitim alanlarında faaliyet göstermektedir. <span id=""meco_para_11_qa_2"">Misyonu dünyadaki toplumları doğayı korumak için etkilemek, teşvik etmek ve yardımcı olmak ve doğal kaynak kullanımının adil ve ekolojik olarak sürdürülebilir</span> olmasını sağlamak tır. Geçtiğimiz on yıllar boyunca, organizasyon koruma ekolojisinin ötesinde odağını genişletti ve şimdi projelerinde sürdürülebilir kalkınma ile ilgili konuları içeriyor. Pek çok uluslararası çevre kuruluşlarının aksine, bu organizasyon halkı doğanın korunmasına destek olarak seferber etmeyi amaçlamamaktadır. Bunun yerine, organizasyon bilgi, tavsiye sağlayarak ve ortaklıklar kurarak hükümetlerin, iş dünyasının ve diğer paydaşların faaliyetlerini etkilemeye çalışır. Organizasyon geniş kitlelerce dünyadaki türlerin korunma durumunu <span id=""meco_para_11_qa_3""> değerlendiren “Tehdit Edilen Türlerin Kırmızı Listesi”ni  derlediği ve yayınladığı için bilinir</span>. Bugün, <span id=""meco_para_11_qa_1"">organizasyon elliden fazla ülkede yaklaşık bin tam zamanlı personel</span> istihdam etmektedir.</p>"," ","html-keyboard-response","2","8268","0.0-2.0","Win32","1280","720","","","","","","","","","","","","meco_para_11","[]","{""#paragraph"":{""x"":50,""y"":58.899993896484375,""width"":1180,""height"":625.2000122070312,""top"":58.899993896484375,""right"":1230,""bottom"":684.1000061035156,""left"":50},""#meco_para_11_qa_0"":{""x"":733.0166625976562,""y"":126.60000610351562,""width"":322.3833312988281,""height"":30,""top"":126.60000610351562,""right"":1055.3999938964844,""bottom"":156.60000610351562,""left"":733.0166625976562},""#meco_para_11_qa_1"":{""x"":70,""y"":586.4000244140625,""width"":1111.7666015625,""height"":71.80000305175781,""top"":586.4000244140625,""right"":1181.7666015625,""bottom"":658.2000274658203,""left"":70},""#meco_para_11_qa_2"":{""x"":70,""y"":210.1999969482422,""width"":1067.4666748046875,""height"":113.60000610351562,""top"":210.1999969482422,""right"":1137.4666748046875,""bottom"":323.8000030517578,""left"":70},""#meco_para_11_qa_3"":{""x"":70,""y"":544.5999755859375,""width"":1085.11669921875,""height"":71.79998779296875,""top"":544.5999755859375,""right"":1155.11669921875,""bottom"":616.3999633789062,""left"":70}}","",""
"1092","<p class=""webgaze-experiment"" id=""question"">Bu kuruluş Tehdit Edilen Türlerin Kırmızı Listesi yayınlar mı? ","0","html-button-response","3","9363","0.0-3.0","Win32","1280","720","","","","","","","","","","","","meco_para_11_qa_3","[]","{""#question"":{""x"":188.5500030517578,""y"":285.29998779296875,""width"":902.9000244140625,""height"":112,""top"":285.29998779296875,""right"":1091.4500274658203,""bottom"":397.29998779296875,""left"":188.5500030517578}}","True",""
"1037","
<p class=""webgaze-experiment"" id=""paragraph"">Gerilme tensörünün hesaplandığı hacim için ilgili kesit alanı nerededir. Bu <span id=""a_Force_4_qa_3"">biçimcilik</span>, enine kesit alanına normal olarak etki eden kuvvetlerle (basınç tensörünün matris köşegenleri) ilgili <span id=""a_Force_4_qa_1""><span id=""a_Force_4_qa_2"">basınç terimlerini</span></span> ve enine kesit alanına paralel hareket eden kuvvetlerle (kayma dışı elemanlar) ilişkili terimleri içerir. <span id=""a_Force_4_qa_0"">Gerilme tensörü</span>, çekme gerilmeleri ve kompresyonları da dahil olmak üzere tüm suşlara (deformasyonlara) neden olan kuvvetlerden sorumludur .:133–134:38-1–38-11</p>"," ","html-keyboard-response","4","10402","0.0-4.0","Win32","1280","720","","","","","","","","","","","","a_Force_4","[]","{""#paragraph"":{""x"":50,""y"":100.5,""width"":1180,""height"":544,""top"":100.5,""right"":1230,""bottom"":644.5,""left"":50},""#a_Force_4_qa_0"":{""x"":70,""y"":428,""width"":206.96665954589844,""height"":33,""top"":428,""right"":276.96665954589844,""bottom"":461,""left"":70},""#a_Force_4_qa_1"":{""x"":576.7333374023438,""y"":284,""width"":219.31666564941406,""height"":33,""top"":284,""right"":796.0500030517578,""bottom"":317,""left"":576.7333374023438},""#a_Force_4_qa_2"":{""x"":576.7333374023438,""y"":284,""width"":219.31666564941406,""height"":33,""top"":284,""right"":796.0500030517578,""bottom"":317,""left"":576.7333374023438},""#a_Force_4_qa_3"":{""x"":70,""y"":212,""width"":102.85000610351562,""height"":33,""top"":212,""right"":172.85000610351562,""bottom"":245,""left"":70}}","",""
"3934","","{""Q0"":""1""}","survey-text","5","14338","0.0-5.0","Win32","1280","720","","","","","","","","","","","","a_Force_4_qa_1","[]","{""#question"":{""x"":145.9499969482422,""y"":287.70001220703125,""width"":988.0999755859375,""height"":112,""top"":287.70001220703125,""right"":1134.0499725341797,""bottom"":399.70001220703125,""left"":145.9499969482422}}","basınç terimlerini","Bir nesnenin hacmindeki kesit alanını hesaplamak için ne kullanılır? "
"1787","
<p class=""webgaze-experiment"" id=""paragraph"">Çeşitli ülkelerde <span id=""a_Kenya_0_qa_1"">kamu sektörü yolsuzluğu</span> yaygınlığını ölçmeye çalışan bir ölçü olan Uluslararası Şeffaflık Örgütü'nün Yolsuzluk Algısı Endeksi'nde (YAE) Kenya <span id=""a_Kenya_0_qa_0"">düşük</span> sıralardadır. Ülke 2012'de, 27/100 puanla, YAE'de yer alan toplam 176 ülke içinde <span id=""a_Kenya_0_qa_2"">139.</span> sırada yer almıştır. Bununla birlikte Kenya hükümeti tarafından yolsuzluğu frenlemek adına birçok kayda değer gelişmeler mevcuttur, örneğin <span id=""a_Kenya_0_qa_3"">yeni ve bağımsız bir Etik ve Anti-Yolsuzluk Komisyonu kurulması</span> gibi.</p>"," ","html-keyboard-response","6","16127","0.0-6.0","Win32","1280","720","","","","","","","","","","","","a_Kenya_0","[]","{""#paragraph"":{""x"":50,""y"":136.5,""width"":1180,""height"":472,""top"":136.5,""right"":1230,""bottom"":608.5,""left"":50},""#a_Kenya_0_qa_0"":{""x"":70,""y"":320,""width"":68.16667175292969,""height"":33,""top"":320,""right"":138.1666717529297,""bottom"":353,""left"":70},""#a_Kenya_0_qa_1"":{""x"":303.66668701171875,""y"":176,""width"":328.8499755859375,""height"":33,""top"":176,""right"":632.5166625976562,""bottom"":209,""left"":303.66668701171875},""#a_Kenya_0_qa_2"":{""x"":245.86666870117188,""y"":392,""width"":47.44999694824219,""height"":33,""top"":392,""right"":293.31666564941406,""bottom"":425,""left"":245.86666870117188},""#a_Kenya_0_qa_3"":{""x"":70,""y"":536,""width"":908.9666748046875,""height"":33,""top"":536,""right"":978.9666748046875,""bottom"":569,""left"":70}}","",""
"1296","","{""Q0"":""1""}","survey-text","7","17425","0.0-7.0","Win32","1280","720","","","","","","","","","","","","a_Kenya_0_qa_0","[]","{""#question"":{""x"":208.8000030517578,""y"":287.70001220703125,""width"":862.4000244140625,""height"":112,""top"":287.70001220703125,""right"":1071.2000274658203,""bottom"":399.70001220703125,""left"":208.8000030517578}}","düşük","Kenya YAE ölçeğinde nerede yer alır?"
"1252","
<p class=""webgaze-experiment"" id=""paragraph"">Fonksiyon problemleri kavramının <span id=""a_Computationalcomplexitytheory_2_qa_0"">karar problemleri</span> kavramından daha zengin olduğunu düşünmek caziptir. Ancak, durum gerçekte böyle değildir, çünkü fonksiyon problemleri karar problemi olarak yeniden ortaya çıkabilir. Örneğin, iki tamsayının çarpımı, a x b = c ilişkisini koruyacak şekilde <span id=""a_Computationalcomplexitytheory_2_qa_1"">üçlü kümesi</span>(a, b, c) olarak ifade edilebilir. Belirli bir üçlünün bu setin bir üyesi olup olmadığına karar vermek, iki sayının çarpılması probleminin çözümüne karşılık gelir.</p>"," ","html-keyboard-response","8","18678","0.0-8.0","Win32","1280","720","","","","","","","","","","","","a_Computationalcomplexitytheory_2","[]","{""#paragraph"":{""x"":50,""y"":100.5,""width"":1180,""height"":544,""top"":100.5,""right"":1230,""bottom"":644.5,""left"":50},""#a_Computationalcomplexitytheory_2_qa_0"":{""x"":532.2000122070312,""y"":140,""width"":220.9666748046875,""height"":33,""top"":140,""right"":753.1666870117188,""bottom"":173,""left"":532.2000122070312},""#a_Computationalcomplexitytheory_2_qa_1"":{""x"":939.2999877929688,""y"":356,""width"":158.76666259765625,""height"":33,""top"":356,""right"":1098.066650390625,""bottom"":389,""left"":939.2999877929688}}","",""
"1149","","{""Q0"":""1""}","survey-text","9","19830","0.0-9.0","Win32","1280","720","","","","","","","","","","","","a_Computationalcomplexitytheory_2_qa_1","[]","{""#question"":{""x"":50,""y"":251.6999969482422,""width"":1180,""height"":184,""top"":251.6999969482422,""right"":1230,""bottom"":435.6999969482422,""left"":50}}","üçlü kümesi","İki tamsayı çarpılırsa ve bir değer çıkarsa, bu ifade kümesi ne olarak adlandırılır?"
