,text,word,counter,x,y,width,height
0,a_Force_3_1280_720,Elektrik,0,72,149,80,18
1,a_Force_3_1280_720,akimi,0,185,149,57,18
2,a_Force_3_1280_720,=,0,260,145,3,32
3,a_Force_3_1280_720,"tanimini,",0,276,151,95,19
4,a_Force_3_1280_720,elektrik,1,406,149,81,18
5,a_Force_3_1280_720,ydkUnUn,0,519,149,96,24
6,a_Force_3_1280_720,degisim,0,649,149,84,24
7,a_Force_3_1280_720,zamaninin§,0,767,154,114,13
8,a_Force_3_1280_720,orani,0,915,154,55,13
9,a_Force_3_1280_720,olarak,0,1004,149,68,18
10,a_Force_3_1280_720,"birlestirerek,",0,72,221,138,24
11,a_Force_3_1280_720,Lorentz,0,245,222,82,17
12,a_Force_3_1280_720,Yasasi,0,359,222,67,17
13,a_Force_3_1280_720,adli,0,460,221,37,18
14,a_Force_3_1280_720,bir,0,532,221,29,18
15,a_Force_3_1280_720,vekt6r,0,592,221,71,18
16,a_Force_3_1280_720,¢arpma_,0,696,226,82,19
17,a_Force_3_1280_720,"kurali,",0,812,221,66,21
18,a_Force_3_1280_720,manyetik,0,912,221,101,24
19,a_Force_3_1280_720,alanda,0,1046,221,73,18
20,a_Force_3_1280_720,hareket,0,72,293,84,18
21,a_Force_3_1280_720,eden,0,188,293,54,18
22,a_Force_3_1280_720,bir,1,277,293,28,18
23,a_Force_3_1280_720,yuk,0,337,293,38,24
24,a_Force_3_1280_720,Uzerindeki,0,409,293,113,18
25,a_Force_3_1280_720,kuweti,0,557,293,76,18
26,a_Force_3_1280_720,tanimlar.,0,667,293,98,18
27,a_Force_3_1280_720,Elektrik,2,800,293,80,18
28,a_Force_3_1280_720,ve,0,912,298,24,13
29,a_Force_3_1280_720,manyetizma,0,970,293,134,24
30,a_Force_3_1280_720,arasindaki,0,71,365,112,18
31,a_Force_3_1280_720,"baglanti,",0,219,365,92,24
32,a_Force_3_1280_720,yuke,0,344,365,52,24
33,a_Force_3_1280_720,etki,0,429,365,38,18
34,a_Force_3_1280_720,eden,1,501,365,53,18
35,a_Force_3_1280_720,birlesik,0,589,365,78,24
36,a_Force_3_1280_720,bir,2,701,365,28,18
37,a_Force_3_1280_720,elektromanyetik,0,762,365,180,24
38,a_Force_3_1280_720,kuwvet,0,975,365,71,18
39,a_Force_3_1280_720,tanimlamasina_,0,71,437,163,18
40,a_Force_3_1280_720,izin’,0,268,437,35,18
41,a_Force_3_1280_720,verir.,0,336,437,56,18
42,a_Force_3_1280_720,Bu,0,427,438,26,17
43,a_Force_3_1280_720," kuwet,",0,488,437,76,21
44,a_Force_3_1280_720,elektrostatik,0,598,437,137,18
45,a_Force_3_1280_720,kuvwvetin,0,769,437,90,18
46,a_Force_3_1280_720,§,0,872,433,3,32
47,a_Force_3_1280_720,(elektrik,0,893,437,89,22
