,stimulus,trial_name,task_type,correct_answer,lang
2,"Ein Fahrzeugkennzeichen ist ein Metall- oder Kunststoffschild, das zur amtlichen Identifizierung an einem Fahrzeug angebracht ist. In allen Ländern sind solche Kennzeichen für Straßenfahrzeuge wie Autos, Lastwagen und Motorräder erforderlich. Ob sie für andere Fahrzeuge wie Fahrräder, Boote oder Traktoren erforderlich sind, kann je nach Rechtssprechung variieren. Die Registrierungskennung besteht aus einer Reihe von Buchstaben und Ziffern, die den Fahrzeughalter eindeutig im Fahrzeugregister der ausstellenden Behörde identifiziert. In einigen Ländern ist die Kennung innerhalb des gesamten Landes einzigartig, während sie dies in anderen Ländern nur innerhalb eines Staates oder einer Provinz ist. Frankreich war das erste Land, das Ende des 19. Jahrhunderts das Kennzeichen einführte. Die Kennzeichen des frühen zwanzigsten Jahrhunderts variierten in Größe und Form je nach regionaler Rechtssprechung, so dass bei einem Umzug zusätzliche Löcher in das Auto gebohrt werden mussten, um das neue Kennzeichen anbringen zu können. Die Standardisierung der Platten erfolgte erst Ende der fünfziger Jahre, als sich die Automobilhersteller mit Regierungen und internationalen Organisationen einigten.",meco_para_12,NR,,DE
3,Wurde die Kennzeichengröße vor dem Zweiten Weltkrieg vereinheitlicht? ,meco_para_12_qa_1,NR,False,DE
4,"Nachdem er Edisons Firma verlassen hatte, verbündete sich Tesla 1886 mit zwei Geschäftsleuten, Robert Lane und Benjamin Vail, die sich bereit erklärten, ein Elektrikunternehmen in Teslas Namen, Tesla Electric Light & Manufacturing zu finanzieren. Das Unternehmen installierte Lichtbogenbeleuchtungssysteme, die von Tesla entworfen wurden, und besaß auch Entwürfe für Lichtmaschinenkommutatoren, die ersten Patente, die Tesla in den USA angemeldet hatte.",a_NikolaTesla_1,NR,,DE
5,"Wann entstand die Partnerschaft zwischen Tesla, Lane und Vail?",a_NikolaTesla_1_qa_6,NR,1886,DE
6,"Zu den bedeutenden Alumni in den Wirtschaftswissenschaften zählen Microsofts CEO Satya Nadella, der Gründer der Oracle Corporation und der drittreichste Mann in Amerika Larry Ellison, der CEO von Goldman Sachs und MF Global sowie frühere Gouverneur von New Jersey Jon Corzine, der Gründer von McKinsey & Company und Autor des ersten Lehrbuchs für internes Rechnungswesen James O. McKinsey, Arley D. Cathey, Daniel Doctoroff, CEO von Bloomberg L.P., Brady Dougan, CEO von Credit Suisse, Joe Mansueto, Gründer und CEO von Morningstar, Inc., Thomas S. Ricketts, Eigentümer und Vorsitzender der Chicago Cubs, und NBA-Commissioner Adam Silver.",a_UniversityofChicago_3,NR,,DE
7,Wer ist der drittreichste Mann in Amerika?,a_UniversityofChicago_3_qa_2,NR,Larry Ellison,DE
8,"Die Bedürfnisse der Sojabauern wurden genutzt, um viele der umstrittenen Transportprojekte zu rechtfertigen, die derzeit im Amazonasgebiet entstehen. Die ersten beiden Autobahnen erschlossen den Regenwald erfolgreich und führten zu mehr Siedlungen und mehr Rodungen. Die durchschnittliche jährliche Abholzungsrate war von 2000 bis 2005 (22.392 km2 oder 8.646 Quadratmeilen pro Jahr) 18% höher als in den letzten fünf Jahren (19.018 km2 oder 7.343 Quadratmeilen pro Jahr). Obwohl die Waldrodung im brasilianischen Amazonasgebiet zwischen 2004 und 2014 deutlich zurückgegangen ist, ist sie insgesamt bis heute gestiegen.",a_Amazonrainforest_2,NR,,DE
9,Wozu führte der Bau von Autobahnen im Amazonas-Regenwald?,a_Amazonrainforest_2_qa_1,NR,zu mehr Siedlungen und mehr Rodungen,DE
10,"Warschau war während seiner gesamten Existenz eine multikulturelle Stadt. Laut der Volkszählung von 1901 waren von 711.988 Einwohnern 56,2% Katholiken, 35,7% Juden, 5% griechisch-orthodoxe Christen und 2,8% Protestanten. Acht Jahre später, im Jahr 1909, gab es 281.754 Juden (36,9%), 18.189 Protestanten (2,4%) und 2.818 Mariaviten (0,4%). Dies führte zum Bau von Hunderten von religiösen Kultstätten in allen Teilen der Stadt. Die meisten von ihnen wurden nach dem Warschauer Aufstand von 1944 zerstört. Nach dem Krieg rieten die neuen kommunistischen Behörden Polens vom Kirchenbau ab und nur wenige wurden wiederaufgebaut.",a_Warsaw_2,NR,,DE
11,Wann wurden die meisten religiösen Kultstätten in Warschau zerstört?,a_Warsaw_2_qa_4,NR,1944,DE
12,"Die Broncos besiegten die Pittsburgh Steelers in der Divisional Round, 23-16, indem sie in den letzten drei Minuten des Spiels 11 Punkte erzielten. Sie schlugen daraufhin im AFC-Championship-Spiel den verteidigenden Super Bowl XLIX-Champion, die New England Patriots, 20-18, indem sie bei nur 17 Sekunden verbleibender Spielzeit New Englands Versuch, eine 2-Point Conversion zu erzielen, abfingen. Trotz Mannings Problemen mit Interceptions während der Saison verfehlte er in den beiden Playoff-Spielen keine einzige.",a_SuperBowl50_1,IS,,DE
13,Wen schlugen die Broncos in der Divisional Round?,q_after_a_SuperBowl50_1_qa_10,IS,die Pittsburgh Steelers,DE
14,"Kenia steht auf Transparency Internationals Korruptionswahrnehmungsindex (CPI), einem Maßstab, welcher die Verbreitung von Korruption im öffentlichen Sektor in verschiedenen Ländern zu messen versucht, weit unten. 2012 stand das Land auf Platz 139 von insgesamt 176 Ländern im CPI, mit einer Punktzahl von 27/100. Aber es gibt verschiedene ziemlich bedeutsame Entwicklungen bezüglich der Korruptionseindämmung von der kenianischen Regierung, zum Beispiel die Einrichtung einer neuen, unabhängigen Kommission für Ethik und Korruptionsbekämpfung (EACC).",a_Kenya_0,IS,,DE
