,stimulus,trial_name,task_type,correct_answer,lang
2,"La patente de un vehículo es una placa de metal o plástico fijada al vehículo con el propósito de identificación oficial. Todos los países requieren patentes para vehículos como autos, camiones y motocicletas. Su requerimiento para otros vehículos como bicicletas, botes o tractores puede variar por jurisdicción. El identificador de registro es una serie de letras o números que identifican únicamente al dueño de un vehículo dentro de la región del registro del vehículo. En algunos países, el identificador es único en todo el país, mientras que, en otros, es único dentro de un estado o provincia. Francia fue el primer país en introducir la patente, a fines del siglo diecinueve. Las patentes de principios de siglo veinte variaban en tamaño y forma de una jurisdicción a otra, de manera que, si una persona se mudaba, se necesitaba hacer nuevos agujeros en el auto para sostener la nueva patente. La estandarización de patentes llegó a fines de los años cincuenta, cuando los fabricantes de automóviles llegaron a un acuerdo con los distintos gobiernos y organizaciones internacionales.",meco_para_12,NR,,ES
3,La primera patente fue introducida en Francia. ,meco_para_12_qa_0,NR,True,ES
4,"Aunque la máquina de vapor de pistón ya no es de uso comercial generalizado, varias empresas están explorando o explotando el potencial de la máquina como alternativa a las máquinas de combustión interna. La empresa Energiprojekt AB en Suecia ha progresado en el uso de materiales modernos para aprovechar la potencia del vapor. La eficiencia de la máquina de vapor de Energiprojekt alcanza un 27-30 % en motores de alta presión. Es un motor de un solo paso y 5 cilindros (sin compuesto) con vapor sobrecalentado y consume aproximadamente 4 kg (8,8 libras) de vapor por kWh.[no se proporciona cita]",a_Steamengine_3,NR,,ES
5,¿Qué porcentaje de la eficiencia de un motor de alta presión ha conseguido el motor Energiprojekt AB?,a_Steamengine_3_qa_4,NR,27-30 %,ES
6,"A Fresno se puede acceder por la carretera estatal 99, la principal autopista norte/sur que conecta los principales centros de población del Valle Central de California. La carretera estatal 168, la autopista Sierra, se dirige al este hacia la ciudad de Clovis y Huntington Lake. La carretera estatal 41 (autopista Yosemite Freeway/autopista Eisenhower) llega a Fresno desde Atascadero en el sur, y luego se dirige al norte hacia Yosemite. La carretera estatal 180 (autopista de Kings Canyon) viene desde el oeste a través de Mendota, y desde el este en el Parque Nacional Kings Canyon en dirección a la ciudad de Reedley.",a_FresnoCalifornia_3,NR,,ES
7,¿Cuál es otro nombre para la autopista Yosemite?,a_FresnoCalifornia_3_qa_2,NR,carretera estatal 41,ES
8,"De 2005 a 2014 hubo dos equipos de las ligas mayores de fútbol en Los Ángeles: el LA Galaxy y el Chivas USA, que jugaron en el StubHub Center y fueron rivales locales. Sin embargo, tras la temporada 2014 de la MLS se expulsó temporalmente a los Chivas, y está previsto que regrese un segundo equipo de la MLS en 2018.",a_SouthernCalifornia_4,NR,,ES
9,¿Cuándo está previsto que regrese el equipo expulsado temporalmente?,a_SouthernCalifornia_4_qa_4,NR,2018,ES
10,"Los docentes de Gales pueden ser miembros registrados de sindicatos como ATL, NUT o NASUWT, y los informes de los últimos años indican que la edad media de los docentes de Gales está reduciéndose y que los docentes son más jóvenes que en años anteriores. Una causa creciente de preocupación son los ataques a docentes en colegios galeses, que alcanzaron su máximo absoluto entre 2005 y 2010.",a_Teacher_1,NR,,ES
11,¿Qué está pasando con la edad media de los docentes de Gales?,a_Teacher_1_qa_1,NR,reduciéndose,ES
12,"En virtud del Acta de Escocia de 1978, se crearía una asamblea electa en Edimburgo siempre que la mayoría del electorado escocés votara a favor en un referéndum que se celebraría el 1 de marzo de 1979 y que representara al menos al 40 % del electorado total. El referéndum escocés de 1979 para establecer una Asamblea escocesa descentralizada fracasó. Aunque el voto fue de un 51,6 % a favor de una Asamblea Escocesa, esta cifra no igualó el 40 % del umbral total del electorado que se consideró necesario para aprobar la medida, ya que el 32,9 % de la población con derecho a voto no votó o no pudo hacerlo.",a_ScottishParliament_0,IS,,ES
13,¿Qué porcentaje de la población con derecho a voto de Escocia no votó realmente?,q_after_a_ScottishParliament_0_qa_4,IS,"32,9 %",ES
14,"El calor necesario para hervir el agua y suministrar el vapor puede derivarse de varias fuentes, generalmente de la quema de materiales combustibles con un suministro adecuado de aire en un espacio cerrado (llamado de varias maneras: cámara de combustión, chimenea...). En algunos casos la fuente de calor es un reactor nuclear, energía geotérmica, energía solar o calor residual de un motor de combustión interna o proceso industrial. En el caso de modelos o motores de vapor de juguete, la fuente de calor puede ser un calentador eléctrico.",a_Steamengine_0,IS,,ES
15,"Junto con el calor residual de la energía nuclear, geotérmica y de los motores de combustión interna, ¿qué tipo de energía podría suministrar el calor para una máquina de vapor?",q_after_a_Steamengine_0_qa_2,IS,energía solar,ES
16,"Se sospecha, aunque no ha sido demostrado, que muchas clases de complejidad conocidas pueden ser desiguales. Por ejemplo: P ⊆ NP ⊆ PP ⊆ PSPACE, aunque es posible que P = PSPACE. En el caso de que P no sea igual a NP, entonces P tampoco será igual a PSPACE. Dada la existencia de tantas clases de complejidad conocidas entre P y PSPACE como RP, BPP, PP, BQP, MA, PH, etc. es posible que todas estas clases converjan en una sola. Conseguir probar que alguna de estas clases es desigual supondría un gran descubrimiento en la teoría de la complejidad.",a_Computationalcomplexitytheory_4,IS,,ES
17,¿Cuál es el supuesto no demostrado generalmente atribuido al valor de las clases de complejidad?,q_after_a_Computationalcomplexitytheory_4_qa_0,IS,desiguales,ES
18,"El historiador Frederick W. Mote escribió que el uso del término ""clases sociales"" para este sistema era engañoso, y que la posición de las personas dentro del sistema de cuatro clases no era una indicación de su poder social y riqueza, sino que solo implicaba ""grados de privilegio"" a los que tenían derecho institucional y legal, por lo que la posición de una persona dentro de las clases no era una garantía de su posición, ya que había chinos ricos y socialmente consolidados, mientras que había menos mongoles y semu ricos que mongoles y semu que vivieran en la pobreza y fueran maltratados.",a_Yuandynasty_4,IS,,ES
19,¿Con qué estado inesperado había muchos mongoles?,q_after_a_Yuandynasty_4_qa_3,IS,vivieran en la pobreza y fueran maltratados,ES
