,stimulus,trial_name,task_type,correct_answer,lang
2,"Dünya Doğa ve Doğal Kaynakları Koruma Birliği doğanın korunması ve doğal kaynakların sürdürülebilir kullanımı alanında çalışan uluslararası bir kuruluştur. Veri toplama ve analiz, araştırma, saha projeleri, savunma ve eğitim alanlarında faaliyet göstermektedir. Misyonu dünyadaki toplumları doğayı korumak için etkilemek, teşvik etmek ve yardımcı olmak ve doğal kaynak kullanımının adil ve ekolojik olarak sürdürülebilir olmasını sağlamak tır. Geçtiğimiz on yıllar boyunca, organizasyon koruma ekolojisinin ötesinde odağını genişletti ve şimdi projelerinde sürdürülebilir kalkınma ile ilgili konuları içeriyor. Pek çok uluslararası çevre kuruluşlarının aksine, bu organizasyon halkı doğanın korunmasına destek olarak seferber etmeyi amaçlamamaktadır. Bunun yerine, organizasyon bilgi, tavsiye sağlayarak ve ortaklıklar kurarak hükümetlerin, iş dünyasının ve diğer paydaşların faaliyetlerini etkilemeye çalışır. Organizasyon geniş kitlelerce dünyadaki türlerin korunma durumunu  değerlendiren “Tehdit Edilen Türlerin Kırmızı Listesi”ni  derlediği ve yayınladığı için bilinir. Bugün, organizasyon elliden fazla ülkede yaklaşık bin tam zamanlı personel istihdam etmektedir.",meco_para_11,NR,,TR
3,Bu kuruluş Tehdit Edilen Türlerin Kırmızı Listesi yayınlar mı?,meco_para_11_qa_3,NR,True,TR
4,"Gerilme tensörünün hesaplandığı hacim için ilgili kesit alanı nerededir. Bu biçimcilik, enine kesit alanına normal olarak etki eden kuvvetlerle (basınç tensörünün matris köşegenleri) ilgili basınç terimlerini ve enine kesit alanına paralel hareket eden kuvvetlerle (kayma dışı elemanlar) ilişkili terimleri içerir. Gerilme tensörü, çekme gerilmeleri ve kompresyonları da dahil olmak üzere tüm suşlara (deformasyonlara) neden olan kuvvetlerden sorumludur .:133–134:38-1–38-11",a_Force_4,NR,,TR
5,Bir nesnenin hacmindeki kesit alanını hesaplamak için ne kullanılır?,a_Force_4_qa_1,NR,basınç terimlerini,TR
6,"Çeşitli ülkelerde kamu sektörü yolsuzluğu yaygınlığını ölçmeye çalışan bir ölçü olan Uluslararası Şeffaflık Örgütü'nün Yolsuzluk Algısı Endeksi'nde (YAE) Kenya düşük sıralardadır. Ülke 2012'de, 27/100 puanla, YAE'de yer alan toplam 176 ülke içinde 139. sırada yer almıştır. Bununla birlikte Kenya hükümeti tarafından yolsuzluğu frenlemek adına birçok kayda değer gelişmeler mevcuttur, örneğin yeni ve bağımsız bir Etik ve Anti-Yolsuzluk Komisyonu kurulması gibi.",a_Kenya_0,NR,,TR
7,Kenya YAE ölçeğinde nerede yer alır?,a_Kenya_0_qa_0,NR,düşük,TR
8,"Fonksiyon problemleri kavramının karar problemleri kavramından daha zengin olduğunu düşünmek caziptir. Ancak, durum gerçekte böyle değildir, çünkü fonksiyon problemleri karar problemi olarak yeniden ortaya çıkabilir. Örneğin, iki tamsayının çarpımı, a x b = c ilişkisini koruyacak şekilde üçlü kümesi(a, b, c) olarak ifade edilebilir. Belirli bir üçlünün bu setin bir üyesi olup olmadığına karar vermek, iki sayının çarpılması probleminin çözümüne karşılık gelir.",a_Computationalcomplexitytheory_2,NR,,TR
9,"İki tamsayı çarpılırsa ve bir değer çıkarsa, bu ifade kümesi ne olarak adlandırılır?",a_Computationalcomplexitytheory_2_qa_1,NR,üçlü kümesi,TR
10,"Enerji krizi, yenilenebilir enerji, nükleer enerji ve yerel fosil yakıtlara daha fazla ilgi duyulmasına neden oldu. Krizden bu yana Amerikan enerji politikalarına kriz-zihniyeti düşüncesinin egemen olduğuna, pahalı hızlı düzeltmelerin ve piyasa ve teknoloji gerçekliklerini görmezden gelen tek seferlik çözümlerin teşvik edildiğine dair eleştiriler bulunmakta. Girişimcilik ve inovasyon için çok fazla alan bırakırken, temel araştırmaları destekleyen istikrarlı kurallar sunmak yerine, kongreler ve başkanlar tekrar tekrar siyasi olarak uygun, ancak başarı şansları şüpheli olan çözümler vaat eden politikaları desteklediler.",a_1973oilcrisis_3,NR,,TR
11,"Enerji politikalarının, pahalı hızlı düzeltmeler yaparak hangi gerçekleri görmezden geldiğine dair eleştiriler yapılıyordu?",a_1973oilcrisis_3_qa_1,NR,piyasa ve teknoloji gerçekliklerini,TR
