,word_id_orig,TRT,FixCount,Span_word_is_in,text_id,countFix,word_id,sentence_id,word_length,correct_answer,target_to_fixation_ratio,task_type,relFix
0,Wine_0,850.0,8,,meco_para_7,8,Wine,1,4,True,0.010638297872340425,NR,0.16271056661562022
1,tasting_0,1226.0,7,,meco_para_7,7,tasting,1,7,True,0.010638297872340425,NR,0.23468606431852987
2,is_0,136.0,2,,meco_para_7,2,is,1,2,True,0.010638297872340425,NR,0.026033690658499236
3,the_0,237.0,3,,meco_para_7,3,the,1,3,True,0.010638297872340425,NR,0.04536753445635528
4,sensory_0,66.0,1,,meco_para_7,1,sensory,1,7,True,0.010638297872340425,NR,0.012633996937212864
5,examination_0,1176.0,7,,meco_para_7,7,examination,1,11,True,0.010638297872340425,NR,0.225114854517611
6,and_0,318.0,3,,meco_para_7,3,and,1,3,True,0.010638297872340425,NR,0.0608728943338438
7,evaluation_0,852.0,3,,meco_para_7,3,evaluation,1,10,True,0.010638297872340425,NR,0.16309341500765698
8,of_0,194.0,2,,meco_para_7,2,of,1,2,True,0.010638297872340425,NR,0.03713629402756508
9,wine._1,169.0,1,,meco_para_7,1,wine.,1,5,True,0.010638297872340425,NR,0.03235068912710567
10,While_0,,0,,meco_para_7,0,While,2,5,True,0.010638297872340425,NR,
11,the_1,,0,,meco_para_7,0,the,2,3,True,0.010638297872340425,NR,
12,practice_0,230.0,2,,meco_para_7,2,practice,2,8,True,0.010638297872340425,NR,0.027831558567279768
13,of_1,167.0,2,,meco_para_7,2,of,2,2,True,0.010638297872340425,NR,0.0202081316553727
14,wine_2,80.0,1,,meco_para_7,1,wine,2,4,True,0.010638297872340425,NR,0.00968054211035818
15,tasting_1,234.0,3,,meco_para_7,3,tasting,2,7,True,0.010638297872340425,NR,0.028315585672797676
16,is_1,,0,,meco_para_7,0,is,2,2,True,0.010638297872340425,NR,
17,as_0,336.0,3,,meco_para_7,3,as,2,2,True,0.010638297872340425,NR,0.04065827686350436
18,ancient_0,536.0,4,,meco_para_7,4,ancient,2,7,True,0.010638297872340425,NR,0.06485963213939981
19,as__0,,0,,meco_para_7,0,as,2,2,True,0.010638297872340425,NR,
20,its_0,161.0,2,,meco_para_7,2,its,2,3,True,0.010638297872340425,NR,0.019482090997095837
21,"production,_0",1377.0,7,,meco_para_7,7,"production,",2,11,True,0.010638297872340425,NR,0.16662633107454017
22,a_0,1021.0,2,,meco_para_7,2,a,2,1,True,0.010638297872340425,NR,0.12354791868344628
23,more_0,475.0,2,,meco_para_7,2,more,2,4,True,0.010638297872340425,NR,0.057478218780251694
24,formalized_0,171.0,1,,meco_para_7,1,formalized,2,10,True,0.010638297872340425,NR,0.02069215876089061
25,methodology_0,259.0,3,,meco_para_7,3,methodology,2,11,True,0.010638297872340425,NR,0.03134075508228461
26,has_0,,0,,meco_para_7,0,has,2,3,True,0.010638297872340425,NR,
27,slowly_0,236.0,2,,meco_para_7,2,slowly,2,6,True,0.010638297872340425,NR,0.028557599225556632
28,become_0,194.0,2,,meco_para_7,2,become,2,6,True,0.010638297872340425,NR,0.023475314617618585
29,established_0,272.0,3,,meco_para_7,3,established,2,11,True,0.010638297872340425,NR,0.03291384317521781
30,from_0,448.0,1,,meco_para_7,1,from,2,4,True,0.010638297872340425,NR,0.05421103581800581
31,the_2,342.0,3,,meco_para_7,3,the,2,3,True,0.010638297872340425,NR,0.04138431752178122
32,late_0,342.0,3,,meco_para_7,3,late,2,4,True,0.010638297872340425,NR,0.04138431752178122
33,middle_0,1383.0,4,,meco_para_7,4,middle,2,6,True,0.010638297872340425,NR,0.16735237173281703
34,ages_0,,0,,meco_para_7,0,ages,2,4,True,0.010638297872340425,NR,
35,onwards._0,,0,,meco_para_7,0,onwards.,2,8,True,0.010638297872340425,NR,
36,"Modern,_0",1064.0,7,,meco_para_7,7,"Modern,",3,7,True,0.010638297872340425,NR,0.14777777777777779
37,professional_0,440.0,4,,meco_para_7,4,professional,3,12,True,0.010638297872340425,NR,0.06111111111111111
38,wine_3,985.0,5,,meco_para_7,5,wine,3,4,True,0.010638297872340425,NR,0.13680555555555557
39,tasters_0,316.0,3,,meco_para_7,3,tasters,3,7,True,0.010638297872340425,NR,0.04388888888888889
40,use_0,190.0,1,,meco_para_7,1,use,3,3,True,0.010638297872340425,NR,0.02638888888888889
41,a_1,,0,,meco_para_7,0,a,3,1,True,0.010638297872340425,NR,
42,constantly_0,553.0,5,,meco_para_7,5,constantly,3,10,True,0.010638297872340425,NR,0.07680555555555556
43,evolving_0,446.0,4,,meco_para_7,4,evolving,3,8,True,0.010638297872340425,NR,0.06194444444444445
44,specialized_0,345.0,2,,meco_para_7,2,specialized,3,11,True,0.010638297872340425,NR,0.04791666666666667
45,terminology_0,238.0,1,,meco_para_7,1,terminology,3,11,True,0.010638297872340425,NR,0.03305555555555555
46,which_0,,0,,meco_para_7,0,which,3,5,True,0.010638297872340425,NR,
47,is_2,69.0,1,,meco_para_7,1,is,3,2,True,0.010638297872340425,NR,0.009583333333333333
48,used_0,56.0,1,,meco_para_7,1,used,3,4,True,0.010638297872340425,NR,0.0077777777777777776
49,to_0,506.0,2,,meco_para_7,2,to,3,2,True,0.010638297872340425,NR,0.07027777777777777
50,describe_0,106.0,2,,meco_para_7,2,describe,3,8,True,0.010638297872340425,NR,0.014722222222222222
51,the_3,,0,,meco_para_7,0,the,3,3,True,0.010638297872340425,NR,
52,range_0,766.0,3,,meco_para_7,3,range,3,5,True,0.010638297872340425,NR,0.1063888888888889
53,of_2,,0,,meco_para_7,0,of,3,2,True,0.010638297872340425,NR,
54,perceived_0,68.0,1,,meco_para_7,1,perceived,3,9,True,0.010638297872340425,NR,0.009444444444444445
55,"flavors,_0",64.0,1,,meco_para_7,1,"flavors,",3,8,True,0.010638297872340425,NR,0.008888888888888889
56,aromas_0,130.0,2,,meco_para_7,2,aromas,3,6,True,0.010638297872340425,NR,0.018055555555555554
57,and__0,157.0,1,,meco_para_7,1,and,3,3,True,0.010638297872340425,NR,0.021805555555555557
58,general_0,,0,,meco_para_7,0,general,3,7,True,0.010638297872340425,NR,
59,characteristics_0,545.0,2,meco_para_7_qa_0 ,meco_para_7,2,characteristics,3,15,True,0.010638297872340425,NR,0.07569444444444444
60,of_3,,0,meco_para_7_qa_0 ,meco_para_7,0,of,3,2,True,0.010638297872340425,NR,
61,a_2,,0,meco_para_7_qa_0 ,meco_para_7,0,a,3,1,True,0.010638297872340425,NR,
62,wine._4,156.0,2,meco_para_7_qa_0 ,meco_para_7,2,wine.,3,5,True,0.010638297872340425,NR,0.021666666666666667
63,In_0,,0,meco_para_7_qa_0 ,meco_para_7,0,In,4,2,True,0.010638297872340425,NR,
64,recent_0,,0,meco_para_7_qa_0 ,meco_para_7,0,recent,4,6,True,0.010638297872340425,NR,
65,"years,_0",,0,meco_para_7_qa_0 ,meco_para_7,0,"years,",4,6,True,0.010638297872340425,NR,
66,results_0,101.0,1,meco_para_7_qa_0 ,meco_para_7,1,results,4,7,True,0.010638297872340425,NR,0.046608214120904476
67,challenging_0,230.0,2,meco_para_7_qa_0 ,meco_para_7,2,challenging,4,11,True,0.010638297872340425,NR,0.10613751730503
68,the_4,188.0,1,meco_para_7_qa_0 ,meco_para_7,1,the,4,3,True,0.010638297872340425,NR,0.08675588371019843
69,reliability_0,216.0,2,meco_para_7_qa_0 ,meco_para_7,2,reliability,4,11,True,0.010638297872340425,NR,0.09967697277341947
70,of_4,,0,meco_para_7_qa_0 ,meco_para_7,0,of,4,2,True,0.010638297872340425,NR,
71,wine_5,,0,meco_para_7_qa_0 ,meco_para_7,0,wine,4,4,True,0.010638297872340425,NR,
72,tasting_2,544.0,1,meco_para_7_qa_0 ,meco_para_7,1,tasting,4,7,True,0.010638297872340425,NR,0.25103830179972314
73,in_1,,0,meco_para_7_qa_0 meco_para_7_qa_1 ,meco_para_7,0,in,4,2,True,0.010638297872340425,NR,
74,both_0,,0,meco_para_7_qa_0 meco_para_7_qa_1 ,meco_para_7,0,both,4,4,True,0.010638297872340425,NR,
75,experts_0,412.0,3,meco_para_7_qa_0 meco_para_7_qa_1 ,meco_para_7,3,experts,4,7,True,0.010638297872340425,NR,0.19012459621596678
76,and_1,,0,meco_para_7_qa_0 ,meco_para_7,0,and,4,3,True,0.010638297872340425,NR,
77,consumers_0,,0,meco_para_7_qa_0 ,meco_para_7,0,consumers,4,9,True,0.010638297872340425,NR,
78,have_0,238.0,1,meco_para_7_qa_0 ,meco_para_7,1,have,4,4,True,0.010638297872340425,NR,0.10982925703737886
79,surfaced._0,238.0,1,meco_para_7_qa_0 ,meco_para_7,1,surfaced.,4,9,True,0.010638297872340425,NR,0.10982925703737886
80,For_0,,0,meco_para_7_qa_0 ,meco_para_7,0,For,5,3,True,0.010638297872340425,NR,
81,"example,_0",766.0,4,meco_para_7_qa_0 ,meco_para_7,4,"example,",5,8,True,0.010638297872340425,NR,0.06853359577704214
82,studies_0,,0,meco_para_7_qa_0 ,meco_para_7,0,studies,5,7,True,0.010638297872340425,NR,
83,showed_0,,0,meco_para_7_qa_0 ,meco_para_7,0,showed,5,6,True,0.010638297872340425,NR,
84,that_0,68.0,1,,meco_para_7,1,that,5,4,True,0.010638297872340425,NR,0.006083922340520713
85,people_0,,0,,meco_para_7,0,people,5,6,True,0.010638297872340425,NR,
86,expect_0,68.0,1,,meco_para_7,1,expect,5,6,True,0.010638297872340425,NR,0.006083922340520713
87,more_1,136.0,1,,meco_para_7,1,more,5,4,True,0.010638297872340425,NR,0.012167844681041425
88,expensive_0,477.0,3,,meco_para_7,3,expensive,5,9,True,0.010638297872340425,NR,0.04267692582982911
89,wine_6,229.0,3,,meco_para_7,3,wine,5,4,True,0.010638297872340425,NR,0.02048850317616534
90,to_1,448.0,1,,meco_para_7,1,to,5,2,True,0.010638297872340425,NR,0.0400823118904894
91,have_1,,0,,meco_para_7,0,have,5,4,True,0.010638297872340425,NR,
92,more_2,132.0,2,,meco_para_7,2,more,5,4,True,0.010638297872340425,NR,0.011809966896304912
93,desirable_0,148.0,1,,meco_para_7,1,desirable,5,9,True,0.010638297872340425,NR,0.013241478035250961
94,characteristics_1,,0,,meco_para_7,0,characteristics,5,15,True,0.010638297872340425,NR,
95,than_0,,0,,meco_para_7,0,than,5,4,True,0.010638297872340425,NR,
96,less_0,572.0,1,,meco_para_7,1,less,5,4,True,0.010638297872340425,NR,0.05117652321732129
97,expensive_1,2234.0,8,,meco_para_7,8,expensive,5,9,True,0.010638297872340425,NR,0.19987474277534223
98,wine:_0,582.0,3,,meco_para_7,3,wine:,5,5,True,0.010638297872340425,NR,0.05207121767916257
99,When_0,270.0,2,,meco_para_7,2,When,5,4,True,0.010638297872340425,NR,0.02415675046971459
100,tasters_1,287.0,3,,meco_para_7,3,tasters,5,7,True,0.010638297872340425,NR,0.02567773105484477
101,are_0,97.0,1,,meco_para_7,1,are,5,3,True,0.010638297872340425,NR,0.008678536279860427
102,given_0,390.0,2,,meco_para_7,2,given,5,5,True,0.010638297872340425,NR,0.03489308401180997
103,wine_7,,0,,meco_para_7,0,wine,5,4,True,0.010638297872340425,NR,
104,that_1,65.0,1,,meco_para_7,1,that,5,4,True,0.010638297872340425,NR,0.005815514001968328
105,they_0,174.0,2,,meco_para_7,2,they,5,4,True,0.010638297872340425,NR,0.015567683636038294
106,are_1,106.0,1,,meco_para_7,1,are,5,3,True,0.010638297872340425,NR,0.009483761295517581
107,falsely_0,,0,,meco_para_7,0,falsely,5,7,True,0.010638297872340425,NR,
108,told_0,,0,,meco_para_7,0,told,5,4,True,0.010638297872340425,NR,
109,is_3,,0,,meco_para_7,0,is,5,2,True,0.010638297872340425,NR,
