,word_id_orig,TRT,FixCount,Span_word_is_in,text_id,countFix,word_id,sentence_id,word_length,correct_answer,target_to_fixation_ratio,task_type,relFix
0,Ein_0,62.0,1,,meco_para_12,1,Ein,1,3,True,0.770618556701031,NR,0.015023019142234069
1,Fahrzeugkennzeichen_0,1652.0,8,,meco_para_12,8,Fahrzeugkennzeichen,1,19,True,0.770618556701031,NR,0.40029076811243036
2,ist_0,,0,,meco_para_12,0,ist,1,3,True,0.770618556701031,NR,
3,ein_1,440.0,2,,meco_para_12,2,ein,1,3,True,0.770618556701031,NR,0.10661497455779016
4,Metall-_0,,0,,meco_para_12,0,Metall-,1,7,True,0.770618556701031,NR,
5,oder_0,127.0,1,,meco_para_12,1,oder,1,4,True,0.770618556701031,NR,0.03077295856554398
6,"Kunststoffschild,_0",600.0,6,,meco_para_12,6,"Kunststoffschild,",1,17,True,0.770618556701031,NR,0.1453840562151684
7,das_0,190.0,1,,meco_para_12,1,das,1,3,True,0.770618556701031,NR,0.04603828446813666
8,zur_0,,0,,meco_para_12,0,zur,1,3,True,0.770618556701031,NR,
9, amtlichen_0,,0,,meco_para_12,0, amtlichen,1,10,True,0.770618556701031,NR,
10,Identifizierung_0,758.0,4,,meco_para_12,4,Identifizierung,1,15,True,0.770618556701031,NR,0.18366852435182943
11,an_0,,0,,meco_para_12,0,an,1,2,True,0.770618556701031,NR,
12,einem_0,84.0,1,,meco_para_12,1,einem,1,5,True,0.770618556701031,NR,0.020353767870123576
13,Fahrzeug_0,214.0,3,,meco_para_12,3,Fahrzeug,1,8,True,0.770618556701031,NR,0.0518536467167434
14,angebracht_0,,0,,meco_para_12,0,angebracht,1,10,True,0.770618556701031,NR,
15,ist._1,,0,,meco_para_12,0,ist.,1,4,True,0.770618556701031,NR,
16,In_0,,0,,meco_para_12,0,In,2,2,True,0.770618556701031,NR,
17,allen_0,139.0,2,,meco_para_12,2,allen,2,5,True,0.770618556701031,NR,0.09935668334524661
18, Landern’_0,,0,,meco_para_12,0, Landern’,2,9,True,0.770618556701031,NR,
19,sind_0,,0,,meco_para_12,0,sind,2,4,True,0.770618556701031,NR,
20,solche_0,,0,,meco_para_12,0,solche,2,6,True,0.770618556701031,NR,
21,Kennzeichen_0,539.0,3,,meco_para_12,3,Kennzeichen,2,11,True,0.770618556701031,NR,0.38527519656897785
22,fiir_0,,0,,meco_para_12,0,fiir,2,4,True,0.770618556701031,NR,
23,Stra&enfahrzeuge_0,98.0,1,,meco_para_12,1,Stra&enfahrzeuge,2,16,True,0.770618556701031,NR,0.07005003573981415
24,wie_0,,0,,meco_para_12,0,wie,2,3,True,0.770618556701031,NR,
25,"Autos,_0",73.0,1,,meco_para_12,1,"Autos,",2,6,True,0.770618556701031,NR,0.05218012866333095
26,Lastwagen_0,259.0,3,,meco_para_12,3,Lastwagen,2,9,True,0.770618556701031,NR,0.18513223731236597
27,und_0,291.0,1,,meco_para_12,1,und,2,3,True,0.770618556701031,NR,0.20800571837026446
28,Motorrader_0,,0,,meco_para_12,0,Motorrader,2,10,True,0.770618556701031,NR,
29,erforderlich._0,,0,,meco_para_12,0,erforderlich.,2,13,True,0.770618556701031,NR,
30,Ob_0,209.0,2,meco_para_12_qa_2 ,meco_para_12,2,Ob,3,2,True,0.770618556701031,NR,0.06179775280898876
31,sie_0,,0,meco_para_12_qa_2 ,meco_para_12,0,sie,3,3,True,0.770618556701031,NR,
32,fir_0,155.0,2,meco_para_12_qa_2 ,meco_para_12,2,fir,3,3,True,0.770618556701031,NR,0.045830869308101714
33,andere_0,659.0,3,meco_para_12_qa_2 ,meco_para_12,3,andere,3,6,True,0.770618556701031,NR,0.19485511531638083
34,Fahrzeuge_0,193.0,1,meco_para_12_qa_2 ,meco_para_12,1,Fahrzeuge,3,9,True,0.770618556701031,NR,0.05706682436428149
35,wie_1,126.0,1,meco_para_12_qa_2 ,meco_para_12,1,wie,3,3,True,0.770618556701031,NR,0.03725606150206978
36,"Fahrrader,_0",309.0,4,meco_para_12_qa_2 ,meco_para_12,4,"Fahrrader,",3,10,True,0.770618556701031,NR,0.09136605558840923
37,Boote_0,413.0,2,meco_para_12_qa_2 ,meco_para_12,2,Boote,3,5,True,0.770618556701031,NR,0.1221170904790065
38,oder_1,532.0,3,meco_para_12_qa_2 ,meco_para_12,3,oder,3,4,True,0.770618556701031,NR,0.15730337078651685
39,Traktoren’_0,,0,meco_para_12_qa_2 ,meco_para_12,0,Traktoren’,3,10,True,0.770618556701031,NR,
40,erforderlich_1,,0,meco_para_12_qa_2 ,meco_para_12,0,erforderlich,3,12,True,0.770618556701031,NR,
41,—_0,,0,meco_para_12_qa_2 ,meco_para_12,0,—,3,1,True,0.770618556701031,NR,
42,"sind,_1",,0,meco_para_12_qa_2 ,meco_para_12,0,"sind,",3,5,True,0.770618556701031,NR,
43,kann_0,369.0,2,meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12,2,kann,3,4,True,0.770618556701031,NR,0.1091070372560615
44,je_0,,0,meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12,0,je,3,2,True,0.770618556701031,NR,
45,nach_0,,0,meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12,0,nach,3,4,True,0.770618556701031,NR,
