,word_id_orig,TRT,FixCount,Span_word_is_in,text_id,countFix,word_id,sentence_id,word_length,correct_answer,target_to_fixation_ratio,task_type,relFix
0,PeructpalWoHHbId_0,80.0,1,,meco_para_12,1,PeructpalWoHHbId,1,16,False,0.17916666666666667,NR,0.047534165181224004
1,HOMep_0,64.0,1,,meco_para_12,1,HOMep,1,5,False,0.17916666666666667,NR,0.038027332144979206
2,TpaHcMopTHoro§_0,235.0,4,,meco_para_12,4,TpaHcMopTHoro§,1,14,False,0.17916666666666667,NR,0.13963161021984552
3,cpefcTBa_0,,0,,meco_para_12,0,cpefcTBa,1,8,False,0.17916666666666667,NR,
4,—_0,,0,,meco_para_12,0,—,1,1,False,0.17916666666666667,NR,
5,3TO_0,61.0,1,,meco_para_12,1,3TO,1,3,False,0.17916666666666667,NR,0.036244800950683304
6,MeTannuyeckan_0,,0,,meco_para_12,0,MeTannuyeckan,1,13,False,0.17916666666666667,NR,
7,unU_0,,0,,meco_para_12,0,unU,1,3,False,0.17916666666666667,NR,
8,Mnactukopaa_0,489.0,5,,meco_para_12,5,Mnactukopaa,1,11,False,0.17916666666666667,NR,0.2905525846702317
9,=_0,,0,,meco_para_12,0,=,1,1,False,0.17916666666666667,NR,
10,"Ta6nvuka,_0",113.0,2,,meco_para_12,2,"Ta6nvuka,",1,9,False,0.17916666666666667,NR,0.06714200831847891
11,KOTOpaA_0,211.0,3,,meco_para_12,3,KOTOpaA,1,7,False,0.17916666666666667,NR,0.12537136066547833
12,mMomeljaeTCA_0,113.0,2,,meco_para_12,2,mMomeljaeTCA,1,12,False,0.17916666666666667,NR,0.06714200831847891
13,Ha_0,,0,,meco_para_12,0,Ha,1,2,False,0.17916666666666667,NR,
14,TpaHCNOpTHOe_0,66.0,1,,meco_para_12,1,TpaHCNOpTHOe,1,12,False,0.17916666666666667,NR,0.0392156862745098
15,cpefCcTBO_0,,0,,meco_para_12,0,cpefCcTBO,1,9,False,0.17916666666666667,NR,
16,B__0,,0,,meco_para_12,0,B,1,1,False,0.17916666666666667,NR,
17,WenAx_0,,0,,meco_para_12,0,WenAx,1,5,False,0.17916666666666667,NR,
18,vgeHtTugukaywn._0,251.0,2,,meco_para_12,2,vgeHtTugukaywn.,1,15,False,0.17916666666666667,NR,0.14913844325609033
19,Bce_0,,0,,meco_para_12,0,Bce,2,3,False,0.17916666666666667,NR,
20,cTpaHbl_0,142.0,2,,meco_para_12,2,cTpaHbl,2,7,False,0.17916666666666667,NR,0.26492537313432835
21,Tpe6yloT_0,,0,,meco_para_12,0,Tpe6yloT,2,8,False,0.17916666666666667,NR,
22,pervctpalWMOoHHbIX_0,,0,,meco_para_12,0,pervctpalWMOoHHbIX,2,18,False,0.17916666666666667,NR,
23,3HaKOB_0,,0,,meco_para_12,0,3HaKOB,2,6,False,0.17916666666666667,NR,
24,AA_0,,0,,meco_para_12,0,AA,2,2,False,0.17916666666666667,NR,
25,TaKVX_0,,0,,meco_para_12,0,TaKVX,2,5,False,0.17916666666666667,NR,
26,Ha3eMHbIxX_0,,0,,meco_para_12,0,Ha3eMHbIxX,2,10,False,0.17916666666666667,NR,
27,TPaHCNOpTHbIX_0,213.0,3,,meco_para_12,3,TPaHCNOpTHbIX,2,13,False,0.17916666666666667,NR,0.39738805970149255
28,"CpeACTB,_0",58.0,1,,meco_para_12,1,"CpeACTB,",2,8,False,0.17916666666666667,NR,0.10820895522388059
29,KaK_0,,0,,meco_para_12,0,KaK,2,3,False,0.17916666666666667,NR,
30,erKOBble_0,123.0,2,,meco_para_12,2,erKOBble,2,8,False,0.17916666666666667,NR,0.2294776119402985
31,UW_0,,0,,meco_para_12,0,UW,2,2,False,0.17916666666666667,NR,
32,rpy30Bble_0,,0,,meco_para_12,0,rpy30Bble,2,9,False,0.17916666666666667,NR,
33,"aBTOMO6unY,_0",,0,,meco_para_12,0,"aBTOMO6unY,",2,11,False,0.17916666666666667,NR,
34,a_0,,0,,meco_para_12,0,a,2,1,False,0.17916666666666667,NR,
35,TaKKe_0,,0,,meco_para_12,0,TaKKe,2,5,False,0.17916666666666667,NR,
36,MOTOLWKAbI._0,,0,,meco_para_12,0,MOTOLWKAbI.,2,11,False,0.17916666666666667,NR,
37,O6s3aTenbHbI_0,165.0,2,meco_para_12_qa_2 ,meco_para_12,2,O6s3aTenbHbI,3,12,False,0.17916666666666667,NR,0.046089385474860335
38,AM_0,,0,meco_para_12_qa_2 ,meco_para_12,0,AM,3,2,False,0.17916666666666667,NR,
