word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
A_0,nan,0,[],,meco_para_12
vehicle_0,nan,0,[],,meco_para_12
registration_0,nan,0,[],,meco_para_12
plate_0,nan,0,[],,meco_para_12
is_0,nan,0,[],,meco_para_12
a_1,196.0,1,[106],,meco_para_12
metal_0,331.0,3,"[236, 238, 240]",,meco_para_12
or_0,273.0,1,[256],,meco_para_12
plastic_0,367.0,2,"[184, 232]",,meco_para_12
plate_1,121.0,1,[176],,meco_para_12
attached_0,nan,0,[],,meco_para_12
to_0,nan,0,[],,meco_para_12
a_2,nan,0,[],,meco_para_12
vehicle_1,nan,0,[],,meco_para_12
for_0,nan,0,[],,meco_para_12
officialidentification_0,nan,0,[],,meco_para_12
purposes._0,96.0,1,[368],,meco_para_12
All_0,151.0,1,[369],,meco_para_12
countries_0,783.0,6,"[70, 72, 135, 160, 162, 255]",,meco_para_12
require_0,2485.0,12,"[3, 71, 132, 133, 151, 152, 161, 174, 178, 185, 234, 235]",,meco_para_12
registration_1,250.0,2,"[175, 231]",,meco_para_12
plates_0,nan,0,[],,meco_para_12
for_1,nan,0,[],,meco_para_12
road_0,nan,0,[],,meco_para_12
vehicles_0,nan,0,[],,meco_para_12
such_0,nan,0,[],,meco_para_12
as_0,nan,0,[],,meco_para_12
"cars,_0",nan,0,[],,meco_para_12
"trucks,and_0",119.0,1,[65],,meco_para_12
motorcycles._0,547.0,4,"[66, 67, 69, 105]",,meco_para_12
Whether_0,1844.0,12,"[73, 75, 117, 118, 129, 154, 155, 159, 189, 192, 241, 254]",,meco_para_12
they_0,2206.0,13,"[150, 179, 183, 186, 191, 217, 218, 230, 257, 258, 347, 348, 393]",,meco_para_12
are_0,1161.0,7,"[37, 53, 149, 180, 181, 259, 349]",,meco_para_12
required_0,655.0,3,"[169, 170, 172]",,meco_para_12
for_2,nan,0,[],,meco_para_12
other_0,nan,0,[],,meco_para_12
"vehicles,_1",nan,0,[],,meco_para_12
such_1,nan,0,[],,meco_para_12
as__0,nan,0,[],,meco_para_12
"bicycles,_0",nan,0,[],,meco_para_12
"boats,_0",286.0,2,"[63, 207]",meco_para_12_qa_2 ,meco_para_12
or_1,673.0,4,"[57, 58, 137, 370]",meco_para_12_qa_2 ,meco_para_12
"tractors,_0",1910.0,10,"[64, 68, 107, 108, 163, 205, 363, 414, 415, 416]",meco_para_12_qa_2 ,meco_para_12
may_0,1239.0,7,"[74, 76, 148, 188, 298, 391, 417]",meco_para_12_qa_2 ,meco_para_12
vary_0,1717.0,11,"[9, 147, 157, 187, 193, 229, 242, 392, 418, 420, 421]",meco_para_12_qa_2 ,meco_para_12
by_0,1094.0,8,"[2, 25, 130, 153, 156, 216, 220, 350]",meco_para_12_qa_2 ,meco_para_12
jurisdiction._0,1855.0,11,"[36, 52, 167, 168, 171, 182, 197, 219, 260, 346, 407]",meco_para_12_qa_2 ,meco_para_12
The_0,293.0,2,"[49, 199]",,meco_para_12
registration_2,172.0,1,[50],,meco_para_12
identifier_0,nan,0,[],,meco_para_12
is_1,nan,0,[],,meco_para_12
a_3,nan,0,[],,meco_para_12
series_0,146.0,1,[140],meco_para_12_qa_3 ,meco_para_12
of_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
letters_0,1741.0,12,"[56, 86, 138, 206, 208, 249, 252, 364, 367, 371, 433, 434]",meco_para_12_qa_3 ,meco_para_12
and_0,1785.0,10,"[109, 204, 211, 224, 248, 250, 253, 300, 305, 361]",meco_para_12_qa_3 ,meco_para_12
digits_0,2227.0,15,"[77, 116, 119, 127, 145, 212, 223, 226, 227, 264, 299, 390, 412, 413, 447]",meco_para_12_qa_3 ,meco_para_12
that_0,1829.0,14,"[8, 10, 29, 54, 146, 158, 194, 215, 228, 243, 244, 297, 411, 422]",,meco_para_12
uniquely_0,1069.0,6,"[38, 166, 394, 406, 408, 410]",,meco_para_12
identifies_0,282.0,1,[198],,meco_para_12
the_1,116.0,1,[51],,meco_para_12
vehicle_2,nan,0,[],,meco_para_12
owner_0,nan,0,[],,meco_para_12
within_0,nan,0,[],,meco_para_12
the_2,nan,0,[],,meco_para_12
issuing_0,362.0,2,"[141, 365]",,meco_para_12
region's_0,1780.0,10,"[61, 110, 120, 303, 304, 306, 366, 432, 435, 436]",,meco_para_12
vehicle_3,3382.0,18,"[55, 90, 115, 124, 209, 210, 251, 266, 283, 285, 295, 301, 307, 362, 388, 389, 442, 446]",,meco_para_12
register._0,2121.0,12,"[78, 87, 164, 202, 222, 245, 246, 263, 279, 359, 428, 429]",,meco_para_12
In_0,763.0,5,"[30, 195, 358, 404, 405]",,meco_para_12
some_0,1744.0,10,"[1, 35, 261, 351, 356, 357, 395, 396, 409, 426]",,meco_para_12
"countries,_1",421.0,3,"[45, 200, 355]",,meco_para_12
the_3,nan,0,[],,meco_para_12
identifier_1,nan,0,[],,meco_para_12
is_2,nan,0,[],,meco_para_12
unique_0,nan,0,[],,meco_para_12
within_1,nan,0,[],,meco_para_12
the_4,nan,0,[],,meco_para_12
entire_0,845.0,4,"[60, 85, 302, 318]",,meco_para_12
"country,_0",2658.0,13,"[104, 125, 142, 284, 288, 308, 314, 317, 372, 373, 431, 443, 445]",,meco_para_12
while_0,3176.0,18,"[88, 123, 143, 144, 203, 269, 272, 274, 280, 293, 294, 296, 309, 311, 360, 387, 430, 441]",,meco_para_12
in_1,701.0,4,"[11, 79, 265, 278]",,meco_para_12
others_0,1170.0,5,"[31, 34, 42, 262, 423]",,meco_para_12
it_0,nan,0,[],,meco_para_12
is_3,106.0,1,[336],,meco_para_12
unique_1,627.0,4,"[48, 335, 345, 352]",,meco_para_12
within_2,215.0,1,[332],,meco_para_12
a_4,199.0,1,[331],,meco_para_12
state_0,nan,0,[],,meco_para_12
or_2,nan,0,[],,meco_para_12
province._0,nan,0,[],,meco_para_12
France_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
was_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
the_5,151.0,1,[377],meco_para_12_qa_0 ,meco_para_12
first_0,837.0,3,"[82, 84, 111]",meco_para_12_qa_0 ,meco_para_12
country_1,3838.0,23,"[16, 17, 19, 81, 83, 89, 113, 114, 122, 268, 271, 273, 286, 289, 292, 313, 315, 316, 320, 383, 386, 437, 444]",meco_para_12_qa_0 ,meco_para_12
to_1,962.0,6,"[13, 282, 291, 384, 385, 440]",meco_para_12_qa_0 ,meco_para_12
