word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
In_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
competitive_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
"sports,_0",338.0,4,"[35, 36, 46, 151]",meco_para_3_qa_1 ,meco_para_3
doping_0,197.0,3,"[34, 75, 149]",meco_para_3_qa_1 ,meco_para_3
is_0,606.0,7,"[33, 85, 95, 98, 100, 224, 238]",meco_para_3_qa_1 ,meco_para_3
the_0,456.0,6,"[60, 74, 96, 127, 140, 162]",meco_para_3_qa_1 ,meco_para_3
use_0,145.0,1,[99],meco_para_3_qa_1 ,meco_para_3
of_0,69.0,1,[59],meco_para_3_qa_1 ,meco_para_3
banned_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
performance-enhancing_0,469.0,6,"[300, 337, 338, 340, 342, 412]",meco_para_3_qa_1 ,meco_para_3
drugs_0,117.0,2,"[303, 401]",meco_para_3_qa_1 ,meco_para_3
by_0,59.0,1,[311],meco_para_3_qa_1 ,meco_para_3
athletic_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
competitors._0,104.0,1,[172],meco_para_3_qa_1 ,meco_para_3
The_1,305.0,4,"[45, 102, 119, 232]",meco_para_3_qa_1 ,meco_para_3
term_0,794.0,8,"[32, 61, 62, 69, 92, 101, 153, 198]",meco_para_3_qa_1 ,meco_para_3
doping_1,524.0,7,"[66, 72, 94, 107, 161, 180, 184]",meco_para_3_qa_1 ,meco_para_3
is_1,267.0,3,"[133, 274, 275]",meco_para_3_qa_1 ,meco_para_3
widely_0,350.0,4,"[78, 84, 132, 434]",meco_para_3_qa_1 ,meco_para_3
used_0,122.0,2,"[128, 258]",meco_para_3_qa_1 ,meco_para_3
by_1,167.0,2,"[399, 437]",meco_para_3_qa_1 ,meco_para_3
organizations_0,230.0,2,"[293, 411]",meco_para_3_qa_1 ,meco_para_3
which_0,60.0,1,[356],meco_para_3_qa_1 ,meco_para_3
regulate_0,nan,0,[],,meco_para_3
sporting_0,224.0,3,"[152, 173, 250]",,meco_para_3
competitions._0,2106.0,23,"[38, 42, 44, 47, 48, 50, 63, 68, 71, 76, 86, 109, 120, 126, 155, 160, 174, 179, 192, 193, 197, 226, 233]",,meco_para_3
