word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
The_0,nan,0,[],,meco_para_11
International_0,97.0,1,[97],,meco_para_11
Union_0,100.0,1,[99],,meco_para_11
for_0,nan,0,[],,meco_para_11
Conservation_0,nan,0,[],,meco_para_11
of_0,nan,0,[],,meco_para_11
Nature_0,nan,0,[],,meco_para_11
is_0,nan,0,[],,meco_para_11
an__0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
international_1,nan,0,[],meco_para_11_qa_0 ,meco_para_11
organization_0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
working_0,nan,0,[],,meco_para_11
in_0,nan,0,[],,meco_para_11
the_1,nan,0,[],,meco_para_11
field_0,nan,0,[],,meco_para_11
of_1,nan,0,[],,meco_para_11
nature_1,197.0,2,"[44, 100]",,meco_para_11
conservation_1,117.0,1,[783],,meco_para_11
and_0,nan,0,[],,meco_para_11
the_2,nan,0,[],,meco_para_11
sustainable_0,nan,0,[],,meco_para_11
use_0,nan,0,[],,meco_para_11
of_2,nan,0,[],,meco_para_11
natural_0,nan,0,[],,meco_para_11
resources._0,nan,0,[],,meco_para_11
It_0,nan,0,[],,meco_para_11
is_1,101.0,1,[96],,meco_para_11
involved_0,214.0,2,"[45, 95]",,meco_para_11
in_1,nan,0,[],,meco_para_11
data_0,295.0,3,"[43, 71, 784]",,meco_para_11
gathering_0,215.0,2,"[42, 782]",,meco_para_11
and_1,nan,0,[],,meco_para_11
"analysis,_0",113.0,1,[780],,meco_para_11
"research,_0",431.0,3,"[67, 68, 778]",,meco_para_11
field_1,nan,0,[],,meco_para_11
"projects,_0",nan,0,[],,meco_para_11
"advocacy,_0",nan,0,[],,meco_para_11
and_2,nan,0,[],,meco_para_11
education._0,437.0,4,"[26, 46, 74, 373]",,meco_para_11
Its_0,235.0,2,"[94, 785]",,meco_para_11
mission_0,252.0,1,[101],,meco_para_11
is_2,nan,0,[],,meco_para_11
to_0,208.0,2,"[22, 70]",,meco_para_11
"‘influence,_0",330.0,3,"[21, 69, 776]",,meco_para_11
encourage_0,240.0,2,"[16, 777]",,meco_para_11
and_3,238.0,1,[779],,meco_para_11
assist_0,nan,0,[],,meco_para_11
societies_0,nan,0,[],,meco_para_11
throughout_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
the_3,83.0,1,[401],meco_para_11_qa_2 ,meco_para_11
world_0,391.0,2,"[47, 53]",meco_para_11_qa_2 ,meco_para_11
to_1,465.0,3,"[51, 54, 379]",meco_para_11_qa_2 ,meco_para_11
conserve_0,1058.0,8,"[24, 29, 55, 77, 102, 374, 376, 377]",meco_para_11_qa_2 ,meco_para_11
nature_2,292.0,3,"[30, 93, 383]",meco_para_11_qa_2 ,meco_para_11
and_4,463.0,4,"[31, 41, 385, 775]",meco_para_11_qa_2 ,meco_para_11
to_2,nan,0,[],meco_para_11_qa_2 ,meco_para_11
ensure_0,310.0,3,"[14, 40, 106]",meco_para_11_qa_2 ,meco_para_11
that_0,389.0,2,"[66, 107]",meco_para_11_qa_2 ,meco_para_11
any_0,221.0,2,"[20, 109]",meco_para_11_qa_2 ,meco_para_11
use_1,nan,0,[],meco_para_11_qa_2 ,meco_para_11
of_3,97.0,1,[18],meco_para_11_qa_2 ,meco_para_11
natural_1,nan,0,[],meco_para_11_qa_2 ,meco_para_11
resources_1,nan,0,[],meco_para_11_qa_2 ,meco_para_11
is_3,nan,0,[],meco_para_11_qa_2 ,meco_para_11
equitable_0,1570.0,11,"[48, 49, 52, 119, 121, 147, 216, 399, 400, 609, 610]",meco_para_11_qa_2 ,meco_para_11
and_5,1856.0,12,"[27, 76, 215, 372, 378, 397, 398, 446, 448, 449, 668, 786]",meco_para_11_qa_2 ,meco_para_11
ecologically_0,1794.0,15,"[6, 23, 28, 115, 116, 181, 375, 381, 444, 450, 451, 669, 670, 671, 787]",meco_para_11_qa_2 ,meco_para_11
sustainable’._0,922.0,8,"[13, 92, 104, 114, 458, 772, 773, 774]",meco_para_11_qa_2 ,meco_para_11
Over_0,396.0,3,"[32, 105, 386]",meco_para_11_qa_2 ,meco_para_11
the_4,119.0,1,[15],meco_para_11_qa_2 ,meco_para_11
past_0,197.0,2,"[39, 65]",meco_para_11_qa_2 ,meco_para_11
"decades,_0",100.0,1,[64],meco_para_11_qa_2 ,meco_para_11
the_5,100.0,1,[19],meco_para_11_qa_2 ,meco_para_11
organization_1,nan,0,[],,meco_para_11
has_0,nan,0,[],,meco_para_11
widened_0,1619.0,13,"[118, 120, 122, 146, 148, 447, 452, 579, 580, 583, 604, 608, 611]",,meco_para_11
its_1,864.0,6,"[50, 75, 117, 511, 603, 667]",,meco_para_11
focus_0,1295.0,11,"[5, 56, 57, 78, 365, 382, 396, 455, 612, 770, 771]",,meco_para_11
beyond_0,641.0,6,"[103, 141, 182, 395, 443, 760]",,meco_para_11
conservation_2,698.0,6,"[12, 442, 457, 601, 614, 702]",,meco_para_11
ecology_0,302.0,3,"[33, 34, 250]",,meco_para_11
and_6,185.0,2,"[35, 36]",,meco_para_11
now_0,115.0,1,[110],,meco_para_11
incorporates_0,214.0,1,[111],,meco_para_11
issues_0,nan,0,[],,meco_para_11
related_0,nan,0,[],,meco_para_11
to_3,767.0,3,"[176, 537, 605]",,meco_para_11
sustainable_1,2161.0,16,"[123, 144, 145, 149, 173, 174, 261, 402, 425, 453, 512, 534, 538, 576, 578, 582]",,meco_para_11
development_0,2229.0,18,"[8, 10, 79, 142, 143, 150, 214, 420, 510, 532, 533, 613, 666, 672, 673, 756, 788, 813]",,meco_para_11
in_2,320.0,1,[11],,meco_para_11
its_2,537.0,3,"[82, 140, 789]",,meco_para_11
projects._1,683.0,7,"[83, 84, 139, 249, 394, 419, 591]",,meco_para_11
Unlike_0,309.0,3,"[62, 85, 86]",,meco_para_11
many_0,305.0,2,"[63, 87]",,meco_para_11
other_0,107.0,1,[90],,meco_para_11
international_2,104.0,1,[317],,meco_para_11
environmental_0,2371.0,16,"[175, 177, 178, 242, 262, 315, 424, 472, 535, 536, 557, 559, 560, 577, 584, 606]",,meco_para_11
"organizations,_0",2242.0,20,"[4, 7, 124, 152, 179, 180, 364, 367, 371, 474, 487, 540, 541, 555, 564, 585, 665, 757, 812, 833]",,meco_para_11
it_1,563.0,4,"[80, 509, 755, 811]",,meco_para_11
does_0,824.0,7,"[213, 466, 478, 542, 615, 759, 769]",,meco_para_11
not_0,448.0,3,"[81, 459, 802]",,meco_para_11
aim_0,626.0,5,"[60, 508, 600, 623, 790]",,meco_para_11
to_4,675.0,5,"[61, 251, 460, 703, 791]",,meco_para_11
mobilize_0,1274.0,9,"[135, 252, 461, 500, 592, 594, 599, 621, 807]",,meco_para_11
the_6,nan,0,[],,meco_para_11
public_0,204.0,2,"[37, 38]",,meco_para_11
in_3,nan,0,[],,meco_para_11
support_0,nan,0,[],,meco_para_11
of_4,209.0,1,[318],,meco_para_11
nature_3,604.0,4,"[263, 316, 562, 607]",,meco_para_11
conservation._3,3584.0,18,"[172, 200, 240, 260, 291, 314, 403, 404, 422, 426, 473, 475, 489, 556, 563, 581, 814, 816]",,meco_para_11
"Instead,_0",1938.0,14,"[3, 245, 259, 290, 405, 421, 470, 586, 664, 678, 699, 748, 749, 815]",,meco_para_11
the_7,1277.0,9,"[168, 469, 477, 588, 674, 677, 700, 750, 754]",,meco_para_11
organization_2,2108.0,16,"[129, 204, 247, 248, 479, 543, 589, 590, 616, 617, 653, 694, 762, 793, 794, 810]",,meco_para_11
tries_0,974.0,9,"[131, 418, 437, 497, 544, 618, 622, 706, 767]",,meco_para_11
to_5,677.0,5,"[439, 483, 498, 501, 593]",,meco_para_11
influence_0,1428.0,10,"[88, 134, 136, 163, 440, 462, 499, 507, 620, 806]",,meco_para_11
the_8,nan,0,[],,meco_para_11
actions_0,nan,0,[],,meco_para_11
of_5,nan,0,[],,meco_para_11
"governments,_0",841.0,7,"[222, 278, 293, 294, 319, 423, 561]",,meco_para_11
business_0,1994.0,16,"[170, 171, 197, 239, 277, 300, 320, 336, 427, 471, 488, 491, 514, 515, 709, 710]",,meco_para_11
and_7,1670.0,13,"[153, 201, 301, 335, 476, 486, 575, 587, 638, 679, 695, 727, 799]",,meco_para_11
other_1,1713.0,14,"[2, 125, 126, 127, 169, 238, 246, 494, 531, 565, 680, 681, 751, 817]",,meco_para_11
stakeholders_0,2647.0,19,"[59, 167, 333, 433, 465, 484, 485, 496, 554, 567, 624, 626, 660, 675, 717, 718, 801, 818, 819]",,meco_para_11
by_0,769.0,6,"[130, 160, 434, 435, 719, 804]",,meco_para_11
providing_0,1646.0,13,"[162, 166, 211, 253, 387, 411, 416, 464, 481, 502, 545, 704, 792]",,meco_para_11
information_0,1157.0,9,"[137, 391, 417, 463, 482, 596, 598, 705, 808]",,meco_para_11
and_8,nan,0,[],,meco_para_11
"advice,_0",nan,0,[],,meco_para_11
and_9,208.0,1,[295],,meco_para_11
through_0,595.0,3,"[198, 279, 299]",,meco_para_11
building_0,2059.0,16,"[196, 219, 220, 244, 492, 513, 696, 698, 711, 714, 728, 729, 746, 747, 828, 834]",,meco_para_11
partnerships._0,2492.0,22,"[58, 195, 202, 218, 304, 312, 313, 334, 363, 370, 407, 468, 493, 495, 574, 637, 676, 715, 716, 752, 753, 838]",,meco_para_11
The_9,1129.0,10,"[205, 267, 269, 408, 432, 467, 530, 566, 652, 663]",,meco_para_11
organization_3,2895.0,22,"[132, 159, 184, 207, 236, 257, 410, 412, 436, 438, 480, 524, 525, 529, 546, 553, 625, 627, 686, 693, 763, 809]",,meco_para_11
is_4,707.0,5,"[161, 256, 388, 619, 692]",,meco_para_11
best_0,646.0,4,"[254, 389, 528, 722]",,meco_para_11
known_0,586.0,6,"[164, 390, 392, 505, 597, 765]",,meco_para_11
to_6,181.0,1,[506],,meco_para_11
the_10,nan,0,[],,meco_para_11
wider_0,nan,0,[],,meco_para_11
public_1,nan,0,[],,meco_para_11
for_1,507.0,4,"[264, 296, 298, 337]",,meco_para_11
compiling_0,1920.0,13,"[224, 226, 265, 276, 321, 339, 428, 639, 646, 697, 712, 713, 829]",meco_para_11_qa_3 ,meco_para_11
and_10,536.0,5,"[517, 518, 645, 798, 835]",meco_para_11_qa_3 ,meco_para_11
publishing_0,1312.0,10,"[258, 266, 289, 303, 369, 519, 726, 733, 827, 831]",meco_para_11_qa_3 ,meco_para_11
the_11,937.0,8,"[194, 305, 521, 636, 656, 657, 725, 795]",meco_para_11_qa_3 ,meco_para_11
Red_0,1060.0,10,"[206, 270, 409, 573, 628, 631, 632, 654, 685, 826]",meco_para_11_qa_3 ,meco_para_11
List_0,476.0,4,"[193, 568, 633, 820]",meco_para_11_qa_3 ,meco_para_11
of_6,794.0,7,"[208, 331, 413, 527, 634, 724, 825]",meco_para_11_qa_3 ,meco_para_11
Threatened_0,1995.0,14,"[192, 210, 255, 332, 415, 552, 569, 570, 689, 721, 723, 764, 766, 825]",meco_para_11_qa_3 ,meco_para_11
"Species,_0",114.0,1,[691],meco_para_11_qa_3 ,meco_para_11
which_0,nan,0,[],meco_para_11_qa_1 ,meco_para_11
assesses_0,nan,0,[],meco_para_11_qa_1 ,meco_para_11
the_12,nan,0,[],meco_para_11_qa_1 ,meco_para_11
conservation_4,509.0,3,"[225, 297, 338]",meco_para_11_qa_1 ,meco_para_11
status_0,779.0,7,"[227, 302, 357, 641, 642, 643, 745]",meco_para_11_qa_1 ,meco_para_11
of_7,870.0,6,"[275, 325, 342, 343, 430, 797]",meco_para_11_qa_1 ,meco_para_11
species_1,565.0,5,"[268, 431, 651, 732, 839]",meco_para_11_qa_1 ,meco_para_11
