word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Dunya_0,nan,0,[],,meco_para_11
Doga_0,238.0,2,"[3, 5]",,meco_para_11
ve_0,nan,0,[],,meco_para_11
Dogal_0,nan,0,[],,meco_para_11
Kaynaklari_0,nan,0,[],,meco_para_11
Koruma__0,nan,0,[],,meco_para_11
Birligi_0,nan,0,[],,meco_para_11
doganin_0,69.0,1,[7],,meco_para_11
korunmasi_0,nan,0,[],,meco_para_11
ve_1,nan,0,[],,meco_para_11
 dogal_0,nan,0,[],,meco_para_11
kaynaklarin_0,nan,0,[],,meco_para_11
 sUrdirulebilir_0,nan,0,[],,meco_para_11
=_0,nan,0,[],,meco_para_11
kullanimi_0,nan,0,[],,meco_para_11
alaninda_0,nan,0,[],,meco_para_11
galisan_—uluslararas!_0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
bir_0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
kurulustur._0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
Veri_0,nan,0,[],,meco_para_11
toplama_0,nan,0,[],,meco_para_11
ve_2,nan,0,[],,meco_para_11
"analiz,_0",nan,0,[],,meco_para_11
"arastirma,_0",nan,0,[],,meco_para_11
saha__0,135.0,2,"[1, 2]",,meco_para_11
"projeleri,_0",nan,0,[],,meco_para_11
savunma_0,nan,0,[],,meco_para_11
ve_3,nan,0,[],,meco_para_11
egitim_0,nan,0,[],,meco_para_11
alanlarinda_0,nan,0,[],,meco_para_11
faaliyet_0,nan,0,[],,meco_para_11
gostermektedir._0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
Misyonu_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
 dtinyadaki_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
toplumlari_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
dogayi_0,68.0,1,[8],meco_para_11_qa_2 ,meco_para_11
korumak_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
icin_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
"etkilemek,_0",nan,0,[],meco_para_11_qa_2 ,meco_para_11
tesvik_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
etmek_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
ve_4,nan,0,[],meco_para_11_qa_2 ,meco_para_11
yardimci_0,67.0,1,[35],meco_para_11_qa_2 ,meco_para_11
olmak_0,271.0,1,[39],meco_para_11_qa_2 ,meco_para_11
ve_5,nan,0,[],meco_para_11_qa_2 ,meco_para_11
dogal_1,239.0,2,"[34, 49]",meco_para_11_qa_2 ,meco_para_11
kaynak_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
kullaniminin§_0,136.0,1,[32],meco_para_11_qa_2 ,meco_para_11
adil_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
ve_6,nan,0,[],meco_para_11_qa_2 ,meco_para_11
 ekolojik_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
olarak_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
surdurulebilir_0,205.0,1,[37],meco_para_11_qa_2 ,meco_para_11
olmasini_0,68.0,1,[38],meco_para_11_qa_2 ,meco_para_11
saglamak_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
