word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Dunya_0,nan,0,[],,meco_para_11
Doga_0,nan,0,[],,meco_para_11
ve_0,nan,0,[],,meco_para_11
Dogal_0,nan,0,[],,meco_para_11
Kaynaklari_0,82.0,1,[370],,meco_para_11
Koruma__0,nan,0,[],,meco_para_11
Birligi_0,nan,0,[],,meco_para_11
doganin_0,97.0,1,[279],,meco_para_11
korunmasi_0,95.0,1,[281],,meco_para_11
ve_1,nan,0,[],,meco_para_11
 dogal_0,nan,0,[],,meco_para_11
kaynaklarin_0,nan,0,[],,meco_para_11
 sUrdirulebilir_0,nan,0,[],,meco_para_11
=_0,86.0,1,[369],,meco_para_11
kullanimi_0,86.0,1,[369],,meco_para_11
alaninda_0,178.0,1,[371],,meco_para_11
galisan_—uluslararas!_0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
bir_0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
kurulustur._0,276.0,3,"[275, 282, 346]",meco_para_11_qa_0 ,meco_para_11
Veri_0,194.0,1,[247],,meco_para_11
toplama_0,nan,0,[],,meco_para_11
ve_2,nan,0,[],,meco_para_11
"analiz,_0",89.0,1,[366],,meco_para_11
"arastirma,_0",86.0,1,[367],,meco_para_11
saha__0,nan,0,[],,meco_para_11
"projeleri,_0",682.0,4,"[70, 71, 175, 176]",,meco_para_11
savunma_0,949.0,5,"[62, 63, 277, 278, 294]",,meco_para_11
ve_3,nan,0,[],,meco_para_11
egitim_0,490.0,3,"[183, 276, 283]",,meco_para_11
alanlarinda_0,831.0,5,"[184, 244, 274, 347, 354]",,meco_para_11
faaliyet_0,387.0,3,"[245, 246, 311]",,meco_para_11
gostermektedir._0,274.0,2,"[364, 365]",meco_para_11_qa_2 ,meco_para_11
Misyonu_0,93.0,1,[161],meco_para_11_qa_2 ,meco_para_11
 dtinyadaki_0,1330.0,7,"[98, 100, 125, 156, 157, 158, 223]",meco_para_11_qa_2 ,meco_para_11
toplumlari_0,641.0,5,"[101, 126, 174, 177, 372]",meco_para_11_qa_2 ,meco_para_11
dogayi_0,658.0,4,"[61, 68, 69, 295]",meco_para_11_qa_2 ,meco_para_11
korumak_0,567.0,4,"[64, 66, 67, 181]",meco_para_11_qa_2 ,meco_para_11
icin_0,381.0,2,"[185, 284]",meco_para_11_qa_2 ,meco_para_11
"etkilemek,_0",470.0,5,"[186, 187, 190, 191, 285]",meco_para_11_qa_2 ,meco_para_11
tesvik_0,854.0,4,"[312, 345, 351, 353]",meco_para_11_qa_2 ,meco_para_11
etmek_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
ve_4,nan,0,[],meco_para_11_qa_2 ,meco_para_11
yardimci_0,500.0,3,"[160, 224, 363]",meco_para_11_qa_2 ,meco_para_11
olmak_0,369.0,4,"[99, 162, 221, 222]",meco_para_11_qa_2 ,meco_para_11
ve_5,203.0,1,[173],meco_para_11_qa_2 ,meco_para_11
dogal_1,438.0,4,"[60, 89, 91, 373]",meco_para_11_qa_2 ,meco_para_11
kaynak_0,658.0,6,"[2, 72, 86, 108, 217, 293]",meco_para_11_qa_2 ,meco_para_11
kullaniminin§_0,779.0,6,"[1, 65, 178, 180, 216, 296]",meco_para_11_qa_2 ,meco_para_11
adil_0,197.0,2,"[182, 297]",meco_para_11_qa_2 ,meco_para_11
ve_6,196.0,1,[286],meco_para_11_qa_2 ,meco_para_11
 ekolojik_0,1183.0,7,"[188, 189, 192, 193, 243, 350, 355]",meco_para_11_qa_2 ,meco_para_11
olarak_0,182.0,2,"[313, 349]",meco_para_11_qa_2 ,meco_para_11
surdurulebilir_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
olmasini_0,283.0,3,"[124, 164, 225]",meco_para_11_qa_2 ,meco_para_11
saglamak_0,287.0,3,"[97, 220, 228]",meco_para_11_qa_2 ,meco_para_11
tir._0,538.0,6,"[7, 13, 88, 90, 218, 229]",meco_para_11_qa_2 ,meco_para_11
Gectigimiz_0,1426.0,9,"[3, 4, 73, 85, 87, 102, 107, 127, 292]",meco_para_11_qa_2 ,meco_para_11
on_0,384.0,4,"[128, 179, 290, 291]",meco_para_11_qa_2 ,meco_para_11
yillar_0,178.0,2,"[288, 357]",meco_para_11_qa_2 ,meco_para_11
"boyunca,_0",467.0,4,"[195, 287, 298, 356]",meco_para_11_qa_2 ,meco_para_11
organizasyon_0,390.0,4,"[273, 299, 300, 314]",meco_para_11_qa_2 ,meco_para_11
koruma_0,485.0,2,"[302, 309]",meco_para_11_qa_2 ,meco_para_11
ekolojisinin_0,259.0,1,[123],,meco_para_11
dtesinde_0,557.0,5,"[96, 165, 168, 169, 227]",,meco_para_11
odagini__0,279.0,3,"[154, 163, 219]",,meco_para_11
genisletti_0,519.0,2,"[94, 374]",,meco_para_11
ve_7,91.0,1,[92],,meco_para_11
simdi_0,467.0,5,"[75, 84, 109, 214, 230]",,meco_para_11
projelerinde_0,980.0,7,"[76, 198, 215, 231, 242, 267, 289]",,meco_para_11
strdurulebilir_0,603.0,5,"[194, 196, 266, 268, 272]",,meco_para_11
kalkinma___0,390.0,4,"[270, 301, 315, 316]",,meco_para_11
ile_0,333.0,3,"[334, 336, 337]",,meco_para_11
ilgili_0,nan,0,[],,meco_para_11
konular!_0,186.0,2,"[122, 166]",,meco_para_11
icgeriyor._0,587.0,4,"[95, 121, 170, 171]",,meco_para_11
Pek_0,528.0,4,"[10, 11, 59, 172]",,meco_para_11
cok_0,252.0,3,"[12, 36, 93]",,meco_para_11
uluslararas!_0,900.0,8,"[14, 103, 118, 129, 211, 213, 232, 241]",,meco_para_11
cevre_0,686.0,7,"[0, 23, 83, 110, 111, 210, 358]",,meco_para_11
 kuruluslarinin§_0,781.0,6,"[18, 77, 78, 197, 199, 263]",,meco_para_11
"aksine,_0",194.0,1,[262],,meco_para_11
bu_0,196.0,1,[269],,meco_para_11
 organizasyon_0,450.0,4,"[303, 318, 331, 335]",,meco_para_11
halki_0,nan,0,[],,meco_para_11
doganin_1,195.0,2,"[167, 226]",,meco_para_11
korunmasina__0,450.0,5,"[9, 49, 153, 360, 361]",,meco_para_11
destek_0,444.0,5,"[39, 48, 236, 359, 375]",,meco_para_11
olarak_1,520.0,5,"[15, 105, 106, 119, 380]",,meco_para_11
seferber_0,1220.0,8,"[17, 22, 24, 117, 130, 209, 212, 378]",,meco_para_11
etmeyi_0,784.0,5,"[19, 25, 201, 264, 265]",,meco_para_11
amaclamamaktadir._0,1169.0,8,"[28, 200, 202, 204, 206, 260, 261, 317]",,meco_para_11
Bunun_0,290.0,3,"[319, 320, 321]",,meco_para_11
"yerine,_0",nan,0,[],,meco_para_11
organizasyon_1,272.0,3,"[57, 58, 152]",,meco_para_11
"bilgi,_0",271.0,2,"[50, 120]",,meco_para_11
tavsiye_0,361.0,4,"[35, 37, 38, 237]",,meco_para_11
saglayarak_0,469.0,5,"[16, 40, 235, 239, 381]",,meco_para_11
ve_8,268.0,3,"[30, 82, 112]",,meco_para_11
ortakliklar_0,885.0,9,"[20, 26, 27, 29, 79, 81, 116, 207, 208]",,meco_para_11
kurarak_0,402.0,2,"[203, 258]",,meco_para_11
"hdkimetlerin,_0",84.0,1,[338],,meco_para_11
is_0,563.0,2,"[329, 339]",,meco_para_11
dunyasinin_0,171.0,1,[395],,meco_para_11
ve_9,nan,0,[],,meco_para_11
diger_0,92.0,1,[51],,meco_para_11
paydaslarin_0,177.0,2,"[47, 151]",,meco_para_11
faaliyetlerini_0,630.0,6,"[31, 32, 34, 234, 238, 377]",,meco_para_11
etkilemeye_0,387.0,4,"[21, 80, 113, 115]",,meco_para_11
 alisir._0,189.0,2,"[114, 257]",,meco_para_11
Organizasyon_2,nan,0,[],,meco_para_11
—_0,96.0,1,[322],,meco_para_11
genis_0,576.0,4,"[251, 322, 323, 327]",,meco_para_11
kitlelerce_0,171.0,1,[392],meco_para_11_qa_3 ,meco_para_11
dtinyadaki_0,265.0,3,"[52, 142, 391]",meco_para_11_qa_3 ,meco_para_11
turlerin_0,nan,0,[],meco_para_11_qa_3 ,meco_para_11
 korunma_0,707.0,6,"[41, 45, 46, 233, 376, 382]",meco_para_11_qa_3 ,meco_para_11
durumunu_0,84.0,1,[377],meco_para_11_qa_3 ,meco_para_11
 degerlendiren_0,193.0,1,[256],meco_para_11_qa_3 ,meco_para_11
“Tehdit_0,97.0,1,[255],meco_para_11_qa_3 ,meco_para_11
Edilen_0,197.0,1,[252],meco_para_11_qa_3 ,meco_para_11
 Turlerin_0,390.0,2,"[324, 328]",meco_para_11_qa_3 ,meco_para_11
"Kirmizi—Listesi""ni_0",697.0,6,"[56, 141, 143, 144, 146, 394]",meco_para_11_qa_1 meco_para_11_qa_3 ,meco_para_11
