word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
The_0,nan,0,[],,meco_para_11
International_0,nan,0,[],,meco_para_11
Union_0,nan,0,[],,meco_para_11
for_0,nan,0,[],,meco_para_11
Conservation_0,409.0,4,"[46, 658, 746, 747]",,meco_para_11
of_0,163.0,2,"[133, 657]",,meco_para_11
Nature_0,336.0,3,"[38, 88, 656]",,meco_para_11
is_0,nan,0,[],,meco_para_11
an__0,250.0,2,"[56, 72]",meco_para_11_qa_0 ,meco_para_11
international_1,895.0,6,"[35, 37, 69, 71, 653, 833]",meco_para_11_qa_0 ,meco_para_11
organization_0,80.0,1,[33],meco_para_11_qa_0 ,meco_para_11
working_0,nan,0,[],,meco_para_11
in_0,nan,0,[],,meco_para_11
the_1,nan,0,[],,meco_para_11
field_0,nan,0,[],,meco_para_11
of_1,nan,0,[],,meco_para_11
nature_1,165.0,2,"[11, 748]",,meco_para_11
conservation_1,1716.0,14,"[39, 47, 78, 134, 135, 158, 160, 175, 679, 682, 683, 684, 716, 784]",,meco_para_11
and_0,585.0,5,"[53, 55, 85, 145, 649]",,meco_para_11
the_2,591.0,7,"[73, 89, 132, 139, 146, 148, 782]",,meco_para_11
sustainable_0,1281.0,13,"[28, 30, 31, 62, 63, 108, 141, 147, 151, 152, 214, 781, 834]",,meco_para_11
use_0,640.0,5,"[32, 65, 186, 189, 707]",,meco_para_11
of_2,165.0,2,"[187, 190]",,meco_para_11
natural_0,nan,0,[],,meco_para_11
resources._0,nan,0,[],,meco_para_11
It_0,nan,0,[],,meco_para_11
is_1,nan,0,[],,meco_para_11
involved_0,239.0,3,"[12, 660, 745]",,meco_para_11
in_1,84.0,1,[10],,meco_para_11
data_0,883.0,7,"[42, 43, 45, 49, 159, 171, 680]",,meco_para_11
gathering_0,1705.0,14,"[7, 9, 48, 76, 77, 114, 136, 172, 173, 176, 678, 686, 727, 785]",,meco_para_11
and_1,1499.0,11,"[6, 24, 54, 137, 162, 174, 215, 648, 650, 687, 783]",,meco_para_11
"analysis,_0",1291.0,12,"[23, 25, 27, 29, 57, 74, 87, 90, 92, 140, 143, 911]",,meco_para_11
"research,_0",2089.0,15,"[61, 64, 68, 101, 109, 185, 193, 701, 703, 706, 708, 736, 739, 832, 845]",,meco_para_11
field_1,417.0,3,"[107, 188, 191]",,meco_para_11
"projects,_0",82.0,1,[738],,meco_para_11
"advocacy,_0",nan,0,[],,meco_para_11
and_2,nan,0,[],,meco_para_11
education._0,172.0,2,"[749, 753]",,meco_para_11
Its_0,1033.0,7,"[13, 681, 744, 750, 752, 754, 786]",,meco_para_11
mission_0,1580.0,13,"[40, 50, 79, 82, 164, 170, 632, 635, 637, 685, 724, 725, 751]",,meco_para_11
is_2,692.0,7,"[8, 41, 81, 129, 217, 726, 789]",,meco_para_11
to_0,1103.0,9,"[75, 125, 138, 163, 209, 788, 790, 794, 807]",,meco_para_11
"‘influence,_0",2454.0,23,"[5, 22, 26, 86, 91, 93, 98, 99, 144, 149, 177, 179, 213, 647, 688, 728, 734, 764, 769, 792, 793, 831, 858]",,meco_para_11
encourage_0,2476.0,22,"[60, 66, 102, 106, 153, 180, 181, 182, 183, 184, 192, 194, 696, 697, 699, 733, 735, 740, 776, 802, 835, 865]",,meco_para_11
and_3,495.0,4,"[195, 779, 804, 867]",,meco_para_11
assist_0,83.0,1,[737],,meco_para_11
societies_0,nan,0,[],,meco_para_11
throughout_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
the_3,82.0,1,[721],meco_para_11_qa_2 ,meco_para_11
world_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
to_1,82.0,1,[636],meco_para_11_qa_2 ,meco_para_11
conserve_0,1590.0,11,"[80, 115, 124, 167, 218, 634, 669, 743, 787, 809, 894]",meco_para_11_qa_2 ,meco_para_11
nature_2,2156.0,20,"[51, 83, 94, 96, 127, 128, 157, 166, 168, 199, 670, 671, 714, 715, 742, 791, 808, 810, 829, 848]",meco_para_11_qa_2 ,meco_para_11
and_4,1589.0,13,"[58, 95, 672, 673, 730, 762, 770, 771, 795, 830, 847, 859, 912]",meco_para_11_qa_2 ,meco_para_11
to_2,775.0,8,"[59, 142, 210, 677, 695, 765, 772, 846]",meco_para_11_qa_2 ,meco_para_11
ensure_0,2149.0,17,"[4, 110, 154, 197, 212, 280, 675, 692, 693, 702, 713, 732, 766, 773, 775, 860, 864]",meco_para_11_qa_2 ,meco_para_11
that_0,1982.0,18,"[67, 104, 196, 698, 700, 704, 705, 777, 778, 801, 803, 842, 844, 868, 869, 871, 909, 910]",meco_para_11_qa_2 ,meco_para_11
any_0,406.0,5,"[709, 836, 843, 866, 872]",meco_para_11_qa_2 ,meco_para_11
use_1,nan,0,[],meco_para_11_qa_2 ,meco_para_11
of_3,nan,0,[],meco_para_11_qa_2 ,meco_para_11
natural_1,nan,0,[],meco_para_11_qa_2 ,meco_para_11
resources_1,nan,0,[],meco_para_11_qa_2 ,meco_para_11
is_3,nan,0,[],meco_para_11_qa_2 ,meco_para_11
equitable_0,564.0,4,"[631, 719, 722, 723]",meco_para_11_qa_2 ,meco_para_11
and_5,403.0,5,"[14, 121, 633, 662, 664]",meco_para_11_qa_2 ,meco_para_11
ecologically_0,1616.0,19,"[15, 113, 117, 120, 126, 169, 207, 208, 219, 638, 668, 755, 760, 761, 806, 823, 828, 893, 895]",meco_para_11_qa_2 ,meco_para_11
sustainable’._0,3209.0,34,"[21, 97, 112, 119, 155, 156, 198, 220, 221, 222, 275, 277, 278, 279, 285, 313, 642, 644, 689, 694, 729, 763, 767, 768, 796, 797, 798, 805, 812, 813, 814, 857, 861, 914]",meco_para_11_qa_2 ,meco_para_11
Over_0,817.0,9,"[105, 111, 211, 281, 674, 676, 774, 799, 863]",meco_para_11_qa_2 ,meco_para_11
the_4,589.0,3,"[103, 710, 870]",meco_para_11_qa_2 ,meco_para_11
past_0,398.0,3,"[712, 800, 838]",meco_para_11_qa_2 ,meco_para_11
"decades,_0",nan,0,[],meco_para_11_qa_2 ,meco_para_11
the_5,nan,0,[],meco_para_11_qa_2 ,meco_para_11
organization_1,nan,0,[],,meco_para_11
has_0,84.0,1,[720],,meco_para_11
widened_0,984.0,8,"[123, 201, 203, 205, 336, 337, 665, 882]",,meco_para_11
its_1,658.0,7,"[252, 262, 298, 302, 667, 827, 883]",,meco_para_11
focus_0,1155.0,12,"[16, 118, 206, 256, 392, 394, 395, 405, 758, 824, 881, 915]",,meco_para_11
beyond_0,1610.0,15,"[17, 116, 274, 276, 311, 312, 314, 318, 639, 641, 645, 822, 892, 896, 913]",,meco_para_11
conservation_2,4084.0,32,"[20, 225, 282, 283, 286, 290, 291, 319, 321, 350, 351, 374, 376, 381, 434, 435, 690, 691, 815, 816, 818, 819, 821, 840, 862, 873, 874, 897, 900, 904, 905, 908]",,meco_para_11
ecology_0,587.0,4,"[226, 320, 711, 841]",,meco_para_11
and_6,nan,0,[],,meco_para_11
now_0,nan,0,[],,meco_para_11
incorporates_0,nan,0,[],,meco_para_11
issues_0,nan,0,[],,meco_para_11
related_0,nan,0,[],,meco_para_11
to_3,nan,0,[],,meco_para_11
