word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
A_0,nan,0,[],,meco_para_12
vehicle_0,nan,0,[],,meco_para_12
registration_0,nan,0,[],,meco_para_12
plate_0,nan,0,[],,meco_para_12
is_0,nan,0,[],,meco_para_12
a_1,57.0,1,[5],,meco_para_12
metal_0,146.0,1,[4],,meco_para_12
or_0,nan,0,[],,meco_para_12
plastic_0,80.0,1,[18],,meco_para_12
plate_1,nan,0,[],,meco_para_12
attached_0,nan,0,[],,meco_para_12
to_0,nan,0,[],,meco_para_12
a_2,nan,0,[],,meco_para_12
vehicle_1,nan,0,[],,meco_para_12
for_0,nan,0,[],,meco_para_12
officialidentification_0,179.0,1,[38],,meco_para_12
purposes._0,59.0,1,[558],,meco_para_12
All_0,nan,0,[],,meco_para_12
countries_0,68.0,1,[61],,meco_para_12
require_0,266.0,1,[19],,meco_para_12
registration_1,nan,0,[],,meco_para_12
plates_0,nan,0,[],,meco_para_12
for_1,nan,0,[],,meco_para_12
road_0,nan,0,[],,meco_para_12
vehicles_0,nan,0,[],,meco_para_12
such_0,130.0,2,"[37, 95]",,meco_para_12
as_0,91.0,1,[94],,meco_para_12
"cars,_0",111.0,1,[45],,meco_para_12
"trucks,and_0",nan,0,[],,meco_para_12
motorcycles._0,161.0,3,"[3, 6, 62]",,meco_para_12
Whether_0,417.0,3,"[153, 154, 188]",,meco_para_12
they_0,312.0,2,"[17, 155]",,meco_para_12
are_0,54.0,1,[187],,meco_para_12
required_0,1013.0,8,"[23, 35, 113, 114, 127, 137, 138, 296]",,meco_para_12
for_2,66.0,1,[140],,meco_para_12
other_0,246.0,2,"[34, 139]",,meco_para_12
"vehicles,_1",nan,0,[],,meco_para_12
such_1,364.0,2,"[42, 54]",,meco_para_12
as__0,nan,0,[],,meco_para_12
"bicycles,_0",403.0,2,"[12, 44]",,meco_para_12
"boats,_0",238.0,4,"[93, 202, 204, 493]",meco_para_12_qa_2 ,meco_para_12
or_1,nan,0,[],meco_para_12_qa_2 ,meco_para_12
"tractors,_0",528.0,7,"[60, 205, 272, 375, 489, 490, 557]",meco_para_12_qa_2 ,meco_para_12
may_0,638.0,4,"[2, 20, 145, 151]",meco_para_12_qa_2 ,meco_para_12
vary_0,343.0,5,"[92, 136, 144, 189, 255]",meco_para_12_qa_2 ,meco_para_12
by_0,243.0,1,[266],meco_para_12_qa_2 ,meco_para_12
jurisdiction._0,1125.0,11,"[22, 84, 86, 116, 143, 156, 157, 214, 215, 295, 297]",meco_para_12_qa_2 ,meco_para_12
The_0,256.0,3,"[32, 75, 83]",,meco_para_12
registration_2,306.0,3,"[33, 87, 88]",,meco_para_12
identifier_0,459.0,4,"[40, 41, 96, 97]",,meco_para_12
is_1,238.0,1,[55],,meco_para_12
a_3,276.0,1,[11],,meco_para_12
series_0,557.0,3,"[49, 53, 163]",meco_para_12_qa_3 ,meco_para_12
of_0,62.0,1,[59],meco_para_12_qa_3 ,meco_para_12
letters_0,466.0,5,"[170, 171, 172, 206, 209]",meco_para_12_qa_3 ,meco_para_12
and_0,271.0,3,"[168, 169, 556]",meco_para_12_qa_3 ,meco_para_12
digits_0,971.0,8,"[1, 21, 63, 135, 146, 167, 385, 482]",meco_para_12_qa_3 ,meco_para_12
that_0,278.0,4,"[178, 256, 286, 400]",,meco_para_12
uniquely_0,1150.0,12,"[71, 76, 77, 158, 179, 181, 216, 265, 267, 294, 298, 338]",,meco_para_12
identifies_0,1554.0,11,"[24, 31, 68, 80, 81, 124, 129, 149, 150, 186, 190]",,meco_para_12
the_1,179.0,2,"[82, 142]",,meco_para_12
vehicle_2,72.0,1,[89],,meco_para_12
owner_0,76.0,1,[7],,meco_para_12
within_0,676.0,5,"[9, 10, 98, 161, 162]",,meco_para_12
the_2,433.0,3,"[13, 56, 58]",,meco_para_12
issuing_0,723.0,5,"[47, 57, 164, 207, 414]",,meco_para_12
region's_0,189.0,3,"[208, 241, 481]",,meco_para_12
vehicle_3,1628.0,13,"[106, 107, 134, 159, 166, 175, 242, 254, 327, 374, 386, 485, 555]",,meco_para_12
register._0,2401.0,21,"[70, 73, 117, 173, 199, 243, 285, 287, 293, 299, 328, 339, 340, 353, 379, 397, 398, 399, 401, 444, 445]",,meco_para_12
In_0,490.0,7,"[16, 72, 74, 78, 112, 147, 213]",,meco_para_12
some_0,1018.0,13,"[79, 123, 130, 180, 182, 217, 226, 231, 233, 260, 264, 268, 341]",,meco_para_12
"countries,_1",771.0,8,"[91, 184, 185, 191, 227, 232, 263, 269]",,meco_para_12
the_3,nan,0,[],,meco_para_12
identifier_1,108.0,1,[90],,meco_para_12
is_2,nan,0,[],,meco_para_12
unique_0,253.0,2,"[8, 561]",,meco_para_12
within_1,nan,0,[],,meco_para_12
the_4,184.0,3,"[99, 415, 480]",,meco_para_12
entire_0,535.0,8,"[52, 100, 160, 201, 240, 273, 492, 494]",,meco_para_12
"country,_0",1368.0,13,"[51, 64, 108, 111, 200, 235, 271, 274, 363, 463, 486, 488, 491]",,meco_para_12
while_0,1307.0,13,"[28, 29, 104, 105, 244, 276, 326, 362, 370, 380, 383, 384, 407]",,meco_para_12
in_1,605.0,5,"[103, 234, 292, 406, 446]",,meco_para_12
others_0,1003.0,13,"[0, 27, 67, 174, 198, 219, 220, 300, 337, 354, 396, 405, 465]",,meco_para_12
it_0,561.0,4,"[69, 183, 218, 307]",,meco_para_12
is_3,385.0,4,"[26, 221, 270, 404]",,meco_para_12
unique_1,537.0,6,"[25, 192, 228, 230, 261, 262]",,meco_para_12
within_2,nan,0,[],,meco_para_12
a_4,nan,0,[],,meco_para_12
state_0,nan,0,[],,meco_para_12
or_2,nan,0,[],,meco_para_12
province._0,nan,0,[],,meco_para_12
France_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
was_0,269.0,2,"[238, 239]",meco_para_12_qa_0 ,meco_para_12
the_5,174.0,3,"[236, 381, 420]",meco_para_12_qa_0 ,meco_para_12
first_0,711.0,9,"[101, 210, 247, 258, 288, 358, 361, 382, 387]",meco_para_12_qa_0 ,meco_para_12
country_1,2108.0,20,"[15, 65, 102, 133, 177, 248, 249, 257, 259, 279, 281, 357, 369, 371, 443, 447, 468, 483, 487, 503]",meco_para_12_qa_0 ,meco_para_12
to_1,1322.0,11,"[277, 284, 316, 325, 377, 393, 429, 435, 436, 452, 467]",meco_para_12_qa_0 ,meco_para_12
