word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
La_0,nan,0,[],,meco_para_12
patente_0,nan,0,[],,meco_para_12
de_0,nan,0,[],,meco_para_12
un_0,nan,0,[],,meco_para_12
vehiculo_0,684.0,2,"[9, 10]",,meco_para_12
es_0,nan,0,[],,meco_para_12
una_0,664.0,2,"[15, 16]",,meco_para_12
placa_0,334.0,1,[13],,meco_para_12
de_1,nan,0,[],,meco_para_12
metal_0,nan,0,[],,meco_para_12
o_0,nan,0,[],,meco_para_12
 plastico_0,nan,0,[],,meco_para_12
fijada_0,nan,0,[],,meco_para_12
al_0,nan,0,[],,meco_para_12
vehiculo_1,nan,0,[],,meco_para_12
con_0,nan,0,[],,meco_para_12
el_0,nan,0,[],,meco_para_12
propdsito_0,nan,0,[],,meco_para_12
de_2,338.0,1,[8],,meco_para_12
identificacién_0,672.0,2,"[7, 59]",,meco_para_12
oficial_0,667.0,2,"[17, 58]",,meco_para_12
Todos_0,978.0,3,"[18, 47, 57]",,meco_para_12
los_0,651.0,2,"[19, 56]",,meco_para_12
paises_0,990.0,3,"[20, 21, 49]",,meco_para_12
requieren_0,658.0,2,"[22, 23]",,meco_para_12
patentes_0,1651.0,5,"[25, 26, 27, 28, 30]",,meco_para_12
para_0,nan,0,[],,meco_para_12
vehiculos_0,nan,0,[],,meco_para_12
como_0,nan,0,[],,meco_para_12
"autos,_0",1669.0,5,"[6, 37, 38, 39, 99]",,meco_para_12
camiones_0,2614.0,8,"[35, 36, 42, 43, 60, 61, 62, 98]",,meco_para_12
y_0,nan,0,[],,meco_para_12
motocicletas._0,1632.0,5,"[34, 44, 45, 46, 96]",,meco_para_12
Su_0,653.0,2,"[33, 48]",,meco_para_12
 requerimiento_0,1964.0,6,"[32, 50, 51, 52, 53, 55]",,meco_para_12
para_1,332.0,1,[54],,meco_para_12
otros_0,327.0,1,[31],,meco_para_12
vehiculos_1,nan,0,[],,meco_para_12
como_1,nan,0,[],,meco_para_12
"bicicletas,_0",nan,0,[],meco_para_12_qa_2 ,meco_para_12
botes_0,1326.0,4,"[5, 40, 41, 64]",meco_para_12_qa_2 ,meco_para_12
o_1,329.0,1,[63],meco_para_12_qa_2 ,meco_para_12
tractores_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
puede_0,666.0,2,"[79, 114]",meco_para_12_qa_2 ,meco_para_12
variar_0,1672.0,5,"[76, 77, 78, 93, 94]",meco_para_12_qa_2 ,meco_para_12
por_0,325.0,1,[95],meco_para_12_qa_2 ,meco_para_12
jurisdiccién._0,330.0,1,[74],meco_para_12_qa_2 ,meco_para_12
El_1,nan,0,[],,meco_para_12
identificador_0,nan,0,[],,meco_para_12
de_3,nan,0,[],,meco_para_12
registro_0,nan,0,[],,meco_para_12
es_1,nan,0,[],,meco_para_12
una_1,nan,0,[],meco_para_12_qa_3 ,meco_para_12
serie_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
de_4,992.0,3,"[65, 100, 108]",meco_para_12_qa_3 ,meco_para_12
letras_0,2339.0,7,"[4, 66, 81, 109, 110, 111, 112]",meco_para_12_qa_3 ,meco_para_12
o_2,656.0,2,"[67, 80]",meco_para_12_qa_3 ,meco_para_12
ntmeros_0,2952.0,9,"[68, 69, 70, 90, 91, 92, 113, 118, 119]",meco_para_12_qa_3 ,meco_para_12
que_0,662.0,2,"[71, 117]",,meco_para_12
identifican_0,658.0,2,"[72, 116]",,meco_para_12
Unicamente_0,nan,0,[],,meco_para_12
al_1,nan,0,[],,meco_para_12
duefio_0,nan,0,[],,meco_para_12
de_5,nan,0,[],,meco_para_12
un_1,nan,0,[],,meco_para_12
vehiculo_2,nan,0,[],,meco_para_12
dentro_0,1981.0,6,"[101, 102, 103, 104, 106, 107]",,meco_para_12
de_6,327.0,1,[142],,meco_para_12
la__0,325.0,1,[141],,meco_para_12
regidn_0,1644.0,5,"[82, 86, 87, 89, 140]",,meco_para_12
del_0,1306.0,4,"[88, 120, 139, 165]",,meco_para_12
registro_1,979.0,3,"[132, 133, 138]",,meco_para_12
del_1,323.0,1,[134],,meco_para_12
vehiculo._3,nan,0,[],,meco_para_12
En_0,nan,0,[],,meco_para_12
algunos_0,nan,0,[],,meco_para_12
"paises,_1",nan,0,[],,meco_para_12
el_2,nan,0,[],,meco_para_12
identificador_1,325.0,1,[147],,meco_para_12
es_2,651.0,2,"[143, 173]",,meco_para_12
Unico_0,326.0,1,[169],,meco_para_12
en_1,656.0,2,"[105, 122]",,meco_para_12
todo_0,2286.0,7,"[83, 84, 85, 127, 128, 166, 190]",,meco_para_12
el_3,326.0,1,[129],,meco_para_12
"pais,_0",672.0,2,"[3, 131]",,meco_para_12
mientras_0,325.0,1,[158],,meco_para_12
"que,_1",653.0,2,"[136, 137]",,meco_para_12
en_2,327.0,1,[163],,meco_para_12
"otros,_1",nan,0,[],,meco_para_12
es_3,nan,0,[],,meco_para_12
Unico_1,nan,0,[],,meco_para_12
dentro_1,nan,0,[],meco_para_12_qa_0 ,meco_para_12
de_7,nan,0,[],meco_para_12_qa_0 ,meco_para_12
un_2,661.0,2,"[146, 148]",meco_para_12_qa_0 ,meco_para_12
estado_0,2293.0,7,"[124, 125, 144, 145, 149, 168, 172]",meco_para_12_qa_0 ,meco_para_12
o_3,1647.0,5,"[123, 126, 150, 174, 192]",meco_para_12_qa_0 ,meco_para_12
provincia._0,2597.0,8,"[151, 152, 167, 175, 176, 177, 178, 191]",meco_para_12_qa_0 ,meco_para_12
Francia_0,1304.0,4,"[155, 156, 179, 189]",meco_para_12_qa_0 ,meco_para_12
fue_0,656.0,2,"[157, 188]",meco_para_12_qa_0 ,meco_para_12
el_4,nan,0,[],meco_para_12_qa_0 ,meco_para_12
primer_0,977.0,3,"[159, 160, 187]",meco_para_12_qa_0 ,meco_para_12
pais_1,330.0,1,[161],meco_para_12_qa_0 ,meco_para_12
en_3,328.0,1,[162],meco_para_12_qa_0 ,meco_para_12
 introducir_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
la_1,nan,0,[],meco_para_12_qa_0 ,meco_para_12
"patente,_1",nan,0,[],meco_para_12_qa_0 ,meco_para_12
a_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
fines_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
del_2,971.0,3,"[194, 195, 196]",meco_para_12_qa_0 ,meco_para_12
siglo_0,648.0,2,"[197, 198]",meco_para_12_qa_0 ,meco_para_12
diecinueve._0,1637.0,5,"[153, 154, 202, 203, 206]",meco_para_12_qa_0 ,meco_para_12
Las_0,656.0,2,"[204, 205]",meco_para_12_qa_0 ,meco_para_12
patentes_1,648.0,2,"[181, 229]",meco_para_12_qa_0 ,meco_para_12
de_8,672.0,2,"[2, 182]",meco_para_12_qa_0 ,meco_para_12
 principios_0,1301.0,4,"[183, 184, 185, 186]",meco_para_12_qa_0 ,meco_para_12
de_9,nan,0,[],meco_para_12_qa_0 ,meco_para_12
siglo_1,nan,0,[],meco_para_12_qa_0 ,meco_para_12
veinte_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
variaban_0,330.0,1,[213],,meco_para_12
