word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
A_0,nan,0,[],,meco_para_12
vehicle_0,nan,0,[],,meco_para_12
registration_0,nan,0,[],,meco_para_12
plate_0,nan,0,[],,meco_para_12
is_0,nan,0,[],,meco_para_12
a_1,nan,0,[],,meco_para_12
metal_0,nan,0,[],,meco_para_12
or_0,nan,0,[],,meco_para_12
plastic_0,nan,0,[],,meco_para_12
plate_1,nan,0,[],,meco_para_12
attached_0,nan,0,[],,meco_para_12
to_0,nan,0,[],,meco_para_12
a_2,nan,0,[],,meco_para_12
vehicle_1,nan,0,[],,meco_para_12
for_0,nan,0,[],,meco_para_12
officialidentification_0,210.0,2,"[3, 4]",,meco_para_12
purposes._0,nan,0,[],,meco_para_12
All_0,nan,0,[],,meco_para_12
countries_0,nan,0,[],,meco_para_12
require_0,nan,0,[],,meco_para_12
registration_1,nan,0,[],,meco_para_12
plates_0,nan,0,[],,meco_para_12
for_1,nan,0,[],,meco_para_12
road_0,nan,0,[],,meco_para_12
vehicles_0,nan,0,[],,meco_para_12
such_0,nan,0,[],,meco_para_12
as_0,65.0,1,[5],,meco_para_12
"cars,_0",nan,0,[],,meco_para_12
"trucks,and_0",nan,0,[],,meco_para_12
motorcycles._0,nan,0,[],,meco_para_12
Whether_0,nan,0,[],,meco_para_12
they_0,nan,0,[],,meco_para_12
are_0,nan,0,[],,meco_para_12
required_0,nan,0,[],,meco_para_12
for_2,nan,0,[],,meco_para_12
other_0,nan,0,[],,meco_para_12
"vehicles,_1",nan,0,[],,meco_para_12
such_1,nan,0,[],,meco_para_12
as__0,174.0,1,[19],,meco_para_12
"bicycles,_0",nan,0,[],,meco_para_12
"boats,_0",nan,0,[],meco_para_12_qa_2 ,meco_para_12
or_1,nan,0,[],meco_para_12_qa_2 ,meco_para_12
"tractors,_0",nan,0,[],meco_para_12_qa_2 ,meco_para_12
may_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
vary_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
by_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
jurisdiction._0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
The_0,nan,0,[],,meco_para_12
registration_2,nan,0,[],,meco_para_12
identifier_0,nan,0,[],,meco_para_12
is_1,nan,0,[],,meco_para_12
a_3,67.0,1,[18],,meco_para_12
series_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
of_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
letters_0,69.0,1,[6],meco_para_12_qa_3 ,meco_para_12
and_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
digits_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
that_0,168.0,1,[22],,meco_para_12
uniquely_0,nan,0,[],,meco_para_12
identifies_0,nan,0,[],,meco_para_12
the_1,403.0,2,"[12, 37]",,meco_para_12
vehicle_2,341.0,2,"[13, 25]",,meco_para_12
owner_0,405.0,4,"[14, 26, 27, 48]",,meco_para_12
within_0,107.0,1,[15],,meco_para_12
the_2,262.0,3,"[16, 17, 28]",,meco_para_12
issuing_0,nan,0,[],,meco_para_12
region's_0,nan,0,[],,meco_para_12
vehicle_3,236.0,1,[7],,meco_para_12
register._0,850.0,3,"[8, 21, 32]",,meco_para_12
In_0,108.0,1,[10],,meco_para_12
some_0,nan,0,[],,meco_para_12
"countries,_1",618.0,5,"[11, 23, 36, 45, 46]",,meco_para_12
the_3,130.0,1,[24],,meco_para_12
identifier_1,nan,0,[],,meco_para_12
is_2,165.0,1,[39],,meco_para_12
unique_0,69.0,1,[38],,meco_para_12
within_1,231.0,1,[50],,meco_para_12
the_4,nan,0,[],,meco_para_12
entire_0,71.0,1,[29],,meco_para_12
"country,_0",nan,0,[],,meco_para_12
while_0,nan,0,[],,meco_para_12
in_1,nan,0,[],,meco_para_12
others_0,274.0,2,"[9, 33]",,meco_para_12
it_0,nan,0,[],,meco_para_12
is_3,66.0,1,[34],,meco_para_12
unique_1,65.0,1,[35],,meco_para_12
within_2,nan,0,[],,meco_para_12
a_4,nan,0,[],,meco_para_12
state_0,nan,0,[],,meco_para_12
or_2,nan,0,[],,meco_para_12
province._0,303.0,2,"[59, 60]",,meco_para_12
France_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
was_0,73.0,1,[51],meco_para_12_qa_0 ,meco_para_12
the_5,342.0,1,[52],meco_para_12_qa_0 ,meco_para_12
first_0,201.0,1,[30],meco_para_12_qa_0 ,meco_para_12
country_1,139.0,1,[54],meco_para_12_qa_0 ,meco_para_12
to_1,nan,0,[],meco_para_12_qa_0 ,meco_para_12
introduce_0,202.0,2,"[43, 44]",meco_para_12_qa_0 ,meco_para_12
the_6,nan,0,[],,meco_para_12
registration_3,141.0,1,[58],,meco_para_12
"plate,_2",nan,0,[],,meco_para_12
in_2,nan,0,[],,meco_para_12
the_7,242.0,1,[78],,meco_para_12
late_0,nan,0,[],,meco_para_12
nineteenth_0,1021.0,4,"[61, 63, 65, 92]",,meco_para_12
century._0,780.0,5,"[62, 66, 67, 80, 93]",,meco_para_12
Early_0,nan,0,[],,meco_para_12
twentieth_0,575.0,3,"[42, 68, 69]",,meco_para_12
century_1,67.0,1,[55],,meco_para_12
plates_1,104.0,1,[56],,meco_para_12
varied_0,nan,0,[],,meco_para_12
in_3,nan,0,[],,meco_para_12
size_0,67.0,1,[77],,meco_para_12
and_1,nan,0,[],,meco_para_12
shape_0,210.0,1,[99],,meco_para_12
from_0,67.0,1,[91],,meco_para_12
one_0,nan,0,[],,meco_para_12
jurisdiction_1,65.0,1,[79],,meco_para_12
to_2,nan,0,[],,meco_para_12
the_8,97.0,1,[2],,meco_para_12
"next,_0",nan,0,[],,meco_para_12
such_2,135.0,1,[70],,meco_para_12
that_1,167.0,2,"[71, 72]",,meco_para_12
if_0,170.0,1,[73],,meco_para_12
a_5,nan,0,[],,meco_para_12
person_0,470.0,3,"[57, 74, 85]",,meco_para_12
"moved,_0",805.0,4,"[76, 86, 87, 98]",,meco_para_12
new_0,nan,0,[],,meco_para_12
holes_0,441.0,2,"[88, 142]",,meco_para_12
would_0,878.0,2,"[130, 131]",,meco_para_12
need_0,nan,0,[],,meco_para_12
to_3,70.0,1,[133],,meco_para_12
be_0,272.0,1,[134],,meco_para_12
drilled_0,137.0,1,[120],,meco_para_12
into_0,nan,0,[],,meco_para_12
the_9,100.0,1,[82],,meco_para_12
