word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
A_0,nan,0,[],,meco_para_12
vehicle_0,nan,0,[],,meco_para_12
registration_0,170.0,1,[7],,meco_para_12
plate_0,65.0,1,[6],,meco_para_12
is_0,nan,0,[],,meco_para_12
a_1,nan,0,[],,meco_para_12
metal_0,68.0,1,[20],,meco_para_12
or_0,168.0,2,"[36, 42]",,meco_para_12
plastic_0,103.0,1,[15],,meco_para_12
plate_1,nan,0,[],,meco_para_12
attached_0,nan,0,[],,meco_para_12
to_0,nan,0,[],,meco_para_12
a_2,nan,0,[],,meco_para_12
vehicle_1,nan,0,[],,meco_para_12
for_0,nan,0,[],,meco_para_12
officialidentification_0,nan,0,[],,meco_para_12
purposes._0,nan,0,[],,meco_para_12
All_0,70.0,1,[5],,meco_para_12
countries_0,201.0,3,"[12, 14, 19]",,meco_para_12
require_0,67.0,1,[9],,meco_para_12
registration_1,205.0,2,"[10, 41]",,meco_para_12
plates_0,nan,0,[],,meco_para_12
for_1,68.0,1,[39],,meco_para_12
road_0,nan,0,[],,meco_para_12
vehicles_0,120.0,1,[48],,meco_para_12
such_0,nan,0,[],,meco_para_12
as_0,68.0,1,[74],,meco_para_12
"cars,_0",nan,0,[],,meco_para_12
"trucks,and_0",nan,0,[],,meco_para_12
motorcycles._0,271.0,2,"[4, 13]",,meco_para_12
Whether_0,nan,0,[],,meco_para_12
they_0,67.0,1,[47],,meco_para_12
are_0,nan,0,[],,meco_para_12
required_0,135.0,1,[24],,meco_para_12
for_2,nan,0,[],,meco_para_12
other_0,nan,0,[],,meco_para_12
"vehicles,_1",nan,0,[],,meco_para_12
such_1,nan,0,[],,meco_para_12
as__0,204.0,1,[73],,meco_para_12
"bicycles,_0",nan,0,[],,meco_para_12
"boats,_0",nan,0,[],meco_para_12_qa_2 ,meco_para_12
or_1,nan,0,[],meco_para_12_qa_2 ,meco_para_12
"tractors,_0",84.0,1,[3],meco_para_12_qa_2 ,meco_para_12
may_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
vary_0,68.0,1,[46],meco_para_12_qa_2 ,meco_para_12
by_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
jurisdiction._0,66.0,1,[49],meco_para_12_qa_2 ,meco_para_12
The_0,nan,0,[],,meco_para_12
registration_2,104.0,1,[27],,meco_para_12
identifier_0,nan,0,[],,meco_para_12
is_1,nan,0,[],,meco_para_12
a_3,69.0,1,[51],,meco_para_12
series_0,133.0,2,"[30, 31]",meco_para_12_qa_3 ,meco_para_12
of_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
letters_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
and_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
digits_0,169.0,2,"[57, 77]",meco_para_12_qa_3 ,meco_para_12
that_0,203.0,2,"[2, 78]",,meco_para_12
uniquely_0,103.0,1,[50],,meco_para_12
identifies_0,nan,0,[],,meco_para_12
the_1,nan,0,[],,meco_para_12
vehicle_2,nan,0,[],,meco_para_12
owner_0,nan,0,[],,meco_para_12
within_0,171.0,2,"[18, 32]",,meco_para_12
the_2,172.0,1,[33],,meco_para_12
issuing_0,137.0,2,"[61, 99]",,meco_para_12
region's_0,273.0,3,"[34, 43, 75]",,meco_para_12
vehicle_3,171.0,2,"[56, 76]",,meco_para_12
register._0,306.0,3,"[45, 55, 79]",,meco_para_12
In_0,67.0,1,[59],,meco_para_12
some_0,nan,0,[],,meco_para_12
"countries,_1",67.0,1,[70],,meco_para_12
the_3,103.0,1,[71],,meco_para_12
identifier_1,nan,0,[],,meco_para_12
is_2,nan,0,[],,meco_para_12
unique_0,nan,0,[],,meco_para_12
within_1,137.0,2,"[84, 100]",,meco_para_12
the_4,nan,0,[],,meco_para_12
entire_0,nan,0,[],,meco_para_12
"country,_0",438.0,5,"[35, 53, 54, 65, 98]",,meco_para_12
while_0,nan,0,[],,meco_para_12
in_1,nan,0,[],,meco_para_12
others_0,144.0,2,"[58, 68]",,meco_para_12
it_0,67.0,1,[69],,meco_para_12
is_3,nan,0,[],,meco_para_12
unique_1,68.0,1,[80],,meco_para_12
within_2,101.0,1,[81],,meco_para_12
a_4,68.0,1,[60],,meco_para_12
state_0,nan,0,[],,meco_para_12
or_2,nan,0,[],,meco_para_12
province._0,nan,0,[],,meco_para_12
France_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
was_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
the_5,103.0,1,[52],meco_para_12_qa_0 ,meco_para_12
first_0,169.0,1,[88],meco_para_12_qa_0 ,meco_para_12
country_1,67.0,1,[102],meco_para_12_qa_0 ,meco_para_12
to_1,205.0,2,"[103, 158]",meco_para_12_qa_0 ,meco_para_12
introduce_0,144.0,2,"[1, 104]",meco_para_12_qa_0 ,meco_para_12
the_6,nan,0,[],,meco_para_12
registration_3,nan,0,[],,meco_para_12
"plate,_2",170.0,2,"[82, 83]",,meco_para_12
in_2,nan,0,[],,meco_para_12
the_7,nan,0,[],,meco_para_12
late_0,67.0,1,[101],,meco_para_12
nineteenth_0,66.0,1,[85],,meco_para_12
century._0,173.0,2,"[44, 87]",,meco_para_12
Early_0,103.0,1,[111],,meco_para_12
twentieth_0,101.0,1,[67],,meco_para_12
century_1,68.0,1,[157],,meco_para_12
plates_1,nan,0,[],,meco_para_12
varied_0,66.0,1,[105],,meco_para_12
in_3,nan,0,[],,meco_para_12
size_0,nan,0,[],,meco_para_12
and_1,nan,0,[],,meco_para_12
shape_0,103.0,1,[121],,meco_para_12
from_0,nan,0,[],,meco_para_12
one_0,71.0,1,[64],,meco_para_12
jurisdiction_1,nan,0,[],,meco_para_12
to_2,nan,0,[],,meco_para_12
the_8,67.0,1,[110],,meco_para_12
"next,_0",nan,0,[],,meco_para_12
such_2,135.0,2,"[117, 156]",,meco_para_12
that_1,nan,0,[],,meco_para_12
if_0,nan,0,[],,meco_para_12
a_5,nan,0,[],,meco_para_12
person_0,70.0,1,[93],,meco_para_12
"moved,_0",236.0,3,"[106, 107, 108]",,meco_para_12
new_0,nan,0,[],,meco_para_12
holes_0,nan,0,[],,meco_para_12
would_0,65.0,1,[122],,meco_para_12
need_0,nan,0,[],,meco_para_12
to_3,146.0,1,[140],,meco_para_12
be_0,nan,0,[],,meco_para_12
drilled_0,193.0,2,"[135, 141]",,meco_para_12
into_0,nan,0,[],,meco_para_12
