word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
The_0,nan,0,[],,meco_para_11
International_0,129.0,2,"[765, 803]",,meco_para_11
Union_0,51.0,1,[767],,meco_para_11
for_0,65.0,1,[271],,meco_para_11
Conservation_0,nan,0,[],,meco_para_11
of_0,nan,0,[],,meco_para_11
Nature_0,73.0,1,[749],,meco_para_11
is_0,nan,0,[],,meco_para_11
an__0,71.0,1,[38],meco_para_11_qa_0 ,meco_para_11
international_1,238.0,2,"[979, 992]",meco_para_11_qa_0 ,meco_para_11
organization_0,202.0,1,[792],meco_para_11_qa_0 ,meco_para_11
working_0,97.0,1,[804],,meco_para_11
in_0,305.0,4,"[697, 700, 764, 801]",,meco_para_11
the_1,63.0,1,[726],,meco_para_11
field_0,101.0,1,[695],,meco_para_11
of_1,nan,0,[],,meco_para_11
nature_1,306.0,4,"[273, 684, 737, 748]",,meco_para_11
conservation_1,66.0,1,[72],,meco_para_11
and_0,301.0,3,"[60, 710, 959]",,meco_para_11
the_2,71.0,1,[257],,meco_para_11
sustainable_0,365.0,5,"[12, 13, 25, 715, 1036]",,meco_para_11
use_0,103.0,1,[1035],,meco_para_11
of_2,267.0,4,"[14, 793, 795, 797]",,meco_para_11
natural_0,509.0,6,"[778, 779, 780, 796, 798, 810]",,meco_para_11
resources._0,65.0,1,[733],,meco_para_11
It_0,344.0,3,"[335, 732, 735]",,meco_para_11
is_1,162.0,2,"[701, 729]",,meco_para_11
involved_0,541.0,6,"[345, 681, 686, 704, 712, 730]",,meco_para_11
in_1,164.0,2,"[332, 685]",,meco_para_11
data_0,172.0,2,"[693, 714]",,meco_para_11
gathering_0,443.0,6,"[37, 352, 683, 711, 742, 805]",,meco_para_11
and_1,332.0,3,"[62, 256, 772]",,meco_para_11
"analysis,_0",901.0,10,"[24, 61, 64, 74, 226, 258, 259, 276, 829, 991]",,meco_para_11
"research,_0",1091.0,12,"[9, 10, 11, 39, 285, 350, 774, 830, 854, 900, 973, 978]",,meco_para_11
field_1,380.0,5,"[719, 720, 775, 794, 831]",,meco_para_11
