word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
La_0,179.0,2,"[627, 1456]",,meco_para_12
patente_0,69.0,1,[1616],,meco_para_12
de_0,271.0,2,"[670, 1621]",,meco_para_12
un_0,139.0,1,[1593],,meco_para_12
vehiculo_0,1078.0,8,"[199, 200, 367, 897, 1079, 1232, 1233, 1594]",,meco_para_12
es_0,161.0,2,"[34, 725]",,meco_para_12
una_0,167.0,2,"[233, 1260]",,meco_para_12
placa_0,717.0,6,"[379, 1035, 1625, 1629, 1867, 1873]",,meco_para_12
de_1,717.0,5,"[355, 391, 1299, 1626, 1811]",,meco_para_12
metal_0,547.0,5,"[396, 1021, 1644, 1647, 1652]",,meco_para_12
o_0,418.0,5,"[36, 358, 365, 374, 1650]",,meco_para_12
 plastico_0,137.0,2,"[600, 1225]",,meco_para_12
fijada_0,155.0,2,"[370, 1676]",,meco_para_12
al_0,104.0,1,[1678],,meco_para_12
vehiculo_1,nan,0,[],,meco_para_12
con_0,134.0,2,"[398, 799]",,meco_para_12
el_0,nan,0,[],,meco_para_12
propdsito_0,138.0,2,"[324, 721]",,meco_para_12
de_2,203.0,3,"[198, 201, 1859]",,meco_para_12
identificacién_0,1891.0,15,"[221, 241, 359, 723, 778, 1136, 1221, 1223, 1590, 1610, 1684, 1810, 1814, 1860, 1879]",,meco_para_12
oficial_0,1039.0,8,"[335, 377, 811, 1298, 1449, 1866, 1877, 1878]",,meco_para_12
Todos_0,719.0,5,"[1034, 1263, 1630, 1688, 1689]",,meco_para_12
los_0,137.0,1,[107],,meco_para_12
paises_0,976.0,8,"[37, 601, 1209, 1451, 1645, 1646, 1651, 1654]",,meco_para_12
requieren_0,270.0,2,"[1452, 1453]",,meco_para_12
patentes_0,340.0,2,"[372, 1675]",,meco_para_12
para_0,102.0,1,[1937],,meco_para_12
vehiculos_0,137.0,2,"[1058, 1855]",,meco_para_12
como_0,443.0,5,"[485, 1615, 1856, 1857, 1858]",,meco_para_12
"autos,_0",995.0,9,"[779, 815, 816, 1052, 1220, 1229, 1455, 1681, 1682]",,meco_para_12
camiones_0,1228.0,11,"[33, 325, 813, 896, 1231, 1234, 1235, 1236, 1609, 1683, 1809]",,meco_para_12
y_0,243.0,3,"[334, 336, 1865]",,meco_para_12
motocicletas._0,2039.0,20,"[44, 100, 239, 338, 812, 1033, 1264, 1450, 1454, 1623, 1632, 1662, 1663, 1670, 1702, 1825, 1826, 1827, 1872, 1931]",,meco_para_12
Su_0,779.0,7,"[106, 602, 609, 1275, 1631, 1664, 1870]",,meco_para_12
 requerimiento_0,2209.0,12,"[38, 207, 353, 375, 376, 608, 829, 830, 1009, 1247, 1248, 1639]",,meco_para_12
para_1,68.0,1,[808],,meco_para_12
otros_0,170.0,1,[1657],,meco_para_12
vehiculos_1,69.0,1,[1936],,meco_para_12
como_1,68.0,1,[1854],,meco_para_12
"bicicletas,_0",1197.0,10,"[3, 4, 190, 484, 641, 817, 1253, 1555, 1587, 1863]",meco_para_12_qa_2 ,meco_para_12
botes_0,750.0,9,"[197, 220, 333, 1053, 1230, 1266, 1596, 1861, 1862]",meco_para_12_qa_2 ,meco_para_12
o_1,nan,0,[],meco_para_12_qa_2 ,meco_para_12
