word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Dunya_0,nan,0,[],,meco_para_11
Doga_0,304.0,1,[5],,meco_para_11
ve_0,nan,0,[],,meco_para_11
Dogal_0,nan,0,[],,meco_para_11
Kaynaklari_0,nan,0,[],,meco_para_11
Koruma__0,nan,0,[],,meco_para_11
Birligi_0,nan,0,[],,meco_para_11
doganin_0,nan,0,[],,meco_para_11
korunmasi_0,nan,0,[],,meco_para_11
ve_1,nan,0,[],,meco_para_11
 dogal_0,nan,0,[],,meco_para_11
kaynaklarin_0,68.0,1,[44],,meco_para_11
 sUrdirulebilir_0,170.0,2,"[6, 7]",,meco_para_11
=_0,nan,0,[],,meco_para_11
kullanimi_0,nan,0,[],,meco_para_11
alaninda_0,nan,0,[],,meco_para_11
galisan_—uluslararas!_0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
bir_0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
kurulustur._0,849.0,2,"[21, 30]",meco_para_11_qa_0 ,meco_para_11
Veri_0,nan,0,[],,meco_para_11
toplama_0,nan,0,[],,meco_para_11
ve_2,170.0,1,[23],,meco_para_11
"analiz,_0",nan,0,[],,meco_para_11
"arastirma,_0",103.0,1,[8],,meco_para_11
saha__0,nan,0,[],,meco_para_11
"projeleri,_0",nan,0,[],,meco_para_11
savunma_0,69.0,1,[11],,meco_para_11
ve_3,nan,0,[],,meco_para_11
egitim_0,67.0,1,[13],,meco_para_11
alanlarinda_0,581.0,3,"[14, 15, 16]",,meco_para_11
faaliyet_0,nan,0,[],,meco_para_11
gostermektedir._0,170.0,1,[45],meco_para_11_qa_2 ,meco_para_11
Misyonu_0,68.0,1,[32],meco_para_11_qa_2 ,meco_para_11
 dtinyadaki_0,749.0,3,"[9, 33, 34]",meco_para_11_qa_2 ,meco_para_11
toplumlari_0,204.0,2,"[10, 19]",meco_para_11_qa_2 ,meco_para_11
dogayi_0,237.0,2,"[12, 36]",meco_para_11_qa_2 ,meco_para_11
korumak_0,69.0,1,[37],meco_para_11_qa_2 ,meco_para_11
icin_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
"etkilemek,_0",2342.0,7,"[20, 29, 38, 39, 40, 41, 57]",meco_para_11_qa_2 ,meco_para_11
tesvik_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
etmek_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
ve_4,nan,0,[],meco_para_11_qa_2 ,meco_para_11
yardimci_0,67.0,1,[46],meco_para_11_qa_2 ,meco_para_11
olmak_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
ve_5,nan,0,[],meco_para_11_qa_2 ,meco_para_11
dogal_1,511.0,1,[51],meco_para_11_qa_2 ,meco_para_11
kaynak_0,405.0,3,"[4, 35, 59]",meco_para_11_qa_2 ,meco_para_11
kullaniminin§_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
adil_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
ve_6,nan,0,[],meco_para_11_qa_2 ,meco_para_11
 ekolojik_0,512.0,1,[56],meco_para_11_qa_2 ,meco_para_11
olarak_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
surdurulebilir_0,239.0,2,"[31, 58]",meco_para_11_qa_2 ,meco_para_11
olmasini_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
saglamak_0,304.0,2,"[47, 48]",meco_para_11_qa_2 ,meco_para_11
tir._0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
Gectigimiz_0,409.0,2,"[18, 52]",meco_para_11_qa_2 ,meco_para_11
on_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
yillar_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
"boyunca,_0",883.0,3,"[28, 54, 55]",meco_para_11_qa_2 ,meco_para_11
organizasyon_0,238.0,1,[63],meco_para_11_qa_2 ,meco_para_11
koruma_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
ekolojisinin_0,nan,0,[],,meco_para_11
dtesinde_0,nan,0,[],,meco_para_11
odagini__0,nan,0,[],,meco_para_11
genisletti_0,nan,0,[],,meco_para_11
ve_7,69.0,1,[17],,meco_para_11
simdi_0,69.0,1,[3],,meco_para_11
projelerinde_0,135.0,2,"[27, 53]",,meco_para_11
strdurulebilir_0,171.0,2,"[61, 64]",,meco_para_11
kalkinma___0,nan,0,[],,meco_para_11
ile_0,nan,0,[],,meco_para_11
ilgili_0,nan,0,[],,meco_para_11
konular!_0,nan,0,[],,meco_para_11
icgeriyor._0,nan,0,[],,meco_para_11
Pek_0,nan,0,[],,meco_para_11
cok_0,nan,0,[],,meco_para_11
uluslararas!_0,67.0,1,[50],,meco_para_11
cevre_0,306.0,2,"[2, 24]",,meco_para_11
 kuruluslarinin§_0,240.0,2,"[26, 65]",,meco_para_11
"aksine,_0",nan,0,[],,meco_para_11
bu_0,nan,0,[],,meco_para_11
 organizasyon_0,nan,0,[],,meco_para_11
