word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
In_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
competitive_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
"sports,_0",nan,0,[],meco_para_3_qa_1 ,meco_para_3
doping_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
is_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
the_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
use_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
of_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
banned_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
performance-enhancing_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
drugs_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
by_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
athletic_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
competitors._0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
The_1,nan,0,[],meco_para_3_qa_1 ,meco_para_3
term_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
doping_1,nan,0,[],meco_para_3_qa_1 ,meco_para_3
is_1,78.0,1,[7],meco_para_3_qa_1 ,meco_para_3
widely_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
used_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
by_1,nan,0,[],meco_para_3_qa_1 ,meco_para_3
organizations_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
which_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
regulate_0,nan,0,[],,meco_para_3
sporting_0,nan,0,[],,meco_para_3
competitions._0,nan,0,[],,meco_para_3
The_2,nan,0,[],,meco_para_3
use_1,nan,0,[],,meco_para_3
of_1,nan,0,[],,meco_para_3
drugs_1,nan,0,[],,meco_para_3
to_0,nan,0,[],,meco_para_3
enhance_0,nan,0,[],,meco_para_3
performance_0,nan,0,[],,meco_para_3
is_2,nan,0,[],,meco_para_3
largely_0,nan,0,[],,meco_para_3
considered_0,67.0,1,[10],,meco_para_3
"unethical,_0",nan,0,[],,meco_para_3
and_0,nan,0,[],,meco_para_3
is_3,nan,0,[],,meco_para_3
therefore_0,nan,0,[],,meco_para_3
prohibited_0,nan,0,[],,meco_para_3
by_2,nan,0,[],,meco_para_3
