word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
The_0,nan,0,[],,meco_para_11
International_0,nan,0,[],,meco_para_11
Union_0,nan,0,[],,meco_para_11
for_0,nan,0,[],,meco_para_11
Conservation_0,nan,0,[],,meco_para_11
of_0,nan,0,[],,meco_para_11
Nature_0,nan,0,[],,meco_para_11
is_0,68.0,1,[294],,meco_para_11
an__0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
international_1,nan,0,[],meco_para_11_qa_0 ,meco_para_11
organization_0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
working_0,nan,0,[],,meco_para_11
in_0,nan,0,[],,meco_para_11
the_1,nan,0,[],,meco_para_11
field_0,nan,0,[],,meco_para_11
of_1,nan,0,[],,meco_para_11
nature_1,nan,0,[],,meco_para_11
conservation_1,nan,0,[],,meco_para_11
and_0,nan,0,[],,meco_para_11
the_2,nan,0,[],,meco_para_11
sustainable_0,67.0,1,[293],,meco_para_11
use_0,nan,0,[],,meco_para_11
of_2,nan,0,[],,meco_para_11
natural_0,nan,0,[],,meco_para_11
resources._0,nan,0,[],,meco_para_11
It_0,nan,0,[],,meco_para_11
is_1,nan,0,[],,meco_para_11
involved_0,109.0,1,[11],,meco_para_11
in_1,nan,0,[],,meco_para_11
data_0,196.0,1,[89],,meco_para_11
gathering_0,80.0,1,[19],,meco_para_11
and_1,nan,0,[],,meco_para_11
"analysis,_0",nan,0,[],,meco_para_11
"research,_0",nan,0,[],,meco_para_11
field_1,nan,0,[],,meco_para_11
"projects,_0",nan,0,[],,meco_para_11
"advocacy,_0",nan,0,[],,meco_para_11
and_2,66.0,1,[10],,meco_para_11
education._0,323.0,3,"[13, 14, 85]",,meco_para_11
Its_0,448.0,3,"[15, 87, 90]",,meco_para_11
mission_0,229.0,3,"[17, 18, 88]",,meco_para_11
is_2,nan,0,[],,meco_para_11
to_0,nan,0,[],,meco_para_11
"‘influence,_0",135.0,1,[54],,meco_para_11
encourage_0,331.0,2,"[75, 76]",,meco_para_11
and_3,nan,0,[],,meco_para_11
assist_0,nan,0,[],,meco_para_11
societies_0,nan,0,[],,meco_para_11
throughout_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
the_3,135.0,2,"[9, 50]",meco_para_11_qa_2 ,meco_para_11
world_0,102.0,2,"[24, 112]",meco_para_11_qa_2 ,meco_para_11
to_1,67.0,1,[86],meco_para_11_qa_2 ,meco_para_11
conserve_0,407.0,5,"[16, 27, 29, 153, 170]",meco_para_11_qa_2 ,meco_para_11
nature_2,362.0,2,"[52, 171]",meco_para_11_qa_2 ,meco_para_11
and_4,191.0,1,[53],meco_para_11_qa_2 ,meco_para_11
to_2,277.0,3,"[40, 97, 98]",meco_para_11_qa_2 ,meco_para_11
ensure_0,73.0,1,[99],meco_para_11_qa_2 ,meco_para_11
that_0,576.0,5,"[58, 77, 100, 101, 301]",meco_para_11_qa_2 ,meco_para_11
any_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
use_1,nan,0,[],meco_para_11_qa_2 ,meco_para_11
of_3,nan,0,[],meco_para_11_qa_2 ,meco_para_11
natural_1,nan,0,[],meco_para_11_qa_2 ,meco_para_11
resources_1,234.0,2,"[49, 65]",meco_para_11_qa_2 ,meco_para_11
is_3,403.0,2,"[8, 114]",meco_para_11_qa_2 ,meco_para_11
equitable_0,51.0,1,[113],meco_para_11_qa_2 ,meco_para_11
and_5,523.0,4,"[23, 26, 51, 152]",meco_para_11_qa_2 ,meco_para_11
ecologically_0,356.0,4,"[21, 25, 92, 154]",meco_para_11_qa_2 ,meco_para_11
sustainable’._0,331.0,3,"[31, 95, 213]",meco_para_11_qa_2 ,meco_para_11
Over_0,63.0,1,[214],meco_para_11_qa_2 ,meco_para_11
the_4,251.0,3,"[57, 300, 302]",meco_para_11_qa_2 ,meco_para_11
past_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
"decades,_0",1055.0,5,"[62, 63, 162, 163, 239]",meco_para_11_qa_2 ,meco_para_11
the_5,nan,0,[],meco_para_11_qa_2 ,meco_para_11
organization_1,503.0,4,"[67, 68, 115, 167]",,meco_para_11
has_0,445.0,3,"[7, 117, 135]",,meco_para_11
widened_0,723.0,6,"[71, 83, 118, 151, 169, 212]",,meco_para_11
its_1,nan,0,[],,meco_para_11
focus_0,419.0,5,"[4, 28, 30, 91, 155]",,meco_para_11
beyond_0,580.0,4,"[72, 94, 156, 172]",,meco_para_11
conservation_2,nan,0,[],,meco_para_11
ecology_0,812.0,6,"[59, 161, 194, 195, 238, 299]",,meco_para_11
and_6,211.0,2,"[196, 197]",,meco_para_11
now_0,1190.0,7,"[109, 143, 198, 199, 269, 292, 308]",,meco_para_11
incorporates_0,66.0,1,[221],,meco_para_11
issues_0,nan,0,[],,meco_para_11
related_0,874.0,4,"[116, 147, 148, 149]",,meco_para_11
to_3,397.0,3,"[134, 168, 211]",,meco_para_11
sustainable_1,185.0,2,"[5, 82]",,meco_para_11
development_0,283.0,2,"[22, 32]",,meco_para_11
in_2,404.0,3,"[55, 73, 173]",,meco_para_11
its_2,475.0,3,"[39, 74, 225]",,meco_para_11
projects._1,554.0,3,"[41, 204, 253]",,meco_para_11
Unlike_0,314.0,2,"[160, 303]",,meco_para_11
many_0,1208.0,7,"[102, 108, 129, 227, 240, 268, 307]",,meco_para_11
other_0,1399.0,5,"[144, 220, 222, 241, 270]",,meco_para_11
international_2,577.0,3,"[48, 166, 245]",,meco_para_11
environmental_0,618.0,6,"[6, 69, 136, 150, 188, 236]",,meco_para_11
"organizations,_0",399.0,4,"[81, 189, 191, 224]",,meco_para_11
it_1,78.0,1,[137],,meco_para_11
does_0,672.0,6,"[33, 138, 139, 157, 252, 295]",,meco_para_11
not_0,134.0,1,[56],,meco_para_11
aim_0,415.0,4,"[128, 193, 205, 216]",,meco_para_11
to_4,77.0,1,[206],,meco_para_11
mobilize_0,1124.0,10,"[64, 78, 107, 130, 200, 201, 217, 218, 254, 279]",,meco_para_11
the_6,1168.0,5,"[106, 182, 183, 228, 280]",,meco_para_11
public_0,245.0,4,"[110, 145, 184, 287]",,meco_para_11
in_3,nan,0,[],,meco_para_11
support_0,nan,0,[],,meco_para_11
of_4,512.0,3,"[187, 210, 259]",,meco_para_11
nature_3,200.0,3,"[70, 186, 234]",,meco_para_11
conservation._3,nan,0,[],,meco_para_11
"Instead,_0",514.0,3,"[190, 237, 265]",,meco_para_11
the_7,55.0,1,[126],,meco_para_11
organization_2,1168.0,11,"[35, 37, 38, 127, 140, 141, 158, 174, 175, 207, 229]",,meco_para_11
tries_0,254.0,3,"[176, 177, 304]",,meco_para_11
to_5,525.0,3,"[60, 178, 267]",,meco_para_11
influence_0,1514.0,12,"[61, 79, 104, 179, 181, 219, 242, 256, 257, 277, 282, 290]",,meco_para_11
the_8,67.0,1,[258],,meco_para_11
actions_0,nan,0,[],,meco_para_11
of_5,466.0,3,"[223, 232, 260]",,meco_para_11
"governments,_0",130.0,2,"[208, 233]",,meco_para_11
business_0,512.0,6,"[119, 120, 231, 249, 250, 264]",,meco_para_11
and_7,144.0,1,[3],,meco_para_11
other_1,60.0,1,[230],,meco_para_11
stakeholders_0,nan,0,[],,meco_para_11
