word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
The_0,nan,0,[],,meco_para_11
International_0,nan,0,[],,meco_para_11
Union_0,nan,0,[],,meco_para_11
for_0,nan,0,[],,meco_para_11
Conservation_0,nan,0,[],,meco_para_11
of_0,nan,0,[],,meco_para_11
Nature_0,nan,0,[],,meco_para_11
is_0,nan,0,[],,meco_para_11
an__0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
international_1,nan,0,[],meco_para_11_qa_0 ,meco_para_11
organization_0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
working_0,nan,0,[],,meco_para_11
in_0,nan,0,[],,meco_para_11
the_1,nan,0,[],,meco_para_11
field_0,nan,0,[],,meco_para_11
of_1,nan,0,[],,meco_para_11
nature_1,nan,0,[],,meco_para_11
conservation_1,nan,0,[],,meco_para_11
and_0,nan,0,[],,meco_para_11
the_2,nan,0,[],,meco_para_11
sustainable_0,nan,0,[],,meco_para_11
use_0,nan,0,[],,meco_para_11
of_2,nan,0,[],,meco_para_11
natural_0,nan,0,[],,meco_para_11
resources._0,nan,0,[],,meco_para_11
It_0,nan,0,[],,meco_para_11
is_1,nan,0,[],,meco_para_11
involved_0,nan,0,[],,meco_para_11
in_1,nan,0,[],,meco_para_11
data_0,nan,0,[],,meco_para_11
gathering_0,nan,0,[],,meco_para_11
and_1,nan,0,[],,meco_para_11
"analysis,_0",nan,0,[],,meco_para_11
"research,_0",nan,0,[],,meco_para_11
field_1,nan,0,[],,meco_para_11
"projects,_0",nan,0,[],,meco_para_11
"advocacy,_0",nan,0,[],,meco_para_11
and_2,nan,0,[],,meco_para_11
education._0,nan,0,[],,meco_para_11
Its_0,nan,0,[],,meco_para_11
mission_0,nan,0,[],,meco_para_11
is_2,nan,0,[],,meco_para_11
to_0,nan,0,[],,meco_para_11
"‘influence,_0",nan,0,[],,meco_para_11
encourage_0,nan,0,[],,meco_para_11
and_3,nan,0,[],,meco_para_11
assist_0,nan,0,[],,meco_para_11
societies_0,nan,0,[],,meco_para_11
throughout_0,66.0,1,[23],meco_para_11_qa_2 ,meco_para_11
the_3,nan,0,[],meco_para_11_qa_2 ,meco_para_11
world_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
to_1,nan,0,[],meco_para_11_qa_2 ,meco_para_11
conserve_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
nature_2,nan,0,[],meco_para_11_qa_2 ,meco_para_11
and_4,nan,0,[],meco_para_11_qa_2 ,meco_para_11
to_2,nan,0,[],meco_para_11_qa_2 ,meco_para_11
ensure_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
that_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
any_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
use_1,nan,0,[],meco_para_11_qa_2 ,meco_para_11
of_3,nan,0,[],meco_para_11_qa_2 ,meco_para_11
natural_1,nan,0,[],meco_para_11_qa_2 ,meco_para_11
resources_1,105.0,1,[22],meco_para_11_qa_2 ,meco_para_11
is_3,nan,0,[],meco_para_11_qa_2 ,meco_para_11
equitable_0,146.0,1,[9],meco_para_11_qa_2 ,meco_para_11
and_5,nan,0,[],meco_para_11_qa_2 ,meco_para_11
ecologically_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
sustainable’._0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
Over_0,139.0,2,"[14, 47]",meco_para_11_qa_2 ,meco_para_11
the_4,nan,0,[],meco_para_11_qa_2 ,meco_para_11
past_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
"decades,_0",346.0,1,[37],meco_para_11_qa_2 ,meco_para_11
the_5,nan,0,[],meco_para_11_qa_2 ,meco_para_11
organization_1,218.0,3,"[7, 38, 99]",,meco_para_11
has_0,246.0,3,"[8, 25, 27]",,meco_para_11
widened_0,102.0,1,[42],,meco_para_11
its_1,nan,0,[],,meco_para_11
focus_0,105.0,1,[28],,meco_para_11
beyond_0,nan,0,[],,meco_para_11
conservation_2,449.0,3,"[16, 18, 46]",,meco_para_11
ecology_0,231.0,2,"[19, 20]",,meco_para_11
and_6,nan,0,[],,meco_para_11
now_0,nan,0,[],,meco_para_11
incorporates_0,nan,0,[],,meco_para_11
issues_0,68.0,1,[58],,meco_para_11
related_0,223.0,2,"[26, 39]",,meco_para_11
to_3,nan,0,[],,meco_para_11
sustainable_1,50.0,1,[60],,meco_para_11
development_0,279.0,4,"[10, 29, 44, 45]",,meco_para_11
in_2,nan,0,[],,meco_para_11
its_2,nan,0,[],,meco_para_11
projects._1,nan,0,[],,meco_para_11
Unlike_0,nan,0,[],,meco_para_11
many_0,214.0,2,"[48, 49]",,meco_para_11
other_0,nan,0,[],,meco_para_11
international_2,316.0,4,"[100, 114, 135, 136]",,meco_para_11
environmental_0,653.0,7,"[5, 6, 59, 81, 174, 175, 176]",,meco_para_11
"organizations,_0",193.0,2,"[61, 106]",,meco_para_11
it_1,nan,0,[],,meco_para_11
does_0,251.0,2,"[66, 67]",,meco_para_11
not_0,nan,0,[],,meco_para_11
aim_0,187.0,2,"[30, 31]",,meco_para_11
to_4,nan,0,[],,meco_para_11
mobilize_0,103.0,1,[50],,meco_para_11
the_6,74.0,1,[111],,meco_para_11
public_0,nan,0,[],,meco_para_11
in_3,nan,0,[],,meco_para_11
support_0,236.0,1,[186],,meco_para_11
of_4,71.0,1,[134],,meco_para_11
nature_3,242.0,2,"[115, 173]",,meco_para_11
conservation._3,487.0,5,"[4, 43, 82, 102, 117]",,meco_para_11
"Instead,_0",742.0,8,"[63, 64, 73, 84, 103, 120, 121, 179]",,meco_para_11
the_7,418.0,5,"[11, 12, 65, 85, 122]",,meco_para_11
organization_2,367.0,3,"[70, 104, 123]",,meco_para_11
tries_0,240.0,2,"[32, 105]",,meco_para_11
to_5,68.0,1,[51],,meco_para_11
influence_0,226.0,2,"[36, 110]",,meco_para_11
the_8,nan,0,[],,meco_para_11
actions_0,440.0,5,"[80, 116, 160, 185, 187]",,meco_para_11
of_5,nan,0,[],,meco_para_11
"governments,_0",213.0,3,"[133, 141, 153]",,meco_para_11
business_0,149.0,2,"[72, 83]",,meco_para_11
and_7,nan,0,[],,meco_para_11
other_1,nan,0,[],,meco_para_11
stakeholders_0,190.0,2,"[62, 89]",,meco_para_11
by_0,171.0,2,"[1, 91]",,meco_para_11
providing_0,330.0,3,"[52, 74, 92]",,meco_para_11
information_0,72.0,1,[109],,meco_para_11
and_8,176.0,2,"[159, 210]",,meco_para_11
"advice,_0",369.0,2,"[137, 196]",,meco_para_11
and_9,138.0,2,"[112, 195]",,meco_para_11
through_0,65.0,1,[140],,meco_para_11
building_0,132.0,1,[71],,meco_para_11
partnerships._0,242.0,3,"[3, 177, 178]",,meco_para_11
The_9,494.0,4,"[69, 86, 88, 200]",,meco_para_11
organization_3,283.0,4,"[33, 90, 124, 144]",,meco_para_11
is_4,241.0,4,"[0, 34, 77, 93]",,meco_para_11
best_0,nan,0,[],,meco_para_11
known_0,nan,0,[],,meco_para_11
to_6,nan,0,[],,meco_para_11
the_10,89.0,1,[209],,meco_para_11
wider_0,69.0,1,[158],,meco_para_11
public_1,nan,0,[],,meco_para_11
for_1,288.0,2,"[165, 194]",,meco_para_11
