word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
La_0,340.0,1,[176],,meco_para_12
patente_0,1022.0,4,"[16, 161, 177, 178]",,meco_para_12
de_0,101.0,1,[4],,meco_para_12
un_0,171.0,1,[5],,meco_para_12
vehiculo_0,nan,0,[],,meco_para_12
es_0,nan,0,[],,meco_para_12
una_0,nan,0,[],,meco_para_12
placa_0,nan,0,[],,meco_para_12
de_1,nan,0,[],,meco_para_12
metal_0,172.0,1,[182],,meco_para_12
o_0,69.0,1,[170],,meco_para_12
 plastico_0,713.0,4,"[171, 172, 184, 208]",,meco_para_12
fijada_0,nan,0,[],,meco_para_12
al_0,543.0,2,"[71, 72]",,meco_para_12
vehiculo_1,nan,0,[],,meco_para_12
con_0,784.0,3,"[15, 28, 57]",,meco_para_12
el_0,137.0,2,"[29, 212]",,meco_para_12
propdsito_0,476.0,1,[191],,meco_para_12
de_2,341.0,2,"[162, 192]",,meco_para_12
identificacién_0,102.0,1,[163],,meco_para_12
oficial_0,nan,0,[],,meco_para_12
Todos_0,474.0,1,[183],,meco_para_12
los_0,nan,0,[],,meco_para_12
paises_0,1633.0,4,"[169, 179, 202, 207]",,meco_para_12
requieren_0,1052.0,6,"[13, 37, 41, 53, 180, 220]",,meco_para_12
patentes_0,612.0,1,[54],,meco_para_12
para_0,nan,0,[],,meco_para_12
vehiculos_0,1253.0,10,"[56, 58, 86, 98, 99, 175, 211, 224, 225, 226]",,meco_para_12
como_0,782.0,4,"[87, 190, 213, 227]",,meco_para_12
"autos,_0",67.0,1,[31],,meco_para_12
camiones_0,542.0,3,"[164, 165, 193]",,meco_para_12
y_0,205.0,1,[234],,meco_para_12
motocicletas._0,918.0,3,"[168, 200, 236]",,meco_para_12
Su_0,nan,0,[],,meco_para_12
 requerimiento_0,2212.0,8,"[12, 24, 36, 39, 40, 218, 219, 231]",,meco_para_12
para_1,508.0,3,"[25, 38, 70]",,meco_para_12
otros_0,nan,0,[],,meco_para_12
vehiculos_1,nan,0,[],,meco_para_12
como_1,340.0,2,"[73, 74]",,meco_para_12
"bicicletas,_0",408.0,3,"[45, 59, 75]",meco_para_12_qa_2 ,meco_para_12
botes_0,543.0,3,"[6, 214, 228]",meco_para_12_qa_2 ,meco_para_12
o_1,647.0,2,"[17, 215]",meco_para_12_qa_2 ,meco_para_12
tractores_0,779.0,5,"[7, 8, 18, 20, 194]",meco_para_12_qa_2 ,meco_para_12
puede_0,1362.0,8,"[9, 10, 19, 21, 33, 48, 65, 195]",meco_para_12_qa_2 ,meco_para_12
variar_0,543.0,5,"[34, 49, 189, 216, 229]",meco_para_12_qa_2 ,meco_para_12
por_0,1495.0,5,"[11, 23, 50, 79, 230]",meco_para_12_qa_2 ,meco_para_12
jurisdiccién._0,609.0,3,"[35, 51, 69]",meco_para_12_qa_2 ,meco_para_12
El_1,1190.0,1,[96],,meco_para_12
identificador_0,545.0,2,"[82, 83]",,meco_para_12
de_3,nan,0,[],,meco_para_12
registro_0,477.0,3,"[85, 106, 107]",,meco_para_12
es_1,nan,0,[],,meco_para_12
una_1,239.0,2,"[60, 88]",meco_para_12_qa_3 ,meco_para_12
serie_0,102.0,1,[61],meco_para_12_qa_3 ,meco_para_12
de_4,953.0,1,[62],meco_para_12_qa_3 ,meco_para_12
letras_0,3465.0,5,"[32, 46, 63, 76, 90]",meco_para_12_qa_3 ,meco_para_12
o_2,1906.0,3,"[77, 93, 94]",meco_para_12_qa_3 ,meco_para_12
ntmeros_0,473.0,5,"[47, 64, 78, 197, 199]",meco_para_12_qa_3 ,meco_para_12
que_0,1497.0,4,"[66, 102, 188, 217]",,meco_para_12
identifican_0,682.0,3,"[67, 68, 80]",,meco_para_12
Unicamente_0,373.0,1,[105],,meco_para_12
al_1,nan,0,[],,meco_para_12
duefio_0,nan,0,[],,meco_para_12
de_5,nan,0,[],,meco_para_12
un_1,137.0,2,"[84, 97]",,meco_para_12
vehiculo_2,919.0,2,"[100, 108]",,meco_para_12
dentro_0,952.0,1,[89],,meco_para_12
de_6,nan,0,[],,meco_para_12
la__0,680.0,2,"[91, 101]",,meco_para_12
regidn_0,68.0,1,[92],,meco_para_12
del_0,nan,0,[],,meco_para_12
registro_1,205.0,2,"[95, 198]",,meco_para_12
del_1,nan,0,[],,meco_para_12
vehiculo._3,273.0,1,[104],,meco_para_12
En_0,69.0,1,[117],,meco_para_12
algunos_0,nan,0,[],,meco_para_12
"paises,_1",nan,0,[],,meco_para_12
el_2,nan,0,[],,meco_para_12
identificador_1,238.0,1,[109],,meco_para_12
es_2,68.0,1,[110],,meco_para_12
Unico_0,nan,0,[],,meco_para_12
en_1,69.0,1,[111],,meco_para_12
todo_0,340.0,1,[112],,meco_para_12
el_3,nan,0,[],,meco_para_12
"pais,_0",nan,0,[],,meco_para_12
mientras_0,849.0,1,[114],,meco_para_12
"que,_1",nan,0,[],,meco_para_12
en_2,nan,0,[],,meco_para_12
"otros,_1",nan,0,[],,meco_para_12
es_3,nan,0,[],,meco_para_12
Unico_1,nan,0,[],,meco_para_12
dentro_1,511.0,5,"[120, 131, 132, 133, 147]",meco_para_12_qa_0 ,meco_para_12
de_7,nan,0,[],meco_para_12_qa_0 ,meco_para_12
un_2,nan,0,[],meco_para_12_qa_0 ,meco_para_12
estado_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
o_3,nan,0,[],meco_para_12_qa_0 ,meco_para_12
provincia._0,1292.0,2,"[113, 123]",meco_para_12_qa_0 ,meco_para_12
Francia_0,952.0,3,"[1, 139, 140]",meco_para_12_qa_0 ,meco_para_12
fue_0,204.0,2,"[141, 240]",meco_para_12_qa_0 ,meco_para_12
el_4,nan,0,[],meco_para_12_qa_0 ,meco_para_12
primer_0,715.0,4,"[127, 142, 143, 187]",meco_para_12_qa_0 ,meco_para_12
