word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
The_0,nan,0,[],,meco_para_11
International_0,325.0,3,"[7, 29, 48]",,meco_para_11
Union_0,414.0,4,"[47, 51, 95, 344]",,meco_para_11
for_0,641.0,5,"[6, 45, 46, 75, 340]",,meco_para_11
Conservation_0,1036.0,7,"[10, 35, 44, 54, 93, 102, 350]",,meco_para_11
of_0,104.0,1,[12],,meco_para_11
Nature_0,108.0,1,[352],,meco_para_11
is_0,nan,0,[],,meco_para_11
an__0,116.0,1,[64],meco_para_11_qa_0 ,meco_para_11
international_1,nan,0,[],meco_para_11_qa_0 ,meco_para_11
organization_0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
working_0,212.0,2,"[30, 135]",,meco_para_11
in_0,104.0,2,"[98, 180]",,meco_para_11
the_1,231.0,2,"[28, 97]",,meco_para_11
field_0,284.0,4,"[26, 52, 96, 202]",,meco_para_11
of_1,nan,0,[],,meco_para_11
nature_1,756.0,8,"[4, 5, 53, 94, 165, 167, 339, 347]",,meco_para_11
conservation_1,1307.0,8,"[11, 36, 55, 56, 57, 61, 338, 348]",,meco_para_11
and_0,286.0,4,"[37, 43, 62, 186]",,meco_para_11
the_2,182.0,3,"[103, 353, 354]",,meco_para_11
sustainable_0,115.0,2,"[82, 355]",,meco_para_11
use_0,nan,0,[],,meco_para_11
of_2,nan,0,[],,meco_para_11
natural_0,56.0,1,[70],,meco_para_11
resources._0,794.0,7,"[31, 32, 99, 118, 136, 161, 181]",,meco_para_11
It_0,82.0,1,[137],,meco_para_11
is_1,470.0,4,"[8, 27, 50, 200]",,meco_para_11
involved_0,888.0,9,"[74, 76, 116, 117, 201, 203, 250, 345, 346]",,meco_para_11
in_1,333.0,3,"[34, 140, 249]",,meco_para_11
data_0,237.0,4,"[24, 115, 141, 166]",,meco_para_11
gathering_0,740.0,5,"[23, 79, 121, 123, 337]",,meco_para_11
and_1,110.0,2,"[80, 114]",,meco_para_11
"analysis,_0",601.0,5,"[13, 22, 63, 81, 152]",,meco_para_11
"research,_0",170.0,1,[356],,meco_para_11
field_1,134.0,1,[85],,meco_para_11
"projects,_0",113.0,1,[358],,meco_para_11
"advocacy,_0",336.0,3,"[100, 162, 163]",,meco_para_11
and_2,194.0,3,"[138, 225, 226]",,meco_para_11
education._0,931.0,7,"[33, 139, 164, 182, 183, 224, 251]",,meco_para_11
Its_0,542.0,2,"[77, 199]",,meco_para_11
mission_0,269.0,2,"[3, 142]",,meco_para_11
is_2,198.0,2,"[168, 360]",,meco_para_11
to_0,112.0,1,[148],,meco_para_11
"‘influence,_0",470.0,5,"[124, 125, 171, 335, 336]",,meco_para_11
encourage_0,325.0,4,"[14, 15, 38, 126]",,meco_para_11
and_3,255.0,1,[84],,meco_para_11
assist_0,398.0,3,"[68, 86, 110]",,meco_para_11
societies_0,439.0,2,"[69, 359]",,meco_para_11
throughout_0,63.0,1,[227],meco_para_11_qa_2 ,meco_para_11
the_3,nan,0,[],meco_para_11_qa_2 ,meco_para_11
world_0,342.0,3,"[101, 229, 317]",meco_para_11_qa_2 ,meco_para_11
to_1,nan,0,[],meco_para_11_qa_2 ,meco_para_11
conserve_0,135.0,2,"[120, 248]",meco_para_11_qa_2 ,meco_para_11
nature_2,391.0,5,"[143, 146, 147, 184, 198]",meco_para_11_qa_2 ,meco_para_11
and_4,180.0,2,"[2, 170]",meco_para_11_qa_2 ,meco_para_11
to_2,nan,0,[],meco_para_11_qa_2 ,meco_para_11
ensure_0,282.0,3,"[151, 153, 212]",meco_para_11_qa_2 ,meco_para_11
that_0,605.0,8,"[16, 21, 113, 127, 173, 188, 213, 245]",meco_para_11_qa_2 ,meco_para_11
any_0,376.0,4,"[67, 104, 154, 160]",meco_para_11_qa_2 ,meco_para_11
use_1,470.0,6,"[17, 112, 132, 155, 175, 244]",meco_para_11_qa_2 ,meco_para_11
of_3,391.0,3,"[41, 72, 109]",meco_para_11_qa_2 ,meco_para_11
natural_1,71.0,1,[19],meco_para_11_qa_2 ,meco_para_11
resources_1,100.0,1,[228],meco_para_11_qa_2 ,meco_para_11
is_3,nan,0,[],meco_para_11_qa_2 ,meco_para_11
equitable_0,125.0,1,[316],meco_para_11_qa_2 ,meco_para_11
and_5,464.0,5,"[252, 269, 277, 299, 318]",meco_para_11_qa_2 ,meco_para_11
ecologically_0,152.0,1,[231],meco_para_11_qa_2 ,meco_para_11
sustainable’._0,298.0,3,"[197, 205, 211]",meco_para_11_qa_2 ,meco_para_11
Over_0,213.0,3,"[236, 246, 334]",meco_para_11_qa_2 ,meco_para_11
the_4,474.0,3,"[187, 189, 238]",meco_para_11_qa_2 ,meco_para_11
past_0,140.0,2,"[39, 128]",meco_para_11_qa_2 ,meco_para_11
"decades,_0",1152.0,12,"[18, 87, 108, 131, 149, 156, 159, 176, 177, 191, 215, 243]",meco_para_11_qa_2 ,meco_para_11
the_5,51.0,1,[195],meco_para_11_qa_2 ,meco_para_11
organization_1,nan,0,[],,meco_para_11
has_0,nan,0,[],,meco_para_11
widened_0,453.0,4,"[253, 268, 271, 297]",,meco_para_11
its_1,294.0,3,"[266, 270, 278]",,meco_para_11
focus_0,213.0,2,"[232, 304]",,meco_para_11
beyond_0,337.0,5,"[144, 145, 233, 265, 305]",,meco_para_11
conservation_2,385.0,5,"[206, 208, 235, 295, 333]",,meco_para_11
ecology_0,802.0,7,"[190, 237, 239, 241, 259, 294, 332]",,meco_para_11
and_6,510.0,6,"[40, 66, 129, 178, 196, 261]",,meco_para_11
now_0,1004.0,8,"[105, 106, 133, 134, 158, 192, 214, 218]",,meco_para_11
incorporates_0,350.0,2,"[107, 194]",,meco_para_11
issues_0,nan,0,[],,meco_para_11
related_0,nan,0,[],,meco_para_11
to_3,94.0,1,[296],,meco_para_11
sustainable_1,391.0,4,"[119, 267, 272, 273]",,meco_para_11
development_0,567.0,6,"[255, 256, 279, 280, 300, 306]",,meco_para_11
in_2,171.0,3,"[210, 234, 309]",,meco_para_11
its_2,68.0,1,[310],,meco_para_11
projects._1,426.0,4,"[240, 286, 287, 311]",,meco_para_11
Unlike_0,636.0,5,"[262, 288, 290, 291, 293]",,meco_para_11
many_0,598.0,4,"[130, 222, 223, 292]",,meco_para_11
other_0,137.0,1,[92],,meco_para_11
international_2,nan,0,[],,meco_para_11
environmental_0,nan,0,[],,meco_para_11
"organizations,_0",524.0,5,"[301, 302, 303, 307, 319]",,meco_para_11
