word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
La_0,nan,0,[],,meco_para_12
patente_0,nan,0,[],,meco_para_12
de_0,nan,0,[],,meco_para_12
un_0,nan,0,[],,meco_para_12
vehiculo_0,nan,0,[],,meco_para_12
es_0,nan,0,[],,meco_para_12
una_0,nan,0,[],,meco_para_12
placa_0,nan,0,[],,meco_para_12
de_1,95.0,1,[77],,meco_para_12
metal_0,141.0,1,[78],,meco_para_12
o_0,nan,0,[],,meco_para_12
 plastico_0,nan,0,[],,meco_para_12
fijada_0,nan,0,[],,meco_para_12
al_0,nan,0,[],,meco_para_12
vehiculo_1,nan,0,[],,meco_para_12
con_0,nan,0,[],,meco_para_12
el_0,nan,0,[],,meco_para_12
propdsito_0,nan,0,[],,meco_para_12
de_2,nan,0,[],,meco_para_12
identificacién_0,nan,0,[],,meco_para_12
oficial_0,nan,0,[],,meco_para_12
Todos_0,nan,0,[],,meco_para_12
los_0,136.0,1,[355],,meco_para_12
paises_0,67.0,1,[79],,meco_para_12
requieren_0,nan,0,[],,meco_para_12
patentes_0,nan,0,[],,meco_para_12
para_0,65.0,1,[86],,meco_para_12
vehiculos_0,nan,0,[],,meco_para_12
como_0,nan,0,[],,meco_para_12
"autos,_0",nan,0,[],,meco_para_12
camiones_0,135.0,1,[356],,meco_para_12
y_0,nan,0,[],,meco_para_12
motocicletas._0,176.0,1,[74],,meco_para_12
Su_0,nan,0,[],,meco_para_12
 requerimiento_0,242.0,3,"[53, 80, 81]",,meco_para_12
para_1,nan,0,[],,meco_para_12
otros_0,64.0,1,[54],,meco_para_12
vehiculos_1,nan,0,[],,meco_para_12
como_1,136.0,1,[93],,meco_para_12
"bicicletas,_0",168.0,2,"[36, 98]",meco_para_12_qa_2 ,meco_para_12
botes_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
o_1,nan,0,[],meco_para_12_qa_2 ,meco_para_12
tractores_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
puede_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
variar_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
por_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
jurisdiccién._0,73.0,1,[19],meco_para_12_qa_2 ,meco_para_12
El_1,137.0,1,[20],,meco_para_12
identificador_0,206.0,2,"[21, 83]",,meco_para_12
de_3,nan,0,[],,meco_para_12
registro_0,94.0,1,[91],,meco_para_12
es_1,nan,0,[],,meco_para_12
una_1,nan,0,[],meco_para_12_qa_3 ,meco_para_12
serie_0,206.0,2,"[68, 102]",meco_para_12_qa_3 ,meco_para_12
de_4,nan,0,[],meco_para_12_qa_3 ,meco_para_12
letras_0,67.0,1,[69],meco_para_12_qa_3 ,meco_para_12
o_2,66.0,1,[73],meco_para_12_qa_3 ,meco_para_12
ntmeros_0,449.0,4,"[41, 47, 70, 75]",meco_para_12_qa_3 ,meco_para_12
que_0,nan,0,[],,meco_para_12
identifican_0,144.0,2,"[85, 354]",,meco_para_12
Unicamente_0,405.0,4,"[26, 63, 82, 87]",,meco_para_12
al_1,233.0,2,"[22, 27]",,meco_para_12
duefio_0,nan,0,[],,meco_para_12
de_5,nan,0,[],,meco_para_12
un_1,168.0,2,"[4, 37]",,meco_para_12
vehiculo_2,339.0,3,"[6, 39, 96]",,meco_para_12
dentro_0,194.0,3,"[40, 101, 207]",,meco_para_12
de_6,nan,0,[],,meco_para_12
la__0,nan,0,[],,meco_para_12
regidn_0,nan,0,[],,meco_para_12
del_0,nan,0,[],,meco_para_12
registro_1,200.0,1,[46],,meco_para_12
del_1,71.0,1,[89],,meco_para_12
vehiculo._3,242.0,2,"[49, 88]",,meco_para_12
En_0,nan,0,[],,meco_para_12
algunos_0,373.0,4,"[23, 25, 62, 90]",,meco_para_12
"paises,_1",145.0,2,"[57, 66]",,meco_para_12
el_2,172.0,2,"[118, 169]",,meco_para_12
identificador_1,715.0,5,"[7, 38, 94, 147, 148]",,meco_para_12
es_2,106.0,1,[122],,meco_para_12
Unico_0,105.0,1,[100],,meco_para_12
en_1,71.0,1,[9],,meco_para_12
todo_0,nan,0,[],,meco_para_12
el_3,nan,0,[],,meco_para_12
"pais,_0",137.0,2,"[71, 72]",,meco_para_12
mientras_0,nan,0,[],,meco_para_12
"que,_1",nan,0,[],,meco_para_12
en_2,166.0,1,[48],,meco_para_12
"otros,_1",136.0,1,[50],,meco_para_12
es_3,nan,0,[],,meco_para_12
Unico_1,nan,0,[],,meco_para_12
dentro_1,170.0,2,"[154, 170]",meco_para_12_qa_0 ,meco_para_12
de_7,104.0,1,[167],meco_para_12_qa_0 ,meco_para_12
un_2,573.0,4,"[95, 119, 155, 168]",meco_para_12_qa_0 ,meco_para_12
estado_0,680.0,6,"[8, 99, 121, 123, 149, 309]",meco_para_12_qa_0 ,meco_para_12
o_3,134.0,1,[208],meco_para_12_qa_0 ,meco_para_12
provincia._0,74.0,1,[10],meco_para_12_qa_0 ,meco_para_12
Francia_0,170.0,2,"[12, 316]",meco_para_12_qa_0 ,meco_para_12
fue_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
el_4,nan,0,[],meco_para_12_qa_0 ,meco_para_12
primer_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
pais_1,nan,0,[],meco_para_12_qa_0 ,meco_para_12
en_3,64.0,1,[112],meco_para_12_qa_0 ,meco_para_12
 introducir_0,521.0,4,"[51, 52, 113, 115]",meco_para_12_qa_0 ,meco_para_12
la_1,nan,0,[],meco_para_12_qa_0 ,meco_para_12
"patente,_1",63.0,1,[299],meco_para_12_qa_0 ,meco_para_12
a_0,209.0,2,"[298, 300]",meco_para_12_qa_0 ,meco_para_12
fines_0,374.0,4,"[120, 153, 171, 213]",meco_para_12_qa_0 ,meco_para_12
del_2,496.0,5,"[126, 209, 211, 292, 310]",meco_para_12_qa_0 ,meco_para_12
siglo_0,742.0,7,"[125, 151, 152, 157, 230, 231, 253]",meco_para_12_qa_0 ,meco_para_12
diecinueve._0,605.0,6,"[11, 127, 128, 129, 158, 232]",meco_para_12_qa_0 ,meco_para_12
Las_0,442.0,4,"[106, 314, 315, 317]",meco_para_12_qa_0 ,meco_para_12
patentes_1,166.0,1,[107],meco_para_12_qa_0 ,meco_para_12
de_8,138.0,2,"[45, 105]",meco_para_12_qa_0 ,meco_para_12
 principios_0,166.0,1,[108],meco_para_12_qa_0 ,meco_para_12
de_9,nan,0,[],meco_para_12_qa_0 ,meco_para_12
siglo_1,106.0,1,[146],meco_para_12_qa_0 ,meco_para_12
veinte_0,65.0,1,[166],meco_para_12_qa_0 ,meco_para_12
variaban_0,413.0,3,"[273, 288, 289]",,meco_para_12
en_4,666.0,5,"[284, 290, 294, 295, 297]",,meco_para_12
tamafio_0,890.0,6,"[156, 178, 214, 215, 247, 293]",,meco_para_12
y_1,577.0,4,"[177, 229, 323, 351]",,meco_para_12
forma_0,204.0,3,"[324, 340, 352]",,meco_para_12
de_10,416.0,4,"[135, 159, 328, 329]",,meco_para_12
una_2,321.0,4,"[130, 136, 341, 342]",,meco_para_12
