word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
La_0,nan,0,[],,meco_para_12
patente_0,235.0,3,"[301, 377, 385]",,meco_para_12
de_0,nan,0,[],,meco_para_12
un_0,nan,0,[],,meco_para_12
vehiculo_0,347.0,2,"[437, 450]",,meco_para_12
es_0,nan,0,[],,meco_para_12
una_0,256.0,3,"[18, 452, 453]",,meco_para_12
placa_0,1226.0,4,"[263, 330, 447, 465]",,meco_para_12
de_1,215.0,2,"[332, 460]",,meco_para_12
metal_0,nan,0,[],,meco_para_12
o_0,75.0,1,[578],,meco_para_12
 plastico_0,208.0,3,"[567, 579, 580]",,meco_para_12
fijada_0,276.0,4,"[343, 480, 568, 586]",,meco_para_12
al_0,268.0,2,"[336, 593]",,meco_para_12
vehiculo_1,127.0,1,[335],,meco_para_12
con_0,144.0,2,"[35, 391]",,meco_para_12
el_0,402.0,4,"[47, 69, 300, 376]",,meco_para_12
propdsito_0,393.0,4,"[48, 540, 541, 601]",,meco_para_12
de_2,149.0,1,[436],,meco_para_12
identificacién_0,364.0,4,"[17, 445, 449, 500]",,meco_para_12
oficial_0,289.0,4,"[446, 454, 457, 459]",,meco_para_12
Todos_0,306.0,4,"[4, 462, 469, 501]",,meco_para_12
los_0,130.0,2,"[312, 478]",,meco_para_12
paises_0,66.0,1,[479],,meco_para_12
requieren_0,84.0,1,[342],,meco_para_12
patentes_0,576.0,7,"[339, 340, 344, 346, 481, 590, 595]",,meco_para_12
para_0,nan,0,[],,meco_para_12
vehiculos_0,390.0,6,"[34, 40, 41, 381, 384, 537]",,meco_para_12
como_0,616.0,9,"[45, 46, 49, 70, 302, 375, 432, 534, 539]",,meco_para_12
"autos,_0",499.0,7,"[68, 289, 542, 602, 608, 692, 693]",,meco_para_12
camiones_0,939.0,11,"[7, 351, 378, 398, 435, 438, 439, 443, 444, 605, 644]",,meco_para_12
y_0,259.0,4,"[287, 399, 448, 643]",,meco_para_12
motocicletas._0,3459.0,9,"[19, 50, 264, 265, 266, 458, 463, 466, 502]",,meco_para_12
Su_0,110.0,2,"[366, 468]",,meco_para_12
 requerimiento_0,135.0,2,"[311, 577]",,meco_para_12
para_1,270.0,2,"[483, 592]",,meco_para_12
otros_0,389.0,5,"[337, 345, 591, 594, 672]",,meco_para_12
vehiculos_1,nan,0,[],,meco_para_12
como_1,171.0,3,"[39, 353, 848]",,meco_para_12
"bicicletas,_0",698.0,9,"[44, 290, 383, 392, 536, 538, 615, 686, 687]",meco_para_12_qa_2 ,meco_para_12
botes_0,673.0,6,"[88, 352, 397, 433, 434, 609]",meco_para_12_qa_2 ,meco_para_12
o_1,102.0,2,"[386, 614]",meco_para_12_qa_2 ,meco_para_12
tractores_0,562.0,7,"[178, 288, 464, 533, 543, 616, 617]",meco_para_12_qa_2 ,meco_para_12
puede_0,68.0,1,[649],meco_para_12_qa_2 ,meco_para_12
variar_0,83.0,1,[645],meco_para_12_qa_2 ,meco_para_12
por_0,1065.0,2,"[267, 477]",meco_para_12_qa_2 ,meco_para_12
jurisdiccién._0,277.0,3,"[325, 368, 569]",meco_para_12_qa_2 ,meco_para_12
El_1,214.0,3,"[341, 350, 587]",,meco_para_12
identificador_0,201.0,3,"[57, 310, 678]",,meco_para_12
de_3,nan,0,[],,meco_para_12
registro_0,601.0,8,"[293, 355, 380, 535, 815, 817, 851, 861]",,meco_para_12
es_1,228.0,3,"[431, 508, 852]",,meco_para_12
una_1,472.0,5,"[43, 382, 603, 690, 854]",meco_para_12_qa_3 ,meco_para_12
serie_0,591.0,7,"[307, 393, 544, 606, 688, 694, 696]",meco_para_12_qa_3 ,meco_para_12
de_4,320.0,4,"[72, 87, 308, 698]",meco_para_12_qa_3 ,meco_para_12
letras_0,192.0,3,"[442, 613, 642]",meco_para_12_qa_3 ,meco_para_12
o_2,216.0,2,"[620, 629]",meco_para_12_qa_3 ,meco_para_12
