word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
La_0,102.0,1,[11],,meco_para_12
patente_0,nan,0,[],,meco_para_12
de_0,nan,0,[],,meco_para_12
un_0,523.0,2,"[9, 527]",,meco_para_12
vehiculo_0,nan,0,[],,meco_para_12
es_0,141.0,1,[49],,meco_para_12
una_0,82.0,1,[529],,meco_para_12
placa_0,nan,0,[],,meco_para_12
de_1,nan,0,[],,meco_para_12
metal_0,nan,0,[],,meco_para_12
o_0,nan,0,[],,meco_para_12
 plastico_0,nan,0,[],,meco_para_12
fijada_0,nan,0,[],,meco_para_12
al_0,nan,0,[],,meco_para_12
vehiculo_1,nan,0,[],,meco_para_12
con_0,222.0,1,[13],,meco_para_12
el_0,nan,0,[],,meco_para_12
propdsito_0,141.0,1,[502],,meco_para_12
de_2,658.0,5,"[52, 77, 78, 244, 332]",,meco_para_12
identificacién_0,946.0,5,"[8, 21, 243, 497, 576]",,meco_para_12
oficial_0,251.0,1,[242],,meco_para_12
Todos_0,nan,0,[],,meco_para_12
los_0,nan,0,[],,meco_para_12
paises_0,97.0,1,[241],,meco_para_12
requieren_0,83.0,1,[38],,meco_para_12
patentes_0,nan,0,[],,meco_para_12
para_0,nan,0,[],,meco_para_12
vehiculos_0,540.0,4,"[14, 15, 428, 429]",,meco_para_12
como_0,826.0,5,"[75, 76, 333, 503, 526]",,meco_para_12
"autos,_0",800.0,6,"[73, 74, 245, 499, 510, 531]",,meco_para_12
camiones_0,1001.0,6,"[19, 42, 43, 79, 496, 528]",,meco_para_12
y_0,799.0,4,"[7, 41, 44, 48]",,meco_para_12
motocicletas._0,486.0,3,"[20, 23, 40]",,meco_para_12
Su_0,nan,0,[],,meco_para_12
 requerimiento_0,90.0,1,[39],,meco_para_12
para_1,169.0,1,[32],,meco_para_12
otros_0,293.0,2,"[33, 34]",,meco_para_12
vehiculos_1,427.0,2,"[35, 36]",,meco_para_12
como_1,nan,0,[],,meco_para_12
"bicicletas,_0",1015.0,7,"[16, 334, 427, 430, 500, 501, 532]",meco_para_12_qa_2 ,meco_para_12
botes_0,161.0,2,"[17, 80]",meco_para_12_qa_2 ,meco_para_12
o_1,161.0,1,[18],meco_para_12_qa_2 ,meco_para_12
tractores_0,352.0,3,"[72, 81, 402]",meco_para_12_qa_2 ,meco_para_12
puede_0,566.0,5,"[6, 22, 147, 148, 575]",meco_para_12_qa_2 ,meco_para_12
variar_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
por_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
