word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
La_0,66.0,1,[5],,meco_para_12
patente_0,374.0,3,"[20, 420, 497]",,meco_para_12
de_0,102.0,1,[26],,meco_para_12
un_0,nan,0,[],,meco_para_12
vehiculo_0,nan,0,[],,meco_para_12
es_0,nan,0,[],,meco_para_12
una_0,66.0,1,[417],,meco_para_12
placa_0,136.0,1,[415],,meco_para_12
de_1,69.0,1,[501],,meco_para_12
metal_0,406.0,5,"[12, 502, 503, 504, 506]",,meco_para_12
o_0,nan,0,[],,meco_para_12
 plastico_0,103.0,1,[13],,meco_para_12
fijada_0,135.0,1,[15],,meco_para_12
al_0,nan,0,[],,meco_para_12
vehiculo_1,206.0,2,"[16, 18]",,meco_para_12
con_0,171.0,2,"[21, 23]",,meco_para_12
el_0,238.0,2,"[24, 419]",,meco_para_12
propdsito_0,239.0,2,"[25, 418]",,meco_para_12
de_2,66.0,1,[431],,meco_para_12
identificacién_0,68.0,1,[492],,meco_para_12
oficial_0,nan,0,[],,meco_para_12
Todos_0,nan,0,[],,meco_para_12
los_0,nan,0,[],,meco_para_12
paises_0,237.0,2,"[428, 429]",,meco_para_12
requieren_0,343.0,3,"[14, 426, 427]",,meco_para_12
patentes_0,372.0,4,"[48, 49, 205, 208]",,meco_para_12
para_0,nan,0,[],,meco_para_12
vehiculos_0,69.0,1,[22],,meco_para_12
como_0,nan,0,[],,meco_para_12
"autos,_0",69.0,1,[424],,meco_para_12
camiones_0,374.0,4,"[42, 43, 430, 432]",,meco_para_12
y_0,nan,0,[],,meco_para_12
motocicletas._0,nan,0,[],,meco_para_12
Su_0,169.0,2,"[425, 508]",,meco_para_12
 requerimiento_0,203.0,2,"[33, 47]",,meco_para_12
para_1,nan,0,[],,meco_para_12
otros_0,136.0,1,[207],,meco_para_12
vehiculos_1,239.0,2,"[50, 204]",,meco_para_12
como_1,66.0,1,[51],,meco_para_12
"bicicletas,_0",nan,0,[],meco_para_12_qa_2 ,meco_para_12
botes_0,169.0,1,[75],meco_para_12_qa_2 ,meco_para_12
o_1,nan,0,[],meco_para_12_qa_2 ,meco_para_12
tractores_0,68.0,1,[433],meco_para_12_qa_2 ,meco_para_12
puede_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
variar_0,170.0,1,[46],meco_para_12_qa_2 ,meco_para_12
por_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
jurisdiccién._0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
El_1,99.0,1,[209],,meco_para_12
identificador_0,606.0,4,"[35, 36, 72, 206]",,meco_para_12
de_3,169.0,1,[61],,meco_para_12
registro_0,360.0,3,"[62, 73, 103]",,meco_para_12
es_1,273.0,2,"[39, 88]",,meco_para_12
una_1,451.0,5,"[37, 40, 74, 89, 259]",meco_para_12_qa_3 ,meco_para_12
serie_0,162.0,1,[260],meco_para_12_qa_3 ,meco_para_12
de_4,204.0,2,"[41, 54]",meco_para_12_qa_3 ,meco_para_12
letras_0,240.0,3,"[55, 56, 434]",meco_para_12_qa_3 ,meco_para_12
o_2,69.0,1,[423],meco_para_12_qa_3 ,meco_para_12
ntmeros_0,66.0,1,[45],meco_para_12_qa_3 ,meco_para_12
que_0,nan,0,[],,meco_para_12
identifican_0,68.0,1,[59],,meco_para_12
Unicamente_0,377.0,4,"[34, 60, 264, 265]",,meco_para_12
al_1,nan,0,[],,meco_para_12
duefio_0,nan,0,[],,meco_para_12
de_5,nan,0,[],,meco_para_12
un_1,nan,0,[],,meco_para_12
vehiculo_2,202.0,3,"[38, 63, 258]",,meco_para_12
dentro_0,155.0,2,"[90, 454]",,meco_para_12
de_6,338.0,3,"[64, 91, 261]",,meco_para_12
la__0,442.0,4,"[92, 262, 435, 485]",,meco_para_12
regidn_0,481.0,6,"[4, 29, 77, 78, 436, 440]",,meco_para_12
del_0,451.0,3,"[31, 422, 439]",,meco_para_12
registro_1,66.0,1,[57],,meco_para_12
