word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
In_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
competitive_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
"sports,_0",nan,0,[],meco_para_3_qa_1 ,meco_para_3
doping_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
is_0,281.0,1,[360],meco_para_3_qa_1 ,meco_para_3
the_0,277.0,1,[358],meco_para_3_qa_1 ,meco_para_3
use_0,94.0,1,[366],meco_para_3_qa_1 ,meco_para_3
of_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
banned_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
performance-enhancing_0,140.0,1,[385],meco_para_3_qa_1 ,meco_para_3
drugs_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
by_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
athletic_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
competitors._0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
The_1,283.0,1,[430],meco_para_3_qa_1 ,meco_para_3
term_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
doping_1,424.0,4,"[362, 368, 370, 371]",meco_para_3_qa_1 ,meco_para_3
is_1,282.0,1,[369],meco_para_3_qa_1 ,meco_para_3
widely_0,93.0,1,[374],meco_para_3_qa_1 ,meco_para_3
used_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
by_1,nan,0,[],meco_para_3_qa_1 ,meco_para_3
organizations_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
which_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
regulate_0,nan,0,[],,meco_para_3
sporting_0,nan,0,[],,meco_para_3
competitions._0,620.0,3,"[394, 395, 409]",,meco_para_3
The_2,96.0,1,[431],,meco_para_3
use_1,185.0,1,[410],,meco_para_3
of_1,nan,0,[],,meco_para_3
drugs_1,744.0,4,"[373, 397, 398, 411]",,meco_para_3
to_0,280.0,2,"[375, 399]",,meco_para_3
enhance_0,nan,0,[],,meco_para_3
performance_0,581.0,2,"[384, 424]",,meco_para_3
is_2,187.0,1,[428],,meco_para_3
largely_0,326.0,1,[464],,meco_para_3
considered_0,nan,0,[],,meco_para_3
"unethical,_0",806.0,4,"[8, 9, 408, 429]",,meco_para_3
