word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
La_0,176.0,2,"[5, 57]",,meco_para_12
patente_0,137.0,2,"[24, 102]",,meco_para_12
de_0,nan,0,[],,meco_para_12
un_0,nan,0,[],,meco_para_12
vehiculo_0,nan,0,[],,meco_para_12
es_0,136.0,1,[10],,meco_para_12
una_0,nan,0,[],,meco_para_12
placa_0,206.0,2,"[11, 13]",,meco_para_12
de_1,372.0,2,"[19, 20]",,meco_para_12
metal_0,69.0,1,[55],,meco_para_12
o_0,nan,0,[],,meco_para_12
 plastico_0,nan,0,[],,meco_para_12
fijada_0,nan,0,[],,meco_para_12
al_0,nan,0,[],,meco_para_12
vehiculo_1,nan,0,[],,meco_para_12
con_0,546.0,2,"[58, 61]",,meco_para_12
el_0,375.0,3,"[33, 47, 116]",,meco_para_12
propdsito_0,301.0,4,"[3, 25, 34, 48]",,meco_para_12
de_2,66.0,1,[7],,meco_para_12
identificacién_0,241.0,3,"[8, 9, 27]",,meco_para_12
oficial_0,102.0,1,[30],,meco_para_12
Todos_0,340.0,2,"[12, 40]",,meco_para_12
los_0,102.0,1,[54],,meco_para_12
paises_0,nan,0,[],,meco_para_12
requieren_0,nan,0,[],,meco_para_12
patentes_0,nan,0,[],,meco_para_12
para_0,nan,0,[],,meco_para_12
vehiculos_0,614.0,6,"[59, 62, 70, 82, 90, 91]",,meco_para_12
como_0,335.0,4,"[73, 92, 105, 117]",,meco_para_12
"autos,_0",240.0,3,"[63, 93, 94]",,meco_para_12
camiones_0,269.0,4,"[26, 35, 49, 126]",,meco_para_12
y_0,nan,0,[],,meco_para_12
motocicletas._0,738.0,6,"[29, 39, 53, 68, 79, 80]",,meco_para_12
Su_0,nan,0,[],,meco_para_12
 requerimiento_0,nan,0,[],,meco_para_12
para_1,nan,0,[],,meco_para_12
otros_0,nan,0,[],,meco_para_12
vehiculos_1,nan,0,[],,meco_para_12
como_1,67.0,1,[44],,meco_para_12
"bicicletas,_0",171.0,2,"[83, 118]",meco_para_12_qa_2 ,meco_para_12
botes_0,234.0,3,"[74, 84, 106]",meco_para_12_qa_2 ,meco_para_12
o_1,123.0,2,"[64, 131]",meco_para_12_qa_2 ,meco_para_12
tractores_0,495.0,5,"[36, 95, 114, 121, 123]",meco_para_12_qa_2 ,meco_para_12
puede_0,379.0,4,"[15, 28, 50, 51]",meco_para_12_qa_2 ,meco_para_12
variar_0,412.0,4,"[38, 52, 69, 89]",meco_para_12_qa_2 ,meco_para_12
por_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
jurisdiccién._0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
El_1,nan,0,[],,meco_para_12
identificador_0,nan,0,[],,meco_para_12
de_3,nan,0,[],,meco_para_12
registro_0,nan,0,[],,meco_para_12
es_1,nan,0,[],,meco_para_12
una_1,nan,0,[],meco_para_12_qa_3 ,meco_para_12
serie_0,68.0,1,[119],meco_para_12_qa_3 ,meco_para_12
de_4,133.0,1,[2],meco_para_12_qa_3 ,meco_para_12
letras_0,476.0,4,"[65, 76, 85, 124]",meco_para_12_qa_3 ,meco_para_12
o_2,627.0,5,"[37, 67, 87, 113, 125]",meco_para_12_qa_3 ,meco_para_12
ntmeros_0,574.0,4,"[16, 88, 129, 130]",meco_para_12_qa_3 ,meco_para_12
que_0,nan,0,[],,meco_para_12
identifican_0,nan,0,[],,meco_para_12
Unicamente_0,nan,0,[],,meco_para_12
al_1,nan,0,[],,meco_para_12
duefio_0,nan,0,[],,meco_para_12
de_5,nan,0,[],,meco_para_12
un_1,nan,0,[],,meco_para_12
vehiculo_2,nan,0,[],,meco_para_12
dentro_0,nan,0,[],,meco_para_12
de_6,405.0,3,"[101, 107, 120]",,meco_para_12
la__0,nan,0,[],,meco_para_12
regidn_0,608.0,6,"[1, 66, 77, 96, 97, 112]",,meco_para_12
del_0,nan,0,[],,meco_para_12
registro_1,441.0,3,"[17, 99, 100]",,meco_para_12
del_1,nan,0,[],,meco_para_12
vehiculo._3,nan,0,[],,meco_para_12
En_0,nan,0,[],,meco_para_12
algunos_0,nan,0,[],,meco_para_12
"paises,_1",nan,0,[],,meco_para_12
el_2,nan,0,[],,meco_para_12
identificador_1,nan,0,[],,meco_para_12
es_2,nan,0,[],,meco_para_12
Unico_0,nan,0,[],,meco_para_12
en_1,nan,0,[],,meco_para_12
todo_0,66.0,1,[109],,meco_para_12
el_3,nan,0,[],,meco_para_12
"pais,_0",171.0,1,[98],,meco_para_12
mientras_0,nan,0,[],,meco_para_12
"que,_1",nan,0,[],,meco_para_12
en_2,nan,0,[],,meco_para_12
"otros,_1",nan,0,[],,meco_para_12
es_3,nan,0,[],,meco_para_12
Unico_1,nan,0,[],,meco_para_12
dentro_1,nan,0,[],meco_para_12_qa_0 ,meco_para_12
de_7,nan,0,[],meco_para_12_qa_0 ,meco_para_12
un_2,nan,0,[],meco_para_12_qa_0 ,meco_para_12
estado_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
o_3,nan,0,[],meco_para_12_qa_0 ,meco_para_12
provincia._0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
Francia_0,66.0,1,[110],meco_para_12_qa_0 ,meco_para_12
fue_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
el_4,nan,0,[],meco_para_12_qa_0 ,meco_para_12
primer_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
pais_1,nan,0,[],meco_para_12_qa_0 ,meco_para_12
en_3,nan,0,[],meco_para_12_qa_0 ,meco_para_12
 introducir_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
