word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Ein_0,nan,0,[],,meco_para_12
Fahrzeugkennzeichen_0,nan,0,[],,meco_para_12
ist_0,nan,0,[],,meco_para_12
ein_1,nan,0,[],,meco_para_12
Metall-_0,124.0,2,"[27, 28]",,meco_para_12
oder_0,nan,0,[],,meco_para_12
"Kunststoffschild,_0",73.0,1,[48],,meco_para_12
das_0,nan,0,[],,meco_para_12
zur_0,nan,0,[],,meco_para_12
 amtlichen_0,nan,0,[],,meco_para_12
Identifizierung_0,nan,0,[],,meco_para_12
an_0,nan,0,[],,meco_para_12
einem_0,nan,0,[],,meco_para_12
Fahrzeug_0,nan,0,[],,meco_para_12
angebracht_0,57.0,1,[49],,meco_para_12
ist._1,50.0,1,[46],,meco_para_12
In_0,148.0,2,"[47, 82]",,meco_para_12
allen_0,nan,0,[],,meco_para_12
 Landern’_0,nan,0,[],,meco_para_12
sind_0,nan,0,[],,meco_para_12
solche_0,nan,0,[],,meco_para_12
Kennzeichen_0,127.0,2,"[6, 100]",,meco_para_12
fiir_0,nan,0,[],,meco_para_12
Stra&enfahrzeuge_0,nan,0,[],,meco_para_12
wie_0,nan,0,[],,meco_para_12
"Autos,_0",159.0,2,"[83, 84]",,meco_para_12
Lastwagen_0,nan,0,[],,meco_para_12
und_0,nan,0,[],,meco_para_12
Motorrader_0,nan,0,[],,meco_para_12
erforderlich._0,nan,0,[],,meco_para_12
Ob_0,71.0,1,[99],meco_para_12_qa_2 ,meco_para_12
sie_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
fir_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
andere_0,127.0,2,"[61, 101]",meco_para_12_qa_2 ,meco_para_12
Fahrzeuge_0,128.0,2,"[12, 50]",meco_para_12_qa_2 ,meco_para_12
wie_1,138.0,2,"[26, 86]",meco_para_12_qa_2 ,meco_para_12
"Fahrrader,_0",302.0,4,"[10, 11, 45, 120]",meco_para_12_qa_2 ,meco_para_12
Boote_0,110.0,1,[111],meco_para_12_qa_2 ,meco_para_12
oder_1,59.0,1,[55],meco_para_12_qa_2 ,meco_para_12
Traktoren’_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
erforderlich_1,nan,0,[],meco_para_12_qa_2 ,meco_para_12
—_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
"sind,_1",nan,0,[],meco_para_12_qa_2 ,meco_para_12
kann_0,nan,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
je_0,59.0,1,[62],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
nach_0,nan,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
