word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
La_0,nan,0,[],,meco_para_12
patente_0,268.0,2,"[67, 288]",,meco_para_12
de_0,95.0,1,[47],,meco_para_12
un_0,87.0,1,[33],,meco_para_12
vehiculo_0,529.0,5,"[156, 167, 233, 555, 668]",,meco_para_12
es_0,300.0,4,"[35, 75, 157, 554]",,meco_para_12
una_0,533.0,7,"[30, 210, 227, 232, 248, 691, 692]",,meco_para_12
placa_0,592.0,8,"[16, 76, 226, 236, 249, 666, 843, 897]",,meco_para_12
de_1,385.0,5,"[94, 119, 591, 844, 861]",,meco_para_12
metal_0,745.0,7,"[55, 250, 580, 774, 814, 822, 864]",,meco_para_12
o_0,831.0,7,"[95, 772, 778, 807, 815, 925, 937]",,meco_para_12
 plastico_0,2416.0,26,"[508, 578, 599, 608, 617, 634, 661, 728, 782, 789, 790, 794, 795, 796, 813, 816, 845, 846, 850, 855, 866, 876, 883, 894, 909, 924]",,meco_para_12
fijada_0,1490.0,18,"[510, 533, 534, 596, 619, 623, 635, 700, 705, 729, 730, 792, 811, 823, 835, 851, 880, 892]",,meco_para_12
al_0,205.0,4,"[531, 831, 838, 869]",,meco_para_12
vehiculo_1,426.0,4,"[522, 659, 678, 706]",,meco_para_12
con_0,57.0,1,[41],,meco_para_12
el_0,78.0,1,[300],,meco_para_12
propdsito_0,467.0,5,"[40, 44, 49, 289, 301]",,meco_para_12
de_2,292.0,4,"[50, 155, 261, 296]",,meco_para_12
identificacién_0,690.0,10,"[18, 24, 38, 65, 74, 93, 153, 154, 561, 614]",,meco_para_12
oficial_0,827.0,11,"[116, 117, 152, 235, 311, 551, 559, 615, 670, 690, 693]",,meco_para_12
Todos_0,248.0,4,"[169, 574, 871, 874]",,meco_para_12
los_0,456.0,7,"[54, 56, 252, 644, 712, 820, 859]",,meco_para_12
paises_0,1032.0,15,"[96, 120, 186, 547, 642, 694, 711, 731, 808, 839, 853, 854, 870, 895, 908]",,meco_para_12
requieren_0,2602.0,30,"[97, 98, 102, 180, 251, 512, 532, 536, 537, 577, 595, 609, 620, 622, 636, 637, 695, 718, 741, 788, 793, 797, 799, 817, 852, 865, 882, 893, 910, 923]",,meco_para_12
patentes_0,632.0,9,"[511, 527, 528, 598, 618, 710, 818, 837, 867]",,meco_para_12
