word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Dunya_0,nan,0,[],,meco_para_11
Doga_0,nan,0,[],,meco_para_11
ve_0,nan,0,[],,meco_para_11
Dogal_0,nan,0,[],,meco_para_11
Kaynaklari_0,nan,0,[],,meco_para_11
Koruma__0,nan,0,[],,meco_para_11
Birligi_0,nan,0,[],,meco_para_11
doganin_0,nan,0,[],,meco_para_11
korunmasi_0,nan,0,[],,meco_para_11
ve_1,nan,0,[],,meco_para_11
 dogal_0,nan,0,[],,meco_para_11
kaynaklarin_0,nan,0,[],,meco_para_11
 sUrdirulebilir_0,304.0,3,"[1, 2, 4]",,meco_para_11
=_0,nan,0,[],,meco_para_11
kullanimi_0,nan,0,[],,meco_para_11
alaninda_0,nan,0,[],,meco_para_11
galisan_—uluslararas!_0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
bir_0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
kurulustur._0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
Veri_0,nan,0,[],,meco_para_11
toplama_0,nan,0,[],,meco_para_11
ve_2,nan,0,[],,meco_para_11
"analiz,_0",65.0,1,[3],,meco_para_11
"arastirma,_0",64.0,1,[6],,meco_para_11
saha__0,nan,0,[],,meco_para_11
"projeleri,_0",nan,0,[],,meco_para_11
savunma_0,168.0,1,[42],,meco_para_11
ve_3,70.0,1,[20],,meco_para_11
egitim_0,nan,0,[],,meco_para_11
alanlarinda_0,nan,0,[],,meco_para_11
faaliyet_0,nan,0,[],,meco_para_11
gostermektedir._0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
Misyonu_0,72.0,1,[5],meco_para_11_qa_2 ,meco_para_11
 dtinyadaki_0,171.0,2,"[8, 61]",meco_para_11_qa_2 ,meco_para_11
toplumlari_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
dogayi_0,235.0,3,"[22, 51, 81]",meco_para_11_qa_2 ,meco_para_11
korumak_0,176.0,2,"[19, 21]",meco_para_11_qa_2 ,meco_para_11
icin_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
"etkilemek,_0",70.0,1,[26],meco_para_11_qa_2 ,meco_para_11
tesvik_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
etmek_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
ve_4,nan,0,[],meco_para_11_qa_2 ,meco_para_11
yardimci_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
olmak_0,169.0,2,"[58, 59]",meco_para_11_qa_2 ,meco_para_11
ve_5,502.0,4,"[7, 14, 34, 74]",meco_para_11_qa_2 ,meco_para_11
dogal_1,103.0,1,[39],meco_para_11_qa_2 ,meco_para_11
kaynak_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
kullaniminin§_0,643.0,7,"[23, 46, 52, 56, 78, 80, 117]",meco_para_11_qa_2 ,meco_para_11
adil_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
ve_6,70.0,1,[25],meco_para_11_qa_2 ,meco_para_11
 ekolojik_0,136.0,1,[27],meco_para_11_qa_2 ,meco_para_11
olarak_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
surdurulebilir_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
olmasini_0,173.0,2,"[30, 89]",meco_para_11_qa_2 ,meco_para_11
saglamak_0,505.0,5,"[15, 36, 60, 63, 97]",meco_para_11_qa_2 ,meco_para_11
tir._0,467.0,4,"[37, 62, 76, 98]",meco_para_11_qa_2 ,meco_para_11
Gectigimiz_0,404.0,4,"[17, 33, 77, 99]",meco_para_11_qa_2 ,meco_para_11
on_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
yillar_0,377.0,5,"[45, 47, 48, 49, 50]",meco_para_11_qa_2 ,meco_para_11
"boyunca,_0",100.0,1,[85],meco_para_11_qa_2 ,meco_para_11
organizasyon_0,169.0,2,"[28, 86]",meco_para_11_qa_2 ,meco_para_11
koruma_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
ekolojisinin_0,nan,0,[],,meco_para_11
dtesinde_0,170.0,2,"[31, 88]",,meco_para_11
odagini__0,306.0,3,"[69, 70, 71]",,meco_para_11
genisletti_0,445.0,6,"[35, 38, 40, 75, 93, 113]",,meco_para_11
ve_7,69.0,1,[92],,meco_para_11
simdi_0,141.0,2,"[114, 115]",,meco_para_11
projelerinde_0,339.0,4,"[24, 53, 55, 116]",,meco_para_11
strdurulebilir_0,352.0,5,"[18, 29, 64, 84, 198]",,meco_para_11
kalkinma___0,67.0,1,[108],,meco_para_11
ile_0,133.0,1,[153],,meco_para_11
ilgili_0,nan,0,[],,meco_para_11
konular!_0,nan,0,[],,meco_para_11
icgeriyor._0,238.0,2,"[67, 112]",,meco_para_11
Pek_0,68.0,1,[90],,meco_para_11
cok_0,307.0,3,"[16, 155, 215]",,meco_para_11
uluslararas!_0,341.0,4,"[132, 133, 139, 226]",,meco_para_11
cevre_0,295.0,4,"[101, 173, 192, 283]",,meco_para_11
 kuruluslarinin§_0,201.0,3,"[44, 172, 175]",,meco_para_11
"aksine,_0",65.0,1,[107],,meco_para_11
bu_0,138.0,1,[57],,meco_para_11
 organizasyon_0,125.0,2,"[123, 146]",,meco_para_11
halki_0,nan,0,[],,meco_para_11
doganin_1,nan,0,[],,meco_para_11
korunmasina__0,344.0,4,"[9, 13, 68, 111]",,meco_para_11
destek_0,396.0,5,"[12, 66, 96, 154, 210]",,meco_para_11
olarak_1,301.0,4,"[94, 95, 100, 209]",,meco_para_11
seferber_0,959.0,11,"[79, 102, 103, 105, 106, 193, 222, 223, 224, 225, 229]",,meco_para_11
etmeyi_0,375.0,3,"[43, 197, 230]",,meco_para_11
amaclamamaktadir._0,277.0,4,"[141, 142, 199, 200]",,meco_para_11
Bunun_0,nan,0,[],,meco_para_11
"yerine,_0",nan,0,[],,meco_para_11
organizasyon_1,nan,0,[],,meco_para_11
"bilgi,_0",403.0,5,"[10, 87, 126, 127, 184]",,meco_para_11
tavsiye_0,812.0,9,"[11, 149, 152, 183, 211, 214, 217, 218, 221]",,meco_para_11
saglayarak_0,586.0,7,"[91, 131, 136, 140, 227, 249, 250]",,meco_para_11
ve_8,nan,0,[],,meco_para_11
ortakliklar_0,371.0,5,"[54, 82, 83, 118, 191]",,meco_para_11
kurarak_0,345.0,5,"[109, 178, 202, 205, 234]",,meco_para_11
"hdkimetlerin,_0",432.0,4,"[110, 122, 182, 291]",,meco_para_11
is_0,nan,0,[],,meco_para_11
dunyasinin_0,nan,0,[],,meco_para_11
ve_9,nan,0,[],,meco_para_11
diger_0,66.0,1,[147],,meco_para_11
paydaslarin_0,845.0,10,"[125, 156, 157, 158, 161, 185, 190, 220, 297, 298]",,meco_para_11
faaliyetlerini_0,1243.0,16,"[129, 130, 135, 137, 138, 162, 170, 194, 212, 216, 251, 253, 286, 299, 300, 307]",,meco_para_11
etkilemeye_0,666.0,9,"[119, 171, 174, 196, 228, 256, 257, 292, 328]",,meco_para_11
 alisir._0,267.0,3,"[143, 177, 233]",,meco_para_11
Organizasyon_2,527.0,6,"[144, 145, 179, 201, 204, 263]",,meco_para_11
—_0,nan,0,[],,meco_para_11
genis_0,208.0,3,"[124, 181, 237]",,meco_para_11
kitlelerce_0,nan,0,[],meco_para_11_qa_3 ,meco_para_11
dtinyadaki_0,65.0,1,[267],meco_para_11_qa_3 ,meco_para_11
turlerin_0,413.0,5,"[150, 189, 213, 243, 266]",meco_para_11_qa_3 ,meco_para_11
 korunma_0,738.0,10,"[159, 161, 163, 194, 238, 242, 245, 246, 305, 323]",meco_para_11_qa_3 ,meco_para_11
durumunu_0,714.0,8,"[128, 134, 170, 287, 302, 306, 312, 324]",meco_para_11_qa_3 ,meco_para_11
 degerlendiren_0,1016.0,13,"[104, 176, 195, 206, 207, 232, 258, 270, 275, 276, 290, 326, 327]",meco_para_11_qa_3 ,meco_para_11
“Tehdit_0,478.0,5,"[231, 236, 259, 274, 277]",meco_para_11_qa_3 ,meco_para_11
Edilen_0,nan,0,[],meco_para_11_qa_3 ,meco_para_11
 Turlerin_0,nan,0,[],meco_para_11_qa_3 ,meco_para_11
"Kirmizi—Listesi""ni_0",nan,0,[],meco_para_11_qa_1 meco_para_11_qa_3 ,meco_para_11
derledigi_0,203.0,3,"[151, 186, 296]",meco_para_11_qa_1 meco_para_11_qa_3 ,meco_para_11
ve_10,164.0,2,"[241, 247]",meco_para_11_qa_1 meco_para_11_qa_3 ,meco_para_11
 yayinladig_0,699.0,9,"[160, 165, 166, 168, 169, 301, 303, 304, 309]",meco_para_11_qa_1 meco_para_11_qa_3 ,meco_para_11
icin_1,136.0,2,"[252, 255]",meco_para_11_qa_1 meco_para_11_qa_3 ,meco_para_11
bilinir._0,70.0,1,[268],meco_para_11_qa_1 meco_para_11_qa_3 ,meco_para_11
