word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
A_0,204.0,1,[14],,meco_para_12
vehicle_0,239.0,2,"[24, 42]",,meco_para_12
registration_0,nan,0,[],,meco_para_12
plate_0,nan,0,[],,meco_para_12
is_0,nan,0,[],,meco_para_12
a_1,408.0,1,[16],,meco_para_12
metal_0,646.0,4,"[17, 18, 28, 38]",,meco_para_12
or_0,nan,0,[],,meco_para_12
plastic_0,136.0,1,[19],,meco_para_12
plate_1,70.0,1,[25],,meco_para_12
attached_0,304.0,4,"[9, 26, 27, 30]",,meco_para_12
to_0,nan,0,[],,meco_para_12
a_2,137.0,1,[29],,meco_para_12
vehicle_1,nan,0,[],,meco_para_12
for_0,nan,0,[],,meco_para_12
officialidentification_0,375.0,3,"[33, 48, 49]",,meco_para_12
purposes._0,nan,0,[],,meco_para_12
All_0,nan,0,[],,meco_para_12
countries_0,67.0,1,[43],,meco_para_12
require_0,172.0,2,"[37, 39]",,meco_para_12
registration_1,69.0,1,[36],,meco_para_12
plates_0,nan,0,[],,meco_para_12
for_1,67.0,1,[44],,meco_para_12
road_0,nan,0,[],,meco_para_12
vehicles_0,169.0,1,[45],,meco_para_12
such_0,541.0,1,[47],,meco_para_12
as_0,nan,0,[],,meco_para_12
"cars,_0",341.0,2,"[57, 58]",,meco_para_12
"trucks,and_0",nan,0,[],,meco_para_12
motorcycles._0,408.0,3,"[50, 51, 59]",,meco_para_12
Whether_0,273.0,2,"[52, 53]",,meco_para_12
they_0,102.0,1,[54],,meco_para_12
are_0,nan,0,[],,meco_para_12
required_0,101.0,1,[35],,meco_para_12
for_2,nan,0,[],,meco_para_12
other_0,nan,0,[],,meco_para_12
"vehicles,_1",67.0,1,[56],,meco_para_12
such_1,510.0,2,"[65, 66]",,meco_para_12
as__0,nan,0,[],,meco_para_12
"bicycles,_0",102.0,1,[67],,meco_para_12
"boats,_0",nan,0,[],meco_para_12_qa_2 ,meco_para_12
or_1,nan,0,[],meco_para_12_qa_2 ,meco_para_12
"tractors,_0",nan,0,[],meco_para_12_qa_2 ,meco_para_12
may_0,67.0,1,[70],meco_para_12_qa_2 ,meco_para_12
vary_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
by_0,170.0,1,[71],meco_para_12_qa_2 ,meco_para_12
jurisdiction._0,407.0,2,"[55, 60]",meco_para_12_qa_2 ,meco_para_12
The_0,102.0,1,[72],,meco_para_12
registration_2,271.0,3,"[61, 62, 73]",,meco_para_12
identifier_0,nan,0,[],,meco_para_12
is_1,271.0,1,[68],,meco_para_12
a_3,nan,0,[],,meco_para_12
series_0,205.0,1,[69],meco_para_12_qa_3 ,meco_para_12
of_0,102.0,1,[76],meco_para_12_qa_3 ,meco_para_12
letters_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
and_0,171.0,1,[78],meco_para_12_qa_3 ,meco_para_12
digits_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
that_0,nan,0,[],,meco_para_12
uniquely_0,nan,0,[],,meco_para_12
identifies_0,69.0,1,[79],,meco_para_12
the_1,102.0,1,[80],,meco_para_12
vehicle_2,nan,0,[],,meco_para_12
owner_0,nan,0,[],,meco_para_12
within_0,69.0,1,[75],,meco_para_12
the_2,nan,0,[],,meco_para_12
issuing_0,nan,0,[],,meco_para_12
region's_0,547.0,3,"[1, 77, 84]",,meco_para_12
vehicle_3,372.0,3,"[83, 85, 89]",,meco_para_12
register._0,68.0,1,[86],,meco_para_12
In_0,nan,0,[],,meco_para_12
some_0,172.0,2,"[93, 99]",,meco_para_12
"countries,_1",202.0,2,"[92, 100]",,meco_para_12
the_3,nan,0,[],,meco_para_12
identifier_1,134.0,1,[90],,meco_para_12
is_2,nan,0,[],,meco_para_12
unique_0,70.0,1,[95],,meco_para_12
within_1,nan,0,[],,meco_para_12
the_4,nan,0,[],,meco_para_12
entire_0,nan,0,[],,meco_para_12
"country,_0",nan,0,[],,meco_para_12
while_0,69.0,1,[88],,meco_para_12
in_1,nan,0,[],,meco_para_12
others_0,nan,0,[],,meco_para_12
it_0,nan,0,[],,meco_para_12
is_3,nan,0,[],,meco_para_12
unique_1,nan,0,[],,meco_para_12
within_2,67.0,1,[101],,meco_para_12
a_4,nan,0,[],,meco_para_12
state_0,nan,0,[],,meco_para_12
or_2,69.0,1,[94],,meco_para_12
province._0,169.0,1,[103],,meco_para_12
France_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
