word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
The_0,nan,0,[],,meco_para_11
International_0,nan,0,[],,meco_para_11
Union_0,nan,0,[],,meco_para_11
for_0,nan,0,[],,meco_para_11
Conservation_0,nan,0,[],,meco_para_11
of_0,nan,0,[],,meco_para_11
Nature_0,nan,0,[],,meco_para_11
is_0,nan,0,[],,meco_para_11
an__0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
international_1,nan,0,[],meco_para_11_qa_0 ,meco_para_11
organization_0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
working_0,nan,0,[],,meco_para_11
in_0,nan,0,[],,meco_para_11
the_1,nan,0,[],,meco_para_11
field_0,nan,0,[],,meco_para_11
of_1,72.0,1,[13],,meco_para_11
nature_1,141.0,1,[30],,meco_para_11
conservation_1,58.0,1,[20],,meco_para_11
and_0,nan,0,[],,meco_para_11
the_2,nan,0,[],,meco_para_11
sustainable_0,nan,0,[],,meco_para_11
use_0,nan,0,[],,meco_para_11
of_2,nan,0,[],,meco_para_11
natural_0,nan,0,[],,meco_para_11
resources._0,nan,0,[],,meco_para_11
It_0,112.0,1,[10],,meco_para_11
is_1,62.0,1,[9],,meco_para_11
involved_0,637.0,4,"[12, 15, 29, 98]",,meco_para_11
in_1,254.0,1,[31],,meco_para_11
data_0,319.0,2,"[19, 34]",,meco_para_11
gathering_0,nan,0,[],,meco_para_11
and_1,nan,0,[],,meco_para_11
"analysis,_0",nan,0,[],,meco_para_11
"research,_0",nan,0,[],,meco_para_11
field_1,nan,0,[],,meco_para_11
"projects,_0",nan,0,[],,meco_para_11
"advocacy,_0",119.0,1,[96],,meco_para_11
and_2,587.0,3,"[11, 95, 97]",,meco_para_11
education._0,614.0,5,"[16, 18, 25, 27, 99]",,meco_para_11
Its_0,458.0,3,"[24, 32, 128]",,meco_para_11
mission_0,131.0,2,"[23, 131]",,meco_para_11
is_2,135.0,2,"[22, 132]",,meco_para_11
to_0,133.0,1,[21],,meco_para_11
"‘influence,_0",58.0,1,[117],,meco_para_11
encourage_0,nan,0,[],,meco_para_11
and_3,60.0,1,[156],,meco_para_11
assist_0,nan,0,[],,meco_para_11
societies_0,nan,0,[],,meco_para_11
throughout_0,1051.0,7,"[93, 94, 173, 176, 177, 191, 198]",meco_para_11_qa_2 ,meco_para_11
the_3,131.0,1,[187],meco_para_11_qa_2 ,meco_para_11
world_0,256.0,2,"[17, 193]",meco_para_11_qa_2 ,meco_para_11
to_1,62.0,1,[105],meco_para_11_qa_2 ,meco_para_11
conserve_0,335.0,5,"[33, 58, 125, 129, 130]",meco_para_11_qa_2 ,meco_para_11
nature_2,63.0,1,[59],meco_para_11_qa_2 ,meco_para_11
and_4,266.0,4,"[122, 133, 135, 151]",meco_para_11_qa_2 ,meco_para_11
to_2,600.0,4,"[62, 116, 134, 147]",meco_para_11_qa_2 ,meco_para_11
ensure_0,522.0,7,"[63, 65, 66, 140, 141, 142, 143]",meco_para_11_qa_2 ,meco_para_11
that_0,196.0,3,"[67, 119, 144]",meco_para_11_qa_2 ,meco_para_11
any_0,67.0,1,[77],meco_para_11_qa_2 ,meco_para_11
use_1,60.0,1,[76],meco_para_11_qa_2 ,meco_para_11
of_3,nan,0,[],meco_para_11_qa_2 ,meco_para_11
natural_1,nan,0,[],meco_para_11_qa_2 ,meco_para_11
resources_1,826.0,8,"[88, 89, 90, 91, 92, 178, 190, 199]",meco_para_11_qa_2 ,meco_para_11
is_3,391.0,5,"[184, 186, 188, 195, 197]",meco_para_11_qa_2 ,meco_para_11
equitable_0,672.0,7,"[8, 83, 100, 101, 102, 106, 194]",meco_para_11_qa_2 ,meco_para_11
and_5,832.0,6,"[36, 39, 44, 127, 205, 212]",meco_para_11_qa_2 ,meco_para_11
ecologically_0,1378.0,13,"[35, 45, 81, 124, 126, 206, 207, 209, 210, 211, 213, 256, 257]",meco_para_11_qa_2 ,meco_para_11
sustainable’._0,1474.0,12,"[46, 60, 61, 80, 115, 123, 136, 137, 139, 148, 149, 152]",meco_para_11_qa_2 ,meco_para_11
Over_0,68.0,1,[146],meco_para_11_qa_2 ,meco_para_11
the_4,410.0,6,"[64, 68, 79, 118, 120, 145]",meco_para_11_qa_2 ,meco_para_11
past_0,291.0,4,"[78, 158, 159, 161]",meco_para_11_qa_2 ,meco_para_11
"decades,_0",146.0,2,"[74, 157]",meco_para_11_qa_2 ,meco_para_11
the_5,nan,0,[],meco_para_11_qa_2 ,meco_para_11
organization_1,1056.0,11,"[84, 171, 172, 179, 180, 181, 189, 192, 196, 200, 201]",,meco_para_11
has_0,143.0,2,"[170, 202]",,meco_para_11
widened_0,627.0,5,"[7, 38, 103, 104, 203]",,meco_para_11
its_1,338.0,5,"[37, 43, 208, 215, 247]",,meco_para_11
focus_0,448.0,6,"[6, 220, 246, 255, 258, 267]",,meco_para_11
beyond_0,751.0,8,"[50, 108, 109, 114, 138, 219, 244, 245]",,meco_para_11
conservation_2,523.0,6,"[47, 48, 49, 121, 153, 218]",,meco_para_11
ecology_0,131.0,2,"[154, 160]",,meco_para_11
and_6,128.0,1,[162],,meco_para_11
now_0,60.0,1,[73],,meco_para_11
incorporates_0,nan,0,[],,meco_para_11
issues_0,123.0,1,[85],,meco_para_11
related_0,nan,0,[],,meco_para_11
to_3,nan,0,[],,meco_para_11
sustainable_1,1610.0,11,"[40, 42, 168, 169, 204, 249, 254, 260, 261, 265, 266]",,meco_para_11
development_0,1645.0,15,"[41, 53, 54, 55, 56, 107, 110, 216, 217, 221, 223, 225, 226, 248, 259]",,meco_para_11
in_2,69.0,1,[167],,meco_para_11
its_2,nan,0,[],,meco_para_11
projects._1,279.0,3,"[1, 166, 242]",,meco_para_11
Unlike_0,nan,1,[0],,meco_para_11
many_0,190.0,3,"[69, 72, 163]",,meco_para_11
other_0,nan,0,[],,meco_para_11
international_2,nan,0,[],,meco_para_11
environmental_0,249.0,3,"[250, 251, 262]",,meco_para_11
"organizations,_0",381.0,5,"[5, 52, 111, 112, 222]",,meco_para_11
it_1,207.0,1,[227],,meco_para_11
does_0,55.0,1,[224],,meco_para_11
not_0,56.0,1,[241],,meco_para_11
aim_0,nan,0,[],,meco_para_11
to_4,nan,0,[],,meco_para_11
mobilize_0,216.0,2,"[71, 164]",,meco_para_11
the_6,nan,0,[],,meco_para_11
public_0,nan,0,[],,meco_para_11
in_3,nan,0,[],,meco_para_11
support_0,nan,0,[],,meco_para_11
of_4,nan,0,[],,meco_para_11
nature_3,71.0,1,[264],,meco_para_11
conservation._3,236.0,1,[263],,meco_para_11
"Instead,_0",nan,0,[],,meco_para_11
the_7,81.0,1,[4],,meco_para_11
organization_2,296.0,3,"[2, 3, 240]",,meco_para_11
tries_0,nan,0,[],,meco_para_11
to_5,nan,0,[],,meco_para_11
influence_0,nan,0,[],,meco_para_11
the_8,nan,0,[],,meco_para_11
actions_0,nan,0,[],,meco_para_11
of_5,nan,0,[],,meco_para_11
"governments,_0",nan,0,[],,meco_para_11
business_0,nan,0,[],,meco_para_11
and_7,179.0,2,"[233, 234]",,meco_para_11
other_1,204.0,1,[229],,meco_para_11
stakeholders_0,246.0,2,"[230, 238]",,meco_para_11
by_0,nan,0,[],,meco_para_11
