word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
The_0,nan,0,[],,meco_para_11
International_0,129.0,2,"[67, 278]",,meco_para_11
Union_0,121.0,1,[82],,meco_para_11
for_0,57.0,1,[83],,meco_para_11
Conservation_0,68.0,1,[147],,meco_para_11
of_0,nan,0,[],,meco_para_11
Nature_0,90.0,1,[184],,meco_para_11
is_0,nan,0,[],,meco_para_11
an__0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
international_1,nan,0,[],meco_para_11_qa_0 ,meco_para_11
organization_0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
working_0,201.0,2,"[11, 277]",,meco_para_11
in_0,nan,0,[],,meco_para_11
the_1,55.0,1,[27],,meco_para_11
field_0,262.0,3,"[65, 109, 145]",,meco_para_11
of_1,133.0,2,"[110, 285]",,meco_para_11
nature_1,136.0,2,"[25, 146]",,meco_para_11
conservation_1,63.0,1,[194],,meco_para_11
and_0,nan,0,[],,meco_para_11
the_2,nan,0,[],,meco_para_11
sustainable_0,nan,0,[],,meco_para_11
use_0,nan,0,[],,meco_para_11
of_2,nan,0,[],,meco_para_11
natural_0,nan,0,[],,meco_para_11
resources._0,nan,0,[],,meco_para_11
It_0,522.0,6,"[68, 89, 100, 105, 226, 279]",,meco_para_11
is_1,245.0,3,"[87, 90, 280]",,meco_para_11
involved_0,387.0,6,"[15, 85, 86, 92, 108, 297]",,meco_para_11
in_1,187.0,3,"[64, 111, 298]",,meco_para_11
data_0,nan,0,[],,meco_para_11
gathering_0,nan,0,[],,meco_para_11
and_1,64.0,1,[183],,meco_para_11
"analysis,_0",55.0,1,[303],,meco_para_11
"research,_0",103.0,1,[305],,meco_para_11
field_1,nan,0,[],,meco_para_11
"projects,_0",nan,0,[],,meco_para_11
"advocacy,_0",467.0,6,"[10, 54, 55, 101, 155, 242]",,meco_para_11
and_2,242.0,2,"[91, 136]",,meco_para_11
education._0,721.0,10,"[16, 29, 50, 69, 81, 88, 144, 177, 224, 227]",,meco_para_11
Its_0,257.0,4,"[49, 59, 178, 296]",,meco_para_11
mission_0,1183.0,14,"[19, 63, 112, 128, 148, 179, 195, 228, 293, 294, 295, 299, 300, 308]",,meco_para_11
is_2,64.0,1,[196],,meco_para_11
to_0,281.0,4,"[24, 161, 229, 309]",,meco_para_11
"‘influence,_0",119.0,2,"[233, 263]",,meco_para_11
encourage_0,147.0,1,[304],,meco_para_11
and_3,nan,0,[],,meco_para_11
assist_0,nan,0,[],,meco_para_11
societies_0,nan,0,[],,meco_para_11
throughout_0,186.0,3,"[56, 156, 244]",meco_para_11_qa_2 ,meco_para_11
the_3,311.0,4,"[52, 57, 102, 241]",meco_para_11_qa_2 ,meco_para_11
world_0,1085.0,10,"[14, 51, 58, 80, 93, 107, 135, 223, 281, 283]",meco_para_11_qa_2 ,meco_para_11
to_1,64.0,1,[222],meco_para_11_qa_2 ,meco_para_11
conserve_0,1157.0,14,"[48, 60, 61, 118, 127, 129, 149, 150, 160, 180, 191, 192, 193, 310]",meco_para_11_qa_2 ,meco_para_11
nature_2,217.0,3,"[189, 190, 239]",meco_para_11_qa_2 ,meco_para_11
and_4,313.0,4,"[23, 231, 237, 238]",meco_para_11_qa_2 ,meco_para_11
to_2,55.0,1,[262],meco_para_11_qa_2 ,meco_para_11
ensure_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
that_0,58.0,1,[306],meco_para_11_qa_2 ,meco_para_11
any_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
use_1,nan,0,[],meco_para_11_qa_2 ,meco_para_11
of_3,nan,0,[],meco_para_11_qa_2 ,meco_para_11
natural_1,nan,0,[],meco_para_11_qa_2 ,meco_para_11
resources_1,266.0,3,"[95, 141, 276]",meco_para_11_qa_2 ,meco_para_11
is_3,233.0,3,"[9, 157, 275]",meco_para_11_qa_2 ,meco_para_11
equitable_0,868.0,11,"[13, 94, 98, 115, 116, 151, 153, 173, 176, 270, 282]",meco_para_11_qa_2 ,meco_para_11
and_5,203.0,3,"[123, 125, 267]",meco_para_11_qa_2 ,meco_para_11
ecologically_0,568.0,9,"[21, 62, 122, 124, 126, 130, 221, 240, 311]",meco_para_11_qa_2 ,meco_para_11
sustainable’._0,699.0,9,"[0, 20, 31, 182, 197, 236, 287, 301, 312]",meco_para_11_qa_2 ,meco_para_11
Over_0,114.0,2,"[32, 261]",meco_para_11_qa_2 ,meco_para_11
the_4,278.0,3,"[33, 185, 219]",meco_para_11_qa_2 ,meco_para_11
past_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
"decades,_0",nan,0,[],meco_para_11_qa_2 ,meco_para_11
the_5,nan,0,[],meco_para_11_qa_2 ,meco_para_11
organization_1,297.0,3,"[137, 142, 143]",,meco_para_11
has_0,276.0,4,"[97, 139, 172, 274]",,meco_para_11
widened_0,638.0,8,"[7, 70, 114, 117, 158, 159, 271, 286]",,meco_para_11
its_1,303.0,5,"[71, 72, 134, 170, 246]",,meco_para_11
focus_0,321.0,5,"[18, 76, 119, 133, 208]",,meco_para_11
beyond_0,833.0,6,"[47, 131, 132, 169, 289, 292]",,meco_para_11
conservation_2,613.0,7,"[37, 39, 42, 162, 235, 260, 313]",,meco_para_11
ecology_0,237.0,3,"[186, 216, 218]",,meco_para_11
and_6,nan,0,[],,meco_para_11
now_0,nan,0,[],,meco_para_11
incorporates_0,nan,0,[],,meco_para_11
issues_0,nan,0,[],,meco_para_11
related_0,57.0,1,[273],,meco_para_11
to_3,60.0,1,[272],,meco_para_11
sustainable_1,527.0,9,"[6, 75, 77, 113, 121, 171, 174, 268, 269]",,meco_para_11
development_0,900.0,12,"[1, 73, 120, 175, 181, 203, 210, 252, 265, 266, 328, 329]",,meco_para_11
in_2,248.0,3,"[163, 204, 206]",,meco_para_11
its_2,895.0,10,"[38, 43, 44, 46, 166, 167, 205, 248, 288, 302]",,meco_para_11
projects._1,739.0,10,"[40, 41, 187, 188, 198, 200, 247, 259, 264, 314]",,meco_para_11
