word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
The_0,nan,0,[],,meco_para_11
International_0,nan,0,[],,meco_para_11
Union_0,244.0,2,"[32, 34]",,meco_para_11
for_0,132.0,2,"[10, 164]",,meco_para_11
Conservation_0,102.0,1,[9],,meco_para_11
of_0,nan,0,[],,meco_para_11
Nature_0,nan,0,[],,meco_para_11
is_0,nan,0,[],,meco_para_11
an__0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
international_1,374.0,3,"[89, 293, 301]",meco_para_11_qa_0 ,meco_para_11
organization_0,73.0,1,[307],meco_para_11_qa_0 ,meco_para_11
working_0,nan,0,[],,meco_para_11
in_0,nan,0,[],,meco_para_11
the_1,77.0,1,[12],,meco_para_11
field_0,793.0,7,"[11, 17, 31, 36, 157, 159, 163]",,meco_para_11
of_1,425.0,3,"[35, 38, 316]",,meco_para_11
nature_1,139.0,1,[43],,meco_para_11
conservation_1,235.0,2,"[53, 54]",,meco_para_11
and_0,nan,0,[],,meco_para_11
the_2,371.0,1,[135],,meco_para_11
sustainable_0,235.0,2,"[195, 294]",,meco_para_11
use_0,237.0,1,[304],,meco_para_11
of_2,nan,0,[],,meco_para_11
natural_0,202.0,1,[309],,meco_para_11
resources._0,nan,0,[],,meco_para_11
It_0,159.0,2,"[13, 357]",,meco_para_11
is_1,134.0,1,[161],,meco_para_11
involved_0,1756.0,11,"[30, 39, 99, 103, 105, 112, 155, 158, 162, 165, 168]",,meco_para_11
in_1,400.0,4,"[29, 42, 108, 109]",,meco_para_11
data_0,557.0,3,"[20, 23, 47]",,meco_para_11
gathering_0,346.0,4,"[62, 181, 183, 219]",,meco_para_11
and_1,133.0,1,[184],,meco_para_11
"analysis,_0",425.0,4,"[69, 72, 134, 191]",,meco_para_11
"research,_0",812.0,8,"[74, 75, 80, 84, 90, 147, 193, 305]",,meco_para_11
field_1,816.0,8,"[91, 141, 148, 233, 235, 292, 300, 302]",,meco_para_11
"projects,_0",504.0,3,"[303, 310, 355]",,meco_para_11
"advocacy,_0",298.0,3,"[94, 95, 96]",,meco_para_11
and_2,305.0,1,[358],,meco_para_11
education._0,920.0,8,"[16, 98, 102, 106, 160, 166, 208, 241]",,meco_para_11
Its_0,891.0,9,"[6, 28, 41, 113, 116, 210, 314, 322, 841]",,meco_para_11
mission_0,1650.0,11,"[21, 44, 45, 46, 49, 64, 110, 117, 119, 169, 220]",,meco_para_11
is_2,153.0,2,"[55, 58]",,meco_para_11
to_0,138.0,2,"[182, 839]",,meco_para_11
"‘influence,_0",800.0,6,"[68, 71, 127, 185, 187, 838]",,meco_para_11
encourage_0,1562.0,13,"[73, 81, 83, 86, 136, 138, 139, 145, 190, 192, 284, 344, 432]",,meco_para_11
and_3,1147.0,12,"[79, 82, 92, 140, 231, 291, 295, 296, 298, 350, 352, 354]",,meco_para_11
assist_0,170.0,1,[311],,meco_para_11
societies_0,137.0,1,[430],,meco_para_11
throughout_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
the_3,nan,0,[],meco_para_11_qa_2 ,meco_para_11
world_0,505.0,4,"[15, 104, 152, 240]",meco_para_11_qa_2 ,meco_para_11
to_1,833.0,7,"[2, 4, 40, 107, 167, 207, 361]",meco_para_11_qa_2 ,meco_para_11
conserve_0,1467.0,9,"[3, 26, 27, 120, 177, 214, 251, 318, 843]",meco_para_11_qa_2 ,meco_para_11
nature_2,984.0,10,"[50, 52, 57, 121, 216, 217, 794, 813, 840, 847]",meco_para_11_qa_2 ,meco_para_11
and_4,802.0,7,"[60, 65, 66, 126, 180, 188, 814]",meco_para_11_qa_2 ,meco_para_11
to_2,195.0,3,"[67, 337, 848]",meco_para_11_qa_2 ,meco_para_11
ensure_0,949.0,11,"[78, 128, 129, 130, 131, 133, 137, 226, 282, 283, 345]",meco_para_11_qa_2 ,meco_para_11
that_0,244.0,3,"[224, 285, 433]",meco_para_11_qa_2 ,meco_para_11
any_0,735.0,6,"[93, 143, 144, 286, 299, 353]",meco_para_11_qa_2 ,meco_para_11
use_1,307.0,3,"[290, 297, 356]",meco_para_11_qa_2 ,meco_para_11
of_3,nan,0,[],meco_para_11_qa_2 ,meco_para_11
natural_1,66.0,1,[429],meco_para_11_qa_2 ,meco_para_11
resources_1,231.0,2,"[236, 237]",meco_para_11_qa_2 ,meco_para_11
is_3,111.0,1,[359],meco_para_11_qa_2 ,meco_para_11
equitable_0,749.0,5,"[153, 202, 204, 239, 246]",meco_para_11_qa_2 ,meco_para_11
and_5,1566.0,10,"[5, 97, 170, 171, 206, 242, 243, 247, 319, 321]",meco_para_11_qa_2 ,meco_para_11
ecologically_0,1688.0,16,"[56, 118, 122, 123, 172, 176, 178, 179, 212, 215, 221, 324, 326, 809, 844, 845]",meco_para_11_qa_2 ,meco_para_11
sustainable’._0,717.0,6,"[61, 306, 339, 812, 815, 846]",meco_para_11_qa_2 ,meco_para_11
Over_0,526.0,5,"[70, 77, 223, 424, 837]",meco_para_11_qa_2 ,meco_para_11
the_4,145.0,2,"[76, 228]",meco_para_11_qa_2 ,meco_para_11
past_0,335.0,4,"[225, 347, 349, 425]",meco_para_11_qa_2 ,meco_para_11
"decades,_0",68.0,1,[431],meco_para_11_qa_2 ,meco_para_11
the_5,921.0,4,"[428, 444, 445, 480]",meco_para_11_qa_2 ,meco_para_11
organization_1,478.0,4,"[150, 151, 196, 238]",,meco_para_11
has_0,377.0,2,"[14, 203]",,meco_para_11
widened_0,955.0,8,"[201, 205, 245, 360, 364, 365, 375, 378]",,meco_para_11
its_1,919.0,6,"[211, 213, 248, 249, 366, 382]",,meco_para_11
focus_0,770.0,8,"[222, 252, 254, 257, 260, 333, 336, 386]",,meco_para_11
beyond_0,1647.0,14,"[125, 175, 218, 256, 266, 335, 790, 791, 802, 808, 810, 811, 816, 821]",,meco_para_11
conservation_2,559.0,5,"[287, 340, 423, 820, 836]",,meco_para_11
ecology_0,577.0,6,"[229, 280, 281, 426, 435, 436]",,meco_para_11
and_6,207.0,1,[398],,meco_para_11
now_0,104.0,1,[427],,meco_para_11
incorporates_0,895.0,6,"[479, 511, 513, 514, 516, 521]",,meco_para_11
issues_0,182.0,2,"[197, 448]",,meco_para_11
related_0,nan,0,[],,meco_para_11
to_3,nan,0,[],,meco_para_11
sustainable_1,1251.0,6,"[199, 320, 363, 379, 380, 381]",,meco_para_11
development_0,1157.0,10,"[250, 255, 259, 332, 362, 385, 387, 788, 800, 801]",,meco_para_11
in_2,200.0,2,"[124, 822]",,meco_para_11
its_2,172.0,1,[261],,meco_para_11
projects._1,1347.0,14,"[132, 146, 279, 288, 393, 397, 403, 417, 434, 465, 466, 612, 829, 835]",,meco_para_11
Unlike_0,892.0,9,"[227, 409, 413, 418, 421, 422, 440, 472, 474]",,meco_para_11
many_0,1103.0,10,"[289, 394, 399, 404, 410, 420, 442, 471, 475, 476]",,meco_para_11
other_0,210.0,2,"[577, 623]",,meco_para_11
international_2,201.0,2,"[198, 449]",,meco_para_11
environmental_0,1140.0,9,"[376, 377, 450, 451, 452, 455, 458, 795, 803]",,meco_para_11
"organizations,_0",1380.0,14,"[253, 258, 334, 383, 384, 446, 494, 495, 497, 537, 792, 793, 799, 804]",,meco_para_11
