word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
The_0,nan,0,[],,meco_para_11
International_0,nan,0,[],,meco_para_11
Union_0,nan,0,[],,meco_para_11
for_0,nan,0,[],,meco_para_11
Conservation_0,nan,0,[],,meco_para_11
of_0,nan,0,[],,meco_para_11
Nature_0,nan,0,[],,meco_para_11
is_0,nan,0,[],,meco_para_11
an__0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
international_1,190.0,2,"[41, 42]",meco_para_11_qa_0 ,meco_para_11
organization_0,254.0,1,[356],meco_para_11_qa_0 ,meco_para_11
working_0,96.0,1,[9],,meco_para_11
in_0,89.0,1,[8],,meco_para_11
the_1,nan,0,[],,meco_para_11
field_0,nan,0,[],,meco_para_11
of_1,306.0,1,[93],,meco_para_11
nature_1,50.0,1,[94],,meco_para_11
conservation_1,431.0,3,"[27, 33, 39]",,meco_para_11
and_0,nan,0,[],,meco_para_11
the_2,140.0,2,"[70, 121]",,meco_para_11
sustainable_0,67.0,1,[43],,meco_para_11
use_0,nan,0,[],,meco_para_11
of_2,248.0,2,"[154, 355]",,meco_para_11
natural_0,nan,0,[],,meco_para_11
resources._0,nan,0,[],,meco_para_11
It_0,865.0,3,"[10, 11, 163]",,meco_para_11
is_1,53.0,1,[7],,meco_para_11
involved_0,244.0,1,[13],,meco_para_11
in_1,nan,0,[],,meco_para_11
data_0,226.0,3,"[66, 95, 122]",,meco_para_11
gathering_0,233.0,3,"[65, 67, 68]",,meco_para_11
and_1,170.0,2,"[26, 137]",,meco_para_11
"analysis,_0",77.0,1,[69],,meco_para_11
"research,_0",252.0,2,"[44, 75]",,meco_para_11
field_1,327.0,2,"[155, 357]",,meco_para_11
"projects,_0",nan,0,[],,meco_para_11
"advocacy,_0",361.0,1,[200],,meco_para_11
and_2,225.0,3,"[12, 90, 164]",,meco_para_11
education._0,844.0,7,"[14, 57, 58, 59, 91, 92, 123]",,meco_para_11
Its_0,204.0,2,"[6, 169]",,meco_para_11
mission_0,nan,0,[],,meco_para_11
is_2,nan,0,[],,meco_para_11
to_0,257.0,4,"[25, 34, 37, 136]",,meco_para_11
"‘influence,_0",408.0,4,"[32, 38, 178, 185]",,meco_para_11
encourage_0,1878.0,11,"[45, 46, 71, 76, 79, 111, 187, 226, 227, 263, 264]",,meco_para_11
and_3,144.0,2,"[80, 266]",,meco_para_11
assist_0,139.0,2,"[120, 153]",,meco_para_11
societies_0,nan,0,[],,meco_para_11
throughout_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
the_3,830.0,4,"[89, 201, 273, 305]",meco_para_11_qa_2 ,meco_para_11
world_0,431.0,4,"[19, 102, 165, 276]",meco_para_11_qa_2 ,meco_para_11
to_1,229.0,3,"[18, 101, 168]",meco_para_11_qa_2 ,meco_para_11
conserve_0,52.0,1,[63],meco_para_11_qa_2 ,meco_para_11
nature_2,368.0,4,"[15, 36, 99, 177]",meco_para_11_qa_2 ,meco_para_11
and_4,135.0,2,"[86, 179]",meco_para_11_qa_2 ,meco_para_11
to_2,307.0,3,"[28, 31, 110]",meco_para_11_qa_2 ,meco_para_11
ensure_0,368.0,3,"[48, 147, 184]",meco_para_11_qa_2 ,meco_para_11
that_0,381.0,3,"[47, 74, 157]",meco_para_11_qa_2 ,meco_para_11
any_0,345.0,3,"[188, 265, 359]",meco_para_11_qa_2 ,meco_para_11
use_1,332.0,4,"[81, 234, 267, 354]",meco_para_11_qa_2 ,meco_para_11
of_3,463.0,4,"[82, 119, 156, 235]",meco_para_11_qa_2 ,meco_para_11
natural_1,256.0,1,[83],meco_para_11_qa_2 ,meco_para_11
resources_1,62.0,1,[124],meco_para_11_qa_2 ,meco_para_11
is_3,326.0,3,"[162, 199, 275]",meco_para_11_qa_2 ,meco_para_11
equitable_0,335.0,4,"[20, 88, 202, 272]",meco_para_11_qa_2 ,meco_para_11
and_5,68.0,1,[341],meco_para_11_qa_2 ,meco_para_11
ecologically_0,501.0,6,"[17, 55, 62, 87, 100, 258]",meco_para_11_qa_2 ,meco_para_11
sustainable’._0,785.0,9,"[24, 50, 51, 98, 176, 210, 211, 284, 346]",meco_para_11_qa_2 ,meco_para_11
Over_0,763.0,5,"[29, 30, 49, 262, 454]",meco_para_11_qa_2 ,meco_para_11
the_4,632.0,4,"[4, 78, 113, 353]",meco_para_11_qa_2 ,meco_para_11
past_0,559.0,6,"[72, 77, 146, 148, 225, 362]",meco_para_11_qa_2 ,meco_para_11
"decades,_0",234.0,4,"[150, 151, 236, 268]",meco_para_11_qa_2 ,meco_para_11
the_5,118.0,1,[152],meco_para_11_qa_2 ,meco_para_11
organization_1,118.0,2,"[127, 367]",,meco_para_11
has_0,228.0,3,"[60, 161, 306]",,meco_para_11
widened_0,603.0,5,"[132, 160, 245, 304, 340]",,meco_para_11
its_1,236.0,4,"[159, 277, 342, 366]",,meco_para_11
focus_0,350.0,3,"[52, 170, 372]",,meco_para_11
beyond_0,673.0,7,"[96, 135, 139, 212, 237, 257, 283]",,meco_para_11
conservation_2,1118.0,8,"[5, 35, 97, 252, 287, 345, 352, 365]",,meco_para_11
ecology_0,1026.0,11,"[3, 85, 114, 224, 228, 294, 300, 301, 332, 453, 473]",,meco_para_11
and_6,527.0,5,"[117, 145, 149, 269, 295]",,meco_para_11
now_0,295.0,4,"[84, 189, 363, 364]",,meco_para_11
incorporates_0,nan,0,[],,meco_para_11
issues_0,574.0,4,"[126, 240, 368, 387]",,meco_para_11
related_0,786.0,6,"[242, 274, 307, 337, 338, 369]",,meco_para_11
to_3,192.0,3,"[198, 203, 339]",,meco_para_11
sustainable_1,553.0,6,"[103, 166, 205, 246, 335, 370]",,meco_para_11
development_0,1243.0,9,"[54, 134, 206, 247, 271, 343, 344, 371, 374]",,meco_para_11
in_2,198.0,2,"[251, 302]",,meco_para_11
its_2,616.0,5,"[259, 260, 286, 376, 415]",,meco_para_11
projects._1,1712.0,11,"[196, 261, 270, 285, 290, 319, 321, 329, 334, 377, 455]",,meco_para_11
Unlike_0,779.0,6,"[2, 144, 218, 223, 299, 361]",,meco_para_11
many_0,692.0,5,"[116, 118, 333, 360, 380]",,meco_para_11
other_0,502.0,5,"[195, 233, 296, 297, 381]",,meco_para_11
international_2,332.0,3,"[128, 239, 406]",,meco_para_11
environmental_0,881.0,5,"[61, 105, 131, 167, 388]",,meco_para_11
"organizations,_0",680.0,7,"[22, 171, 175, 248, 278, 303, 373]",,meco_para_11
it_1,147.0,2,"[256, 375]",,meco_para_11
does_0,448.0,5,"[109, 197, 288, 314, 318]",,meco_para_11
not_0,227.0,2,"[180, 291]",,meco_para_11
aim_0,344.0,5,"[217, 222, 292, 350, 472]",,meco_para_11
to_4,698.0,5,"[143, 293, 450, 456, 474]",,meco_para_11
mobilize_0,740.0,6,"[115, 191, 231, 324, 328, 379]",,meco_para_11
the_6,211.0,2,"[298, 325]",,meco_para_11
public_0,nan,0,[],,meco_para_11
in_3,nan,0,[],,meco_para_11
support_0,nan,0,[],,meco_para_11
of_4,201.0,2,"[309, 407]",,meco_para_11
nature_3,405.0,4,"[104, 129, 238, 244]",,meco_para_11
conservation._3,670.0,5,"[106, 130, 174, 204, 249]",,meco_para_11
