word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
In_0,67.0,1,[51],meco_para_3_qa_1 ,meco_para_3
competitive_0,524.0,5,"[19, 237, 238, 244, 326]",meco_para_3_qa_1 ,meco_para_3
"sports,_0",1089.0,12,"[24, 26, 55, 184, 185, 232, 279, 329, 389, 391, 392, 395]",meco_para_3_qa_1 ,meco_para_3
doping_0,1182.0,11,"[25, 98, 175, 186, 209, 399, 494, 615, 616, 667, 669]",meco_para_3_qa_1 ,meco_para_3
is_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
the_0,194.0,3,"[174, 495, 496]",meco_para_3_qa_1 ,meco_para_3
use_0,371.0,3,"[351, 474, 497]",meco_para_3_qa_1 ,meco_para_3
of_0,916.0,5,"[413, 433, 434, 456, 498]",meco_para_3_qa_1 ,meco_para_3
banned_0,488.0,5,"[229, 452, 455, 479, 687]",meco_para_3_qa_1 ,meco_para_3
performance-enhancing_0,1087.0,11,"[81, 84, 117, 119, 153, 453, 460, 536, 635, 652, 693]",meco_para_3_qa_1 ,meco_para_3
drugs_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
by_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
athletic_0,207.0,3,"[236, 324, 325]",meco_para_3_qa_1 ,meco_para_3
competitors._0,1075.0,13,"[5, 20, 21, 56, 181, 183, 235, 245, 280, 330, 335, 337, 394]",meco_para_3_qa_1 ,meco_para_3
The_1,295.0,4,"[4, 273, 387, 670]",meco_para_3_qa_1 ,meco_para_3
term_0,196.0,3,"[99, 188, 614]",meco_para_3_qa_1 ,meco_para_3
doping_1,775.0,10,"[3, 73, 94, 157, 158, 414, 457, 458, 471, 705]",meco_para_3_qa_1 ,meco_para_3
is_1,469.0,5,"[74, 75, 293, 341, 417]",meco_para_3_qa_1 ,meco_para_3
widely_0,1422.0,13,"[76, 93, 152, 156, 173, 350, 352, 403, 418, 419, 459, 499, 626]",meco_para_3_qa_1 ,meco_para_3
used_0,584.0,7,"[222, 223, 297, 435, 454, 535, 649]",meco_para_3_qa_1 ,meco_para_3
by_1,499.0,5,"[110, 224, 430, 636, 651]",meco_para_3_qa_1 ,meco_para_3
organizations_0,1077.0,11,"[109, 115, 205, 299, 301, 360, 448, 537, 539, 634, 656]",meco_para_3_qa_1 ,meco_para_3
which_0,259.0,4,"[41, 362, 410, 461]",meco_para_3_qa_1 ,meco_para_3
regulate_0,70.0,1,[323],,meco_para_3
sporting_0,515.0,2,"[27, 182]",,meco_para_3
competitions._0,1015.0,8,"[210, 211, 212, 281, 331, 334, 386, 671]",,meco_para_3
The_2,642.0,5,"[72, 100, 159, 189, 415]",,meco_para_3
use_1,295.0,3,"[190, 219, 704]",,meco_para_3
of_1,202.0,3,"[220, 342, 475]",,meco_para_3
drugs_1,783.0,9,"[77, 221, 256, 257, 353, 420, 476, 477, 478]",,meco_para_3
to_0,779.0,7,"[78, 356, 429, 480, 530, 650, 686]",,meco_para_3
enhance_0,915.0,9,"[79, 80, 92, 108, 172, 228, 298, 436, 694]",,meco_para_3
performance_0,1003.0,13,"[85, 86, 114, 116, 307, 309, 359, 361, 364, 366, 490, 538, 695]",,meco_para_3
is_2,191.0,3,"[43, 463, 607]",,meco_para_3
largely_0,132.0,2,"[310, 311]",,meco_para_3
considered_0,206.0,2,"[132, 134]",,meco_para_3
"unethical,_0",813.0,7,"[18, 131, 246, 332, 333, 393, 708]",,meco_para_3
and_0,307.0,5,"[28, 57, 64, 666, 707]",,meco_para_3
is_3,838.0,4,"[71, 213, 282, 706]",,meco_para_3
therefore_0,989.0,12,"[45, 101, 160, 218, 272, 291, 401, 402, 416, 470, 613, 675]",,meco_para_3
prohibited_0,1144.0,13,"[2, 35, 129, 192, 343, 349, 354, 574, 625, 627, 638, 648, 703]",,meco_para_3
by_2,428.0,4,"[107, 355, 529, 702]",,meco_para_3
most_0,1207.0,12,"[44, 111, 258, 357, 437, 485, 531, 534, 578, 631, 685, 701]",,meco_para_3
international_0,2066.0,16,"[39, 91, 113, 199, 308, 358, 464, 483, 484, 489, 550, 551, 632, 633, 699, 700]",,meco_para_3
sports_1,951.0,9,"[40, 87, 200, 302, 375, 409, 440, 447, 749]",,meco_para_3
"organizations,_1",292.0,3,"[17, 135, 322]",,meco_para_3
including_0,920.0,7,"[46, 61, 62, 63, 506, 709, 719]",,meco_para_3
the_3,451.0,5,"[29, 30, 58, 103, 505]",,meco_para_3
International_1,1488.0,12,"[70, 102, 161, 162, 214, 385, 567, 568, 569, 612, 672, 674]",,meco_para_3
Olympic_0,1100.0,12,"[34, 106, 151, 255, 348, 422, 423, 424, 573, 611, 629, 647]",,meco_para_3
Committee._0,1233.0,16,"[36, 165, 194, 195, 421, 428, 465, 482, 532, 533, 576, 577, 579, 639, 658, 684]",,meco_para_3
"Furthermore,_0",2222.0,18,"[38, 112, 166, 167, 259, 270, 404, 438, 439, 486, 488, 541, 591, 592, 594, 595, 597, 608]",,meco_para_3
athletes_0,1049.0,11,"[88, 127, 168, 227, 365, 371, 445, 542, 603, 751, 752]",,meco_para_3
