word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
In_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
competitive_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
"sports,_0",nan,0,[],meco_para_3_qa_1 ,meco_para_3
doping_0,307.0,4,"[25, 26, 27, 28]",meco_para_3_qa_1 ,meco_para_3
is_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
the_0,340.0,4,"[13, 35, 37, 38]",meco_para_3_qa_1 ,meco_para_3
use_0,72.0,1,[34],meco_para_3_qa_1 ,meco_para_3
of_0,68.0,1,[33],meco_para_3_qa_1 ,meco_para_3
banned_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
performance-enhancing_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
drugs_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
by_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
athletic_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
competitors._0,68.0,1,[9],meco_para_3_qa_1 ,meco_para_3
The_1,nan,0,[],meco_para_3_qa_1 ,meco_para_3
term_0,70.0,1,[24],meco_para_3_qa_1 ,meco_para_3
doping_1,509.0,3,"[14, 29, 36]",meco_para_3_qa_1 ,meco_para_3
is_1,239.0,1,[30],meco_para_3_qa_1 ,meco_para_3
widely_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
used_0,70.0,1,[32],meco_para_3_qa_1 ,meco_para_3
by_1,nan,0,[],meco_para_3_qa_1 ,meco_para_3
organizations_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
which_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
regulate_0,nan,0,[],,meco_para_3
sporting_0,239.0,2,"[7, 8]",,meco_para_3
competitions._0,370.0,3,"[22, 23, 48]",,meco_para_3
The_2,212.0,2,"[18, 20]",,meco_para_3
use_1,340.0,4,"[46, 52, 53, 61]",,meco_para_3
of_1,68.0,1,[15],,meco_para_3
drugs_1,69.0,1,[31],,meco_para_3
to_0,nan,0,[],,meco_para_3
enhance_0,nan,0,[],,meco_para_3
performance_0,nan,0,[],,meco_para_3
is_2,nan,0,[],,meco_para_3
largely_0,nan,0,[],,meco_para_3
considered_0,nan,0,[],,meco_para_3
"unethical,_0",68.0,1,[6],,meco_para_3
and_0,nan,0,[],,meco_para_3
