word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
The_0,nan,0,[],,meco_para_11
International_0,136.0,1,[6],,meco_para_11
Union_0,nan,0,[],,meco_para_11
for_0,nan,0,[],,meco_para_11
Conservation_0,nan,0,[],,meco_para_11
of_0,nan,0,[],,meco_para_11
Nature_0,nan,0,[],,meco_para_11
is_0,nan,0,[],,meco_para_11
an__0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
international_1,72.0,1,[176],meco_para_11_qa_0 ,meco_para_11
organization_0,74.0,1,[53],meco_para_11_qa_0 ,meco_para_11
working_0,nan,0,[],,meco_para_11
in_0,nan,0,[],,meco_para_11
the_1,nan,0,[],,meco_para_11
field_0,nan,0,[],,meco_para_11
of_1,nan,0,[],,meco_para_11
nature_1,nan,0,[],,meco_para_11
conservation_1,95.0,1,[46],,meco_para_11
and_0,nan,0,[],,meco_para_11
the_2,nan,0,[],,meco_para_11
sustainable_0,165.0,2,"[31, 178]",,meco_para_11
use_0,139.0,1,[105],,meco_para_11
of_2,73.0,1,[30],,meco_para_11
natural_0,nan,0,[],,meco_para_11
resources._0,nan,0,[],,meco_para_11
It_0,nan,0,[],,meco_para_11
is_1,nan,0,[],,meco_para_11
involved_0,67.0,1,[114],,meco_para_11
in_1,nan,0,[],,meco_para_11
data_0,nan,0,[],,meco_para_11
gathering_0,128.0,2,"[47, 69]",,meco_para_11
and_1,nan,0,[],,meco_para_11
"analysis,_0",nan,0,[],,meco_para_11
"research,_0",352.0,4,"[99, 100, 138, 177]",,meco_para_11
field_1,50.0,1,[175],,meco_para_11
"projects,_0",nan,0,[],,meco_para_11
"advocacy,_0",353.0,4,"[4, 36, 54, 76]",,meco_para_11
and_2,nan,0,[],,meco_para_11
education._0,115.0,2,"[13, 113]",,meco_para_11
Its_0,nan,0,[],,meco_para_11
mission_0,nan,0,[],,meco_para_11
is_2,63.0,1,[48],,meco_para_11
to_0,nan,0,[],,meco_para_11
"‘influence,_0",205.0,3,"[49, 70, 94]",,meco_para_11
encourage_0,53.0,1,[103],,meco_para_11
and_3,nan,0,[],,meco_para_11
assist_0,nan,0,[],,meco_para_11
societies_0,nan,0,[],,meco_para_11
throughout_0,368.0,4,"[28, 55, 56, 147]",meco_para_11_qa_2 ,meco_para_11
the_3,296.0,3,"[5, 43, 121]",meco_para_11_qa_2 ,meco_para_11
world_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
to_1,nan,0,[],meco_para_11_qa_2 ,meco_para_11
conserve_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
nature_2,nan,0,[],meco_para_11_qa_2 ,meco_para_11
and_4,nan,0,[],meco_para_11_qa_2 ,meco_para_11
to_2,56.0,1,[27],meco_para_11_qa_2 ,meco_para_11
ensure_0,240.0,3,"[51, 231, 239]",meco_para_11_qa_2 ,meco_para_11
that_0,125.0,2,"[50, 173]",meco_para_11_qa_2 ,meco_para_11
any_0,57.0,1,[209],meco_para_11_qa_2 ,meco_para_11
use_1,nan,0,[],meco_para_11_qa_2 ,meco_para_11
of_3,nan,0,[],meco_para_11_qa_2 ,meco_para_11
natural_1,nan,0,[],meco_para_11_qa_2 ,meco_para_11
resources_1,320.0,3,"[35, 37, 212]",meco_para_11_qa_2 ,meco_para_11
is_3,331.0,3,"[62, 117, 120]",meco_para_11_qa_2 ,meco_para_11
equitable_0,69.0,1,[119],meco_para_11_qa_2 ,meco_para_11
and_5,73.0,1,[265],meco_para_11_qa_2 ,meco_para_11
ecologically_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
sustainable’._0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
Over_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
the_4,134.0,2,"[75, 235]",meco_para_11_qa_2 ,meco_para_11
past_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
"decades,_0",120.0,2,"[102, 204]",meco_para_11_qa_2 ,meco_para_11
the_5,108.0,1,[101],meco_para_11_qa_2 ,meco_para_11
organization_1,442.0,6,"[38, 59, 60, 111, 143, 213]",,meco_para_11
has_0,323.0,5,"[22, 146, 215, 244, 263]",,meco_para_11
widened_0,872.0,9,"[40, 67, 68, 118, 149, 159, 264, 266, 317]",,meco_para_11
its_1,82.0,1,[63],,meco_para_11
focus_0,nan,0,[],,meco_para_11
beyond_0,nan,0,[],,meco_para_11
conservation_2,64.0,1,[74],,meco_para_11
ecology_0,240.0,3,"[136, 233, 238]",,meco_para_11
and_6,nan,0,[],,meco_para_11
now_0,68.0,1,[241],,meco_para_11
incorporates_0,nan,0,[],,meco_para_11
issues_0,391.0,4,"[32, 34, 85, 210]",,meco_para_11
related_0,304.0,5,"[33, 58, 61, 86, 243]",,meco_para_11
to_3,nan,0,[],,meco_para_11
sustainable_1,454.0,6,"[39, 77, 93, 150, 153, 160]",,meco_para_11
development_0,69.0,1,[45],,meco_para_11
in_2,nan,0,[],,meco_para_11
its_2,nan,0,[],,meco_para_11
projects._1,162.0,2,"[171, 172]",,meco_para_11
Unlike_0,482.0,7,"[98, 140, 141, 205, 232, 234, 236]",,meco_para_11
many_0,117.0,2,"[142, 240]",,meco_para_11
other_0,130.0,2,"[139, 208]",,meco_para_11
international_2,335.0,4,"[9, 57, 305, 331]",,meco_para_11
environmental_0,968.0,12,"[14, 17, 21, 42, 81, 165, 179, 180, 187, 214, 246, 248]",,meco_para_11
"organizations,_0",436.0,6,"[44, 115, 161, 162, 217, 335]",,meco_para_11
it_1,nan,0,[],,meco_para_11
does_0,284.0,3,"[129, 131, 202]",,meco_para_11
not_0,344.0,4,"[2, 137, 170, 203]",,meco_para_11
aim_0,58.0,1,[1],,meco_para_11
to_4,136.0,2,"[130, 174]",,meco_para_11
mobilize_0,58.0,1,[206],,meco_para_11
the_6,nan,0,[],,meco_para_11
public_0,nan,0,[],,meco_para_11
in_3,nan,0,[],,meco_para_11
support_0,344.0,4,"[88, 193, 327, 328]",,meco_para_11
of_4,410.0,5,"[10, 219, 242, 245, 247]",,meco_para_11
nature_3,646.0,6,"[18, 23, 80, 116, 268, 340]",,meco_para_11
conservation._3,877.0,10,"[15, 26, 82, 152, 185, 186, 216, 253, 289, 318]",,meco_para_11
"Instead,_0",207.0,2,"[163, 254]",,meco_para_11
the_7,nan,0,[],,meco_para_11
organization_2,342.0,5,"[72, 73, 97, 135, 284]",,meco_para_11
tries_0,68.0,1,[237],,meco_para_11
to_5,52.0,1,[368],,meco_para_11
influence_0,53.0,1,[207],,meco_para_11
the_8,nan,0,[],,meco_para_11
actions_0,127.0,2,"[79, 155]",,meco_para_11
of_5,63.0,1,[329],,meco_para_11
"governments,_0",1064.0,13,"[19, 20, 24, 41, 65, 83, 112, 124, 154, 184, 188, 306, 330]",,meco_para_11
business_0,654.0,8,"[66, 132, 218, 250, 255, 291, 319, 336]",,meco_para_11
and_7,262.0,2,"[277, 279]",,meco_para_11
other_1,136.0,1,[308],,meco_para_11
stakeholders_0,153.0,2,"[134, 230]",,meco_para_11
by_0,126.0,2,"[96, 283]",,meco_para_11
providing_0,138.0,2,"[262, 287]",,meco_para_11
information_0,63.0,1,[29],,meco_para_11
and_8,140.0,1,[78],,meco_para_11
"advice,_0",212.0,2,"[321, 326]",,meco_para_11
and_9,298.0,4,"[125, 145, 191, 339]",,meco_para_11
through_0,451.0,7,"[25, 89, 91, 123, 183, 273, 290]",,meco_para_11
building_0,192.0,3,"[249, 276, 356]",,meco_para_11
partnerships._0,334.0,5,"[169, 278, 310, 348, 369]",,meco_para_11
The_9,80.0,1,[286],,meco_para_11
organization_3,323.0,3,"[133, 281, 285]",,meco_para_11
is_4,67.0,1,[282],,meco_para_11
best_0,nan,0,[],,meco_para_11
known_0,nan,0,[],,meco_para_11
to_6,nan,0,[],,meco_para_11
the_10,nan,0,[],,meco_para_11
wider_0,nan,0,[],,meco_para_11
public_1,77.0,1,[197],,meco_para_11
for_1,93.0,1,[182],,meco_para_11
compiling_0,621.0,7,"[128, 189, 190, 269, 272, 274, 362]",meco_para_11_qa_3 ,meco_para_11
and_10,126.0,2,"[295, 347]",meco_para_11_qa_3 ,meco_para_11
publishing_0,197.0,2,"[228, 309]",meco_para_11_qa_3 ,meco_para_11
the_11,nan,0,[],meco_para_11_qa_3 ,meco_para_11
Red_0,nan,0,[],meco_para_11_qa_3 ,meco_para_11
List_0,nan,0,[],meco_para_11_qa_3 ,meco_para_11
of_6,67.0,1,[260],meco_para_11_qa_3 ,meco_para_11
Threatened_0,59.0,2,"[0, 301]",meco_para_11_qa_3 ,meco_para_11
"Species,_0",nan,0,[],meco_para_11_qa_3 ,meco_para_11
which_0,nan,0,[],meco_para_11_qa_1 ,meco_para_11
assesses_0,346.0,5,"[144, 157, 158, 192, 342]",meco_para_11_qa_1 ,meco_para_11
the_12,284.0,4,"[126, 304, 341, 353]",meco_para_11_qa_1 ,meco_para_11
conservation_4,937.0,12,"[167, 195, 220, 252, 271, 275, 307, 311, 337, 338, 355, 357]",meco_para_11_qa_1 ,meco_para_11
status_0,208.0,3,"[294, 297, 334]",meco_para_11_qa_1 ,meco_para_11
of_7,179.0,2,"[168, 227]",meco_para_11_qa_1 ,meco_para_11
