word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Ein_0,nan,0,[],,meco_para_12
Fahrzeugkennzeichen_0,72.0,1,[6],,meco_para_12
ist_0,nan,0,[],,meco_para_12
ein_1,nan,0,[],,meco_para_12
Metall-_0,nan,0,[],,meco_para_12
oder_0,nan,0,[],,meco_para_12
"Kunststoffschild,_0",nan,0,[],,meco_para_12
das_0,nan,0,[],,meco_para_12
zur_0,nan,0,[],,meco_para_12
 amtlichen_0,nan,0,[],,meco_para_12
Identifizierung_0,55.0,1,[18],,meco_para_12
an_0,nan,0,[],,meco_para_12
einem_0,nan,0,[],,meco_para_12
Fahrzeug_0,75.0,1,[19],,meco_para_12
angebracht_0,nan,0,[],,meco_para_12
ist._1,nan,0,[],,meco_para_12
In_0,nan,0,[],,meco_para_12
allen_0,nan,0,[],,meco_para_12
 Landern’_0,nan,0,[],,meco_para_12
sind_0,nan,0,[],,meco_para_12
solche_0,nan,0,[],,meco_para_12
Kennzeichen_0,nan,0,[],,meco_para_12
fiir_0,nan,0,[],,meco_para_12
Stra&enfahrzeuge_0,nan,0,[],,meco_para_12
wie_0,nan,0,[],,meco_para_12
"Autos,_0",nan,0,[],,meco_para_12
Lastwagen_0,nan,0,[],,meco_para_12
und_0,nan,0,[],,meco_para_12
Motorrader_0,nan,0,[],,meco_para_12
erforderlich._0,nan,0,[],,meco_para_12
Ob_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
sie_0,51.0,1,[7],meco_para_12_qa_2 ,meco_para_12
fir_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
andere_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
Fahrzeuge_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
wie_1,124.0,1,[21],meco_para_12_qa_2 ,meco_para_12
"Fahrrader,_0",nan,0,[],meco_para_12_qa_2 ,meco_para_12
Boote_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
oder_1,nan,0,[],meco_para_12_qa_2 ,meco_para_12
Traktoren’_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
erforderlich_1,nan,0,[],meco_para_12_qa_2 ,meco_para_12
—_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
"sind,_1",nan,0,[],meco_para_12_qa_2 ,meco_para_12
kann_0,nan,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
je_0,nan,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
nach_0,nan,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
Rechtssprechung_0,nan,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
variieren._0,61.0,1,[16],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
Die_0,nan,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
 Registrierungskennung_0,nan,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
besteht_0,nan,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
aus_0,nan,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
einer_0,nan,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
Reihe_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
von_0,53.0,1,[4],meco_para_12_qa_3 ,meco_para_12
 Buchstaben_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
und_1,nan,0,[],meco_para_12_qa_3 ,meco_para_12
"Ziffern,_0",126.0,2,"[1, 15]",meco_para_12_qa_3 ,meco_para_12
die_1,nan,0,[],meco_para_12_qa_3 ,meco_para_12
den_0,120.0,1,[20],meco_para_12_qa_3 ,meco_para_12
 Fahrzeughalter_0,nan,1,[0],meco_para_12_qa_3 ,meco_para_12
eindeutig_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
im_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
Fahrzeugregister_0,52.0,1,[2],meco_para_12_qa_3 ,meco_para_12
der_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
ausstellenden_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
Behdrde_0,74.0,1,[22],meco_para_12_qa_3 ,meco_para_12
 identifiziert._0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
In_1,nan,0,[],meco_para_12_qa_3 ,meco_para_12
 einigen_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
Landern_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
ist_2,nan,0,[],meco_para_12_qa_3 ,meco_para_12
die_2,nan,0,[],meco_para_12_qa_3 ,meco_para_12
Kennung_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
innerhalb_0,51.0,1,[3],meco_para_12_qa_3 ,meco_para_12
des_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
gesamten_0,81.0,1,[27],meco_para_12_qa_3 ,meco_para_12
Landes_0,73.0,1,[25],meco_para_12_qa_3 ,meco_para_12
"einzigartig,_0",68.0,1,[14],meco_para_12_qa_3 ,meco_para_12
wahrend_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
sie_1,nan,0,[],meco_para_12_qa_3 ,meco_para_12
dies_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
in_2,nan,0,[],meco_para_12_qa_3 ,meco_para_12
anderen_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
Landern_1,nan,0,[],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
nur_0,nan,0,[],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
innerhalb_1,nan,0,[],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
eines_0,52.0,1,[28],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
Staates_0,145.0,2,"[23, 26]",meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
oder_2,nan,0,[],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
einer_1,52.0,1,[24],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
Provinz_0,nan,0,[],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
ist._3,nan,0,[],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
Frankreich_0,nan,0,[],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
war_0,nan,0,[],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
das_1,nan,0,[],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
erste_0,nan,0,[],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
"Land,_0",nan,0,[],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
das_2,nan,0,[],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
Ende_0,nan,0,[],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
des_1,nan,0,[],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
19._0,nan,0,[],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
Jahrhunderts_0,54.0,1,[13],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
das_3,nan,0,[],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
