word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
La_0,nan,0,[],,meco_para_12
patente_0,110.0,2,"[233, 268]",,meco_para_12
de_0,71.0,1,[321],,meco_para_12
un_0,105.0,2,"[266, 274]",,meco_para_12
vehiculo_0,419.0,8,"[249, 250, 267, 294, 344, 350, 447, 448]",,meco_para_12
es_0,319.0,5,"[15, 144, 345, 431, 446]",,meco_para_12
una_0,111.0,2,"[16, 443]",,meco_para_12
placa_0,116.0,2,"[325, 434]",,meco_para_12
de_1,70.0,1,[288],,meco_para_12
metal_0,nan,0,[],,meco_para_12
o_0,nan,0,[],,meco_para_12
 plastico_0,nan,0,[],,meco_para_12
fijada_0,nan,0,[],,meco_para_12
al_0,nan,0,[],,meco_para_12
vehiculo_1,nan,0,[],,meco_para_12
con_0,53.0,1,[500],,meco_para_12
el_0,nan,0,[],,meco_para_12
propdsito_0,234.0,4,"[234, 301, 340, 508]",,meco_para_12
de_2,314.0,5,"[243, 300, 341, 355, 369]",,meco_para_12
identificacién_0,573.0,10,"[0, 298, 343, 351, 353, 367, 371, 403, 404, 509]",,meco_para_12
oficial_0,398.0,6,"[280, 299, 323, 348, 382, 430]",,meco_para_12
Todos_0,368.0,5,"[147, 258, 287, 383, 435]",,meco_para_12
los_0,51.0,1,[436],,meco_para_12
paises_0,55.0,1,[415],,meco_para_12
requieren_0,137.0,1,[113],,meco_para_12
patentes_0,nan,0,[],,meco_para_12
para_0,nan,0,[],,meco_para_12
vehiculos_0,51.0,1,[495],,meco_para_12
como_0,167.0,3,"[313, 319, 484]",,meco_para_12
"autos,_0",389.0,6,"[5, 236, 269, 317, 318, 460]",,meco_para_12
camiones_0,546.0,9,"[17, 66, 232, 252, 255, 256, 309, 365, 479]",,meco_para_12
y_0,251.0,4,"[110, 246, 438, 445]",,meco_para_12
motocicletas._0,958.0,14,"[46, 67, 68, 89, 90, 104, 109, 143, 244, 336, 366, 441, 442, 473]",,meco_para_12
Su_0,108.0,2,"[97, 141]",,meco_para_12
 requerimiento_0,361.0,6,"[10, 70, 112, 114, 115, 418]",,meco_para_12
para_1,nan,0,[],,meco_para_12
otros_0,nan,0,[],,meco_para_12
vehiculos_1,nan,0,[],,meco_para_12
como_1,214.0,4,"[34, 42, 483, 498]",,meco_para_12
"bicicletas,_0",163.0,3,"[43, 260, 263]",meco_para_12_qa_2 ,meco_para_12
botes_0,310.0,5,"[119, 132, 297, 339, 493]",meco_para_12_qa_2 ,meco_para_12
o_1,369.0,6,"[134, 237, 272, 358, 364, 482]",meco_para_12_qa_2 ,meco_para_12
tractores_0,806.0,12,"[47, 245, 254, 273, 281, 311, 312, 316, 338, 349, 357, 439]",meco_para_12_qa_2 ,meco_para_12
puede_0,900.0,14,"[1, 7, 18, 20, 107, 120, 277, 290, 291, 322, 363, 429, 440, 478]",meco_para_12_qa_2 ,meco_para_12
variar_0,918.0,13,"[2, 19, 71, 88, 108, 169, 278, 308, 329, 386, 387, 419, 472]",meco_para_12_qa_2 ,meco_para_12
por_0,534.0,8,"[8, 14, 69, 96, 121, 142, 168, 279]",meco_para_12_qa_2 ,meco_para_12
jurisdiccién._0,185.0,3,"[9, 11, 23]",meco_para_12_qa_2 ,meco_para_12
El_1,nan,0,[],,meco_para_12
identificador_0,nan,0,[],,meco_para_12
de_3,nan,0,[],,meco_para_12
registro_0,73.0,1,[33],,meco_para_12
es_1,75.0,1,[496],,meco_para_12
una_1,nan,0,[],meco_para_12_qa_3 ,meco_para_12
serie_0,196.0,3,"[116, 118, 361]",meco_para_12_qa_3 ,meco_para_12
de_4,384.0,7,"[3, 4, 135, 231, 368, 480, 501]",meco_para_12_qa_3 ,meco_para_12
letras_0,331.0,5,"[44, 253, 356, 391, 401]",meco_para_12_qa_3 ,meco_para_12
o_2,nan,0,[],meco_para_12_qa_3 ,meco_para_12
ntmeros_0,934.0,14,"[87, 106, 111, 122, 167, 289, 293, 362, 372, 381, 407, 411, 422, 437]",meco_para_12_qa_3 ,meco_para_12
que_0,385.0,6,"[95, 154, 166, 337, 405, 406]",,meco_para_12
identifican_0,687.0,10,"[12, 22, 91, 98, 101, 148, 170, 206, 259, 384]",,meco_para_12
Unicamente_0,nan,0,[],,meco_para_12
al_1,nan,0,[],,meco_para_12
duefio_0,nan,0,[],,meco_para_12
de_5,55.0,1,[58],,meco_para_12
un_1,58.0,1,[27],,meco_para_12
vehiculo_2,122.0,2,"[216, 320]",,meco_para_12
dentro_0,179.0,3,"[117, 360, 481]",,meco_para_12
de_6,284.0,4,"[131, 354, 426, 492]",,meco_para_12
la__0,198.0,3,"[74, 314, 485]",,meco_para_12
regidn_0,157.0,3,"[6, 271, 359]",,meco_para_12
del_0,533.0,9,"[155, 223, 270, 375, 408, 409, 410, 414, 420]",,meco_para_12
registro_1,359.0,6,"[333, 334, 373, 388, 412, 425]",,meco_para_12
del_1,160.0,3,"[102, 153, 385]",,meco_para_12
vehiculo._3,71.0,1,[488],,meco_para_12
En_0,nan,0,[],,meco_para_12
algunos_0,nan,0,[],,meco_para_12
"paises,_1",nan,0,[],,meco_para_12
el_2,nan,0,[],,meco_para_12
identificador_1,167.0,3,"[32, 265, 497]",,meco_para_12
es_2,nan,0,[],,meco_para_12
Unico_0,73.0,1,[302],,meco_para_12
en_1,267.0,4,"[221, 296, 330, 474]",,meco_para_12
todo_0,381.0,7,"[52, 392, 394, 395, 427, 461, 487]",,meco_para_12
el_3,143.0,2,"[75, 222]",,meco_para_12
"pais,_0",264.0,5,"[164, 282, 283, 292, 423]",,meco_para_12
mientras_0,757.0,10,"[72, 85, 94, 99, 127, 128, 165, 285, 315, 413]",,meco_para_12
"que,_1",230.0,4,"[126, 152, 306, 398]",,meco_para_12
en_2,55.0,1,[374],,meco_para_12
"otros,_1",50.0,1,[151],,meco_para_12
es_3,nan,0,[],,meco_para_12
Unico_1,nan,0,[],,meco_para_12
dentro_1,254.0,3,"[204, 212, 213]",meco_para_12_qa_0 ,meco_para_12
de_7,127.0,2,"[57, 215]",meco_para_12_qa_0 ,meco_para_12
un_2,nan,0,[],meco_para_12_qa_0 ,meco_para_12
estado_0,221.0,4,"[26, 49, 182, 264]",meco_para_12_qa_0 ,meco_para_12
o_3,56.0,1,[50],meco_para_12_qa_0 ,meco_para_12
provincia._0,568.0,8,"[48, 51, 183, 242, 295, 331, 462, 475]",meco_para_12_qa_0 ,meco_para_12
Francia_0,760.0,12,"[53, 76, 77, 130, 184, 207, 224, 332, 424, 486, 489, 507]",meco_para_12_qa_0 ,meco_para_12
fue_0,123.0,2,"[84, 86]",meco_para_12_qa_0 ,meco_para_12
el_4,196.0,3,"[123, 172, 284]",meco_para_12_qa_0 ,meco_para_12
primer_0,463.0,6,"[13, 129, 139, 160, 171, 393]",meco_para_12_qa_0 ,meco_para_12
pais_1,141.0,2,"[45, 149]",meco_para_12_qa_0 ,meco_para_12
en_3,57.0,1,[150],meco_para_12_qa_0 ,meco_para_12
 introducir_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
la_1,nan,0,[],meco_para_12_qa_0 ,meco_para_12
"patente,_1",114.0,2,"[30, 209]",meco_para_12_qa_0 ,meco_para_12
a_0,79.0,1,[38],meco_para_12_qa_0 ,meco_para_12
fines_0,122.0,2,"[54, 56]",meco_para_12_qa_0 ,meco_para_12
del_2,110.0,2,"[31, 241]",meco_para_12_qa_0 ,meco_para_12
siglo_0,141.0,2,"[55, 476]",meco_para_12_qa_0 ,meco_para_12
diecinueve._0,282.0,4,"[163, 178, 180, 502]",meco_para_12_qa_0 ,meco_para_12
Las_0,51.0,1,[161],meco_para_12_qa_0 ,meco_para_12
patentes_1,230.0,4,"[157, 158, 399, 457]",meco_para_12_qa_0 ,meco_para_12
de_8,55.0,1,[125],meco_para_12_qa_0 ,meco_para_12
 principios_0,110.0,2,"[92, 304]",meco_para_12_qa_0 ,meco_para_12
de_9,nan,0,[],meco_para_12_qa_0 ,meco_para_12
siglo_1,70.0,1,[305],meco_para_12_qa_0 ,meco_para_12
veinte_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
variaban_0,57.0,1,[220],,meco_para_12
en_4,107.0,1,[217],,meco_para_12
tamafio_0,71.0,1,[35],,meco_para_12
y_1,53.0,1,[463],,meco_para_12
forma_0,90.0,1,[174],,meco_para_12
de_10,187.0,3,"[173, 464, 477]",,meco_para_12
una_2,245.0,4,"[78, 303, 451, 490]",,meco_para_12
 jurisdiccién_0,364.0,5,"[136, 156, 400, 450, 471]",,meco_para_12
a_1,217.0,4,"[83, 137, 225, 326]",,meco_para_12
"otra,_0",nan,0,[],,meco_para_12
de_11,135.0,2,"[93, 379]",,meco_para_12
manera_0,56.0,1,[380],,meco_para_12
"que,_2",nan,0,[],,meco_para_12
si_0,nan,0,[],,meco_para_12
una_3,54.0,1,[41],,meco_para_12
persona_0,111.0,2,"[36, 62]",,meco_para_12
se_0,87.0,1,[39],,meco_para_12
"mudaba,_0",nan,0,[],,meco_para_12
se_1,72.0,1,[181],,meco_para_12
necesitaba_0,284.0,4,"[25, 175, 449, 452]",,meco_para_12
hacer_0,100.0,1,[81],,meco_para_12
nuevos_0,204.0,4,"[82, 185, 376, 470]",,meco_para_12
agujeros_0,73.0,1,[138],,meco_para_12
en_5,108.0,2,"[327, 378]",,meco_para_12
el_5,nan,0,[],,meco_para_12
auto_0,nan,0,[],,meco_para_12
para_2,nan,0,[],,meco_para_12
sostener_0,nan,0,[],meco_para_12_qa_1 ,meco_para_12
la_2,nan,0,[],meco_para_12_qa_1 ,meco_para_12
nueva_0,nan,0,[],meco_para_12_qa_1 ,meco_para_12
patente._2,nan,0,[],meco_para_12_qa_1 ,meco_para_12
La_3,nan,0,[],meco_para_12_qa_1 ,meco_para_12
 estandarizacibn_0,367.0,5,"[176, 179, 198, 203, 465]",meco_para_12_qa_1 ,meco_para_12
de_12,117.0,2,"[187, 199]",meco_para_12_qa_1 ,meco_para_12
patentes_2,222.0,4,"[200, 456, 466, 467]",meco_para_12_qa_1 ,meco_para_12
llegs_0,nan,0,[],meco_para_12_qa_1 ,meco_para_12
a_2,nan,0,[],meco_para_12_qa_1 ,meco_para_12
fines_1,104.0,2,"[377, 503]",meco_para_12_qa_1 ,meco_para_12
de_13,56.0,1,[469],meco_para_12_qa_1 ,meco_para_12
los_1,nan,0,[],meco_para_12_qa_1 ,meco_para_12
afios_0,52.0,1,[218],meco_para_12_qa_1 ,meco_para_12
"cincuenta,_0",109.0,2,"[40, 219]",meco_para_12_qa_1 ,meco_para_12
cuando_0,nan,0,[],meco_para_12_qa_1 ,meco_para_12
los_2,nan,0,[],meco_para_12_qa_1 ,meco_para_12
fabricantes_0,271.0,4,"[64, 193, 453, 454]",meco_para_12_qa_1 ,meco_para_12
de_14,122.0,1,[188],meco_para_12_qa_1 ,meco_para_12
automdviles_0,147.0,2,"[186, 455]",meco_para_12_qa_1 ,meco_para_12
llegaron_0,nan,0,[],meco_para_12_qa_1 ,meco_para_12
a_3,nan,0,[],meco_para_12_qa_1 ,meco_para_12
un_3,nan,0,[],meco_para_12_qa_1 ,meco_para_12
acuerdo_0,56.0,1,[468],meco_para_12_qa_1 ,meco_para_12
con_1,nan,0,[],meco_para_12_qa_1 ,meco_para_12
los_3,nan,0,[],,meco_para_12
distintos_0,nan,0,[],,meco_para_12
gobiernos_0,nan,0,[],,meco_para_12
y_2,nan,0,[],,meco_para_12
 organizaciones_0,111.0,2,"[24, 192]",,meco_para_12
internacionales._0,197.0,3,"[63, 190, 202]",,meco_para_12
Aunque_0,369.0,6,"[51, 460, 462, 783, 789, 794]",,a_Steamengine_3
la_0,58.0,1,[642],,a_Steamengine_3
