word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
La_0,nan,0,[],,meco_para_12
patente_0,111.0,1,[15],,meco_para_12
de_0,nan,0,[],,meco_para_12
un_0,nan,0,[],,meco_para_12
vehiculo_0,nan,0,[],,meco_para_12
es_0,nan,0,[],,meco_para_12
una_0,nan,0,[],,meco_para_12
placa_0,nan,0,[],,meco_para_12
de_1,nan,0,[],,meco_para_12
metal_0,nan,0,[],,meco_para_12
o_0,nan,0,[],,meco_para_12
 plastico_0,nan,0,[],,meco_para_12
fijada_0,nan,0,[],,meco_para_12
al_0,582.0,1,[48],,meco_para_12
vehiculo_1,nan,0,[],,meco_para_12
con_0,nan,0,[],,meco_para_12
el_0,nan,0,[],,meco_para_12
propdsito_0,nan,0,[],,meco_para_12
de_2,nan,0,[],,meco_para_12
identificacién_0,nan,0,[],,meco_para_12
oficial_0,390.0,2,"[26, 414]",,meco_para_12
Todos_0,144.0,2,"[415, 416]",,meco_para_12
los_0,nan,0,[],,meco_para_12
paises_0,nan,0,[],,meco_para_12
requieren_0,nan,0,[],,meco_para_12
patentes_0,318.0,3,"[43, 44, 47]",,meco_para_12
para_0,185.0,1,[70],,meco_para_12
vehiculos_0,148.0,2,"[10, 11]",,meco_para_12
como_0,nan,0,[],,meco_para_12
"autos,_0",nan,0,[],,meco_para_12
camiones_0,134.0,1,[413],,meco_para_12
y_0,204.0,1,[27],,meco_para_12
motocicletas._0,386.0,4,"[25, 49, 417, 434]",,meco_para_12
Su_0,nan,0,[],,meco_para_12
 requerimiento_0,104.0,2,"[77, 441]",,meco_para_12
para_1,107.0,2,"[41, 442]",,meco_para_12
otros_0,520.0,4,"[42, 45, 72, 443]",,meco_para_12
vehiculos_1,381.0,3,"[71, 112, 113]",,meco_para_12
como_1,nan,0,[],,meco_para_12
"bicicletas,_0",nan,0,[],meco_para_12_qa_2 ,meco_para_12
botes_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
o_1,116.0,1,[412],meco_para_12_qa_2 ,meco_para_12
tractores_0,57.0,1,[432],meco_para_12_qa_2 ,meco_para_12
puede_0,117.0,2,"[50, 433]",meco_para_12_qa_2 ,meco_para_12
variar_0,312.0,2,"[24, 435]",meco_para_12_qa_2 ,meco_para_12
por_0,108.0,1,[440],meco_para_12_qa_2 ,meco_para_12
jurisdiccién._0,304.0,2,"[39, 40]",meco_para_12_qa_2 ,meco_para_12
El_1,nan,0,[],,meco_para_12
identificador_0,283.0,3,"[69, 73, 444]",,meco_para_12
de_3,59.0,1,[74],,meco_para_12
registro_0,141.0,1,[430],,meco_para_12
es_1,61.0,1,[18],,meco_para_12
una_1,147.0,1,[86],meco_para_12_qa_3 ,meco_para_12
serie_0,112.0,2,"[9, 411]",meco_para_12_qa_3 ,meco_para_12
de_4,59.0,1,[431],meco_para_12_qa_3 ,meco_para_12
letras_0,340.0,2,"[28, 29]",meco_para_12_qa_3 ,meco_para_12
o_2,56.0,1,[56],meco_para_12_qa_3 ,meco_para_12
ntmeros_0,1215.0,10,"[22, 23, 31, 57, 60, 96, 418, 436, 437, 447]",meco_para_12_qa_3 ,meco_para_12
que_0,478.0,3,"[32, 34, 94]",,meco_para_12
identifican_0,606.0,2,"[35, 38]",,meco_para_12
Unicamente_0,62.0,1,[446],,meco_para_12
al_1,130.0,1,[68],,meco_para_12
duefio_0,353.0,2,"[109, 445]",,meco_para_12
de_5,nan,0,[],,meco_para_12
un_1,62.0,1,[53],,meco_para_12
vehiculo_2,841.0,8,"[54, 78, 83, 84, 85, 410, 429, 451]",,meco_para_12
dentro_0,472.0,3,"[87, 88, 449]",,meco_para_12
de_6,nan,0,[],,meco_para_12
