word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
A_0,nan,0,[],,meco_para_12
vehicle_0,nan,0,[],,meco_para_12
registration_0,nan,0,[],,meco_para_12
plate_0,nan,0,[],,meco_para_12
is_0,nan,0,[],,meco_para_12
a_1,138.0,2,"[5, 52]",,meco_para_12
metal_0,406.0,5,"[4, 26, 50, 51, 300]",,meco_para_12
or_0,nan,0,[],,meco_para_12
plastic_0,204.0,1,[25],,meco_para_12
plate_1,103.0,1,[24],,meco_para_12
attached_0,236.0,2,"[17, 296]",,meco_para_12
to_0,173.0,2,"[16, 22]",,meco_para_12
a_2,nan,0,[],,meco_para_12
vehicle_1,nan,0,[],,meco_para_12
for_0,nan,0,[],,meco_para_12
officialidentification_0,nan,0,[],,meco_para_12
purposes._0,68.0,1,[7],,meco_para_12
All_0,68.0,1,[6],,meco_para_12
countries_0,475.0,3,"[10, 11, 28]",,meco_para_12
require_0,271.0,2,"[12, 29]",,meco_para_12
registration_1,575.0,7,"[13, 14, 34, 36, 142, 295, 301]",,meco_para_12
plates_0,136.0,2,"[143, 294]",,meco_para_12
for_1,272.0,2,"[21, 144]",,meco_para_12
road_0,304.0,3,"[15, 18, 140]",,meco_para_12
vehicles_0,137.0,2,"[23, 66]",,meco_para_12
such_0,nan,0,[],,meco_para_12
as_0,nan,0,[],,meco_para_12
"cars,_0",nan,0,[],,meco_para_12
"trucks,and_0",nan,0,[],,meco_para_12
motorcycles._0,nan,0,[],,meco_para_12
Whether_0,102.0,1,[53],,meco_para_12
they_0,102.0,1,[30],,meco_para_12
are_0,206.0,3,"[31, 37, 38]",,meco_para_12
required_0,478.0,5,"[32, 33, 35, 45, 320]",,meco_para_12
for_2,306.0,4,"[19, 44, 46, 313]",,meco_para_12
other_0,69.0,1,[47],,meco_para_12
"vehicles,_1",339.0,3,"[65, 310, 314]",,meco_para_12
such_1,nan,0,[],,meco_para_12
as__0,nan,0,[],,meco_para_12
"bicycles,_0",nan,0,[],,meco_para_12
"boats,_0",nan,0,[],meco_para_12_qa_2 ,meco_para_12
or_1,nan,0,[],meco_para_12_qa_2 ,meco_para_12
"tractors,_0",nan,0,[],meco_para_12_qa_2 ,meco_para_12
may_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
vary_0,473.0,4,"[49, 339, 340, 341]",meco_para_12_qa_2 ,meco_para_12
by_0,170.0,2,"[48, 60]",meco_para_12_qa_2 ,meco_para_12
jurisdiction._0,920.0,9,"[59, 60, 88, 318, 319, 342, 345, 400, 401]",meco_para_12_qa_2 ,meco_para_12
The_0,171.0,2,"[343, 403]",,meco_para_12
registration_2,1464.0,13,"[99, 309, 311, 312, 315, 316, 321, 323, 332, 335, 336, 344, 402]",,meco_para_12
identifier_0,nan,0,[],,meco_para_12
is_1,nan,0,[],,meco_para_12
a_3,nan,0,[],,meco_para_12
series_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
of_0,103.0,1,[80],meco_para_12_qa_3 ,meco_para_12
letters_0,472.0,4,"[67, 79, 81, 397]",meco_para_12_qa_3 ,meco_para_12
and_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
digits_0,613.0,6,"[68, 69, 327, 348, 349, 398]",meco_para_12_qa_3 ,meco_para_12
that_0,642.0,8,"[54, 61, 62, 70, 82, 326, 328, 399]",,meco_para_12
uniquely_0,884.0,10,"[41, 55, 58, 83, 84, 302, 325, 329, 331, 350]",,meco_para_12
identifies_0,726.0,9,"[39, 40, 42, 63, 98, 305, 317, 338, 351]",,meco_para_12
the_1,270.0,3,"[100, 333, 346]",,meco_para_12
vehicle_2,375.0,2,"[308, 334]",,meco_para_12
owner_0,nan,0,[],,meco_para_12
within_0,nan,0,[],,meco_para_12
the_2,nan,0,[],,meco_para_12
issuing_0,nan,0,[],,meco_para_12
region's_0,272.0,3,"[106, 112, 396]",,meco_para_12
vehicle_3,169.0,1,[395],,meco_para_12
register._0,341.0,3,"[77, 78, 330]",,meco_para_12
In_0,337.0,2,"[57, 111]",,meco_para_12
some_0,648.0,6,"[72, 73, 89, 352, 355, 406]",,meco_para_12
"countries,_1",1120.0,12,"[71, 74, 92, 93, 94, 101, 116, 117, 118, 324, 372, 405]",,meco_para_12
the_3,103.0,1,[375],,meco_para_12
identifier_1,405.0,3,"[43, 76, 363]",,meco_para_12
is_2,nan,0,[],,meco_para_12
unique_0,nan,0,[],,meco_para_12
within_1,137.0,1,[104],,meco_para_12
the_4,101.0,1,[105],,meco_para_12
entire_0,273.0,2,"[107, 147]",,meco_para_12
"country,_0",237.0,3,"[122, 146, 394]",,meco_para_12
while_0,311.0,4,"[86, 109, 113, 145]",,meco_para_12
in_1,68.0,1,[407],,meco_para_12
others_0,68.0,1,[85],,meco_para_12
it_0,204.0,2,"[119, 354]",,meco_para_12
is_3,233.0,3,"[3, 303, 353]",,meco_para_12
unique_1,579.0,7,"[90, 91, 95, 96, 115, 304, 371]",,meco_para_12
within_2,543.0,4,"[102, 121, 361, 362]",,meco_para_12
a_4,136.0,2,"[364, 374]",,meco_para_12
state_0,nan,0,[],,meco_para_12
or_2,nan,0,[],,meco_para_12
province._0,nan,0,[],,meco_para_12
France_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
was_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
the_5,67.0,1,[124],meco_para_12_qa_0 ,meco_para_12
first_0,202.0,2,"[103, 128]",meco_para_12_qa_0 ,meco_para_12
country_1,473.0,4,"[87, 114, 127, 129]",meco_para_12_qa_0 ,meco_para_12
to_1,102.0,1,[132],meco_para_12_qa_0 ,meco_para_12
introduce_0,341.0,3,"[110, 120, 289]",meco_para_12_qa_0 ,meco_para_12
the_6,208.0,3,"[134, 287, 365]",,meco_para_12
registration_3,341.0,5,"[161, 288, 356, 370, 373]",,meco_para_12
"plate,_2",236.0,2,"[389, 390]",,meco_para_12
in_2,nan,0,[],,meco_para_12
the_7,nan,0,[],,meco_para_12
late_0,nan,0,[],,meco_para_12
nineteenth_0,nan,0,[],,meco_para_12
century._0,nan,0,[],,meco_para_12
Early_0,168.0,2,"[125, 165]",,meco_para_12
twentieth_0,239.0,3,"[126, 164, 378]",,meco_para_12
century_1,545.0,7,"[130, 131, 136, 200, 291, 366, 393]",,meco_para_12
plates_1,270.0,3,"[135, 286, 292]",,meco_para_12
varied_0,1106.0,9,"[2, 156, 159, 160, 293, 367, 368, 383, 392]",,meco_para_12
