word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Wine_0,nan,0,[],,meco_para_7
tasting_0,nan,0,[],,meco_para_7
is_0,nan,0,[],,meco_para_7
the_0,68.0,1,[14],,meco_para_7
sensory_0,238.0,3,"[16, 17, 38]",,meco_para_7
examination_0,nan,0,[],,meco_para_7
and_0,nan,0,[],,meco_para_7
evaluation_0,nan,0,[],,meco_para_7
of_0,nan,0,[],,meco_para_7
wine._1,nan,0,[],,meco_para_7
While_0,nan,0,[],,meco_para_7
the_1,nan,0,[],,meco_para_7
practice_0,67.0,1,[12],,meco_para_7
of_1,nan,0,[],,meco_para_7
wine_2,nan,0,[],,meco_para_7
tasting_1,nan,0,[],,meco_para_7
is_1,nan,0,[],,meco_para_7
as_0,171.0,2,"[22, 23]",,meco_para_7
ancient_0,67.0,1,[39],,meco_para_7
as__0,67.0,1,[18],,meco_para_7
its_0,nan,0,[],,meco_para_7
"production,_0",nan,0,[],,meco_para_7
a_0,nan,0,[],,meco_para_7
more_0,nan,0,[],,meco_para_7
formalized_0,nan,0,[],,meco_para_7
methodology_0,nan,0,[],,meco_para_7
has_0,103.0,1,[60],,meco_para_7
slowly_0,203.0,2,"[61, 64]",,meco_para_7
become_0,371.0,4,"[27, 37, 43, 58]",,meco_para_7
established_0,442.0,6,"[20, 21, 41, 44, 62, 63]",,meco_para_7
from_0,nan,0,[],,meco_para_7
the_2,nan,0,[],,meco_para_7
late_0,nan,0,[],,meco_para_7
middle_0,nan,0,[],,meco_para_7
ages_0,nan,0,[],,meco_para_7
onwards._0,nan,0,[],,meco_para_7
"Modern,_0",nan,0,[],,meco_para_7
professional_0,101.0,1,[4],,meco_para_7
wine_3,206.0,3,"[5, 6, 29]",,meco_para_7
tasters_0,170.0,2,"[30, 42]",,meco_para_7
use_0,274.0,3,"[28, 40, 46]",,meco_para_7
a_1,67.0,1,[45],,meco_para_7
constantly_0,nan,0,[],,meco_para_7
evolving_0,nan,0,[],,meco_para_7
specialized_0,99.0,1,[25],,meco_para_7
terminology_0,nan,0,[],,meco_para_7
which_0,102.0,1,[68],,meco_para_7
is_2,nan,0,[],,meco_para_7
used_0,nan,0,[],,meco_para_7
to_0,341.0,4,"[7, 35, 59, 85]",,meco_para_7
describe_0,170.0,2,"[34, 86]",,meco_para_7
the_3,305.0,2,"[53, 66]",,meco_para_7
range_0,133.0,2,"[31, 52]",,meco_para_7
of_2,nan,0,[],,meco_para_7
perceived_0,nan,0,[],,meco_para_7
"flavors,_0",101.0,1,[47],,meco_para_7
aromas_0,101.0,1,[24],,meco_para_7
and__0,nan,0,[],,meco_para_7
general_0,nan,0,[],,meco_para_7
characteristics_0,68.0,1,[67],meco_para_7_qa_0 ,meco_para_7
of_3,205.0,3,"[73, 93, 99]",meco_para_7_qa_0 ,meco_para_7
a_2,136.0,1,[57],meco_para_7_qa_0 ,meco_para_7
wine._4,270.0,4,"[51, 56, 74, 92]",meco_para_7_qa_0 ,meco_para_7
In_0,203.0,2,"[55, 75]",meco_para_7_qa_0 ,meco_para_7
recent_0,102.0,1,[77],meco_para_7_qa_0 ,meco_para_7
"years,_0",204.0,2,"[32, 76]",meco_para_7_qa_0 ,meco_para_7
results_0,101.0,1,[50],meco_para_7_qa_0 ,meco_para_7
challenging_0,67.0,1,[49],meco_para_7_qa_0 ,meco_para_7
the_4,103.0,1,[48],meco_para_7_qa_0 ,meco_para_7
reliability_0,102.0,1,[26],meco_para_7_qa_0 ,meco_para_7
of_4,nan,0,[],meco_para_7_qa_0 ,meco_para_7
wine_5,nan,0,[],meco_para_7_qa_0 ,meco_para_7
tasting_2,nan,0,[],meco_para_7_qa_0 ,meco_para_7
in_1,nan,0,[],meco_para_7_qa_0 meco_para_7_qa_1 ,meco_para_7
both_0,173.0,2,"[94, 100]",meco_para_7_qa_0 meco_para_7_qa_1 ,meco_para_7
experts_0,273.0,3,"[84, 88, 98]",meco_para_7_qa_0 meco_para_7_qa_1 ,meco_para_7
and_1,nan,0,[],meco_para_7_qa_0 ,meco_para_7
consumers_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
have_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
surfaced._0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
For_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
"example,_0",nan,0,[],meco_para_7_qa_0 ,meco_para_7
studies_0,69.0,1,[65],meco_para_7_qa_0 ,meco_para_7
showed_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
that_0,nan,0,[],,meco_para_7
people_0,102.0,1,[70],,meco_para_7
expect_0,203.0,2,"[89, 90]",,meco_para_7
more_1,203.0,2,"[95, 105]",,meco_para_7
expensive_0,169.0,2,"[78, 107]",,meco_para_7
wine_6,237.0,3,"[79, 80, 110]",,meco_para_7
to_1,102.0,1,[127],,meco_para_7
have_1,nan,0,[],,meco_para_7
more_2,nan,0,[],,meco_para_7
desirable_0,nan,0,[],,meco_para_7
characteristics_1,nan,0,[],,meco_para_7
than_0,nan,0,[],,meco_para_7
less_0,69.0,1,[103],,meco_para_7
expensive_1,271.0,3,"[71, 72, 101]",,meco_para_7
wine:_0,nan,0,[],,meco_para_7
When_0,68.0,1,[104],,meco_para_7
tasters_1,68.0,1,[106],,meco_para_7
are_0,171.0,1,[108],,meco_para_7
given_0,239.0,3,"[81, 109, 126]",,meco_para_7
wine_7,69.0,1,[128],,meco_para_7
that_1,67.0,1,[111],,meco_para_7
they_0,nan,0,[],,meco_para_7
are_1,204.0,1,[83],,meco_para_7
falsely_0,nan,0,[],,meco_para_7
told_0,nan,0,[],,meco_para_7
is_3,nan,0,[],,meco_para_7
expensive_2,nan,0,[],,meco_para_7
they_1,66.0,1,[69],,meco_para_7
virtually_0,nan,0,[],,meco_para_7
always_0,nan,0,[],,meco_para_7
report_0,68.0,1,[121],,meco_para_7
it_0,nan,0,[],,meco_para_7
as_1,nan,0,[],,meco_para_7
tasting_3,408.0,5,"[2, 125, 145, 163, 164]",,meco_para_7
better_0,306.0,4,"[82, 97, 112, 144]",,meco_para_7
than_1,170.0,1,[115],,meco_para_7
the_5,nan,0,[],,meco_para_7
