word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
La_0,nan,0,[],,meco_para_12
patente_0,nan,0,[],,meco_para_12
de_0,nan,0,[],,meco_para_12
un_0,nan,0,[],,meco_para_12
vehiculo_0,nan,0,[],,meco_para_12
es_0,nan,0,[],,meco_para_12
una_0,nan,0,[],,meco_para_12
placa_0,nan,0,[],,meco_para_12
de_1,nan,0,[],,meco_para_12
metal_0,nan,0,[],,meco_para_12
o_0,nan,0,[],,meco_para_12
 plastico_0,nan,0,[],,meco_para_12
fijada_0,118.0,1,[450],,meco_para_12
al_0,nan,0,[],,meco_para_12
vehiculo_1,218.0,1,[453],,meco_para_12
con_0,nan,0,[],,meco_para_12
el_0,nan,0,[],,meco_para_12
propdsito_0,nan,0,[],,meco_para_12
de_2,nan,0,[],,meco_para_12
identificacién_0,nan,0,[],,meco_para_12
oficial_0,118.0,1,[675],,meco_para_12
Todos_0,nan,0,[],,meco_para_12
los_0,nan,0,[],,meco_para_12
paises_0,169.0,1,[813],,meco_para_12
requieren_0,259.0,2,"[456, 814]",,meco_para_12
patentes_0,313.0,3,"[451, 810, 811]",,meco_para_12
para_0,nan,0,[],,meco_para_12
vehiculos_0,nan,0,[],,meco_para_12
como_0,583.0,2,"[670, 672]",,meco_para_12
"autos,_0",118.0,1,[669],,meco_para_12
camiones_0,nan,0,[],,meco_para_12
y_0,nan,0,[],,meco_para_12
motocicletas._0,222.0,2,"[676, 677]",,meco_para_12
Su_0,nan,0,[],,meco_para_12
 requerimiento_0,355.0,3,"[457, 800, 812]",,meco_para_12
para_1,nan,0,[],,meco_para_12
otros_0,nan,0,[],,meco_para_12
vehiculos_1,198.0,2,"[44, 809]",,meco_para_12
como_1,121.0,1,[8],,meco_para_12
"bicicletas,_0",351.0,1,[671],meco_para_12_qa_2 ,meco_para_12
botes_0,464.0,3,"[667, 668, 673]",meco_para_12_qa_2 ,meco_para_12
o_1,96.0,1,[674],meco_para_12_qa_2 ,meco_para_12
tractores_0,239.0,2,"[4, 665]",meco_para_12_qa_2 ,meco_para_12
puede_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
variar_0,329.0,3,"[680, 801, 802]",meco_para_12_qa_2 ,meco_para_12
por_0,110.0,1,[448],meco_para_12_qa_2 ,meco_para_12
jurisdiccién._0,186.0,2,"[798, 799]",meco_para_12_qa_2 ,meco_para_12
El_1,106.0,1,[815],,meco_para_12
identificador_0,227.0,1,[808],,meco_para_12
de_3,222.0,1,[43],,meco_para_12
registro_0,113.0,1,[7],,meco_para_12
es_1,nan,0,[],,meco_para_12
una_1,322.0,1,[716],meco_para_12_qa_3 ,meco_para_12
serie_0,112.0,1,[5],meco_para_12_qa_3 ,meco_para_12
de_4,94.0,1,[666],meco_para_12_qa_3 ,meco_para_12
letras_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
o_2,61.0,1,[614],meco_para_12_qa_3 ,meco_para_12
ntmeros_0,549.0,4,"[663, 678, 679, 803]",meco_para_12_qa_3 ,meco_para_12
que_0,464.0,4,"[433, 458, 661, 662]",,meco_para_12
identifican_0,512.0,4,"[434, 660, 797, 804]",,meco_para_12
Unicamente_0,452.0,4,"[45, 806, 807, 816]",,meco_para_12
al_1,103.0,1,[41],,meco_para_12
duefio_0,106.0,1,[42],,meco_para_12
de_5,nan,0,[],,meco_para_12
un_1,334.0,2,"[11, 771]",,meco_para_12
vehiculo_2,604.0,4,"[6, 15, 501, 727]",,meco_para_12
dentro_0,2404.0,12,"[176, 178, 332, 333, 400, 415, 416, 418, 691, 714, 715, 717]",,meco_para_12
de_6,109.0,1,[496],,meco_para_12
la__0,98.0,1,[414],,meco_para_12
regidn_0,1229.0,6,"[61, 87, 395, 424, 615, 709]",,meco_para_12
del_0,1265.0,7,"[65, 66, 88, 340, 485, 490, 708]",,meco_para_12
registro_1,893.0,6,"[63, 67, 459, 483, 484, 795]",,meco_para_12
del_1,853.0,7,"[68, 69, 90, 408, 435, 659, 796]",,meco_para_12
vehiculo._3,350.0,3,"[46, 124, 805]",,meco_para_12
En_0,298.0,2,"[303, 817]",,meco_para_12
algunos_0,570.0,4,"[40, 96, 114, 115]",,meco_para_12
"paises,_1",nan,0,[],,meco_para_12
el_2,nan,0,[],,meco_para_12
identificador_1,1731.0,9,"[12, 13, 288, 361, 470, 500, 584, 778, 779]",,meco_para_12
es_2,1437.0,10,"[175, 331, 473, 497, 583, 689, 724, 725, 728, 777]",,meco_para_12
Unico_0,2195.0,12,"[138, 177, 308, 399, 474, 475, 533, 618, 628, 629, 718, 773]",,meco_para_12
en_1,2246.0,12,"[179, 327, 336, 337, 385, 396, 419, 617, 630, 692, 713, 774]",,meco_para_12
todo_0,2028.0,11,"[77, 86, 126, 338, 386, 387, 573, 616, 693, 710, 712]",,meco_para_12
el_3,890.0,4,"[272, 339, 486, 613]",,meco_para_12
"pais,_0",1354.0,10,"[2, 47, 125, 258, 273, 382, 394, 489, 491, 682]",,meco_para_12
mientras_0,1777.0,13,"[1, 64, 153, 268, 269, 305, 432, 447, 460, 658, 706, 707, 794]",,meco_para_12
"que,_1",1124.0,8,"[91, 97, 304, 354, 405, 406, 407, 409]",,meco_para_12
en_2,676.0,4,"[70, 156, 191, 819]",,meco_para_12
"otros,_1",970.0,8,"[38, 39, 74, 157, 234, 235, 236, 353]",,meco_para_12
es_3,1229.0,5,"[94, 116, 121, 122, 238]",,meco_para_12
Unico_1,429.0,2,"[95, 123]",,meco_para_12
dentro_1,568.0,2,"[287, 770]",meco_para_12_qa_0 ,meco_para_12
de_7,1008.0,7,"[14, 16, 286, 360, 472, 498, 499]",meco_para_12_qa_0 ,meco_para_12
un_2,1477.0,6,"[128, 174, 285, 330, 564, 780]",meco_para_12_qa_0 ,meco_para_12
estado_0,3619.0,23,"[55, 56, 79, 101, 127, 139, 284, 328, 329, 364, 502, 519, 570, 582, 587, 619, 627, 719, 729, 731, 775, 776, 781]",meco_para_12_qa_0 ,meco_para_12
o_3,1496.0,7,"[57, 84, 196, 398, 518, 646, 688]",meco_para_12_qa_0 ,meco_para_12
provincia._0,5732.0,30,"[58, 59, 60, 85, 180, 194, 195, 215, 216, 256, 307, 326, 335, 365, 383, 384, 397, 401, 425, 476, 477, 517, 530, 534, 574, 581, 612, 631, 686, 711]",meco_para_12_qa_0 ,meco_para_12
Francia_0,3214.0,20,"[181, 193, 257, 325, 388, 412, 413, 423, 430, 431, 443, 445, 479, 487, 488, 495, 632, 656, 683, 684]",meco_para_12_qa_0 ,meco_para_12
fue_0,791.0,6,"[33, 213, 393, 402, 411, 461]",meco_para_12_qa_0 ,meco_para_12
el_4,1377.0,10,"[31, 32, 75, 152, 374, 381, 392, 480, 657, 704]",meco_para_12_qa_0 ,meco_para_12
primer_0,2175.0,14,"[0, 151, 154, 155, 212, 299, 375, 410, 436, 462, 705, 820, 822, 823]",meco_para_12_qa_0 ,meco_para_12
pais_1,966.0,7,"[92, 239, 267, 275, 300, 301, 376]",meco_para_12_qa_0 ,meco_para_12
