word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Ein_0,nan,0,[],,meco_para_12
Fahrzeugkennzeichen_0,192.0,2,"[11, 81]",,meco_para_12
ist_0,140.0,1,[26],,meco_para_12
ein_1,102.0,1,[27],,meco_para_12
Metall-_0,53.0,1,[50],,meco_para_12
oder_0,54.0,1,[42],,meco_para_12
"Kunststoffschild,_0",50.0,1,[49],,meco_para_12
das_0,nan,0,[],,meco_para_12
zur_0,130.0,2,"[47, 96]",,meco_para_12
 amtlichen_0,120.0,1,[48],,meco_para_12
Identifizierung_0,250.0,2,"[59, 82]",,meco_para_12
an_0,87.0,1,[53],,meco_para_12
einem_0,55.0,1,[61],,meco_para_12
Fahrzeug_0,341.0,4,"[12, 51, 52, 63]",,meco_para_12
angebracht_0,235.0,2,"[66, 69]",,meco_para_12
ist._1,209.0,2,"[64, 70]",,meco_para_12
In_0,137.0,2,"[39, 43]",,meco_para_12
allen_0,nan,0,[],,meco_para_12
 Landern’_0,317.0,2,"[46, 75]",,meco_para_12
sind_0,nan,0,[],,meco_para_12
solche_0,nan,0,[],,meco_para_12
Kennzeichen_0,875.0,5,"[17, 54, 56, 58, 60]",,meco_para_12
fiir_0,632.0,2,"[16, 19]",,meco_para_12
Stra&enfahrzeuge_0,987.0,6,"[14, 15, 20, 24, 28, 79]",,meco_para_12
wie_0,440.0,2,"[41, 68]",,meco_para_12
"Autos,_0",nan,0,[],,meco_para_12
Lastwagen_0,304.0,3,"[37, 65, 71]",,meco_para_12
und_0,229.0,2,"[44, 72]",,meco_para_12
Motorrader_0,384.0,3,"[45, 93, 94]",,meco_para_12
erforderlich._0,nan,0,[],,meco_para_12
Ob_0,56.0,1,[57],meco_para_12_qa_2 ,meco_para_12
sie_0,126.0,1,[55],meco_para_12_qa_2 ,meco_para_12
fir_0,431.0,1,[18],meco_para_12_qa_2 ,meco_para_12
andere_0,201.0,2,"[21, 22]",meco_para_12_qa_2 ,meco_para_12
Fahrzeuge_0,269.0,2,"[29, 30]",meco_para_12_qa_2 ,meco_para_12
wie_1,214.0,3,"[31, 40, 78]",meco_para_12_qa_2 ,meco_para_12
"Fahrrader,_0",nan,0,[],meco_para_12_qa_2 ,meco_para_12
Boote_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
oder_1,nan,0,[],meco_para_12_qa_2 ,meco_para_12
Traktoren’_0,190.0,3,"[76, 92, 176]",meco_para_12_qa_2 ,meco_para_12
erforderlich_1,nan,0,[],meco_para_12_qa_2 ,meco_para_12
—_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
"sind,_1",nan,0,[],meco_para_12_qa_2 ,meco_para_12
kann_0,nan,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
je_0,143.0,2,"[103, 396]",meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
nach_0,396.0,1,[102],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
Rechtssprechung_0,98.0,1,[106],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
variieren._0,nan,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
Die_0,nan,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
 Registrierungskennung_0,623.0,5,"[36, 77, 91, 137, 175]",meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
besteht_0,nan,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
aus_0,nan,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
einer_0,nan,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
Reihe_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
von_0,292.0,3,"[23, 100, 101]",meco_para_12_qa_3 ,meco_para_12
 Buchstaben_0,435.0,3,"[99, 105, 121]",meco_para_12_qa_3 ,meco_para_12
und_1,379.0,2,"[107, 108]",meco_para_12_qa_3 ,meco_para_12
"Ziffern,_0",nan,0,[],meco_para_12_qa_3 ,meco_para_12
die_1,126.0,1,[89],meco_para_12_qa_3 ,meco_para_12
den_0,50.0,1,[90],meco_para_12_qa_3 ,meco_para_12
 Fahrzeughalter_0,554.0,4,"[35, 97, 136, 138]",meco_para_12_qa_3 ,meco_para_12
eindeutig_0,532.0,3,"[151, 152, 174]",meco_para_12_qa_3 ,meco_para_12
im_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
Fahrzeugregister_0,369.0,2,"[104, 123]",meco_para_12_qa_3 ,meco_para_12
der_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
ausstellenden_0,109.0,1,[120],meco_para_12_qa_3 ,meco_para_12
Behdrde_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
 identifiziert._0,654.0,5,"[34, 132, 133, 135, 145]",meco_para_12_qa_3 ,meco_para_12
In_1,nan,0,[],meco_para_12_qa_3 ,meco_para_12
 einigen_0,358.0,3,"[150, 195, 196]",meco_para_12_qa_3 ,meco_para_12
Landern_0,140.0,2,"[172, 173]",meco_para_12_qa_3 ,meco_para_12
ist_2,nan,0,[],meco_para_12_qa_3 ,meco_para_12
die_2,nan,0,[],meco_para_12_qa_3 ,meco_para_12
Kennung_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
innerhalb_0,111.0,1,[122],meco_para_12_qa_3 ,meco_para_12
des_0,82.0,1,[155],meco_para_12_qa_3 ,meco_para_12
gesamten_0,259.0,3,"[109, 130, 177]",meco_para_12_qa_3 ,meco_para_12
Landes_0,154.0,2,"[114, 131]",meco_para_12_qa_3 ,meco_para_12
"einzigartig,_0",837.0,5,"[2, 33, 134, 144, 146]",meco_para_12_qa_3 ,meco_para_12
wahrend_0,226.0,2,"[113, 149]",meco_para_12_qa_3 ,meco_para_12
