word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
A_0,nan,0,[],,meco_para_12
vehicle_0,55.0,1,[81],,meco_para_12
registration_0,612.0,4,"[8, 9, 45, 47]",,meco_para_12
plate_0,53.0,1,[14],,meco_para_12
is_0,nan,0,[],,meco_para_12
a_1,72.0,1,[16],,meco_para_12
metal_0,108.0,1,[17],,meco_para_12
or_0,68.0,1,[175],,meco_para_12
plastic_0,103.0,1,[29],,meco_para_12
plate_1,nan,0,[],,meco_para_12
attached_0,59.0,1,[42],,meco_para_12
to_0,nan,0,[],,meco_para_12
a_2,nan,0,[],,meco_para_12
vehicle_1,nan,0,[],,meco_para_12
for_0,nan,0,[],,meco_para_12
officialidentification_0,52.0,1,[80],,meco_para_12
purposes._0,507.0,6,"[7, 10, 11, 48, 84, 162]",,meco_para_12
All_0,65.0,1,[12],,meco_para_12
countries_0,520.0,5,"[53, 55, 56, 112, 142]",,meco_para_12
require_0,332.0,4,"[18, 26, 113, 174]",,meco_para_12
registration_1,318.0,3,"[30, 31, 114]",,meco_para_12
plates_0,nan,0,[],,meco_para_12
for_1,nan,0,[],,meco_para_12
road_0,nan,0,[],,meco_para_12
vehicles_0,nan,0,[],,meco_para_12
such_0,nan,0,[],,meco_para_12
as_0,122.0,1,[79],,meco_para_12
"cars,_0",nan,0,[],,meco_para_12
"trucks,and_0",176.0,2,"[78, 161]",,meco_para_12
motorcycles._0,423.0,6,"[43, 54, 85, 110, 136, 137]",,meco_para_12
Whether_0,192.0,2,"[52, 138]",,meco_para_12
they_0,167.0,3,"[25, 91, 176]",,meco_para_12
are_0,196.0,2,"[92, 115]",,meco_para_12
required_0,91.0,1,[32],,meco_para_12
for_2,nan,0,[],,meco_para_12
other_0,nan,0,[],,meco_para_12
"vehicles,_1",nan,0,[],,meco_para_12
such_1,nan,0,[],,meco_para_12
as__0,182.0,1,[224],,meco_para_12
"bicycles,_0",159.0,2,"[108, 159]",,meco_para_12
"boats,_0",833.0,4,"[109, 160, 163, 196]",meco_para_12_qa_2 ,meco_para_12
