word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Dunya_0,nan,0,[],,meco_para_11
Doga_0,nan,0,[],,meco_para_11
ve_0,nan,0,[],,meco_para_11
Dogal_0,67.0,1,[87],,meco_para_11
Kaynaklari_0,132.0,1,[18],,meco_para_11
Koruma__0,171.0,1,[5],,meco_para_11
Birligi_0,375.0,2,"[9, 21]",,meco_para_11
doganin_0,146.0,2,"[11, 22]",,meco_para_11
korunmasi_0,367.0,2,"[12, 14]",,meco_para_11
ve_1,nan,0,[],,meco_para_11
 dogal_0,nan,0,[],,meco_para_11
kaynaklarin_0,71.0,1,[84],,meco_para_11
 sUrdirulebilir_0,54.0,1,[61],,meco_para_11
=_0,73.0,1,[36],,meco_para_11
kullanimi_0,279.0,4,"[36, 37, 38, 88]",,meco_para_11
alaninda_0,138.0,2,"[74, 75]",,meco_para_11
galisan_—uluslararas!_0,925.0,8,"[10, 13, 47, 50, 68, 79, 115, 116]",meco_para_11_qa_0 ,meco_para_11
bir_0,207.0,2,"[25, 80]",meco_para_11_qa_0 ,meco_para_11
kurulustur._0,195.0,2,"[15, 32]",meco_para_11_qa_0 ,meco_para_11
Veri_0,nan,0,[],,meco_para_11
toplama_0,nan,0,[],,meco_para_11
ve_2,64.0,1,[144],,meco_para_11
"analiz,_0",320.0,4,"[85, 86, 105, 126]",,meco_para_11
"arastirma,_0",258.0,2,"[62, 71]",,meco_para_11
saha__0,440.0,6,"[42, 44, 63, 66, 72, 89]",,meco_para_11
"projeleri,_0",1062.0,10,"[39, 40, 41, 45, 46, 67, 69, 70, 73, 111]",,meco_para_11
savunma_0,902.0,10,"[23, 49, 76, 77, 92, 94, 95, 96, 97, 114]",,meco_para_11
ve_3,64.0,1,[132],,meco_para_11
egitim_0,62.0,1,[26],,meco_para_11
alanlarinda_0,782.0,4,"[30, 31, 54, 81]",,meco_para_11
faaliyet_0,137.0,2,"[55, 56]",,meco_para_11
gostermektedir._0,249.0,3,"[125, 195, 196]",meco_para_11_qa_2 ,meco_para_11
Misyonu_0,322.0,4,"[106, 167, 168, 169]",meco_para_11_qa_2 ,meco_para_11
 dtinyadaki_0,204.0,3,"[64, 112, 129]",meco_para_11_qa_2 ,meco_para_11
toplumlari_0,584.0,5,"[43, 65, 90, 91, 93]",meco_para_11_qa_2 ,meco_para_11
dogayi_0,65.0,1,[131],meco_para_11_qa_2 ,meco_para_11
korumak_0,1266.0,9,"[24, 27, 28, 29, 51, 78, 98, 99, 133]",meco_para_11_qa_2 ,meco_para_11
icin_0,408.0,3,"[52, 100, 119]",meco_para_11_qa_2 ,meco_para_11
"etkilemek,_0",135.0,1,[53],meco_para_11_qa_2 ,meco_para_11
tesvik_0,103.0,1,[83],meco_para_11_qa_2 ,meco_para_11
etmek_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
ve_4,nan,0,[],meco_para_11_qa_2 ,meco_para_11
yardimci_0,81.0,1,[197],meco_para_11_qa_2 ,meco_para_11
olmak_0,68.0,1,[166],meco_para_11_qa_2 ,meco_para_11
ve_5,209.0,2,"[107, 127]",meco_para_11_qa_2 ,meco_para_11
dogal_1,311.0,3,"[113, 128, 130]",meco_para_11_qa_2 ,meco_para_11
kaynak_0,128.0,2,"[110, 149]",meco_para_11_qa_2 ,meco_para_11
kullaniminin§_0,606.0,5,"[117, 134, 136, 179, 180]",meco_para_11_qa_2 ,meco_para_11
adil_0,169.0,2,"[118, 137]",meco_para_11_qa_2 ,meco_para_11
ve_6,304.0,1,[102],meco_para_11_qa_2 ,meco_para_11
 ekolojik_0,167.0,2,"[101, 121]",meco_para_11_qa_2 ,meco_para_11
olarak_0,135.0,1,[82],meco_para_11_qa_2 ,meco_para_11
surdurulebilir_0,104.0,1,[194],meco_para_11_qa_2 ,meco_para_11
olmasini_0,69.0,1,[165],meco_para_11_qa_2 ,meco_para_11
saglamak_0,135.0,2,"[145, 170]",meco_para_11_qa_2 ,meco_para_11
tir._0,71.0,1,[108],meco_para_11_qa_2 ,meco_para_11
Gectigimiz_0,241.0,3,"[109, 148, 150]",meco_para_11_qa_2 ,meco_para_11
on_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
yillar_0,71.0,1,[155],meco_para_11_qa_2 ,meco_para_11
"boyunca,_0",164.0,2,"[138, 158]",meco_para_11_qa_2 ,meco_para_11
organizasyon_0,74.0,1,[103],meco_para_11_qa_2 ,meco_para_11
koruma_0,239.0,2,"[104, 162]",meco_para_11_qa_2 ,meco_para_11
ekolojisinin_0,66.0,1,[214],,meco_para_11
dtesinde_0,196.0,2,"[124, 164]",,meco_para_11
odagini__0,343.0,4,"[123, 171, 173, 174]",,meco_para_11
genisletti_0,298.0,4,"[2, 176, 177, 207]",,meco_para_11
ve_7,nan,0,[],,meco_para_11
simdi_0,167.0,2,"[147, 151]",,meco_para_11
projelerinde_0,640.0,5,"[152, 153, 156, 181, 182]",,meco_para_11
strdurulebilir_0,376.0,4,"[140, 157, 159, 161]",,meco_para_11
kalkinma___0,nan,0,[],,meco_para_11
ile_0,72.0,1,[212],,meco_para_11
ilgili_0,nan,0,[],,meco_para_11
konular!_0,nan,0,[],,meco_para_11
icgeriyor._0,128.0,2,"[175, 198]",,meco_para_11
Pek_0,nan,0,[],,meco_para_11
cok_0,68.0,1,[251],,meco_para_11
uluslararas!_0,541.0,6,"[146, 178, 205, 206, 252, 253]",,meco_para_11
cevre_0,57.0,1,[1],,meco_para_11
 kuruluslarinin§_0,nan,0,[],,meco_para_11
"aksine,_0",281.0,3,"[141, 160, 185]",,meco_para_11
bu_0,95.0,1,[184],,meco_para_11
 organizasyon_0,273.0,3,"[142, 190, 191]",,meco_para_11
halki_0,nan,0,[],,meco_para_11
doganin_1,73.0,1,[217],,meco_para_11
korunmasina__0,nan,0,[],,meco_para_11
destek_0,604.0,4,"[172, 201, 202, 223]",,meco_para_11
olarak_1,346.0,3,"[203, 224, 227]",,meco_para_11
seferber_0,366.0,4,"[204, 209, 225, 226]",,meco_para_11
etmeyi_0,nan,0,[],,meco_para_11
amaclamamaktadir._0,nan,0,[],,meco_para_11
Bunun_0,136.0,2,"[192, 213]",,meco_para_11
"yerine,_0",nan,0,[],,meco_para_11
organizasyon_1,73.0,1,[199],,meco_para_11
"bilgi,_0",335.0,2,"[200, 222]",,meco_para_11
tavsiye_0,375.0,1,[270],,meco_para_11
saglayarak_0,342.0,1,[208],,meco_para_11
ve_8,167.0,1,[228],,meco_para_11
ortakliklar_0,334.0,3,"[231, 232, 320]",,meco_para_11
kurarak_0,295.0,3,"[186, 230, 260]",,meco_para_11
"hdkimetlerin,_0",847.0,7,"[187, 233, 236, 237, 262, 284, 285]",,meco_para_11
is_0,136.0,1,[193],,meco_para_11
dunyasinin_0,948.0,8,"[219, 238, 241, 244, 264, 287, 288, 289]",,meco_para_11
ve_9,206.0,3,"[245, 267, 290]",,meco_para_11
diger_0,370.0,2,"[221, 291]",,meco_para_11
paydaslarin_0,573.0,2,"[269, 271]",,meco_para_11
faaliyetlerini_0,513.0,6,"[255, 256, 257, 272, 275, 295]",,meco_para_11
etkilemeye_0,691.0,6,"[211, 229, 258, 259, 274, 276]",,meco_para_11
 alisir._0,66.0,1,[321],,meco_para_11
Organizasyon_2,330.0,4,"[235, 283, 318, 319]",,meco_para_11
—_0,96.0,1,[235],,meco_para_11
genis_0,158.0,2,"[188, 234]",,meco_para_11
kitlelerce_0,346.0,2,"[239, 243]",meco_para_11_qa_3 ,meco_para_11
dtinyadaki_0,660.0,7,"[219, 220, 245, 246, 266, 286, 292]",meco_para_11_qa_3 ,meco_para_11
turlerin_0,136.0,1,[250],meco_para_11_qa_3 ,meco_para_11
 korunma_0,nan,0,[],meco_para_11_qa_3 ,meco_para_11
durumunu_0,446.0,2,"[297, 298]",meco_para_11_qa_3 ,meco_para_11
 degerlendiren_0,1191.0,11,"[273, 277, 278, 279, 280, 281, 299, 304, 305, 306, 322]",meco_para_11_qa_3 ,meco_para_11
“Tehdit_0,231.0,2,"[282, 317]",meco_para_11_qa_3 ,meco_para_11
Edilen_0,nan,0,[],meco_para_11_qa_3 ,meco_para_11
 Turlerin_0,nan,1,[0],meco_para_11_qa_3 ,meco_para_11
"Kirmizi—Listesi""ni_0",135.0,2,"[247, 249]",meco_para_11_qa_1 meco_para_11_qa_3 ,meco_para_11
derledigi_0,nan,0,[],meco_para_11_qa_1 meco_para_11_qa_3 ,meco_para_11
ve_10,nan,0,[],meco_para_11_qa_1 meco_para_11_qa_3 ,meco_para_11
 yayinladig_0,nan,0,[],meco_para_11_qa_1 meco_para_11_qa_3 ,meco_para_11
icin_1,nan,0,[],meco_para_11_qa_1 meco_para_11_qa_3 ,meco_para_11
bilinir._0,nan,0,[],meco_para_11_qa_1 meco_para_11_qa_3 ,meco_para_11
