word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
A_0,nan,0,[],,meco_para_12
vehicle_0,nan,0,[],,meco_para_12
registration_0,nan,0,[],,meco_para_12
plate_0,nan,0,[],,meco_para_12
is_0,nan,0,[],,meco_para_12
a_1,nan,0,[],,meco_para_12
metal_0,nan,0,[],,meco_para_12
or_0,nan,0,[],,meco_para_12
plastic_0,nan,0,[],,meco_para_12
plate_1,135.0,1,[151],,meco_para_12
attached_0,627.0,3,"[34, 35, 95]",,meco_para_12
to_0,331.0,3,"[96, 199, 200]",,meco_para_12
a_2,nan,0,[],,meco_para_12
vehicle_1,55.0,1,[132],,meco_para_12
for_0,nan,0,[],,meco_para_12
officialidentification_0,nan,0,[],,meco_para_12
purposes._0,nan,0,[],,meco_para_12
All_0,nan,0,[],,meco_para_12
countries_0,nan,0,[],,meco_para_12
require_0,252.0,2,"[57, 152]",,meco_para_12
registration_1,639.0,6,"[28, 30, 32, 60, 68, 150]",,meco_para_12
plates_0,294.0,3,"[67, 163, 318]",,meco_para_12
for_1,206.0,2,"[94, 165]",,meco_para_12
road_0,185.0,2,"[36, 429]",,meco_para_12
vehicles_0,nan,0,[],,meco_para_12
such_0,nan,0,[],,meco_para_12
as_0,nan,0,[],,meco_para_12
"cars,_0",nan,0,[],,meco_para_12
"trucks,and_0",nan,0,[],,meco_para_12
motorcycles._0,58.0,1,[112],,meco_para_12
Whether_0,nan,0,[],,meco_para_12
they_0,388.0,4,"[31, 58, 59, 118]",,meco_para_12
are_0,722.0,7,"[27, 29, 33, 61, 158, 159, 219]",,meco_para_12
required_0,390.0,4,"[122, 149, 162, 442]",,meco_para_12
for_2,940.0,7,"[127, 201, 249, 360, 428, 431, 433]",,meco_para_12
other_0,408.0,5,"[131, 198, 291, 357, 359]",,meco_para_12
"vehicles,_1",nan,0,[],,meco_para_12
such_1,nan,0,[],,meco_para_12
as__0,nan,0,[],,meco_para_12
"bicycles,_0",565.0,5,"[9, 11, 45, 49, 73]",,meco_para_12
"boats,_0",188.0,2,"[46, 76]",meco_para_12_qa_2 ,meco_para_12
or_1,nan,0,[],meco_para_12_qa_2 ,meco_para_12
"tractors,_0",380.0,4,"[17, 18, 82, 113]",meco_para_12_qa_2 ,meco_para_12
may_0,164.0,2,"[22, 153]",meco_para_12_qa_2 ,meco_para_12
vary_0,387.0,3,"[83, 85, 218]",meco_para_12_qa_2 ,meco_para_12
by_0,293.0,3,"[24, 25, 87]",meco_para_12_qa_2 ,meco_para_12
jurisdiction._0,608.0,9,"[62, 63, 121, 123, 124, 157, 288, 316, 427]",meco_para_12_qa_2 ,meco_para_12
The_0,787.0,8,"[92, 93, 126, 164, 225, 290, 434, 441]",,meco_para_12
registration_2,995.0,10,"[129, 130, 226, 292, 319, 356, 358, 401, 410, 446]",,meco_para_12
identifier_0,nan,0,[],,meco_para_12
is_1,nan,0,[],,meco_para_12
a_3,487.0,4,"[10, 44, 70, 74]",,meco_para_12
series_0,369.0,3,"[8, 50, 77]",meco_para_12_qa_3 ,meco_para_12
of_0,245.0,2,"[110, 111]",meco_para_12_qa_3 ,meco_para_12
letters_0,359.0,3,"[16, 51, 143]",meco_para_12_qa_3 ,meco_para_12
and_0,497.0,4,"[55, 56, 114, 115]",meco_para_12_qa_3 ,meco_para_12
digits_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
that_0,623.0,6,"[23, 26, 86, 89, 119, 243]",,meco_para_12
uniquely_0,703.0,8,"[64, 90, 148, 160, 282, 283, 287, 393]",,meco_para_12
identifies_0,1210.0,10,"[91, 161, 197, 220, 289, 405, 430, 435, 439, 443]",,meco_para_12
the_1,852.0,7,"[250, 293, 355, 409, 432, 438, 447]",,meco_para_12
vehicle_2,nan,0,[],,meco_para_12
owner_0,177.0,1,[38],,meco_para_12
within_0,104.0,2,"[43, 412]",,meco_para_12
the_2,1069.0,8,"[41, 48, 69, 102, 103, 105, 108, 138]",,meco_para_12
issuing_0,438.0,3,"[53, 75, 78]",,meco_para_12
region's_0,708.0,4,"[19, 80, 81, 98]",,meco_para_12
vehicle_3,868.0,5,"[116, 144, 214, 217, 239]",,meco_para_12
register._0,1457.0,15,"[0, 84, 120, 146, 154, 155, 166, 193, 244, 275, 277, 281, 339, 345, 362]",,meco_para_12
In_0,728.0,5,"[88, 147, 280, 394, 426]",,meco_para_12
some_0,622.0,6,"[194, 195, 196, 284, 315, 361]",,meco_para_12
"countries,_1",673.0,7,"[128, 224, 252, 320, 403, 436, 449]",,meco_para_12
the_3,82.0,1,[251],,meco_para_12
identifier_1,nan,0,[],,meco_para_12
is_2,78.0,1,[71],,meco_para_12
unique_0,255.0,3,"[39, 72, 413]",,meco_para_12
within_1,1118.0,5,"[12, 42, 139, 365, 377]",,meco_para_12
the_4,461.0,4,"[15, 106, 141, 419]",,meco_para_12
entire_0,780.0,7,"[6, 79, 176, 178, 202, 382, 384]",,meco_para_12
"country,_0",320.0,4,"[213, 216, 238, 411]",,meco_para_12
while_0,463.0,4,"[191, 240, 274, 312]",,meco_para_12
in_1,575.0,5,"[184, 192, 276, 278, 338]",,meco_para_12
others_0,279.0,3,"[245, 340, 396]",,meco_para_12
it_0,213.0,2,"[286, 395]",,meco_para_12
is_3,380.0,4,"[285, 349, 397, 448]",,meco_para_12
unique_1,430.0,4,"[223, 398, 408, 437]",,meco_para_12
within_2,465.0,3,"[321, 323, 445]",,meco_para_12
a_4,nan,0,[],,meco_para_12
state_0,nan,0,[],,meco_para_12
or_2,nan,0,[],,meco_para_12
province._0,561.0,6,"[40, 99, 137, 171, 229, 366]",,meco_para_12
France_0,1309.0,12,"[14, 107, 140, 174, 179, 207, 370, 371, 372, 378, 379, 418]",meco_para_12_qa_0 ,meco_para_12
was_0,798.0,4,"[142, 177, 180, 265]",meco_para_12_qa_0 ,meco_para_12
the_5,1196.0,7,"[236, 260, 266, 309, 333, 383, 420]",meco_para_12_qa_0 ,meco_para_12
first_0,1098.0,9,"[4, 5, 181, 182, 215, 237, 261, 272, 335]",meco_para_12_qa_0 ,meco_para_12
country_1,1263.0,8,"[2, 3, 145, 187, 190, 241, 389, 453]",meco_para_12_qa_0 ,meco_para_12
to_1,226.0,2,"[1, 313]",meco_para_12_qa_0 ,meco_para_12
introduce_0,212.0,2,"[279, 392]",meco_para_12_qa_0 ,meco_para_12
the_6,389.0,4,"[221, 222, 246, 350]",,meco_para_12
