word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Wine_0,nan,0,[],,meco_para_7
tasting_0,nan,0,[],,meco_para_7
is_0,nan,0,[],,meco_para_7
the_0,83.0,1,[11],,meco_para_7
sensory_0,166.0,2,"[50, 836]",,meco_para_7
examination_0,nan,0,[],,meco_para_7
and_0,240.0,2,"[54, 698]",,meco_para_7
evaluation_0,453.0,5,"[32, 316, 607, 763, 877]",,meco_para_7
of_0,116.0,2,"[590, 824]",,meco_para_7
wine._1,321.0,4,"[317, 318, 589, 802]",,meco_para_7
While_0,1060.0,7,"[29, 106, 134, 138, 319, 776, 814]",,meco_para_7
the_1,nan,0,[],,meco_para_7
practice_0,nan,0,[],,meco_para_7
of_1,nan,0,[],,meco_para_7
wine_2,274.0,2,"[268, 749]",,meco_para_7
tasting_1,nan,0,[],,meco_para_7
is_1,60.0,1,[10],,meco_para_7
as_0,57.0,1,[754],,meco_para_7
ancient_0,nan,0,[],,meco_para_7
as__0,209.0,3,"[55, 315, 876]",,meco_para_7
its_0,56.0,1,[98],,meco_para_7
"production,_0",355.0,3,"[14, 731, 825]",,meco_para_7
a_0,212.0,2,"[591, 816]",,meco_para_7
more_0,287.0,3,"[16, 320, 775]",,meco_para_7
formalized_0,535.0,6,"[133, 588, 673, 674, 790, 803]",,meco_para_7
methodology_0,74.0,1,[863],,meco_para_7
has_0,112.0,1,[746],,meco_para_7
slowly_0,115.0,1,[751],,meco_para_7
become_0,473.0,6,"[9, 267, 760, 837, 845, 875]",,meco_para_7
established_0,151.0,2,"[753, 762]",,meco_para_7
from_0,291.0,3,"[99, 101, 730]",,meco_para_7
the_2,nan,0,[],,meco_para_7
late_0,145.0,2,"[15, 592]",,meco_para_7
middle_0,599.0,5,"[28, 774, 801, 817, 880]",,meco_para_7
ages_0,108.0,1,[321],,meco_para_7
onwards._0,153.0,2,"[298, 788]",,meco_para_7
"Modern,_0",nan,0,[],,meco_para_7
professional_0,182.0,3,"[270, 745, 844]",,meco_para_7
wine_3,114.0,1,[49],,meco_para_7
tasters_0,365.0,4,"[752, 761, 839, 874]",,meco_para_7
use_0,nan,0,[],,meco_para_7
a_1,50.0,1,[847],,meco_para_7
constantly_0,902.0,8,"[56, 282, 314, 593, 594, 596, 832, 846]",,meco_para_7
evolving_0,641.0,6,"[20, 57, 128, 129, 777, 800]",,meco_para_7
specialized_0,655.0,7,"[17, 18, 26, 132, 139, 818, 823]",,meco_para_7
terminology_0,357.0,4,"[113, 587, 795, 811]",,meco_para_7
which_0,53.0,1,[560],,meco_para_7
is_2,nan,0,[],,meco_para_7
used_0,102.0,1,[744],,meco_para_7
to_0,52.0,1,[862],,meco_para_7
describe_0,214.0,2,"[696, 843]",,meco_para_7
the_3,57.0,1,[840],,meco_para_7
range_0,86.0,1,[313],,meco_para_7
of_2,nan,0,[],,meco_para_7
perceived_0,286.0,2,"[571, 729]",,meco_para_7
"flavors,_0",616.0,4,"[19, 21, 107, 130]",,meco_para_7
aromas_0,nan,0,[],,meco_para_7
and__0,161.0,2,"[27, 307]",,meco_para_7
general_0,726.0,5,"[199, 301, 302, 322, 421]",,meco_para_7
characteristics_0,202.0,2,"[368, 559]",meco_para_7_qa_0 ,meco_para_7
of_3,nan,0,[],meco_para_7_qa_0 ,meco_para_7
a_2,nan,0,[],meco_para_7_qa_0 ,meco_para_7
wine._4,nan,0,[],meco_para_7_qa_0 ,meco_para_7
In_0,148.0,2,"[695, 842]",meco_para_7_qa_0 ,meco_para_7
recent_0,321.0,3,"[8, 277, 841]",meco_para_7_qa_0 ,meco_para_7
"years,_0",470.0,5,"[97, 280, 293, 728, 848]",meco_para_7_qa_0 ,meco_para_7
results_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
challenging_0,269.0,3,"[22, 24, 117]",meco_para_7_qa_0 ,meco_para_7
the_4,nan,0,[],meco_para_7_qa_0 ,meco_para_7
reliability_0,346.0,4,"[419, 420, 789, 792]",meco_para_7_qa_0 ,meco_para_7
of_4,204.0,2,"[112, 454]",meco_para_7_qa_0 ,meco_para_7
wine_5,316.0,5,"[228, 445, 658, 660, 808]",meco_para_7_qa_0 ,meco_para_7
tasting_2,170.0,2,"[367, 740]",meco_para_7_qa_0 ,meco_para_7
in_1,54.0,1,[743],meco_para_7_qa_0 meco_para_7_qa_1 ,meco_para_7
both_0,nan,0,[],meco_para_7_qa_0 meco_para_7_qa_1 ,meco_para_7
experts_0,163.0,2,"[266, 758]",meco_para_7_qa_0 meco_para_7_qa_1 ,meco_para_7
and_1,208.0,3,"[83, 84, 873]",meco_para_7_qa_0 ,meco_para_7
consumers_0,332.0,4,"[7, 278, 292, 849]",meco_para_7_qa_0 ,meco_para_7
have_0,163.0,2,"[727, 831]",meco_para_7_qa_0 ,meco_para_7
surfaced._0,224.0,3,"[23, 778, 822]",meco_para_7_qa_0 ,meco_para_7
For_0,138.0,2,"[140, 883]",meco_para_7_qa_0 ,meco_para_7
"example,_0",654.0,6,"[58, 108, 299, 323, 794, 881]",meco_para_7_qa_0 ,meco_para_7
studies_0,162.0,2,"[300, 580]",meco_para_7_qa_0 ,meco_para_7
showed_0,1017.0,13,"[153, 154, 177, 206, 326, 346, 411, 425, 525, 528, 585, 659, 809]",meco_para_7_qa_0 ,meco_para_7
that_0,96.0,1,[864],,meco_para_7
people_0,50.0,1,[869],,meco_para_7
expect_0,215.0,2,"[48, 870]",,meco_para_7
more_1,418.0,5,"[271, 360, 755, 871, 872]",,meco_para_7
expensive_0,370.0,3,"[82, 276, 359]",,meco_para_7
wine_6,447.0,5,"[279, 288, 291, 311, 312]",,meco_para_7
to_1,354.0,4,"[238, 310, 726, 826]",,meco_para_7
have_1,179.0,2,"[309, 597]",,meco_para_7
more_2,100.0,1,[884],,meco_para_7
desirable_0,795.0,7,"[109, 308, 383, 403, 672, 781, 882]",,meco_para_7
characteristics_1,1354.0,14,"[152, 159, 189, 197, 202, 205, 354, 407, 414, 415, 418, 529, 573, 782]",,meco_para_7
than_0,564.0,6,"[188, 207, 221, 329, 444, 524]",,meco_para_7
less_0,nan,0,[],,meco_para_7
expensive_1,523.0,4,"[366, 558, 742, 867]",,meco_para_7
